[2024-03-19 11:21:00] [world] The Player <qwerty> has collected LAVA BUCKET at X= -498, Y= 78, Z= -431
[2024-03-20 12:39:37] [world_the_end] The Player <Tester> has collected WATER BUCKET at X= -165, Y= 101, Z= 45
[2024-03-20 12:39:41] [world] The Player <NezukoChan> has collected WATER BUCKET at X= -10183, Y= 63, Z= 4113
[2024-03-20 12:39:47] [world] The Player <NezukoChan> has collected WATER BUCKET at X= -10183, Y= 63, Z= 4113
[2024-03-20 12:39:54] [world_the_end] The Player <Tester> has collected WATER BUCKET at X= -161, Y= 101, Z= 30
[2024-03-20 12:40:23] [world] The Player <Tester> has collected WATER BUCKET at X= -10168, Y= 62, Z= 4109
[2024-03-20 12:44:21] [world] The Player <sharky> has collected WATER BUCKET at X= -486, Y= 71, Z= -501
[2024-03-20 12:45:25] [world] The Player <sharky> has collected WATER BUCKET at X= -503, Y= 80, Z= -439
[2024-03-20 12:45:33] [world] The Player <sharky> has collected WATER BUCKET at X= -503, Y= 80, Z= -438
[2024-03-20 12:46:05] [world] The Player <Tester> has collected WATER BUCKET at X= -532, Y= 71, Z= 265
[2024-03-20 12:46:09] [world] The Player <sharky> has collected LAVA BUCKET at X= -497, Y= 78, Z= -426
[2024-03-20 12:46:33] [world] The Player <sharky> has collected WATER BUCKET at X= -500, Y= 81, Z= -433
[2024-03-20 12:51:40] [world] The Player <sharky> has collected WATER BUCKET at X= -502, Y= 79, Z= -434
[2024-03-20 12:51:45] [world] The Player <sharky> has collected WATER BUCKET at X= -506, Y= 80, Z= -426
[2024-03-20 13:40:00] [world] The Player <Tester> has collected LAVA BUCKET at X= -10170, Y= 62, Z= 4117
[2024-03-20 13:44:19] [world] The Player <Tester> has collected WATER BUCKET at X= -10418, Y= 72, Z= 3662
[2024-03-20 13:48:35] [world] The Player <sharky> has collected WATER BUCKET at X= -498, Y= 79, Z= -424
[2024-03-20 13:50:05] [world] The Player <Tester> has collected WATER BUCKET at X= -10323, Y= 15, Z= 3653
[2024-03-20 13:50:58] [world] The Player <MrBlob2U> has collected WATER BUCKET at X= -492, Y= 72, Z= -493
[2024-03-20 13:51:14] [world] The Player <MrBlob2U> has collected WATER BUCKET at X= -491, Y= 72, Z= -496
[2024-03-20 13:51:19] [world] The Player <MrBlob2U> has collected WATER BUCKET at X= -490, Y= 72, Z= -497
[2024-03-20 13:51:22] [world] The Player <MrBlob2U> has collected WATER BUCKET at X= -490, Y= 72, Z= -497
[2024-03-20 13:51:23] [world] The Player <MrBlob2U> has collected WATER BUCKET at X= -491, Y= 72, Z= -497
[2024-03-20 13:51:24] [world] The Player <MrBlob2U> has collected WATER BUCKET at X= -491, Y= 72, Z= -497
[2024-03-20 13:51:25] [world] The Player <MrBlob2U> has collected WATER BUCKET at X= -491, Y= 72, Z= -497
[2024-03-20 13:54:38] [world] The Player <Tester> has collected LAVA BUCKET at X= -10298, Y= 15, Z= 3634
[2024-03-20 13:54:40] [world] The Player <Tester> has collected LAVA BUCKET at X= -10296, Y= 18, Z= 3627
[2024-03-20 13:54:42] [world] The Player <Tester> has collected LAVA BUCKET at X= -10299, Y= 19, Z= 3623
[2024-03-20 13:54:46] [world] The Player <Tester> has collected LAVA BUCKET at X= -10304, Y= 18, Z= 3625
[2024-03-20 13:55:07] [world] The Player <Tester> has collected LAVA BUCKET at X= -10305, Y= 18, Z= 3625
[2024-03-20 13:55:18] [world] The Player <Tester> has collected WATER BUCKET at X= -10309, Y= 21, Z= 3626
[2024-03-20 13:55:26] [world] The Player <Tester> has collected LAVA BUCKET at X= -10310, Y= 20, Z= 3625
[2024-03-20 14:01:09] [world] The Player <Tester> has collected WATER BUCKET at X= -10299, Y= 10, Z= 3630
[2024-03-20 14:01:10] [world] The Player <Tester> has collected WATER BUCKET at X= -10298, Y= 10, Z= 3631
[2024-03-20 14:01:12] [world] The Player <Tester> has collected WATER BUCKET at X= -10297, Y= 10, Z= 3632
[2024-03-20 14:01:13] [world] The Player <Tester> has collected WATER BUCKET at X= -10296, Y= 10, Z= 3633
[2024-03-20 14:01:18] [world] The Player <Tester> has collected WATER BUCKET at X= -10292, Y= 10, Z= 3633
[2024-03-20 14:02:18] [world] The Player <qwerty> has collected LAVA BUCKET at X= 9969, Y= 68, Z= 1120
[2024-03-20 14:02:44] [world] The Player <Tester> has collected WATER BUCKET at X= -10331, Y= 17, Z= 3581
[2024-03-20 14:02:45] [world] The Player <Tester> has collected WATER BUCKET at X= -10329, Y= 17, Z= 3581
[2024-03-20 14:02:48] [world] The Player <Tester> has collected WATER BUCKET at X= -10331, Y= 18, Z= 3582
[2024-03-20 14:02:49] [world] The Player <Tester> has collected WATER BUCKET at X= -10330, Y= 17, Z= 3582
[2024-03-20 14:03:36] [world] The Player <Tester> has collected WATER BUCKET at X= -10347, Y= 11, Z= 3556
[2024-03-20 14:03:48] [world] The Player <Tester> has collected WATER BUCKET at X= -10334, Y= 10, Z= 3561
[2024-03-20 14:03:51] [world] The Player <Tester> has collected WATER BUCKET at X= -10333, Y= 11, Z= 3561
[2024-03-20 14:03:54] [world] The Player <Tester> has collected WATER BUCKET at X= -10327, Y= 11, Z= 3561
[2024-03-20 14:05:19] [world] The Player <Tester> has collected WATER BUCKET at X= -10358, Y= 10, Z= 3564
[2024-03-20 14:05:21] [world] The Player <Tester> has collected WATER BUCKET at X= -10357, Y= 10, Z= 3565
[2024-03-20 14:05:23] [world] The Player <Tester> has collected WATER BUCKET at X= -10359, Y= 10, Z= 3565
[2024-03-20 14:05:24] [world] The Player <Tester> has collected WATER BUCKET at X= -10360, Y= 10, Z= 3566
[2024-03-20 14:05:26] [world] The Player <Tester> has collected WATER BUCKET at X= -10359, Y= 10, Z= 3567
[2024-03-20 14:05:28] [world] The Player <Tester> has collected WATER BUCKET at X= -10358, Y= 11, Z= 3567
[2024-03-20 14:05:31] [world] The Player <Rip_Dogwater> has collected LAVA BUCKET at X= 9985, Y= 69, Z= 1129
[2024-03-20 14:05:33] [world] The Player <Tester> has collected WATER BUCKET at X= -10352, Y= 11, Z= 3568
[2024-03-20 14:05:38] [world] The Player <Tester> has collected WATER BUCKET at X= -10346, Y= 11, Z= 3575
[2024-03-20 14:11:12] [world] The Player <qwerty> has collected WATER BUCKET at X= -486, Y= 71, Z= -501
[2024-03-20 14:11:46] [world] The Player <Mudkips_Rule> has collected WATER BUCKET at X= -1354, Y= 65, Z= -221
[2024-03-20 14:14:09] [world] The Player <Pog4lifepeople> has collected WATER BUCKET at X= -501, Y= 48, Z= -471
[2024-03-20 14:15:10] [world] The Player <Pog4lifepeople> has collected WATER BUCKET at X= -492, Y= 13, Z= -441
[2024-03-20 14:16:25] [world] The Player <Pog4lifepeople> has collected LAVA BUCKET at X= -492, Y= 11, Z= -440
[2024-03-20 14:16:26] [world] The Player <Pog4lifepeople> has collected LAVA BUCKET at X= -492, Y= 11, Z= -441
[2024-03-20 14:16:35] [world] The Player <Tester> has collected WATER BUCKET at X= -453, Y= 1, Z= -618
[2024-03-20 14:16:54] [world] The Player <Pog4lifepeople> has collected WATER BUCKET at X= -497, Y= 12, Z= -450
[2024-03-20 14:17:34] [world] The Player <qwerty> has collected WATER BUCKET at X= -453, Y= 64, Z= -626
[2024-03-20 14:17:55] [world] The Player <Rip_Dogwater> has collected WATER BUCKET at X= -465, Y= 67, Z= -590
[2024-03-20 14:19:14] [world] The Player <Rip_Dogwater> has collected WATER BUCKET at X= -453, Y= 1, Z= -618
[2024-03-20 14:19:29] [world] The Player <Rip_Dogwater> has collected WATER BUCKET at X= -453, Y= 6, Z= -618
[2024-03-20 14:19:41] [world] The Player <Rip_Dogwater> has collected WATER BUCKET at X= -453, Y= 7, Z= -618
[2024-03-20 14:19:44] [world] The Player <Rip_Dogwater> has collected WATER BUCKET at X= -453, Y= 7, Z= -618
[2024-03-20 14:20:21] [world] The Player <qwerty> has collected WATER BUCKET at X= -494, Y= 67, Z= -653
[2024-03-20 14:20:46] [world] The Player <qwerty> has collected WATER BUCKET at X= -453, Y= 60, Z= -618
[2024-03-20 14:20:52] [world] The Player <Rip_Dogwater> has collected WATER BUCKET at X= -453, Y= 48, Z= -618
[2024-03-20 14:21:05] [world] The Player <Rip_Dogwater> has collected WATER BUCKET at X= -453, Y= 51, Z= -618
[2024-03-20 14:21:07] [world] The Player <Rip_Dogwater> has collected WATER BUCKET at X= -453, Y= 51, Z= -618
[2024-03-20 14:21:09] [world] The Player <Rip_Dogwater> has collected WATER BUCKET at X= -453, Y= 52, Z= -618
[2024-03-20 14:21:17] [world] The Player <Rip_Dogwater> has collected WATER BUCKET at X= -453, Y= 52, Z= -618
[2024-03-20 14:21:21] [world] The Player <Rip_Dogwater> has collected WATER BUCKET at X= -453, Y= 53, Z= -618
[2024-03-20 14:21:23] [world] The Player <Rip_Dogwater> has collected WATER BUCKET at X= -453, Y= 53, Z= -618
[2024-03-20 14:21:26] [world] The Player <Rip_Dogwater> has collected WATER BUCKET at X= -453, Y= 53, Z= -618
[2024-03-20 14:21:28] [world] The Player <qwerty> has collected WATER BUCKET at X= -453, Y= 57, Z= -618
[2024-03-20 14:21:31] [world] The Player <qwerty> has collected WATER BUCKET at X= -453, Y= 58, Z= -618
[2024-03-20 14:21:33] [world] The Player <Rip_Dogwater> has collected WATER BUCKET at X= -453, Y= 54, Z= -618
[2024-03-20 14:21:36] [world] The Player <qwerty> has collected WATER BUCKET at X= -453, Y= 57, Z= -618
[2024-03-20 14:21:39] [world] The Player <Rip_Dogwater> has collected WATER BUCKET at X= -453, Y= 53, Z= -618
[2024-03-20 14:21:40] [world] The Player <Rip_Dogwater> has collected WATER BUCKET at X= -453, Y= 53, Z= -618
[2024-03-20 14:21:44] [world] The Player <qwerty> has collected WATER BUCKET at X= -453, Y= 55, Z= -618
[2024-03-20 14:21:46] [world] The Player <Rip_Dogwater> has collected WATER BUCKET at X= -453, Y= 58, Z= -618
[2024-03-20 14:21:48] [world] The Player <Rip_Dogwater> has collected WATER BUCKET at X= -453, Y= 58, Z= -618
[2024-03-20 14:21:54] [world] The Player <Rip_Dogwater> has collected WATER BUCKET at X= -453, Y= 59, Z= -618
[2024-03-20 14:22:00] [world] The Player <Rip_Dogwater> has collected WATER BUCKET at X= -453, Y= 59, Z= -618
[2024-03-20 14:22:03] [world] The Player <Rip_Dogwater> has collected WATER BUCKET at X= -453, Y= 60, Z= -618
[2024-03-20 14:22:09] [world] The Player <qwerty> has collected WATER BUCKET at X= -453, Y= 53, Z= -618
[2024-03-20 14:22:15] [world] The Player <qwerty> has collected WATER BUCKET at X= -453, Y= 55, Z= -618
[2024-03-20 14:23:12] [world] The Player <qwerty> has collected WATER BUCKET at X= -446, Y= 64, Z= -580
[2024-03-20 14:23:31] [world] The Player <sharky> has collected WATER BUCKET at X= -279, Y= 64, Z= -656
[2024-03-20 14:23:49] [world] The Player <qwerty> has collected WATER BUCKET at X= -485, Y= 72, Z= -497
[2024-03-20 14:26:13] [world] The Player <qwerty> has collected WATER BUCKET at X= -675, Y= 51, Z= -599
[2024-03-20 14:28:03] [world] The Player <sharky> has collected WATER BUCKET at X= -253, Y= 68, Z= -695
[2024-03-20 14:30:28] [world] The Player <WienerDogFace> has collected WATER BUCKET at X= -452, Y= 12, Z= 1419
[2024-03-20 14:30:39] [world] The Player <character> has collected LAVA BUCKET at X= -242, Y= 73, Z= -642
[2024-03-20 14:30:47] [world] The Player <character> has collected LAVA BUCKET at X= -255, Y= 78, Z= -648
[2024-03-20 14:30:47] [world] The Player <WienerDogFace> has collected WATER BUCKET at X= -449, Y= 10, Z= 1412
[2024-03-20 14:30:59] [world] The Player <WienerDogFace> has collected WATER BUCKET at X= -449, Y= 9, Z= 1411
[2024-03-20 14:31:23] [world] The Player <WienerDogFace> has collected WATER BUCKET at X= -449, Y= 10, Z= 1412
[2024-03-20 14:31:36] [world] The Player <character> has collected LAVA BUCKET at X= -261, Y= 80, Z= -664
[2024-03-20 14:31:40] [world] The Player <WienerDogFace> has collected WATER BUCKET at X= -444, Y= 12, Z= 1406
[2024-03-20 14:31:41] [world] The Player <WienerDogFace> has collected WATER BUCKET at X= -444, Y= 12, Z= 1406
[2024-03-20 14:31:43] [world] The Player <WienerDogFace> has collected WATER BUCKET at X= -444, Y= 12, Z= 1406
[2024-03-20 14:31:44] [world] The Player <WienerDogFace> has collected WATER BUCKET at X= -444, Y= 12, Z= 1406
[2024-03-20 14:31:45] [world] The Player <WienerDogFace> has collected WATER BUCKET at X= -444, Y= 12, Z= 1406
[2024-03-20 14:31:47] [world] The Player <WienerDogFace> has collected WATER BUCKET at X= -444, Y= 12, Z= 1406
[2024-03-20 14:32:41] [world] The Player <qwerty> has collected WATER BUCKET at X= -656, Y= 86, Z= -776
[2024-03-20 14:32:57] [world] The Player <qwerty> has collected WATER BUCKET at X= -653, Y= 91, Z= -778
[2024-03-20 14:33:12] [world] The Player <qwerty> has collected WATER BUCKET at X= -651, Y= 92, Z= -778
[2024-03-20 14:35:33] [world] The Player <Tester> has collected WATER BUCKET at X= -10030, Y= 11, Z= 4079
[2024-03-20 14:37:36] [world] The Player <astronomy> has collected LAVA BUCKET at X= -674, Y= 63, Z= 428
[2024-03-20 14:39:47] [world] The Player <qwerty> has collected WATER BUCKET at X= -657, Y= 87, Z= -775
[2024-03-20 14:43:13] [world] The Player <MrBlob2U> has collected WATER BUCKET at X= -616, Y= 46, Z= 206
[2024-03-20 14:43:26] [world_the_end] The Player <MrBlob2U> has collected WATER BUCKET at X= -167, Y= 101, Z= 46
[2024-03-20 14:54:55] [world] The Player <qwerty> has collected WATER BUCKET at X= -673, Y= 61, Z= -1349
[2024-03-20 14:55:27] [world] The Player <qwerty> has collected WATER BUCKET at X= -674, Y= 62, Z= -1349
[2024-03-20 15:08:03] [world] The Player <qwerty> has collected WATER BUCKET at X= -655, Y= 29, Z= -1576
[2024-03-20 15:15:52] [world] The Player <qwerty> has collected WATER BUCKET at X= -663, Y= 72, Z= -791
[2024-03-20 15:28:59] [world] The Player <qwerty> has collected WATER BUCKET at X= -501, Y= 70, Z= 261
[2024-03-20 15:30:12] [world] The Player <MrBlob2U> has collected WATER BUCKET at X= -615, Y= 48, Z= 205
[2024-03-20 15:31:45] [world] The Player <qwerty> has collected WATER BUCKET at X= -499, Y= 77, Z= -479
[2024-03-20 15:31:57] [world] The Player <qwerty> has collected WATER BUCKET at X= -496, Y= 77, Z= -479
[2024-03-20 15:33:43] [world] The Player <hexa> has collected WATER BUCKET at X= -2272, Y= 31, Z= 1053
[2024-03-20 15:33:43] [world] The Player <hexa> has collected WATER BUCKET at X= -2272, Y= 31, Z= 1053
[2024-03-20 15:33:58] [world] The Player <qwerty> has collected LAVA BUCKET at X= -503, Y= 77, Z= -429
[2024-03-20 15:34:05] [world] The Player <hexa> has collected WATER BUCKET at X= -2287, Y= 11, Z= 1057
[2024-03-20 15:34:09] [world] The Player <hexa> has collected WATER BUCKET at X= -2287, Y= 11, Z= 1051
[2024-03-20 15:34:13] [world] The Player <hexa> has collected WATER BUCKET at X= -2285, Y= 11, Z= 1046
[2024-03-20 15:34:25] [world] The Player <hexa> has collected WATER BUCKET at X= -2281, Y= 11, Z= 1043
[2024-03-20 15:34:36] [world] The Player <hexa> has collected WATER BUCKET at X= -2276, Y= 11, Z= 1041
[2024-03-20 15:34:52] [world] The Player <hexa> has collected WATER BUCKET at X= -2276, Y= 11, Z= 1034
[2024-03-20 15:35:30] [world] The Player <hexa> has collected WATER BUCKET at X= -2291, Y= 11, Z= 1062
[2024-03-20 15:35:33] [world] The Player <hexa> has collected WATER BUCKET at X= -2295, Y= 11, Z= 1062
[2024-03-20 15:36:52] [world] The Player <hexa> has collected WATER BUCKET at X= -2294, Y= 9, Z= 1061
[2024-03-20 15:37:37] [world] The Player <hexa> has collected WATER BUCKET at X= -2299, Y= 11, Z= 1060
[2024-03-20 15:41:15] [world] The Player <hexa> has collected WATER BUCKET at X= -2297, Y= 12, Z= 1061
[2024-03-20 15:41:27] [world] The Player <hexa> has collected WATER BUCKET at X= -2297, Y= 9, Z= 1061
[2024-03-20 15:41:44] [world] The Player <hexa> has collected WATER BUCKET at X= -2297, Y= 9, Z= 1061
[2024-03-20 15:41:56] [world] The Player <hexa> has collected WATER BUCKET at X= -2297, Y= 9, Z= 1061
[2024-03-20 15:42:06] [world] The Player <hexa> has collected WATER BUCKET at X= -2286, Y= 12, Z= 1064
[2024-03-20 15:56:01] [world] The Player <hexa> has collected LAVA BUCKET at X= -682, Y= 6, Z= 313
[2024-03-20 16:01:44] [world] The Player <Pog4lifepeople> has collected WATER BUCKET at X= -492, Y= 77, Z= -480
[2024-03-20 16:01:45] [world] The Player <Pog4lifepeople> has collected WATER BUCKET at X= -491, Y= 77, Z= -480
[2024-03-20 16:03:35] [world] The Player <astronomy> has collected LAVA BUCKET at X= 1806, Y= 37, Z= 289
[2024-03-20 16:04:37] [world] The Player <NezukoChan> has collected WATER BUCKET at X= -10170, Y= 62, Z= 4104
[2024-03-20 16:05:22] [world] The Player <NezukoChan> has collected LAVA BUCKET at X= 1806, Y= 37, Z= 289
[2024-03-20 16:05:27] [world] The Player <NezukoChan> has collected LAVA BUCKET at X= 1806, Y= 37, Z= 289
[2024-03-20 16:05:29] [world] The Player <NezukoChan> has collected WATER BUCKET at X= 1800, Y= 38, Z= 283
[2024-03-20 16:05:31] [world] The Player <astronomy> has collected WATER BUCKET at X= 1805, Y= 37, Z= 290
[2024-03-20 16:05:55] [world] The Player <NezukoChan> has collected WATER BUCKET at X= 1805, Y= 37, Z= 290
[2024-03-20 16:06:04] [world] The Player <astronomy> has collected WATER BUCKET at X= 1804, Y= 37, Z= 290
[2024-03-20 16:06:07] [world] The Player <astronomy> has collected WATER BUCKET at X= 1805, Y= 37, Z= 290
[2024-03-20 16:23:48] [world] The Player <hexa> has collected WATER BUCKET at X= -2529, Y= 62, Z= 562
[2024-03-20 16:23:49] [world] The Player <hexa> has collected WATER BUCKET at X= -2528, Y= 62, Z= 561
[2024-03-20 16:46:18] [world] The Player <hexa> has collected WATER BUCKET at X= -2526, Y= 69, Z= 581
[2024-03-20 16:46:36] [world] The Player <hexa> has collected WATER BUCKET at X= -2526, Y= 62, Z= 572
[2024-03-20 16:46:38] [world] The Player <hexa> has collected WATER BUCKET at X= -2525, Y= 62, Z= 574
[2024-03-20 16:46:38] [world] The Player <hexa> has collected WATER BUCKET at X= -2526, Y= 62, Z= 574
[2024-03-20 16:46:39] [world] The Player <hexa> has collected WATER BUCKET at X= -2526, Y= 62, Z= 574
