[2024-03-25 20:44:20] [world] The Player <GolemDaWanderer> has collected WATER BUCKET at X= -10175, Y= 62, Z= 4108
[2024-03-26 00:36:37] [world] The Player <hexa> has collected WATER BUCKET at X= 1000067, Y= 64, Z= 999907
[2024-03-26 00:38:37] [world] The Player <hexa> has collected WATER BUCKET at X= 500004, Y= 22, Z= 48392
[2024-03-26 00:38:45] [world] The Player <hexa> has collected WATER BUCKET at X= 500004, Y= 22, Z= 48391
[2024-03-26 00:41:52] [world] The Player <hexa> has collected WATER BUCKET at X= 500004, Y= 24, Z= 48392
[2024-03-26 13:20:39] [world] The Player <NezukoChan> has collected WATER BUCKET at X= -565, Y= 14, Z= 290
[2024-03-26 13:28:59] [world] The Player <NezukoChan> has collected WATER BUCKET at X= -548, Y= 62, Z= 294
[2024-03-26 13:29:41] [world] The Player <NezukoChan> has collected WATER BUCKET at X= -542, Y= 68, Z= 315
[2024-03-26 13:29:51] [world] The Player <NezukoChan> has collected WATER BUCKET at X= -547, Y= 62, Z= 295
[2024-03-26 13:32:00] [world] The Player <hexa> has collected WATER BUCKET at X= -454, Y= 28, Z= 315
[2024-03-26 13:32:21] [world] The Player <hexa> has collected WATER BUCKET at X= -453, Y= 9, Z= 315
[2024-03-26 13:32:30] [world] The Player <hexa> has collected WATER BUCKET at X= -453, Y= 10, Z= 309
[2024-03-26 13:32:32] [world] The Player <hexa> has collected WATER BUCKET at X= -453, Y= 10, Z= 309
[2024-03-26 13:34:09] [world] The Player <hexa> has collected WATER BUCKET at X= -473, Y= 11, Z= 290
[2024-03-26 13:34:33] [world] The Player <hexa> has collected WATER BUCKET at X= -473, Y= 11, Z= 307
[2024-03-26 13:36:07] [world] The Player <hexa> has collected WATER BUCKET at X= -466, Y= 12, Z= 348
[2024-03-26 13:36:20] [world] The Player <hexa> has collected WATER BUCKET at X= -466, Y= 11, Z= 358
[2024-03-26 13:39:03] [world] The Player <hexa> has collected WATER BUCKET at X= -466, Y= 11, Z= 409
[2024-03-26 13:39:16] [world] The Player <hexa> has collected WATER BUCKET at X= -470, Y= 10, Z= 418
[2024-03-26 13:39:20] [world] The Player <hexa> has collected WATER BUCKET at X= -461, Y= 10, Z= 414
[2024-03-26 13:44:59] [world] The Player <NezukoChan> has collected WATER BUCKET at X= -542, Y= 68, Z= 317
