[2024-03-18 01:39:35] [world] The Player <Tester> has collected WATER BUCKET at X= -536, Y= 71, Z= 248
[2024-03-18 14:36:15] [world] The Player <Tester> has collected WATER BUCKET at X= -431, Y= 11, Z= 1409
[2024-03-18 14:36:19] [world] The Player <Tester> has collected WATER BUCKET at X= -433, Y= 11, Z= 1414
[2024-03-18 14:37:54] [world] The Player <Tester> has collected WATER BUCKET at X= -437, Y= 11, Z= 1419
[2024-03-18 14:42:50] [world] The Player <WienerDogFace> has collected WATER BUCKET at X= -422, Y= 12, Z= 1387
[2024-03-18 14:43:03] [world] The Player <Rip_Dogwater> has collected WATER BUCKET at X= -10183, Y= 64, Z= 4108
[2024-03-18 14:43:12] [world] The Player <Rip_Dogwater> has collected WATER BUCKET at X= -10183, Y= 64, Z= 4107
[2024-03-18 15:00:18] [world] The Player <Rip_Dogwater> has collected WATER BUCKET at X= -568, Y= 11, Z= 425
[2024-03-18 15:05:32] [world] The Player <qwerty> has collected WATER BUCKET at X= -349, Y= 62, Z= 170
[2024-03-18 15:06:37] [world] The Player <qwerty> has collected WATER BUCKET at X= -348, Y= 62, Z= 171
[2024-03-18 15:07:13] [world] The Player <qwerty> has collected WATER BUCKET at X= -348, Y= 62, Z= 171
[2024-03-18 15:08:29] [world] The Player <Rip_Dogwater> has collected WATER BUCKET at X= -10175, Y= 64, Z= 4124
[2024-03-18 15:20:20] [world] The Player <Rip_Dogwater> has collected WATER BUCKET at X= -540, Y= 64, Z= 290
[2024-03-18 15:20:48] [world] The Player <sharky> has collected LAVA BUCKET at X= -496, Y= 76, Z= -478
[2024-03-18 15:32:37] [world] The Player <Rip_Dogwater> has collected WATER BUCKET at X= -10176, Y= 64, Z= 4122
[2024-03-18 15:32:38] [world] The Player <Rip_Dogwater> has collected WATER BUCKET at X= -10176, Y= 64, Z= 4122
[2024-03-18 15:33:06] [world] The Player <Rip_Dogwater> has collected WATER BUCKET at X= -10175, Y= 65, Z= 4122
[2024-03-18 15:38:40] [world] The Player <Tester> has collected WATER BUCKET at X= -578, Y= 66, Z= 291
[2024-03-18 15:46:21] [world] The Player <Tester> has collected WATER BUCKET at X= -9440, Y= 68, Z= 3932
[2024-03-18 15:48:10] [world] The Player <WienerDogFace> has collected WATER BUCKET at X= -988, Y= 12, Z= 1169
[2024-03-18 15:48:26] [world] The Player <WienerDogFace> has collected WATER BUCKET at X= -980, Y= 11, Z= 1165
[2024-03-18 15:48:29] [world] The Player <WienerDogFace> has collected WATER BUCKET at X= -975, Y= 12, Z= 1161
[2024-03-18 15:48:44] [world] The Player <WienerDogFace> has collected WATER BUCKET at X= -975, Y= 12, Z= 1161
[2024-03-18 16:07:35] [world_the_end] The Player <NezukoChan> has collected WATER BUCKET at X= -164, Y= 101, Z= 50
[2024-03-18 16:08:04] [world_the_end] The Player <NezukoChan> has collected WATER BUCKET at X= 100, Y= 21, Z= -4
[2024-03-18 16:08:10] [world_the_end] The Player <NezukoChan> has collected WATER BUCKET at X= 103, Y= 17, Z= 6
[2024-03-18 16:08:49] [world_nether] The Player <NezukoChan> has collected LAVA BUCKET at X= -67, Y= 31, Z= 28
[2024-03-18 16:09:34] [world] The Player <WienerDogFace> has collected WATER BUCKET at X= -1077, Y= 12, Z= 1403
[2024-03-18 16:09:38] [world] The Player <WienerDogFace> has collected WATER BUCKET at X= -1077, Y= 10, Z= 1401
[2024-03-18 16:09:43] [world] The Player <WienerDogFace> has collected WATER BUCKET at X= -1073, Y= 12, Z= 1399
[2024-03-18 16:09:49] [world] The Player <WienerDogFace> has collected WATER BUCKET at X= -1068, Y= 12, Z= 1404
[2024-03-18 16:09:55] [world] The Player <WienerDogFace> has collected WATER BUCKET at X= -1063, Y= 12, Z= 1409
[2024-03-18 16:10:02] [world] The Player <WienerDogFace> has collected WATER BUCKET at X= -1063, Y= 12, Z= 1409
[2024-03-18 16:10:04] [world] The Player <WienerDogFace> has collected WATER BUCKET at X= -1063, Y= 12, Z= 1409
[2024-03-18 16:10:09] [world] The Player <WienerDogFace> has collected WATER BUCKET at X= -1057, Y= 11, Z= 1413
[2024-03-18 16:10:11] [world] The Player <WienerDogFace> has collected WATER BUCKET at X= -1059, Y= 11, Z= 1411
[2024-03-18 16:10:31] [world] The Player <WienerDogFace> has collected WATER BUCKET at X= -1069, Y= 12, Z= 1392
[2024-03-18 20:02:04] [world] The Player <bagelz> has collected LAVA BUCKET at X= 1274, Y= 9, Z= 2449
[2024-03-18 20:39:21] [world] The Player <NezukoChan> has collected WATER BUCKET at X= -10172, Y= 62, Z= 4105
[2024-03-18 20:51:27] [world] The Player <NezukoChan> has collected WATER BUCKET at X= -10173, Y= 63, Z= 4111
