[2024-03-25 20:35:44] [world] The Player <GolemDaWanderer> has placed DIRT at X= -10301, Y= 38, Z= 4028
[2024-03-25 20:44:02] [world] The Player <GolemDaWanderer> has placed COBBLESTONE at X= -10177, Y= 63, Z= 4113
[2024-03-25 20:44:02] [world] The Player <GolemDaWanderer> has placed COBBLESTONE at X= -10177, Y= 64, Z= 4113
[2024-03-25 20:44:03] [world] The Player <GolemDaWanderer> has placed COBBLESTONE at X= -10177, Y= 65, Z= 4113
[2024-03-25 20:44:03] [world] The Player <GolemDaWanderer> has placed COBBLESTONE at X= -10177, Y= 66, Z= 4113
[2024-03-25 20:44:12] [world] The Player <GolemDaWanderer> has placed COBBLESTONE at X= -10177, Y= 64, Z= 4113
[2024-03-25 20:44:13] [world] The Player <GolemDaWanderer> has placed COBBLESTONE at X= -10177, Y= 65, Z= 4113
[2024-03-25 20:44:14] [world] The Player <GolemDaWanderer> has placed COBBLESTONE at X= -10177, Y= 63, Z= 4114
[2024-03-25 20:44:14] [world] The Player <GolemDaWanderer> has placed COBBLESTONE at X= -10177, Y= 64, Z= 4114
[2024-03-25 20:44:15] [world] The Player <GolemDaWanderer> has placed COBBLESTONE at X= -10177, Y= 65, Z= 4114
[2024-03-25 20:44:23] [world] The Player <GolemDaWanderer> has placed COBBLESTONE at X= -10176, Y= 63, Z= 4115
[2024-03-25 20:44:24] [world] The Player <GolemDaWanderer> has placed COBBLESTONE at X= -10177, Y= 63, Z= 4115
[2024-03-25 20:44:24] [world] The Player <GolemDaWanderer> has placed COBBLESTONE at X= -10177, Y= 64, Z= 4115
[2024-03-25 20:46:09] [world] The Player <GolemDaWanderer> has placed COBBLESTONE at X= -10185, Y= 60, Z= 4109
[2024-03-25 20:46:09] [world] The Player <GolemDaWanderer> has placed COBBLESTONE at X= -10185, Y= 61, Z= 4109
[2024-03-25 20:46:11] [world] The Player <GolemDaWanderer> has placed COBBLESTONE at X= -10185, Y= 62, Z= 4109
[2024-03-25 20:46:26] [world] The Player <GolemDaWanderer> has placed SOUL_SAND at X= -10185, Y= 54, Z= 4105
[2024-03-25 20:47:37] [world] The Player <GolemDaWanderer> has placed COBBLESTONE at X= -10185, Y= 55, Z= 4104
[2024-03-25 20:50:49] [world] The Player <GolemDaWanderer> has placed COBBLESTONE at X= -10185, Y= 55, Z= 4104
[2024-03-25 20:53:46] [world] The Player <GolemDaWanderer> has placed COBBLESTONE at X= -10185, Y= 55, Z= 4104
[2024-03-25 20:53:46] [world] The Player <GolemDaWanderer> has placed COBBLESTONE at X= -10185, Y= 56, Z= 4104
[2024-03-25 20:58:10] [world] The Player <GolemDaWanderer> has placed WORKBENCH at X= -10186, Y= 63, Z= 4109
[2024-03-25 22:32:04] [world] The Player <GolemDaWanderer> has placed OBSIDIAN at X= -10165, Y= 62, Z= 4091
[2024-03-25 22:32:04] [world] The Player <GolemDaWanderer> has placed OBSIDIAN at X= -10165, Y= 62, Z= 4092
[2024-03-25 22:32:05] [world] The Player <GolemDaWanderer> has placed OBSIDIAN at X= -10165, Y= 62, Z= 4093
[2024-03-25 22:32:07] [world] The Player <GolemDaWanderer> has placed OBSIDIAN at X= -10165, Y= 62, Z= 4094
[2024-03-25 22:32:10] [world] The Player <GolemDaWanderer> has placed OBSIDIAN at X= -10163, Y= 62, Z= 4094
[2024-03-25 22:32:10] [world] The Player <GolemDaWanderer> has placed OBSIDIAN at X= -10164, Y= 62, Z= 4094
[2024-03-25 22:32:11] [world] The Player <GolemDaWanderer> has placed OBSIDIAN at X= -10161, Y= 62, Z= 4094
[2024-03-25 22:32:13] [world] The Player <GolemDaWanderer> has placed OBSIDIAN at X= -10162, Y= 62, Z= 4094
[2024-03-25 22:32:14] [world] The Player <GolemDaWanderer> has placed OBSIDIAN at X= -10161, Y= 62, Z= 4093
[2024-03-25 22:32:15] [world] The Player <GolemDaWanderer> has placed OBSIDIAN at X= -10161, Y= 62, Z= 4092
[2024-03-25 22:32:16] [world] The Player <GolemDaWanderer> has placed OBSIDIAN at X= -10161, Y= 62, Z= 4091
[2024-03-25 22:32:16] [world] The Player <GolemDaWanderer> has placed OBSIDIAN at X= -10161, Y= 62, Z= 4090
[2024-03-25 22:32:17] [world] The Player <GolemDaWanderer> has placed OBSIDIAN at X= -10162, Y= 62, Z= 4090
[2024-03-25 22:32:18] [world] The Player <GolemDaWanderer> has placed OBSIDIAN at X= -10163, Y= 62, Z= 4090
[2024-03-25 22:32:18] [world] The Player <GolemDaWanderer> has placed OBSIDIAN at X= -10164, Y= 62, Z= 4090
[2024-03-25 22:32:18] [world] The Player <GolemDaWanderer> has placed OBSIDIAN at X= -10165, Y= 62, Z= 4090
[2024-03-25 22:32:19] [world] The Player <GolemDaWanderer> has placed OBSIDIAN at X= -10165, Y= 63, Z= 4090
[2024-03-25 22:32:20] [world] The Player <GolemDaWanderer> has placed OBSIDIAN at X= -10165, Y= 64, Z= 4090
[2024-03-25 22:32:20] [world] The Player <GolemDaWanderer> has placed OBSIDIAN at X= -10165, Y= 65, Z= 4090
[2024-03-25 22:32:21] [world] The Player <GolemDaWanderer> has placed OBSIDIAN at X= -10165, Y= 66, Z= 4090
[2024-03-25 22:32:25] [world] The Player <GolemDaWanderer> has placed OBSIDIAN at X= -10165, Y= 66, Z= 4091
[2024-03-25 22:32:25] [world] The Player <GolemDaWanderer> has placed OBSIDIAN at X= -10165, Y= 66, Z= 4092
[2024-03-25 22:32:26] [world] The Player <GolemDaWanderer> has placed OBSIDIAN at X= -10165, Y= 66, Z= 4093
[2024-03-25 22:32:28] [world] The Player <GolemDaWanderer> has placed OBSIDIAN at X= -10165, Y= 63, Z= 4094
[2024-03-25 22:32:29] [world] The Player <GolemDaWanderer> has placed OBSIDIAN at X= -10165, Y= 64, Z= 4094
[2024-03-25 22:32:29] [world] The Player <GolemDaWanderer> has placed OBSIDIAN at X= -10165, Y= 65, Z= 4094
[2024-03-25 22:32:30] [world] The Player <GolemDaWanderer> has placed OBSIDIAN at X= -10165, Y= 66, Z= 4094
[2024-03-25 22:32:35] [world] The Player <GolemDaWanderer> has placed OBSIDIAN at X= -10161, Y= 63, Z= 4094
[2024-03-25 22:32:36] [world] The Player <GolemDaWanderer> has placed OBSIDIAN at X= -10161, Y= 64, Z= 4094
[2024-03-25 22:32:36] [world] The Player <GolemDaWanderer> has placed OBSIDIAN at X= -10161, Y= 65, Z= 4094
[2024-03-25 22:32:37] [world] The Player <GolemDaWanderer> has placed OBSIDIAN at X= -10161, Y= 66, Z= 4094
[2024-03-25 22:32:38] [world] The Player <GolemDaWanderer> has placed OBSIDIAN at X= -10164, Y= 66, Z= 4094
[2024-03-25 22:32:38] [world] The Player <GolemDaWanderer> has placed OBSIDIAN at X= -10163, Y= 66, Z= 4094
[2024-03-25 22:32:39] [world] The Player <GolemDaWanderer> has placed OBSIDIAN at X= -10162, Y= 66, Z= 4094
[2024-03-25 22:32:42] [world] The Player <GolemDaWanderer> has placed OBSIDIAN at X= -10161, Y= 66, Z= 4093
[2024-03-25 22:32:43] [world] The Player <GolemDaWanderer> has placed OBSIDIAN at X= -10161, Y= 66, Z= 4092
[2024-03-25 22:32:43] [world] The Player <GolemDaWanderer> has placed OBSIDIAN at X= -10161, Y= 66, Z= 4091
[2024-03-25 22:32:46] [world] The Player <GolemDaWanderer> has placed OBSIDIAN at X= -10161, Y= 63, Z= 4090
[2024-03-25 22:32:46] [world] The Player <GolemDaWanderer> has placed OBSIDIAN at X= -10161, Y= 64, Z= 4090
[2024-03-25 22:32:47] [world] The Player <GolemDaWanderer> has placed OBSIDIAN at X= -10161, Y= 65, Z= 4090
[2024-03-25 22:32:47] [world] The Player <GolemDaWanderer> has placed OBSIDIAN at X= -10161, Y= 66, Z= 4090
[2024-03-25 22:32:49] [world] The Player <GolemDaWanderer> has placed OBSIDIAN at X= -10162, Y= 66, Z= 4090
[2024-03-25 22:32:50] [world] The Player <GolemDaWanderer> has placed OBSIDIAN at X= -10163, Y= 66, Z= 4090
[2024-03-25 22:32:51] [world] The Player <GolemDaWanderer> has placed OBSIDIAN at X= -10164, Y= 66, Z= 4090
[2024-03-25 22:33:14] [world] The Player <GolemDaWanderer> has placed WATER_LILY at X= -10161, Y= 63, Z= 4102
[2024-03-25 22:33:15] [world] The Player <GolemDaWanderer> has placed WATER_LILY at X= -10163, Y= 63, Z= 4101
[2024-03-25 22:33:15] [world] The Player <GolemDaWanderer> has placed WATER_LILY at X= -10164, Y= 63, Z= 4101
[2024-03-25 22:33:15] [world] The Player <GolemDaWanderer> has placed WATER_LILY at X= -10165, Y= 63, Z= 4101
[2024-03-25 22:33:15] [world] The Player <GolemDaWanderer> has placed WATER_LILY at X= -10167, Y= 63, Z= 4100
[2024-03-25 22:33:40] [world] The Player <GolemDaWanderer> has placed WATER_LILY at X= -10162, Y= 63, Z= 4098
[2024-03-25 22:33:46] [world] The Player <GolemDaWanderer> has placed WATER_LILY at X= -10162, Y= 63, Z= 4098
[2024-03-25 22:33:48] [world] The Player <GolemDaWanderer> has placed WATER_LILY at X= -10162, Y= 63, Z= 4097
[2024-03-25 22:33:48] [world] The Player <GolemDaWanderer> has placed WATER_LILY at X= -10162, Y= 63, Z= 4096
[2024-03-25 22:33:48] [world] The Player <GolemDaWanderer> has placed WATER_LILY at X= -10162, Y= 63, Z= 4095
[2024-03-25 22:33:53] [world] The Player <GolemDaWanderer> has placed WATER_LILY at X= -10162, Y= 63, Z= 4099
[2024-03-25 22:33:53] [world] The Player <GolemDaWanderer> has placed WATER_LILY at X= -10162, Y= 63, Z= 4100
[2024-03-25 22:33:53] [world] The Player <GolemDaWanderer> has placed WATER_LILY at X= -10162, Y= 63, Z= 4101
[2024-03-25 22:33:54] [world] The Player <GolemDaWanderer> has placed WATER_LILY at X= -10162, Y= 63, Z= 4102
[2024-03-25 22:33:54] [world] The Player <GolemDaWanderer> has placed WATER_LILY at X= -10162, Y= 63, Z= 4103
[2024-03-25 22:33:54] [world] The Player <GolemDaWanderer> has placed WATER_LILY at X= -10162, Y= 63, Z= 4104
[2024-03-25 22:33:54] [world] The Player <GolemDaWanderer> has placed WATER_LILY at X= -10162, Y= 63, Z= 4105
[2024-03-25 22:33:54] [world] The Player <GolemDaWanderer> has placed WATER_LILY at X= -10162, Y= 63, Z= 4106
[2024-03-25 22:33:55] [world] The Player <GolemDaWanderer> has placed WATER_LILY at X= -10162, Y= 63, Z= 4107
[2024-03-25 22:33:55] [world] The Player <GolemDaWanderer> has placed WATER_LILY at X= -10162, Y= 63, Z= 4108
[2024-03-25 22:34:11] [world] The Player <GolemDaWanderer> has placed WATER_LILY at X= -10162, Y= 63, Z= 4109
[2024-03-25 22:34:14] [world] The Player <GolemDaWanderer> has placed WATER_LILY at X= -10162, Y= 63, Z= 4110
[2024-03-25 22:34:44] [world] The Player <GolemDaWanderer> has placed OBSIDIAN at X= -10163, Y= 63, Z= 4092
[2024-03-25 22:36:18] [world_the_end] The Player <GolemDaWanderer> has placed COBBLESTONE at X= 95, Y= 34, Z= 0
[2024-03-25 22:36:18] [world_the_end] The Player <GolemDaWanderer> has placed COBBLESTONE at X= 94, Y= 34, Z= 0
[2024-03-25 22:36:18] [world_the_end] The Player <GolemDaWanderer> has placed COBBLESTONE at X= 92, Y= 34, Z= 0
[2024-03-25 22:36:19] [world_the_end] The Player <GolemDaWanderer> has placed COBBLESTONE at X= 91, Y= 35, Z= 0
[2024-03-25 22:36:25] [world_the_end] The Player <GolemDaWanderer> has placed COBBLESTONE at X= 90, Y= 36, Z= 0
[2024-03-25 22:36:25] [world_the_end] The Player <GolemDaWanderer> has placed COBBLESTONE at X= 89, Y= 37, Z= 0
[2024-03-25 22:36:26] [world_the_end] The Player <GolemDaWanderer> has placed COBBLESTONE at X= 89, Y= 37, Z= 1
[2024-03-25 22:36:26] [world_the_end] The Player <GolemDaWanderer> has placed COBBLESTONE at X= 89, Y= 38, Z= 1
[2024-03-25 22:36:26] [world_the_end] The Player <GolemDaWanderer> has placed COBBLESTONE at X= 89, Y= 39, Z= 1
[2024-03-25 22:36:27] [world_the_end] The Player <GolemDaWanderer> has placed COBBLESTONE at X= 88, Y= 40, Z= 1
[2024-03-25 22:36:27] [world_the_end] The Player <GolemDaWanderer> has placed COBBLESTONE at X= 88, Y= 41, Z= 1
[2024-03-25 22:36:28] [world_the_end] The Player <GolemDaWanderer> has placed COBBLESTONE at X= 89, Y= 40, Z= 1
[2024-03-25 22:36:29] [world_the_end] The Player <GolemDaWanderer> has placed COBBLESTONE at X= 86, Y= 41, Z= 1
[2024-03-25 22:36:30] [world_the_end] The Player <GolemDaWanderer> has placed COBBLESTONE at X= 87, Y= 41, Z= 1
[2024-03-25 22:36:30] [world_the_end] The Player <GolemDaWanderer> has placed COBBLESTONE at X= 86, Y= 42, Z= 1
[2024-03-25 22:36:31] [world_the_end] The Player <GolemDaWanderer> has placed COBBLESTONE at X= 83, Y= 41, Z= 2
[2024-03-25 22:36:31] [world_the_end] The Player <GolemDaWanderer> has placed COBBLESTONE at X= 82, Y= 42, Z= 3
[2024-03-25 22:36:32] [world_the_end] The Player <GolemDaWanderer> has placed COBBLESTONE at X= 83, Y= 42, Z= 2
[2024-03-25 22:36:41] [world_the_end] The Player <GolemDaWanderer> has placed COBBLESTONE at X= 81, Y= 42, Z= 8
[2024-03-25 22:36:42] [world_the_end] The Player <GolemDaWanderer> has placed COBBLESTONE at X= 80, Y= 43, Z= 8
[2024-03-25 22:36:42] [world_the_end] The Player <GolemDaWanderer> has placed COBBLESTONE at X= 81, Y= 43, Z= 8
[2024-03-25 22:36:43] [world_the_end] The Player <GolemDaWanderer> has placed COBBLESTONE at X= 81, Y= 44, Z= 8
[2024-03-25 22:36:44] [world_the_end] The Player <GolemDaWanderer> has placed COBBLESTONE at X= 82, Y= 42, Z= 8
[2024-03-25 22:36:44] [world_the_end] The Player <GolemDaWanderer> has placed COBBLESTONE at X= 82, Y= 43, Z= 8
[2024-03-25 22:36:46] [world_the_end] The Player <GolemDaWanderer> has placed COBBLESTONE at X= 83, Y= 44, Z= 8
[2024-03-25 22:36:47] [world_the_end] The Player <GolemDaWanderer> has placed COBBLESTONE at X= 84, Y= 44, Z= 8
[2024-03-25 22:37:10] [world_the_end] The Player <GolemDaWanderer> has placed OBSIDIAN at X= 85, Y= 26, Z= 30
[2024-03-25 22:37:19] [world_the_end] The Player <GolemDaWanderer> has placed OBSIDIAN at X= 86, Y= 28, Z= 33
[2024-03-25 22:37:19] [world_the_end] The Player <GolemDaWanderer> has placed OBSIDIAN at X= 86, Y= 29, Z= 33
[2024-03-25 22:37:20] [world_the_end] The Player <GolemDaWanderer> has placed OBSIDIAN at X= 86, Y= 30, Z= 33
[2024-03-25 22:37:20] [world_the_end] The Player <GolemDaWanderer> has placed OBSIDIAN at X= 86, Y= 31, Z= 33
[2024-03-25 22:37:20] [world_the_end] The Player <GolemDaWanderer> has placed OBSIDIAN at X= 87, Y= 31, Z= 33
[2024-03-25 22:37:21] [world_the_end] The Player <GolemDaWanderer> has placed OBSIDIAN at X= 87, Y= 32, Z= 33
[2024-03-25 22:37:21] [world_the_end] The Player <GolemDaWanderer> has placed OBSIDIAN at X= 86, Y= 32, Z= 33
[2024-03-25 22:37:23] [world_the_end] The Player <GolemDaWanderer> has placed OBSIDIAN at X= 87, Y= 29, Z= 33
[2024-03-25 22:37:24] [world_the_end] The Player <GolemDaWanderer> has placed OBSIDIAN at X= 83, Y= 15, Z= 33
[2024-03-25 22:37:56] [world_the_end] The Player <GolemDaWanderer> has placed OBSIDIAN at X= 100, Y= 45, Z= 2
[2024-03-25 22:37:56] [world_the_end] The Player <GolemDaWanderer> has placed OBSIDIAN at X= 100, Y= 46, Z= 2
[2024-03-25 22:37:57] [world_the_end] The Player <GolemDaWanderer> has placed OBSIDIAN at X= 100, Y= 47, Z= 2
[2024-03-25 22:37:58] [world_the_end] The Player <GolemDaWanderer> has placed OBSIDIAN at X= 100, Y= 48, Z= 2
[2024-03-25 22:38:00] [world_the_end] The Player <GolemDaWanderer> has placed OBSIDIAN at X= 100, Y= 50, Z= 3
[2024-03-25 22:38:01] [world_the_end] The Player <GolemDaWanderer> has placed OBSIDIAN at X= 100, Y= 50, Z= 4
[2024-03-25 22:38:01] [world_the_end] The Player <GolemDaWanderer> has placed OBSIDIAN at X= 100, Y= 51, Z= 4
[2024-03-25 22:38:02] [world_the_end] The Player <GolemDaWanderer> has placed OBSIDIAN at X= 100, Y= 52, Z= 4
[2024-03-25 22:38:02] [world_the_end] The Player <GolemDaWanderer> has placed OBSIDIAN at X= 100, Y= 52, Z= 5
[2024-03-25 22:38:02] [world_the_end] The Player <GolemDaWanderer> has placed OBSIDIAN at X= 100, Y= 53, Z= 5
[2024-03-25 22:38:02] [world_the_end] The Player <GolemDaWanderer> has placed OBSIDIAN at X= 100, Y= 53, Z= 6
[2024-03-25 22:38:03] [world_the_end] The Player <GolemDaWanderer> has placed OBSIDIAN at X= 100, Y= 54, Z= 6
[2024-03-25 22:38:03] [world_the_end] The Player <GolemDaWanderer> has placed OBSIDIAN at X= 100, Y= 55, Z= 6
[2024-03-25 22:38:04] [world_the_end] The Player <GolemDaWanderer> has placed OBSIDIAN at X= 100, Y= 56, Z= 6
[2024-03-25 22:38:04] [world_the_end] The Player <GolemDaWanderer> has placed OBSIDIAN at X= 100, Y= 55, Z= 7
[2024-03-25 22:40:03] [world] The Player <Marshtomp17> has placed CHEST at X= -582, Y= 78, Z= 249
[2024-03-25 22:40:09] [world] The Player <Marshtomp17> has placed CHEST at X= -582, Y= 78, Z= 248
[2024-03-25 22:40:14] [world] The Player <Marshtomp17> has placed WALL_SIGN at X= -581, Y= 78, Z= 248
[2024-03-25 22:47:34] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -583, Y= 79, Z= 254
[2024-03-25 22:47:39] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -583, Y= 79, Z= 244
[2024-03-25 22:47:41] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -583, Y= 79, Z= 245
[2024-03-25 22:47:46] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -583, Y= 79, Z= 253
[2024-03-25 22:47:46] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -583, Y= 79, Z= 252
[2024-03-25 22:47:47] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -583, Y= 79, Z= 251
[2024-03-25 22:47:48] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -583, Y= 79, Z= 250
[2024-03-25 22:47:49] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -583, Y= 79, Z= 249
[2024-03-25 22:47:51] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -583, Y= 79, Z= 246
[2024-03-25 22:47:52] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -583, Y= 79, Z= 247
[2024-03-25 22:47:53] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -583, Y= 79, Z= 248
[2024-03-25 22:47:56] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -583, Y= 79, Z= 257
[2024-03-25 22:47:57] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -583, Y= 79, Z= 256
[2024-03-25 22:47:58] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -583, Y= 79, Z= 255
[2024-03-25 22:48:02] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -582, Y= 79, Z= 258
[2024-03-25 22:48:03] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -581, Y= 79, Z= 258
[2024-03-25 22:48:06] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -572, Y= 79, Z= 258
[2024-03-25 22:48:06] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -573, Y= 79, Z= 258
[2024-03-25 22:48:06] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -573, Y= 79, Z= 257
[2024-03-25 22:48:07] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -574, Y= 79, Z= 257
[2024-03-25 22:48:08] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -575, Y= 79, Z= 257
[2024-03-25 22:48:40] [world] The Player <GolemDaWanderer> has placed SKULL at X= -10169, Y= 63, Z= 4116
[2024-03-25 22:48:47] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -580, Y= 79, Z= 258
[2024-03-25 22:48:56] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -574, Y= 79, Z= 258
[2024-03-25 22:48:58] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -575, Y= 79, Z= 258
[2024-03-25 22:49:02] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -579, Y= 79, Z= 258
[2024-03-25 22:49:03] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -578, Y= 79, Z= 258
[2024-03-25 22:49:50] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -571, Y= 79, Z= 250
[2024-03-25 22:49:50] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -571, Y= 79, Z= 249
[2024-03-25 22:49:50] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -570, Y= 79, Z= 249
[2024-03-25 22:50:35] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -571, Y= 79, Z= 244
[2024-03-25 22:50:35] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -571, Y= 79, Z= 245
[2024-03-25 22:50:37] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -570, Y= 79, Z= 245
[2024-03-25 22:50:38] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -571, Y= 79, Z= 246
[2024-03-25 22:50:39] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -571, Y= 79, Z= 247
[2024-03-25 22:50:53] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -582, Y= 79, Z= 243
[2024-03-25 22:50:57] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -581, Y= 79, Z= 243
[2024-03-25 22:50:59] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -579, Y= 79, Z= 243
[2024-03-25 22:51:00] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -580, Y= 79, Z= 243
[2024-03-25 22:51:03] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -574, Y= 79, Z= 243
[2024-03-25 22:51:05] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -572, Y= 79, Z= 243
[2024-03-25 22:51:05] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -573, Y= 79, Z= 243
[2024-03-25 22:51:07] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -575, Y= 79, Z= 243
[2024-03-25 22:51:09] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -577, Y= 79, Z= 243
[2024-03-25 22:51:21] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -572, Y= 79, Z= 254
[2024-03-25 22:51:22] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -573, Y= 79, Z= 254
[2024-03-25 22:51:22] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -574, Y= 79, Z= 254
[2024-03-25 22:51:22] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -575, Y= 79, Z= 254
[2024-03-25 22:51:22] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -576, Y= 79, Z= 254
[2024-03-25 22:51:24] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -577, Y= 79, Z= 254
[2024-03-25 22:51:30] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -572, Y= 78, Z= 254
[2024-03-25 22:51:32] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -575, Y= 79, Z= 253
[2024-03-25 22:51:51] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -573, Y= 78, Z= 254
[2024-03-25 22:51:55] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -574, Y= 78, Z= 254
[2024-03-25 22:51:56] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -575, Y= 78, Z= 254
[2024-03-25 22:51:56] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -575, Y= 78, Z= 253
[2024-03-25 22:52:09] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -576, Y= 78, Z= 254
[2024-03-25 22:52:10] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -577, Y= 78, Z= 254
[2024-03-25 22:52:10] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -577, Y= 78, Z= 253
[2024-03-25 22:52:30] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -580, Y= 78, Z= 254
[2024-03-25 22:52:33] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -580, Y= 79, Z= 254
[2024-03-25 22:52:35] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -581, Y= 78, Z= 254
[2024-03-25 22:52:36] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -581, Y= 79, Z= 254
[2024-03-25 22:52:37] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -582, Y= 78, Z= 254
[2024-03-25 22:52:38] [world] The Player <Marshtomp17> has placed NETHER_BRICK at X= -582, Y= 79, Z= 254
[2024-03-25 22:53:00] [world] The Player <Marshtomp17> has placed WALL_SIGN at X= -580, Y= 79, Z= 253
[2024-03-25 22:53:50] [world] The Player <Marshtomp17> has placed CHEST at X= -582, Y= 78, Z= 245
[2024-03-25 22:53:52] [world] The Player <Marshtomp17> has placed CHEST at X= -582, Y= 78, Z= 246
