[2024-03-27 13:40:13] [world] The Player <Milk_Frog> has placed GRASS at X= -571, Y= 67, Z= 276
[2024-03-27 13:43:14] [world] The Player <Milk_Frog> has placed GRASS at X= -605, Y= 67, Z= 251
[2024-03-27 13:43:15] [world] The Player <Milk_Frog> has placed GRASS at X= -606, Y= 67, Z= 251
[2024-03-27 13:43:15] [world] The Player <Milk_Frog> has placed GRASS at X= -606, Y= 68, Z= 251
[2024-03-27 13:43:16] [world] The Player <Milk_Frog> has placed GRASS at X= -607, Y= 67, Z= 251
[2024-03-27 13:43:43] [world] The Player <Char> has placed WOOL at X= -596, Y= 68, Z= 343
[2024-03-27 13:43:47] [world] The Player <Char> has placed WOOL at X= -600, Y= 68, Z= 343
[2024-03-27 13:43:49] [world] The Player <Char> has placed WOOL at X= -599, Y= 68, Z= 343
[2024-03-27 13:43:50] [world] The Player <Char> has placed WOOL at X= -597, Y= 68, Z= 343
[2024-03-27 13:43:51] [world] The Player <Char> has placed STAINED_CLAY at X= -598, Y= 68, Z= 343
[2024-03-27 13:44:09] [world] The Player <Milk_Frog> has placed FIRE at X= -609, Y= 74, Z= 252
[2024-03-27 13:44:10] [world] The Player <Char> has placed GRASS at X= -595, Y= 67, Z= 339
[2024-03-27 13:44:20] [world] The Player <Milk_Frog> has placed TNT at X= -610, Y= 77, Z= 250
[2024-03-27 13:45:09] [world] The Player <Milk_Frog> has placed GRASS at X= -597, Y= 67, Z= 250
[2024-03-27 13:45:09] [world] The Player <Milk_Frog> has placed GRASS at X= -598, Y= 67, Z= 250
[2024-03-27 13:45:10] [world] The Player <Milk_Frog> has placed GRASS at X= -599, Y= 67, Z= 250
[2024-03-27 13:45:10] [world] The Player <Milk_Frog> has placed GRASS at X= -600, Y= 67, Z= 250
[2024-03-27 13:45:10] [world] The Player <Milk_Frog> has placed GRASS at X= -601, Y= 67, Z= 250
[2024-03-27 13:45:10] [world] The Player <Milk_Frog> has placed GRASS at X= -602, Y= 67, Z= 250
[2024-03-27 13:45:11] [world] The Player <Char> has placed BARRIER at X= -595, Y= 68, Z= 336
[2024-03-27 13:45:12] [world] The Player <Char> has placed BARRIER at X= -595, Y= 69, Z= 336
[2024-03-27 13:45:13] [world] The Player <Milk_Frog> has placed GRASS at X= -602, Y= 68, Z= 250
[2024-03-27 13:45:13] [world] The Player <Milk_Frog> has placed GRASS at X= -603, Y= 67, Z= 250
[2024-03-27 13:45:14] [world] The Player <Char> has placed BARRIER at X= -595, Y= 70, Z= 336
[2024-03-27 13:45:14] [world] The Player <Char> has placed BARRIER at X= -595, Y= 68, Z= 337
[2024-03-27 13:45:15] [world] The Player <Char> has placed BARRIER at X= -595, Y= 69, Z= 337
[2024-03-27 13:45:16] [world] The Player <Char> has placed BARRIER at X= -595, Y= 70, Z= 337
[2024-03-27 13:45:16] [world] The Player <Milk_Frog> has placed GRASS at X= -609, Y= 67, Z= 250
[2024-03-27 13:45:17] [world] The Player <Char> has placed BARRIER at X= -595, Y= 68, Z= 338
[2024-03-27 13:45:17] [world] The Player <Milk_Frog> has placed GRASS at X= -608, Y= 66, Z= 250
[2024-03-27 13:45:17] [world] The Player <Milk_Frog> has placed GRASS at X= -607, Y= 66, Z= 250
[2024-03-27 13:45:17] [world] The Player <Char> has placed BARRIER at X= -595, Y= 69, Z= 338
[2024-03-27 13:45:18] [world] The Player <Milk_Frog> has placed GRASS at X= -608, Y= 67, Z= 250
[2024-03-27 13:45:18] [world] The Player <Milk_Frog> has placed GRASS at X= -607, Y= 67, Z= 250
[2024-03-27 13:45:18] [world] The Player <Milk_Frog> has placed GRASS at X= -606, Y= 67, Z= 250
[2024-03-27 13:45:18] [world] The Player <Char> has placed BARRIER at X= -595, Y= 70, Z= 338
[2024-03-27 13:45:18] [world] The Player <Milk_Frog> has placed GRASS at X= -605, Y= 67, Z= 250
[2024-03-27 13:45:19] [world] The Player <Char> has placed BARRIER at X= -595, Y= 68, Z= 339
[2024-03-27 13:45:20] [world] The Player <Milk_Frog> has placed GRASS at X= -604, Y= 67, Z= 250
[2024-03-27 13:45:20] [world] The Player <Char> has placed BARRIER at X= -595, Y= 69, Z= 339
[2024-03-27 13:45:20] [world] The Player <Char> has placed BARRIER at X= -595, Y= 70, Z= 339
[2024-03-27 13:45:22] [world] The Player <Char> has placed BARRIER at X= -595, Y= 68, Z= 340
[2024-03-27 13:45:22] [world] The Player <Char> has placed BARRIER at X= -595, Y= 69, Z= 340
[2024-03-27 13:45:24] [world] The Player <Char> has placed BARRIER at X= -595, Y= 70, Z= 340
[2024-03-27 13:45:25] [world] The Player <Char> has placed BARRIER at X= -595, Y= 68, Z= 341
[2024-03-27 13:45:27] [world] The Player <Char> has placed BARRIER at X= -595, Y= 69, Z= 341
[2024-03-27 13:45:28] [world] The Player <Char> has placed BARRIER at X= -595, Y= 70, Z= 341
[2024-03-27 13:45:29] [world] The Player <Char> has placed BARRIER at X= -595, Y= 68, Z= 342
[2024-03-27 13:45:29] [world] The Player <Char> has placed BARRIER at X= -595, Y= 69, Z= 342
[2024-03-27 13:45:30] [world] The Player <Char> has placed BARRIER at X= -595, Y= 70, Z= 342
[2024-03-27 13:45:31] [world] The Player <Char> has placed BARRIER at X= -595, Y= 68, Z= 343
[2024-03-27 13:45:31] [world] The Player <Char> has placed BARRIER at X= -595, Y= 69, Z= 343
[2024-03-27 13:45:31] [world] The Player <Char> has placed BARRIER at X= -595, Y= 70, Z= 343
[2024-03-27 13:45:34] [world] The Player <Char> has placed BARRIER at X= -595, Y= 68, Z= 344
[2024-03-27 13:45:35] [world] The Player <Char> has placed BARRIER at X= -595, Y= 69, Z= 344
[2024-03-27 13:45:36] [world] The Player <Char> has placed BARRIER at X= -595, Y= 70, Z= 344
[2024-03-27 13:45:39] [world] The Player <Milk_Frog> has placed SPRUCE_WOOD_STAIRS at X= -606, Y= 68, Z= 251
[2024-03-27 13:45:41] [world] The Player <Milk_Frog> has placed SPRUCE_WOOD_STAIRS at X= -603, Y= 68, Z= 251
[2024-03-27 13:45:41] [world] The Player <Milk_Frog> has placed SPRUCE_WOOD_STAIRS at X= -604, Y= 68, Z= 251
[2024-03-27 13:45:41] [world] The Player <Milk_Frog> has placed SPRUCE_WOOD_STAIRS at X= -605, Y= 68, Z= 251
[2024-03-27 13:45:41] [world] The Player <Char> has placed BARRIER at X= -601, Y= 68, Z= 344
[2024-03-27 13:45:41] [world] The Player <Milk_Frog> has placed SPRUCE_WOOD_STAIRS at X= -606, Y= 68, Z= 251
[2024-03-27 13:45:42] [world] The Player <Milk_Frog> has placed SPRUCE_WOOD_STAIRS at X= -607, Y= 68, Z= 251
[2024-03-27 13:45:42] [world] The Player <Char> has placed BARRIER at X= -601, Y= 69, Z= 344
[2024-03-27 13:45:46] [world] The Player <Char> has placed BARRIER at X= -601, Y= 70, Z= 344
[2024-03-27 13:45:46] [world] The Player <Char> has placed BARRIER at X= -601, Y= 68, Z= 343
[2024-03-27 13:45:47] [world] The Player <Char> has placed BARRIER at X= -601, Y= 69, Z= 343
[2024-03-27 13:45:48] [world] The Player <Char> has placed BARRIER at X= -601, Y= 70, Z= 343
[2024-03-27 13:45:49] [world] The Player <Char> has placed BARRIER at X= -601, Y= 68, Z= 342
[2024-03-27 13:45:50] [world] The Player <Char> has placed BARRIER at X= -601, Y= 69, Z= 342
[2024-03-27 13:45:50] [world] The Player <Char> has placed BARRIER at X= -601, Y= 70, Z= 342
[2024-03-27 13:45:52] [world] The Player <Char> has placed BARRIER at X= -601, Y= 68, Z= 341
[2024-03-27 13:45:53] [world] The Player <Char> has placed BARRIER at X= -601, Y= 69, Z= 341
[2024-03-27 13:45:54] [world] The Player <Char> has placed BARRIER at X= -601, Y= 70, Z= 341
[2024-03-27 13:45:55] [world] The Player <Char> has placed BARRIER at X= -601, Y= 68, Z= 340
[2024-03-27 13:45:56] [world] The Player <Char> has placed BARRIER at X= -601, Y= 69, Z= 340
[2024-03-27 13:45:57] [world] The Player <Char> has placed BARRIER at X= -601, Y= 70, Z= 340
[2024-03-27 13:45:57] [world] The Player <Char> has placed BARRIER at X= -601, Y= 68, Z= 339
[2024-03-27 13:45:58] [world] The Player <Char> has placed BARRIER at X= -601, Y= 69, Z= 339
[2024-03-27 13:45:59] [world] The Player <Char> has placed BARRIER at X= -601, Y= 70, Z= 339
[2024-03-27 13:46:00] [world] The Player <Char> has placed BARRIER at X= -601, Y= 68, Z= 338
[2024-03-27 13:46:01] [world] The Player <Char> has placed BARRIER at X= -601, Y= 69, Z= 338
[2024-03-27 13:46:01] [world] The Player <Char> has placed BARRIER at X= -601, Y= 70, Z= 338
[2024-03-27 13:46:02] [world] The Player <Char> has placed BARRIER at X= -601, Y= 68, Z= 337
[2024-03-27 13:46:03] [world] The Player <Char> has placed BARRIER at X= -601, Y= 69, Z= 337
[2024-03-27 13:46:04] [world] The Player <Char> has placed BARRIER at X= -601, Y= 70, Z= 337
[2024-03-27 13:46:05] [world] The Player <Char> has placed BARRIER at X= -601, Y= 68, Z= 336
[2024-03-27 13:46:06] [world] The Player <Char> has placed BARRIER at X= -601, Y= 69, Z= 336
[2024-03-27 13:46:06] [world] The Player <Char> has placed BARRIER at X= -601, Y= 70, Z= 336
[2024-03-27 13:46:18] [world] The Player <Milk_Frog> has placed LOG_2 at X= -608, Y= 68, Z= 251
[2024-03-27 13:46:19] [world] The Player <Milk_Frog> has placed LOG at X= -609, Y= 68, Z= 251
[2024-03-27 13:46:20] [world] The Player <Milk_Frog> has placed LOG at X= -609, Y= 68, Z= 251
[2024-03-27 13:46:22] [world] The Player <Milk_Frog> has placed RED_ROSE at X= -608, Y= 68, Z= 251
[2024-03-27 13:46:25] [world] The Player <Milk_Frog> has placed LOG at X= -608, Y= 68, Z= 251
[2024-03-27 13:46:25] [world] The Player <Milk_Frog> has placed LOG at X= -608, Y= 69, Z= 251
[2024-03-27 13:46:28] [world] The Player <Milk_Frog> has placed LOG at X= -608, Y= 68, Z= 250
[2024-03-27 13:46:28] [world] The Player <Milk_Frog> has placed LOG at X= -608, Y= 69, Z= 250
[2024-03-27 13:46:36] [world] The Player <Milk_Frog> has placed LOG at X= -602, Y= 68, Z= 250
[2024-03-27 13:46:37] [world] The Player <Milk_Frog> has placed LOG at X= -602, Y= 69, Z= 250
[2024-03-27 13:46:37] [world] The Player <Char> has placed LADDER at X= -600, Y= 68, Z= 342
[2024-03-27 13:46:38] [world] The Player <Char> has placed LADDER at X= -598, Y= 68, Z= 342
[2024-03-27 13:46:40] [world] The Player <Char> has placed WOOL at X= -599, Y= 68, Z= 343
[2024-03-27 13:46:45] [world] The Player <Char> has placed LADDER at X= -599, Y= 68, Z= 342
[2024-03-27 13:46:46] [world] The Player <Char> has placed LADDER at X= -597, Y= 68, Z= 342
[2024-03-27 13:46:46] [world] The Player <Char> has placed LADDER at X= -596, Y= 68, Z= 342
[2024-03-27 13:46:54] [world] The Player <Milk_Frog> has placed LOG at X= -611, Y= 68, Z= 250
[2024-03-27 13:47:08] [world] The Player <Milk_Frog> has placed SPRUCE_WOOD_STAIRS at X= -607, Y= 68, Z= 251
[2024-03-27 13:47:09] [world] The Player <Milk_Frog> has placed SPRUCE_WOOD_STAIRS at X= -606, Y= 68, Z= 251
[2024-03-27 13:47:09] [world] The Player <Milk_Frog> has placed SPRUCE_WOOD_STAIRS at X= -605, Y= 68, Z= 251
[2024-03-27 13:47:09] [world] The Player <Milk_Frog> has placed SPRUCE_WOOD_STAIRS at X= -604, Y= 68, Z= 251
[2024-03-27 13:47:10] [world] The Player <Milk_Frog> has placed SPRUCE_WOOD_STAIRS at X= -603, Y= 68, Z= 251
[2024-03-27 13:47:20] [world] The Player <Milk_Frog> has placed WOOD_STEP at X= -607, Y= 68, Z= 250
[2024-03-27 13:47:20] [world] The Player <Milk_Frog> has placed WOOD_STEP at X= -606, Y= 68, Z= 250
[2024-03-27 13:47:21] [world] The Player <Char> has placed WOOL at X= -596, Y= 68, Z= 345
[2024-03-27 13:47:21] [world] The Player <Milk_Frog> has placed WOOD_STEP at X= -605, Y= 68, Z= 250
[2024-03-27 13:47:21] [world] The Player <Milk_Frog> has placed WOOD_STEP at X= -604, Y= 68, Z= 250
[2024-03-27 13:47:22] [world] The Player <Milk_Frog> has placed WOOD_STEP at X= -603, Y= 68, Z= 250
[2024-03-27 13:47:22] [world] The Player <Char> has placed WOOL at X= -596, Y= 69, Z= 345
[2024-03-27 13:47:23] [world] The Player <Milk_Frog> has placed WOOD_STEP at X= -602, Y= 68, Z= 250
[2024-03-27 13:47:23] [world] The Player <Milk_Frog> has placed WOOD_STEP at X= -601, Y= 68, Z= 250
[2024-03-27 13:47:24] [world] The Player <Milk_Frog> has placed WOOD_STEP at X= -600, Y= 68, Z= 250
[2024-03-27 13:47:24] [world] The Player <Milk_Frog> has placed WOOD_STEP at X= -599, Y= 68, Z= 250
[2024-03-27 13:47:27] [world] The Player <Char> has placed WOOL at X= -595, Y= 68, Z= 345
[2024-03-27 13:47:27] [world] The Player <Char> has placed WOOL at X= -595, Y= 69, Z= 345
[2024-03-27 13:47:29] [world] The Player <Char> has placed STAINED_CLAY at X= -594, Y= 68, Z= 345
[2024-03-27 13:47:29] [world] The Player <Char> has placed STAINED_CLAY at X= -594, Y= 69, Z= 345
[2024-03-27 13:47:33] [world] The Player <Char> has placed WOOL at X= -593, Y= 68, Z= 345
[2024-03-27 13:47:33] [world] The Player <Char> has placed WOOL at X= -593, Y= 69, Z= 345
[2024-03-27 13:47:35] [world] The Player <Char> has placed WOOL at X= -592, Y= 68, Z= 345
[2024-03-27 13:47:35] [world] The Player <Char> has placed WOOL at X= -592, Y= 69, Z= 345
[2024-03-27 13:47:35] [world] The Player <Milk_Frog> has placed WOOD_STEP at X= -598, Y= 68, Z= 250
[2024-03-27 13:47:37] [world] The Player <Milk_Frog> has placed WOOD_STEP at X= -598, Y= 68, Z= 250
[2024-03-27 13:47:38] [world] The Player <Milk_Frog> has placed WOOD_STEP at X= -597, Y= 68, Z= 250
[2024-03-27 13:47:38] [world] The Player <Milk_Frog> has placed WOOD_STEP at X= -596, Y= 68, Z= 250
[2024-03-27 13:47:40] [world] The Player <Char> has placed WOOL at X= -600, Y= 68, Z= 345
[2024-03-27 13:47:42] [world] The Player <Milk_Frog> has placed WOOD_STEP at X= -608, Y= 68, Z= 250
[2024-03-27 13:47:42] [world] The Player <Char> has placed WOOL at X= -600, Y= 69, Z= 345
[2024-03-27 13:47:43] [world] The Player <Milk_Frog> has placed WOOD_STEP at X= -609, Y= 68, Z= 250
[2024-03-27 13:47:43] [world] The Player <Milk_Frog> has placed WOOD_STEP at X= -610, Y= 68, Z= 250
[2024-03-27 13:47:44] [world] The Player <Char> has placed WOOL at X= -601, Y= 68, Z= 345
[2024-03-27 13:47:44] [world] The Player <Char> has placed WOOL at X= -601, Y= 69, Z= 345
[2024-03-27 13:47:45] [world] The Player <Milk_Frog> has placed WOOD_STEP at X= -611, Y= 68, Z= 250
[2024-03-27 13:47:46] [world] The Player <Char> has placed STAINED_CLAY at X= -602, Y= 68, Z= 345
[2024-03-27 13:47:46] [world] The Player <Char> has placed STAINED_CLAY at X= -602, Y= 69, Z= 345
[2024-03-27 13:47:48] [world] The Player <Char> has placed WOOL at X= -603, Y= 68, Z= 345
[2024-03-27 13:47:48] [world] The Player <Char> has placed WOOL at X= -603, Y= 69, Z= 345
[2024-03-27 13:47:49] [world] The Player <Char> has placed WOOL at X= -604, Y= 68, Z= 345
[2024-03-27 13:47:49] [world] The Player <Char> has placed WOOL at X= -604, Y= 69, Z= 345
[2024-03-27 13:47:52] [world] The Player <Char> has placed STAINED_CLAY at X= -598, Y= 68, Z= 345
[2024-03-27 13:47:52] [world] The Player <Char> has placed STAINED_CLAY at X= -598, Y= 69, Z= 345
[2024-03-27 13:48:03] [world] The Player <Milk_Frog> has placed WOOD_STEP at X= -595, Y= 68, Z= 250
[2024-03-27 13:48:08] [world] The Player <Milk_Frog> has placed LOG at X= -595, Y= 68, Z= 250
[2024-03-27 13:48:11] [world] The Player <Milk_Frog> has placed LOG at X= -600, Y= 68, Z= 250
[2024-03-27 13:48:21] [world] The Player <Milk_Frog> has placed LOG at X= -602, Y= 68, Z= 250
[2024-03-27 13:48:23] [world] The Player <Milk_Frog> has placed WOOD_STEP at X= -600, Y= 68, Z= 250
[2024-03-27 13:48:24] [world] The Player <Milk_Frog> has placed WOOD_DOUBLE_STEP at X= -600, Y= 68, Z= 250
[2024-03-27 13:48:26] [world] The Player <Milk_Frog> has placed WOOD_STEP at X= -600, Y= 68, Z= 250
[2024-03-27 13:48:27] [world] The Player <Milk_Frog> has placed WOOD_STEP at X= -601, Y= 68, Z= 250
[2024-03-27 13:48:29] [world] The Player <Char> has placed WOOL at X= -596, Y= 68, Z= 344
[2024-03-27 13:48:31] [world] The Player <Char> has placed WOOL at X= -597, Y= 68, Z= 344
[2024-03-27 13:48:33] [world] The Player <Char> has placed STAINED_CLAY at X= -598, Y= 68, Z= 344
[2024-03-27 13:48:33] [world] The Player <Milk_Frog> has placed WOOD_STEP at X= -595, Y= 68, Z= 250
[2024-03-27 13:48:34] [world] The Player <Char> has placed WOOL at X= -599, Y= 68, Z= 344
[2024-03-27 13:48:35] [world] The Player <Milk_Frog> has placed LOG at X= -594, Y= 68, Z= 250
[2024-03-27 13:48:35] [world] The Player <Char> has placed WOOL at X= -600, Y= 68, Z= 344
[2024-03-27 13:48:38] [world] The Player <Milk_Frog> has placed LOG at X= -598, Y= 68, Z= 250
[2024-03-27 13:48:42] [world] The Player <Milk_Frog> has placed LOG at X= -609, Y= 68, Z= 250
[2024-03-27 13:49:00] [world] The Player <Milk_Frog> has placed SPRUCE_FENCE at X= -609, Y= 69, Z= 250
[2024-03-27 13:49:00] [world] The Player <Milk_Frog> has placed SPRUCE_FENCE at X= -608, Y= 69, Z= 250
[2024-03-27 13:49:52] [world] The Player <Char> has placed SAND at X= -600, Y= 68, Z= 374
[2024-03-27 13:49:52] [world] The Player <Char> has placed SAND at X= -599, Y= 68, Z= 374
[2024-03-27 13:49:53] [world] The Player <Char> has placed SAND at X= -598, Y= 68, Z= 374
[2024-03-27 13:49:53] [world] The Player <Char> has placed SAND at X= -597, Y= 68, Z= 374
[2024-03-27 13:49:53] [world] The Player <Char> has placed SAND at X= -596, Y= 68, Z= 374
[2024-03-27 13:49:53] [world] The Player <Milk_Frog> has placed LOG at X= -608, Y= 68, Z= 250
[2024-03-27 13:49:54] [world] The Player <Char> has placed SAND at X= -597, Y= 68, Z= 374
[2024-03-27 13:49:55] [world] The Player <Char> has placed SAND at X= -599, Y= 68, Z= 374
[2024-03-27 13:49:55] [world] The Player <Char> has placed SAND at X= -600, Y= 68, Z= 374
[2024-03-27 13:49:55] [world] The Player <Milk_Frog> has placed SPRUCE_FENCE at X= -608, Y= 69, Z= 250
[2024-03-27 13:49:56] [world] The Player <Char> has placed SAND at X= -599, Y= 68, Z= 374
[2024-03-27 13:49:56] [world] The Player <Char> has placed SAND at X= -598, Y= 68, Z= 374
[2024-03-27 13:49:56] [world] The Player <Char> has placed SAND at X= -597, Y= 68, Z= 374
[2024-03-27 13:49:57] [world] The Player <Char> has placed SAND at X= -596, Y= 68, Z= 374
[2024-03-27 13:49:57] [world] The Player <Char> has placed SAND at X= -597, Y= 68, Z= 374
[2024-03-27 13:49:58] [world] The Player <Char> has placed SAND at X= -598, Y= 68, Z= 374
[2024-03-27 13:49:58] [world] The Player <Char> has placed SAND at X= -599, Y= 68, Z= 374
[2024-03-27 13:49:59] [world] The Player <Char> has placed SAND at X= -600, Y= 68, Z= 374
[2024-03-27 13:49:59] [world] The Player <Char> has placed SAND at X= -599, Y= 68, Z= 374
[2024-03-27 13:49:59] [world] The Player <Char> has placed SAND at X= -598, Y= 68, Z= 374
[2024-03-27 13:50:00] [world] The Player <Milk_Frog> has placed SPRUCE_WOOD_STAIRS at X= -607, Y= 68, Z= 251
[2024-03-27 13:50:00] [world] The Player <Char> has placed SAND at X= -597, Y= 68, Z= 374
[2024-03-27 13:50:00] [world] The Player <Char> has placed SAND at X= -596, Y= 68, Z= 374
[2024-03-27 13:50:01] [world] The Player <Char> has placed SAND at X= -598, Y= 68, Z= 374
[2024-03-27 13:50:02] [world] The Player <Milk_Frog> has placed SPRUCE_WOOD_STAIRS at X= -603, Y= 68, Z= 251
[2024-03-27 13:50:02] [world] The Player <Char> has placed SAND at X= -600, Y= 68, Z= 374
[2024-03-27 13:50:03] [world] The Player <Char> has placed SAND at X= -600, Y= 68, Z= 374
[2024-03-27 13:50:04] [world] The Player <Char> has placed SAND at X= -596, Y= 68, Z= 374
[2024-03-27 13:50:04] [world] The Player <Char> has placed SAND at X= -596, Y= 68, Z= 374
[2024-03-27 13:50:05] [world] The Player <Char> has placed SAND at X= -596, Y= 67, Z= 375
[2024-03-27 13:50:06] [world] The Player <Char> has placed SAND at X= -596, Y= 67, Z= 375
[2024-03-27 13:50:06] [world] The Player <Char> has placed SAND at X= -596, Y= 67, Z= 375
[2024-03-27 13:50:07] [world] The Player <Char> has placed SAND at X= -596, Y= 67, Z= 375
[2024-03-27 13:50:08] [world] The Player <Char> has placed SAND at X= -597, Y= 67, Z= 375
[2024-03-27 13:50:08] [world] The Player <Char> has placed SAND at X= -597, Y= 67, Z= 375
[2024-03-27 13:50:09] [world] The Player <Char> has placed SAND at X= -598, Y= 67, Z= 375
[2024-03-27 13:50:09] [world] The Player <Char> has placed SAND at X= -599, Y= 67, Z= 375
[2024-03-27 13:50:09] [world] The Player <Char> has placed SAND at X= -600, Y= 67, Z= 375
[2024-03-27 13:50:10] [world] The Player <Char> has placed SAND at X= -599, Y= 67, Z= 375
[2024-03-27 13:50:10] [world] The Player <Char> has placed SAND at X= -598, Y= 67, Z= 375
[2024-03-27 13:50:11] [world] The Player <Char> has placed SAND at X= -597, Y= 67, Z= 375
[2024-03-27 13:50:11] [world] The Player <Char> has placed SAND at X= -598, Y= 67, Z= 375
[2024-03-27 13:50:12] [world] The Player <Milk_Frog> has placed SPRUCE_FENCE at X= -602, Y= 69, Z= 250
[2024-03-27 13:50:12] [world] The Player <Char> has placed SAND at X= -599, Y= 67, Z= 375
[2024-03-27 13:50:12] [world] The Player <Char> has placed SAND at X= -600, Y= 67, Z= 375
[2024-03-27 13:50:12] [world] The Player <Milk_Frog> has placed SPRUCE_FENCE at X= -601, Y= 69, Z= 250
[2024-03-27 13:50:12] [world] The Player <Milk_Frog> has placed SPRUCE_FENCE at X= -600, Y= 69, Z= 250
[2024-03-27 13:50:13] [world] The Player <Milk_Frog> has placed SPRUCE_FENCE at X= -599, Y= 69, Z= 250
[2024-03-27 13:50:13] [world] The Player <Milk_Frog> has placed SPRUCE_FENCE at X= -598, Y= 69, Z= 250
[2024-03-27 13:50:13] [world] The Player <Char> has placed SAND at X= -599, Y= 67, Z= 375
[2024-03-27 13:50:13] [world] The Player <Char> has placed SAND at X= -598, Y= 67, Z= 375
[2024-03-27 13:50:14] [world] The Player <Milk_Frog> has placed SPRUCE_FENCE at X= -597, Y= 69, Z= 250
[2024-03-27 13:50:14] [world] The Player <Char> has placed SAND at X= -597, Y= 67, Z= 375
[2024-03-27 13:50:14] [world] The Player <Milk_Frog> has placed SPRUCE_FENCE at X= -596, Y= 69, Z= 250
[2024-03-27 13:50:14] [world] The Player <Milk_Frog> has placed SPRUCE_FENCE at X= -595, Y= 69, Z= 250
[2024-03-27 13:50:15] [world] The Player <Milk_Frog> has placed SPRUCE_FENCE at X= -594, Y= 69, Z= 250
[2024-03-27 13:50:16] [world] The Player <Char> has placed SAND at X= -600, Y= 67, Z= 375
[2024-03-27 13:50:16] [world] The Player <Char> has placed SAND at X= -600, Y= 67, Z= 375
[2024-03-27 13:50:19] [world] The Player <Char> has placed SAND at X= -600, Y= 66, Z= 376
[2024-03-27 13:50:20] [world] The Player <Char> has placed SAND at X= -599, Y= 66, Z= 376
[2024-03-27 13:50:20] [world] The Player <Char> has placed SAND at X= -598, Y= 66, Z= 376
[2024-03-27 13:50:21] [world] The Player <Char> has placed SAND at X= -597, Y= 66, Z= 376
[2024-03-27 13:50:21] [world] The Player <Char> has placed SAND at X= -596, Y= 66, Z= 376
[2024-03-27 13:50:22] [world] The Player <Char> has placed SAND at X= -597, Y= 66, Z= 376
[2024-03-27 13:50:23] [world] The Player <Char> has placed SAND at X= -598, Y= 66, Z= 376
[2024-03-27 13:50:23] [world] The Player <Char> has placed SAND at X= -599, Y= 66, Z= 376
[2024-03-27 13:50:24] [world] The Player <Char> has placed SAND at X= -600, Y= 66, Z= 376
[2024-03-27 13:50:24] [world] The Player <Char> has placed SAND at X= -598, Y= 66, Z= 376
[2024-03-27 13:50:25] [world] The Player <Char> has placed SAND at X= -596, Y= 66, Z= 376
[2024-03-27 13:50:25] [world] The Player <Char> has placed SAND at X= -596, Y= 66, Z= 376
