[2024-03-17 22:32:44] [world] The Player <TurtleDuck> has placed SAND at X= -533, Y= 70, Z= 269
[2024-03-17 22:33:57] [world] The Player <bagelz> has placed COBBLESTONE at X= 1038, Y= 106, Z= 2328
[2024-03-17 22:33:58] [world] The Player <bagelz> has placed COBBLESTONE at X= 1037, Y= 106, Z= 2328
[2024-03-17 22:33:58] [world] The Player <bagelz> has placed COBBLESTONE at X= 1036, Y= 106, Z= 2328
[2024-03-17 22:33:59] [world] The Player <bagelz> has placed COBBLESTONE at X= 1035, Y= 106, Z= 2328
[2024-03-17 22:34:00] [world] The Player <bagelz> has placed COBBLESTONE at X= 1034, Y= 106, Z= 2328
[2024-03-17 22:34:03] [world] The Player <bagelz> has placed COBBLESTONE at X= 1028, Y= 106, Z= 2328
[2024-03-17 22:34:03] [world] The Player <bagelz> has placed COBBLESTONE at X= 1029, Y= 106, Z= 2328
[2024-03-17 22:34:04] [world] The Player <bagelz> has placed COBBLESTONE at X= 1027, Y= 106, Z= 2328
[2024-03-17 22:34:05] [world] The Player <bagelz> has placed COBBLESTONE at X= 1025, Y= 106, Z= 2328
[2024-03-17 22:34:05] [world] The Player <bagelz> has placed COBBLESTONE at X= 1026, Y= 106, Z= 2328
[2024-03-17 22:34:06] [world] The Player <bagelz> has placed COBBLESTONE at X= 1024, Y= 106, Z= 2328
[2024-03-17 22:34:07] [world] The Player <bagelz> has placed COBBLESTONE at X= 1023, Y= 106, Z= 2327
[2024-03-17 22:34:08] [world] The Player <bagelz> has placed COBBLESTONE at X= 1023, Y= 106, Z= 2325
[2024-03-17 22:34:08] [world] The Player <bagelz> has placed COBBLESTONE at X= 1023, Y= 106, Z= 2326
[2024-03-17 22:34:09] [world] The Player <bagelz> has placed COBBLESTONE at X= 1023, Y= 106, Z= 2323
[2024-03-17 22:34:09] [world] The Player <bagelz> has placed COBBLESTONE at X= 1023, Y= 106, Z= 2324
[2024-03-17 22:34:10] [world] The Player <bagelz> has placed COBBLESTONE at X= 1023, Y= 106, Z= 2321
[2024-03-17 22:34:10] [world] The Player <bagelz> has placed COBBLESTONE at X= 1023, Y= 106, Z= 2322
[2024-03-17 22:34:11] [world] The Player <bagelz> has placed COBBLESTONE at X= 1023, Y= 106, Z= 2320
[2024-03-17 22:34:13] [world] The Player <bagelz> has placed COBBLESTONE at X= 1023, Y= 106, Z= 2316
[2024-03-17 22:34:14] [world] The Player <bagelz> has placed COBBLESTONE at X= 1023, Y= 106, Z= 2317
[2024-03-17 22:34:15] [world] The Player <bagelz> has placed COBBLESTONE at X= 1023, Y= 106, Z= 2314
[2024-03-17 22:34:16] [world] The Player <bagelz> has placed COBBLESTONE at X= 1023, Y= 106, Z= 2315
[2024-03-17 22:34:16] [world] The Player <bagelz> has placed COBBLESTONE at X= 1023, Y= 106, Z= 2311
[2024-03-17 22:34:17] [world] The Player <bagelz> has placed COBBLESTONE at X= 1023, Y= 106, Z= 2312
[2024-03-17 22:34:17] [world] The Player <bagelz> has placed COBBLESTONE at X= 1023, Y= 106, Z= 2313
[2024-03-17 22:34:18] [world] The Player <bagelz> has placed COBBLESTONE at X= 1023, Y= 106, Z= 2309
[2024-03-17 22:34:18] [world] The Player <bagelz> has placed COBBLESTONE at X= 1023, Y= 106, Z= 2310
[2024-03-17 22:34:19] [world] The Player <bagelz> has placed COBBLESTONE at X= 1024, Y= 106, Z= 2308
[2024-03-17 22:34:20] [world] The Player <bagelz> has placed COBBLESTONE at X= 1026, Y= 106, Z= 2308
[2024-03-17 22:34:20] [world] The Player <bagelz> has placed COBBLESTONE at X= 1025, Y= 106, Z= 2308
[2024-03-17 22:34:21] [world] The Player <bagelz> has placed COBBLESTONE at X= 1028, Y= 106, Z= 2308
[2024-03-17 22:34:21] [world] The Player <bagelz> has placed COBBLESTONE at X= 1027, Y= 106, Z= 2308
[2024-03-17 22:34:22] [world] The Player <bagelz> has placed COBBLESTONE at X= 1031, Y= 106, Z= 2308
[2024-03-17 22:34:23] [world] The Player <bagelz> has placed COBBLESTONE at X= 1030, Y= 106, Z= 2308
[2024-03-17 22:34:23] [world] The Player <bagelz> has placed COBBLESTONE at X= 1029, Y= 106, Z= 2308
[2024-03-17 22:34:25] [world] The Player <bagelz> has placed COBBLESTONE at X= 1034, Y= 106, Z= 2308
[2024-03-17 22:34:26] [world] The Player <bagelz> has placed COBBLESTONE at X= 1035, Y= 106, Z= 2308
[2024-03-17 22:34:27] [world] The Player <bagelz> has placed COBBLESTONE at X= 1038, Y= 106, Z= 2308
[2024-03-17 22:34:27] [world] The Player <bagelz> has placed COBBLESTONE at X= 1037, Y= 106, Z= 2308
[2024-03-17 22:34:27] [world] The Player <bagelz> has placed COBBLESTONE at X= 1036, Y= 106, Z= 2308
[2024-03-17 22:34:28] [world] The Player <bagelz> has placed COBBLESTONE at X= 1041, Y= 106, Z= 2308
[2024-03-17 22:34:29] [world] The Player <bagelz> has placed COBBLESTONE at X= 1040, Y= 106, Z= 2308
[2024-03-17 22:34:29] [world] The Player <bagelz> has placed COBBLESTONE at X= 1039, Y= 106, Z= 2308
[2024-03-17 22:34:31] [world] The Player <bagelz> has placed COBBLESTONE at X= 1042, Y= 106, Z= 2309
[2024-03-17 22:34:32] [world] The Player <bagelz> has placed COBBLESTONE at X= 1042, Y= 106, Z= 2312
[2024-03-17 22:34:32] [world] The Player <bagelz> has placed COBBLESTONE at X= 1042, Y= 106, Z= 2311
[2024-03-17 22:34:32] [world] The Player <bagelz> has placed COBBLESTONE at X= 1042, Y= 106, Z= 2310
[2024-03-17 22:34:33] [world] The Player <bagelz> has placed COBBLESTONE at X= 1042, Y= 106, Z= 2315
[2024-03-17 22:34:34] [world] The Player <bagelz> has placed COBBLESTONE at X= 1042, Y= 106, Z= 2314
[2024-03-17 22:34:34] [world] The Player <bagelz> has placed COBBLESTONE at X= 1042, Y= 106, Z= 2313
[2024-03-17 22:34:35] [world] The Player <bagelz> has placed COBBLESTONE at X= 1042, Y= 106, Z= 2317
[2024-03-17 22:34:35] [world] The Player <bagelz> has placed COBBLESTONE at X= 1042, Y= 106, Z= 2316
[2024-03-17 22:34:43] [world] The Player <bagelz> has placed COBBLESTONE at X= 1041, Y= 105, Z= 2327
[2024-03-17 22:36:10] [world] The Player <Tester> has placed NETHER_WARTS at X= -10196, Y= 63, Z= 4097
[2024-03-17 22:36:13] [world] The Player <Tester> has placed NETHER_WARTS at X= -10200, Y= 63, Z= 4094
[2024-03-17 22:36:30] [world] The Player <bagelz> has placed COBBLESTONE at X= 1041, Y= 107, Z= 2328
[2024-03-17 22:36:33] [world] The Player <bagelz> has placed STEP at X= 1041, Y= 107, Z= 2327
[2024-03-17 22:36:34] [world] The Player <bagelz> has placed STEP at X= 1041, Y= 106, Z= 2327
[2024-03-17 22:36:42] [world] The Player <bagelz> has placed COBBLESTONE at X= 1040, Y= 105, Z= 2327
[2024-03-17 22:36:45] [world] The Player <bagelz> has placed STEP at X= 1040, Y= 107, Z= 2327
[2024-03-17 22:36:46] [world] The Player <bagelz> has placed STEP at X= 1039, Y= 107, Z= 2327
[2024-03-17 22:36:47] [world] The Player <bagelz> has placed STEP at X= 1038, Y= 107, Z= 2327
[2024-03-17 22:36:48] [world] The Player <bagelz> has placed STEP at X= 1037, Y= 107, Z= 2327
[2024-03-17 22:36:48] [world] The Player <bagelz> has placed STEP at X= 1036, Y= 107, Z= 2327
[2024-03-17 22:36:49] [world] The Player <bagelz> has placed STEP at X= 1035, Y= 107, Z= 2327
[2024-03-17 22:36:50] [world] The Player <bagelz> has placed DOUBLE_STEP at X= 1035, Y= 107, Z= 2327
[2024-03-17 22:36:58] [world] The Player <bagelz> has placed STEP at X= 1035, Y= 107, Z= 2327
[2024-03-17 22:36:59] [world] The Player <bagelz> has placed STEP at X= 1034, Y= 107, Z= 2327
[2024-03-17 22:37:04] [world] The Player <bagelz> has placed STEP at X= 1033, Y= 107, Z= 2327
[2024-03-17 22:37:05] [world] The Player <TurtleDuck> has placed SPRUCE_FENCE at X= 3998, Y= 65, Z= -1848
[2024-03-17 22:37:06] [world] The Player <bagelz> has placed STEP at X= 1032, Y= 107, Z= 2327
[2024-03-17 22:37:08] [world] The Player <bagelz> has placed STEP at X= 1031, Y= 107, Z= 2327
[2024-03-17 22:37:09] [world] The Player <bagelz> has placed STEP at X= 1030, Y= 107, Z= 2327
[2024-03-17 22:37:10] [world] The Player <bagelz> has placed STEP at X= 1029, Y= 107, Z= 2327
[2024-03-17 22:37:11] [world] The Player <bagelz> has placed STEP at X= 1028, Y= 107, Z= 2327
[2024-03-17 22:37:12] [world] The Player <bagelz> has placed STEP at X= 1027, Y= 107, Z= 2327
[2024-03-17 22:37:13] [world] The Player <bagelz> has placed STEP at X= 1026, Y= 107, Z= 2327
[2024-03-17 22:37:13] [world] The Player <bagelz> has placed STEP at X= 1025, Y= 107, Z= 2327
[2024-03-17 22:37:14] [world] The Player <bagelz> has placed STEP at X= 1024, Y= 107, Z= 2327
[2024-03-17 22:37:16] [world] The Player <bagelz> has placed STEP at X= 1024, Y= 107, Z= 2326
[2024-03-17 22:37:17] [world] The Player <bagelz> has placed STEP at X= 1024, Y= 107, Z= 2325
[2024-03-17 22:37:18] [world] The Player <bagelz> has placed STEP at X= 1024, Y= 107, Z= 2324
[2024-03-17 22:37:19] [world] The Player <bagelz> has placed STEP at X= 1024, Y= 107, Z= 2323
[2024-03-17 22:37:20] [world] The Player <bagelz> has placed STEP at X= 1024, Y= 107, Z= 2322
[2024-03-17 22:37:21] [world] The Player <bagelz> has placed STEP at X= 1024, Y= 107, Z= 2321
[2024-03-17 22:37:21] [world] The Player <bagelz> has placed STEP at X= 1024, Y= 107, Z= 2320
[2024-03-17 22:37:22] [world] The Player <bagelz> has placed STEP at X= 1024, Y= 107, Z= 2319
[2024-03-17 22:37:23] [world] The Player <bagelz> has placed STEP at X= 1024, Y= 107, Z= 2318
[2024-03-17 22:37:24] [world] The Player <bagelz> has placed STEP at X= 1024, Y= 107, Z= 2317
[2024-03-17 22:37:25] [world] The Player <bagelz> has placed STEP at X= 1024, Y= 107, Z= 2316
[2024-03-17 22:37:26] [world] The Player <bagelz> has placed STEP at X= 1024, Y= 107, Z= 2315
[2024-03-17 22:37:26] [world] The Player <bagelz> has placed STEP at X= 1024, Y= 107, Z= 2314
[2024-03-17 22:37:27] [world] The Player <bagelz> has placed STEP at X= 1024, Y= 107, Z= 2313
[2024-03-17 22:37:28] [world] The Player <bagelz> has placed STEP at X= 1024, Y= 107, Z= 2312
[2024-03-17 22:37:29] [world] The Player <bagelz> has placed STEP at X= 1024, Y= 107, Z= 2311
[2024-03-17 22:37:30] [world] The Player <bagelz> has placed STEP at X= 1024, Y= 107, Z= 2310
[2024-03-17 22:37:30] [world] The Player <TurtleDuck> has placed SPRUCE_FENCE at X= 3993, Y= 65, Z= -1848
[2024-03-17 22:37:31] [world] The Player <bagelz> has placed STEP at X= 1024, Y= 107, Z= 2309
[2024-03-17 22:37:32] [world] The Player <bagelz> has placed STEP at X= 1024, Y= 105, Z= 2309
[2024-03-17 22:37:32] [world] The Player <bagelz> has placed STEP at X= 1025, Y= 105, Z= 2309
[2024-03-17 22:37:32] [world] The Player <bagelz> has placed DOUBLE_STEP at X= 1024, Y= 105, Z= 2309
[2024-03-17 22:37:52] [world] The Player <bagelz> has placed COBBLESTONE at X= 1041, Y= 105, Z= 2326
[2024-03-17 22:38:33] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12501, Y= 103, Z= -2
[2024-03-17 22:38:35] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12501, Y= 104, Z= -2
[2024-03-17 22:38:36] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12500, Y= 104, Z= -2
[2024-03-17 22:38:36] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12501, Y= 105, Z= -2
[2024-03-17 22:38:36] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12500, Y= 105, Z= -2
[2024-03-17 22:38:36] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12501, Y= 106, Z= -2
[2024-03-17 22:38:37] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12500, Y= 106, Z= -2
[2024-03-17 22:38:37] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12501, Y= 107, Z= -2
[2024-03-17 22:38:37] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12500, Y= 107, Z= -2
[2024-03-17 22:38:37] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12501, Y= 108, Z= -2
[2024-03-17 22:38:38] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12500, Y= 108, Z= -2
[2024-03-17 22:38:38] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12501, Y= 109, Z= -2
[2024-03-17 22:38:38] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12500, Y= 109, Z= -2
[2024-03-17 22:38:38] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12501, Y= 110, Z= -2
[2024-03-17 22:38:38] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12500, Y= 110, Z= -2
[2024-03-17 22:38:39] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12501, Y= 111, Z= -2
[2024-03-17 22:38:39] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12500, Y= 111, Z= -2
[2024-03-17 22:38:39] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12501, Y= 112, Z= -2
[2024-03-17 22:38:39] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12500, Y= 112, Z= -2
[2024-03-17 22:38:39] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12501, Y= 113, Z= -2
[2024-03-17 22:38:40] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12500, Y= 113, Z= -2
[2024-03-17 22:38:40] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12501, Y= 114, Z= -2
[2024-03-17 22:38:40] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12500, Y= 114, Z= -2
[2024-03-17 22:38:40] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12501, Y= 115, Z= -2
[2024-03-17 22:38:41] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12500, Y= 115, Z= -2
[2024-03-17 22:38:41] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12501, Y= 116, Z= -2
[2024-03-17 22:38:41] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12500, Y= 116, Z= -2
[2024-03-17 22:38:41] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12501, Y= 117, Z= -2
[2024-03-17 22:38:41] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12500, Y= 117, Z= -2
[2024-03-17 22:38:42] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12501, Y= 118, Z= -2
[2024-03-17 22:38:42] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12500, Y= 118, Z= -2
[2024-03-17 22:38:42] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12501, Y= 119, Z= -2
[2024-03-17 22:38:42] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12500, Y= 119, Z= -2
[2024-03-17 22:38:42] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12501, Y= 120, Z= -2
[2024-03-17 22:38:43] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12500, Y= 120, Z= -2
[2024-03-17 22:38:43] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12501, Y= 121, Z= -2
[2024-03-17 22:38:43] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12500, Y= 121, Z= -2
[2024-03-17 22:38:43] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12501, Y= 122, Z= -2
[2024-03-17 22:38:43] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12500, Y= 122, Z= -2
[2024-03-17 22:38:44] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12500, Y= 123, Z= -2
[2024-03-17 22:38:44] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12500, Y= 124, Z= -2
[2024-03-17 22:38:45] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12500, Y= 125, Z= -2
[2024-03-17 22:38:53] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12501, Y= 103, Z= -3
[2024-03-17 22:38:53] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12501, Y= 104, Z= -3
[2024-03-17 22:38:54] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12501, Y= 105, Z= -3
[2024-03-17 22:39:11] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12501, Y= 104, Z= -3
[2024-03-17 22:39:11] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12501, Y= 105, Z= -3
[2024-03-17 22:39:13] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12501, Y= 106, Z= -3
[2024-03-17 22:39:13] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12500, Y= 106, Z= -3
[2024-03-17 22:39:13] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12501, Y= 107, Z= -3
[2024-03-17 22:39:13] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12500, Y= 107, Z= -3
[2024-03-17 22:39:13] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12501, Y= 108, Z= -3
[2024-03-17 22:39:14] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12500, Y= 108, Z= -3
[2024-03-17 22:39:14] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12501, Y= 109, Z= -3
[2024-03-17 22:39:14] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12500, Y= 109, Z= -3
[2024-03-17 22:39:14] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12501, Y= 110, Z= -3
[2024-03-17 22:39:32] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12501, Y= 112, Z= -3
[2024-03-17 22:39:33] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12501, Y= 111, Z= -3
[2024-03-17 22:39:40] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12500, Y= 110, Z= -3
[2024-03-17 22:39:41] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12501, Y= 111, Z= -3
[2024-03-17 22:39:42] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12501, Y= 113, Z= -3
[2024-03-17 22:39:55] [world] The Player <bagelz> has placed COBBLESTONE at X= 1182, Y= 5, Z= 2457
[2024-03-17 22:39:58] [world] The Player <bagelz> has placed TORCH at X= 1180, Y= 6, Z= 2457
[2024-03-17 22:40:01] [world] The Player <bagelz> has placed TORCH at X= 1166, Y= 6, Z= 2457
[2024-03-17 22:40:03] [world] The Player <bagelz> has placed TORCH at X= 1154, Y= 6, Z= 2457
[2024-03-17 22:40:06] [world] The Player <TurtleDuck> has placed SPRUCE_FENCE at X= 3994, Y= 65, Z= -1846
[2024-03-17 22:40:09] [world] The Player <bagelz> has placed COBBLESTONE at X= 1183, Y= 6, Z= 2457
[2024-03-17 22:40:10] [world] The Player <bagelz> has placed COBBLESTONE at X= 1182, Y= 6, Z= 2457
[2024-03-17 22:40:20] [world] The Player <bagelz> has placed COBBLESTONE at X= 1183, Y= 3, Z= 2455
[2024-03-17 22:40:21] [world] The Player <bagelz> has placed COBBLESTONE at X= 1183, Y= 4, Z= 2455
[2024-03-17 22:40:21] [world] The Player <bagelz> has placed COBBLESTONE at X= 1182, Y= 3, Z= 2455
[2024-03-17 22:40:22] [world] The Player <bagelz> has placed COBBLESTONE at X= 1182, Y= 4, Z= 2455
[2024-03-17 22:40:26] [world] The Player <bagelz> has placed COBBLESTONE at X= 1184, Y= 5, Z= 2455
[2024-03-17 22:40:26] [world] The Player <bagelz> has placed COBBLESTONE at X= 1183, Y= 5, Z= 2455
[2024-03-17 22:40:28] [world] The Player <bagelz> has placed COBBLESTONE at X= 1184, Y= 6, Z= 2455
[2024-03-17 22:40:28] [world] The Player <bagelz> has placed COBBLESTONE at X= 1183, Y= 6, Z= 2455
[2024-03-17 22:40:29] [world] The Player <bagelz> has placed COBBLESTONE at X= 1182, Y= 5, Z= 2455
[2024-03-17 22:40:29] [world] The Player <bagelz> has placed COBBLESTONE at X= 1182, Y= 6, Z= 2455
[2024-03-17 22:40:38] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12501, Y= 114, Z= -3
[2024-03-17 22:40:39] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12501, Y= 115, Z= -3
[2024-03-17 22:40:40] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12501, Y= 116, Z= -3
[2024-03-17 22:40:41] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12501, Y= 117, Z= -3
[2024-03-17 22:40:42] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12501, Y= 118, Z= -3
[2024-03-17 22:40:43] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12501, Y= 119, Z= -3
[2024-03-17 22:40:44] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12501, Y= 120, Z= -3
[2024-03-17 22:40:44] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12501, Y= 121, Z= -3
[2024-03-17 22:40:45] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12501, Y= 122, Z= -3
[2024-03-17 22:40:58] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12501, Y= 101, Z= -2
[2024-03-17 22:40:58] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12500, Y= 103, Z= -2
[2024-03-17 22:41:16] [world] The Player <TurtleDuck> has placed SPRUCE_FENCE at X= 3998, Y= 65, Z= -1846
[2024-03-17 22:41:27] [world_nether] The Player <Heinrich_Himmler> has placed LADDER at X= 12501, Y= 102, Z= -2
[2024-03-17 22:41:28] [world] The Player <TurtleDuck> has placed SPRUCE_FENCE at X= 3995, Y= 65, Z= -1840
[2024-03-17 22:41:29] [world] The Player <TurtleDuck> has placed SPRUCE_FENCE at X= 3994, Y= 65, Z= -1840
[2024-03-17 22:41:55] [world] The Player <TurtleDuck> has placed SPRUCE_FENCE at X= 3999, Y= 65, Z= -1840
[2024-03-17 22:41:56] [world] The Player <TurtleDuck> has placed SPRUCE_FENCE at X= 3998, Y= 65, Z= -1840
[2024-03-17 22:42:08] [world_the_end] The Player <Brycethelegend> has placed COBBLESTONE at X= 99, Y= 33, Z= 1
[2024-03-17 22:42:09] [world_the_end] The Player <Brycethelegend> has placed COBBLESTONE at X= 99, Y= 33, Z= 0
[2024-03-17 22:42:11] [world_the_end] The Player <Brycethelegend> has placed COBBLESTONE at X= 97, Y= 32, Z= 0
[2024-03-17 22:42:12] [world_the_end] The Player <Brycethelegend> has placed COBBLESTONE at X= 97, Y= 33, Z= 0
[2024-03-17 22:42:13] [world_the_end] The Player <Brycethelegend> has placed COBBLESTONE at X= 99, Y= 34, Z= 1
[2024-03-17 22:42:14] [world_the_end] The Player <Brycethelegend> has placed COBBLESTONE at X= 99, Y= 34, Z= 0
[2024-03-17 22:42:16] [world_the_end] The Player <Brycethelegend> has placed COBBLESTONE at X= 97, Y= 34, Z= 0
[2024-03-17 22:42:16] [world_the_end] The Player <Brycethelegend> has placed COBBLESTONE at X= 97, Y= 35, Z= 0
[2024-03-17 22:42:21] [world_the_end] The Player <Brycethelegend> has placed COBBLESTONE at X= 100, Y= 33, Z= 1
[2024-03-17 22:42:22] [world_the_end] The Player <Brycethelegend> has placed COBBLESTONE at X= 100, Y= 34, Z= 1
[2024-03-17 22:42:23] [world_the_end] The Player <Brycethelegend> has placed COBBLESTONE at X= 100, Y= 34, Z= 0
[2024-03-17 22:42:24] [world_the_end] The Player <Brycethelegend> has placed COBBLESTONE at X= 101, Y= 33, Z= 0
