[2024-03-28 00:58:44] [world] The Player <xcpc> has placed TORCH at X= -441, Y= 57, Z= 266
[2024-03-28 02:35:36] [world_the_end] The Player <Feathery> has placed GRASS at X= -74, Y= 3, Z= 189
[2024-03-28 02:35:37] [world_the_end] The Player <Feathery> has placed GRASS at X= -77, Y= 3, Z= 188
[2024-03-28 02:35:37] [world_the_end] The Player <Feathery> has placed GRASS at X= -77, Y= 3, Z= 187
[2024-03-28 02:35:37] [world_the_end] The Player <Feathery> has placed GRASS at X= -76, Y= 3, Z= 187
[2024-03-28 02:35:37] [world_the_end] The Player <Feathery> has placed GRASS at X= -76, Y= 3, Z= 188
[2024-03-28 02:35:38] [world_the_end] The Player <Feathery> has placed GRASS at X= -75, Y= 3, Z= 188
[2024-03-28 02:35:38] [world_the_end] The Player <Feathery> has placed GRASS at X= -74, Y= 3, Z= 188
[2024-03-28 02:35:38] [world_the_end] The Player <Feathery> has placed GRASS at X= -73, Y= 3, Z= 189
[2024-03-28 02:35:38] [world_the_end] The Player <Feathery> has placed GRASS at X= -72, Y= 3, Z= 189
[2024-03-28 02:35:38] [world_the_end] The Player <Feathery> has placed GRASS at X= -72, Y= 3, Z= 188
[2024-03-28 02:35:39] [world_the_end] The Player <Feathery> has placed GRASS at X= -71, Y= 3, Z= 188
[2024-03-28 02:35:39] [world_the_end] The Player <Feathery> has placed GRASS at X= -71, Y= 3, Z= 187
[2024-03-28 02:35:40] [world_the_end] The Player <Feathery> has placed GRASS at X= -71, Y= 3, Z= 186
[2024-03-28 02:35:40] [world_the_end] The Player <Feathery> has placed GRASS at X= -72, Y= 3, Z= 187
[2024-03-28 02:35:41] [world_the_end] The Player <Feathery> has placed GRASS at X= -72, Y= 3, Z= 186
[2024-03-28 02:35:41] [world_the_end] The Player <Feathery> has placed GRASS at X= -74, Y= 4, Z= 188
[2024-03-28 02:35:41] [world_the_end] The Player <Feathery> has placed GRASS at X= -73, Y= 3, Z= 188
[2024-03-28 02:35:42] [world_the_end] The Player <Feathery> has placed GRASS at X= -73, Y= 3, Z= 187
[2024-03-28 02:35:42] [world_the_end] The Player <Feathery> has placed GRASS at X= -73, Y= 3, Z= 186
[2024-03-28 02:35:43] [world_the_end] The Player <Feathery> has placed GRASS at X= -74, Y= 3, Z= 187
[2024-03-28 02:35:43] [world_the_end] The Player <Feathery> has placed GRASS at X= -74, Y= 3, Z= 186
[2024-03-28 02:35:43] [world_the_end] The Player <Feathery> has placed GRASS at X= -74, Y= 3, Z= 185
[2024-03-28 02:35:44] [world_the_end] The Player <Feathery> has placed GRASS at X= -75, Y= 3, Z= 185
[2024-03-28 02:35:44] [world_the_end] The Player <Feathery> has placed GRASS at X= -75, Y= 3, Z= 186
[2024-03-28 02:35:44] [world_the_end] The Player <Feathery> has placed GRASS at X= -75, Y= 3, Z= 187
[2024-03-28 02:35:45] [world_the_end] The Player <Feathery> has placed GRASS at X= -76, Y= 3, Z= 186
[2024-03-28 02:36:00] [world_the_end] The Player <Feathery> has placed GRASS at X= -75, Y= 2, Z= 190
[2024-03-28 02:36:02] [world_the_end] The Player <Feathery> has placed GRASS at X= -73, Y= 1, Z= 190
[2024-03-28 02:36:02] [world_the_end] The Player <Feathery> has placed GRASS at X= -73, Y= 2, Z= 190
[2024-03-28 02:36:02] [world_the_end] The Player <Feathery> has placed GRASS at X= -74, Y= 2, Z= 190
[2024-03-28 02:36:12] [world_the_end] The Player <Feathery> has placed GRASS at X= -75, Y= 2, Z= 189
[2024-03-28 02:36:49] [world_the_end] The Player <Feathery> has placed GRASS at X= -72, Y= 3, Z= 203
[2024-03-28 02:36:49] [world_the_end] The Player <Feathery> has placed GRASS at X= -74, Y= 3, Z= 203
[2024-03-28 02:36:50] [world_the_end] The Player <Feathery> has placed GRASS at X= -75, Y= 3, Z= 203
[2024-03-28 02:36:50] [world_the_end] The Player <Feathery> has placed GRASS at X= -72, Y= 3, Z= 204
[2024-03-28 02:36:51] [world_the_end] The Player <Feathery> has placed GRASS at X= -73, Y= 3, Z= 203
[2024-03-28 02:36:52] [world_the_end] The Player <Feathery> has placed GRASS at X= -72, Y= 3, Z= 205
[2024-03-28 02:36:52] [world_the_end] The Player <Feathery> has placed GRASS at X= -73, Y= 3, Z= 204
[2024-03-28 02:36:52] [world_the_end] The Player <Feathery> has placed GRASS at X= -74, Y= 3, Z= 204
[2024-03-28 02:36:53] [world_the_end] The Player <Feathery> has placed GRASS at X= -74, Y= 3, Z= 205
[2024-03-28 02:36:53] [world_the_end] The Player <Feathery> has placed GRASS at X= -75, Y= 3, Z= 206
[2024-03-28 02:36:54] [world_the_end] The Player <Feathery> has placed GRASS at X= -76, Y= 2, Z= 204
[2024-03-28 02:37:09] [world_the_end] The Player <Feathery> has placed GRASS at X= -88, Y= 3, Z= 199
[2024-03-28 02:37:09] [world_the_end] The Player <Feathery> has placed GRASS at X= -87, Y= 3, Z= 199
[2024-03-28 02:37:09] [world_the_end] The Player <Feathery> has placed GRASS at X= -88, Y= 3, Z= 200
[2024-03-28 02:37:10] [world_the_end] The Player <Feathery> has placed GRASS at X= -89, Y= 3, Z= 200
[2024-03-28 02:37:11] [world_the_end] The Player <Feathery> has placed GRASS at X= -91, Y= 3, Z= 201
[2024-03-28 02:37:11] [world_the_end] The Player <Feathery> has placed GRASS at X= -90, Y= 3, Z= 200
[2024-03-28 02:37:12] [world_the_end] The Player <Feathery> has placed GRASS at X= -90, Y= 3, Z= 201
[2024-03-28 02:37:29] [world_the_end] The Player <Feathery> has placed DIRT at X= -90, Y= 2, Z= 201
[2024-03-28 02:37:30] [world_the_end] The Player <Feathery> has placed DIRT at X= -90, Y= 2, Z= 202
[2024-03-28 02:37:30] [world_the_end] The Player <Feathery> has placed DIRT at X= -90, Y= 2, Z= 203
[2024-03-28 02:37:31] [world_the_end] The Player <Feathery> has placed DIRT at X= -89, Y= 2, Z= 201
[2024-03-28 02:37:31] [world_the_end] The Player <Feathery> has placed DIRT at X= -89, Y= 2, Z= 202
[2024-03-28 02:37:59] [world_the_end] The Player <Feathery> has placed COMMAND at X= -90, Y= 5, Z= 196
[2024-03-28 02:40:08] [world_the_end] The Player <Tester> has placed GRASS at X= -72, Y= 3, Z= 183
[2024-03-28 02:40:10] [world_the_end] The Player <Tester> has placed GRASS at X= -71, Y= 4, Z= 184
[2024-03-28 02:40:46] [world_the_end] The Player <Feathery> has placed DIRT at X= -118, Y= 4, Z= 324
[2024-03-28 02:40:47] [world_the_end] The Player <Feathery> has placed DIRT at X= -119, Y= 4, Z= 324
[2024-03-28 02:40:47] [world_the_end] The Player <Feathery> has placed DIRT at X= -118, Y= 4, Z= 325
[2024-03-28 02:40:47] [world_the_end] The Player <Feathery> has placed DIRT at X= -119, Y= 4, Z= 325
[2024-03-28 02:40:48] [world_the_end] The Player <Feathery> has placed DIRT at X= -118, Y= 5, Z= 325
[2024-03-28 02:41:15] [world_the_end] The Player <Feathery> has placed ANVIL at X= -95, Y= 1, Z= 347
[2024-03-28 02:42:09] [world_the_end] The Player <Feathery> has placed DIRT at X= -54, Y= 1, Z= 323
[2024-03-28 02:42:10] [world_the_end] The Player <Feathery> has placed DIRT at X= -54, Y= 2, Z= 323
[2024-03-28 02:45:47] [world] The Player <Tester> has placed OBSIDIAN at X= -619, Y= 69, Z= 378
[2024-03-28 02:45:50] [world] The Player <Tester> has placed OBSIDIAN at X= -620, Y= 69, Z= 376
[2024-03-28 02:46:00] [world] The Player <Tester> has placed BEDROCK at X= -619, Y= 69, Z= 374
[2024-03-28 02:46:18] [world_the_end] The Player <Tester> has placed BEDROCK at X= -111, Y= 1, Z= 336
[2024-03-28 02:50:49] [world_the_end] The Player <Tester> has placed BEDROCK at X= 9, Y= 59, Z= 22
[2024-03-28 02:53:13] [world_the_end] The Player <Tester> has placed BEDROCK at X= 14, Y= 46, Z= 77
[2024-03-28 02:53:16] [world_the_end] The Player <Tester> has placed BEDROCK at X= 14, Y= 45, Z= 78
[2024-03-28 02:53:18] [world_the_end] The Player <Tester> has placed BEDROCK at X= 14, Y= 45, Z= 78
[2024-03-28 02:53:41] [world_the_end] The Player <Tester> has placed OBSIDIAN at X= -10, Y= 63, Z= -65
[2024-03-28 02:55:15] [world_the_end] The Player <Tester> has placed BEDROCK at X= -15, Y= 63, Z= -65
[2024-03-28 02:55:20] [world_the_end] The Player <Tester> has placed BEDROCK at X= -16, Y= 63, Z= -65
[2024-03-28 02:56:08] [world_the_end] The Player <Tester> has placed OBSIDIAN at X= -16, Y= 63, Z= -65
[2024-03-28 02:59:36] [world_the_end] The Player <Tester> has placed BEDROCK at X= 12550378, Y= 97, Z= 485
[2024-03-28 02:59:37] [world_the_end] The Player <Tester> has placed BEDROCK at X= 12550377, Y= 97, Z= 484
[2024-03-28 02:59:38] [world_the_end] The Player <Tester> has placed BEDROCK at X= 12550378, Y= 97, Z= 483
[2024-03-28 02:59:39] [world_the_end] The Player <Tester> has placed BEDROCK at X= 12550379, Y= 97, Z= 484
[2024-03-28 02:59:48] [world_the_end] The Player <Tester> has placed DRAGON_EGG at X= 12550378, Y= 98, Z= 484
[2024-03-28 03:00:46] [world_the_end] The Player <Tester> has placed BEDROCK at X= 12550378, Y= 96, Z= 484
[2024-03-28 03:00:47] [world_the_end] The Player <Tester> has placed BEDROCK at X= 12550378, Y= 95, Z= 484
[2024-03-28 03:00:50] [world_the_end] The Player <Tester> has placed TORCH at X= 12550378, Y= 96, Z= 484
[2024-03-28 03:22:34] [world_the_end] The Player <Feathery> has placed COMMAND at X= -173, Y= 1, Z= 434
[2024-03-28 03:22:34] [world_the_end] The Player <Feathery> has placed COMMAND at X= -173, Y= 1, Z= 435
[2024-03-28 03:24:45] [world] The Player <Feathery> has placed QUARTZ_BLOCK at X= -574, Y= 82, Z= 305
[2024-03-28 03:24:45] [world] The Player <Feathery> has placed QUARTZ_BLOCK at X= -574, Y= 83, Z= 305
[2024-03-28 04:00:59] [world] The Player <Feathery> has placed GRASS at X= -604, Y= 66, Z= 308
[2024-03-28 04:01:00] [world] The Player <Feathery> has placed GRASS at X= -604, Y= 67, Z= 308
[2024-03-28 04:07:25] [world_the_end] The Player <Feathery> has placed ANVIL at X= 82, Y= 57, Z= -95
[2024-03-28 04:13:01] [world_the_end] The Player <Feathery> has placed STONE at X= 298, Y= 2, Z= -126
[2024-03-28 04:13:01] [world_the_end] The Player <Feathery> has placed STONE at X= 298, Y= 2, Z= -125
[2024-03-28 04:13:01] [world_the_end] The Player <Feathery> has placed STONE at X= 298, Y= 2, Z= -124
[2024-03-28 04:13:02] [world_the_end] The Player <Feathery> has placed STONE at X= 298, Y= 2, Z= -123
[2024-03-28 04:13:02] [world_the_end] The Player <Feathery> has placed STONE at X= 298, Y= 2, Z= -122
[2024-03-28 04:13:36] [world_the_end] The Player <Feathery> has placed STONE at X= 293, Y= 2, Z= -132
[2024-03-28 04:13:48] [world_the_end] The Player <Feathery> has placed STONE at X= 291, Y= 2, Z= -133
[2024-03-28 04:16:14] [world_the_end] The Player <Feathery> has placed STONE at X= 276, Y= 2, Z= -132
[2024-03-28 04:16:44] [world_the_end] The Player <Feathery> has placed STONE at X= 277, Y= 1, Z= -110
[2024-03-28 04:16:44] [world_the_end] The Player <Feathery> has placed STONE at X= 276, Y= 1, Z= -111
[2024-03-28 04:16:45] [world_the_end] The Player <Feathery> has placed STONE at X= 275, Y= 1, Z= -111
[2024-03-28 04:16:45] [world_the_end] The Player <Feathery> has placed STONE at X= 274, Y= 1, Z= -111
[2024-03-28 04:18:54] [world_the_end] The Player <Feathery> has placed STONE at X= 269, Y= 1, Z= -119
[2024-03-28 04:18:54] [world_the_end] The Player <Feathery> has placed STONE at X= 269, Y= 2, Z= -119
[2024-03-28 04:18:56] [world_the_end] The Player <Feathery> has placed STONE at X= 270, Y= 1, Z= -119
[2024-03-28 04:18:57] [world_the_end] The Player <Feathery> has placed STONE at X= 270, Y= 1, Z= -120
[2024-03-28 04:18:57] [world_the_end] The Player <Feathery> has placed STONE at X= 270, Y= 1, Z= -121
[2024-03-28 04:18:58] [world_the_end] The Player <Feathery> has placed STONE at X= 270, Y= 1, Z= -122
[2024-03-28 04:18:59] [world_the_end] The Player <Feathery> has placed STONE at X= 271, Y= 1, Z= -121
[2024-03-28 04:18:59] [world_the_end] The Player <Feathery> has placed STONE at X= 271, Y= 1, Z= -122
[2024-03-28 04:19:00] [world_the_end] The Player <Feathery> has placed STONE at X= 270, Y= 1, Z= -123
[2024-03-28 04:19:01] [world_the_end] The Player <Feathery> has placed STONE at X= 270, Y= 2, Z= -123
[2024-03-28 04:19:05] [world_the_end] The Player <Feathery> has placed STONE at X= 269, Y= 1, Z= -125
[2024-03-28 04:19:06] [world_the_end] The Player <Feathery> has placed STONE at X= 270, Y= 1, Z= -125
[2024-03-28 04:19:06] [world_the_end] The Player <Feathery> has placed STONE at X= 270, Y= 1, Z= -126
[2024-03-28 04:19:07] [world_the_end] The Player <Feathery> has placed STONE at X= 270, Y= 1, Z= -124
[2024-03-28 04:19:07] [world_the_end] The Player <Feathery> has placed STONE at X= 271, Y= 1, Z= -125
[2024-03-28 04:19:07] [world_the_end] The Player <Feathery> has placed STONE at X= 271, Y= 1, Z= -124
[2024-03-28 04:19:08] [world_the_end] The Player <Feathery> has placed STONE at X= 271, Y= 1, Z= -123
[2024-03-28 04:19:09] [world_the_end] The Player <Feathery> has placed STONE at X= 271, Y= 1, Z= -126
[2024-03-28 04:19:09] [world_the_end] The Player <Feathery> has placed STONE at X= 271, Y= 1, Z= -127
[2024-03-28 04:19:09] [world_the_end] The Player <Feathery> has placed STONE at X= 272, Y= 1, Z= -126
[2024-03-28 04:19:10] [world_the_end] The Player <Feathery> has placed STONE at X= 272, Y= 1, Z= -127
[2024-03-28 04:19:10] [world_the_end] The Player <Feathery> has placed STONE at X= 272, Y= 1, Z= -128
[2024-03-28 04:19:10] [world_the_end] The Player <Feathery> has placed STONE at X= 272, Y= 1, Z= -129
[2024-03-28 04:19:10] [world_the_end] The Player <Feathery> has placed STONE at X= 272, Y= 1, Z= -130
[2024-03-28 04:19:11] [world_the_end] The Player <Feathery> has placed STONE at X= 272, Y= 1, Z= -131
[2024-03-28 04:19:11] [world_the_end] The Player <Feathery> has placed STONE at X= 273, Y= 1, Z= -131
[2024-03-28 04:19:12] [world_the_end] The Player <Feathery> has placed STONE at X= 273, Y= 1, Z= -130
[2024-03-28 04:19:12] [world_the_end] The Player <Feathery> has placed STONE at X= 273, Y= 1, Z= -129
[2024-03-28 04:19:12] [world_the_end] The Player <Feathery> has placed STONE at X= 274, Y= 1, Z= -130
[2024-03-28 04:19:13] [world_the_end] The Player <Feathery> has placed STONE at X= 274, Y= 2, Z= -130
[2024-03-28 04:19:14] [world_the_end] The Player <Feathery> has placed STONE at X= 274, Y= 1, Z= -131
[2024-03-28 04:19:14] [world_the_end] The Player <Feathery> has placed STONE at X= 275, Y= 1, Z= -131
[2024-03-28 04:21:55] [world_the_end] The Player <Feathery> has placed STONE at X= 264, Y= 9, Z= -111
[2024-03-28 04:21:55] [world_the_end] The Player <Feathery> has placed STONE at X= 264, Y= 10, Z= -111
[2024-03-28 04:21:57] [world_the_end] The Player <Feathery> has placed STONE at X= 265, Y= 10, Z= -110
[2024-03-28 04:23:23] [world_the_end] The Player <Feathery> has placed STONE at X= 295, Y= 7, Z= -143
[2024-03-28 04:23:23] [world_the_end] The Player <Feathery> has placed STONE at X= 295, Y= 7, Z= -142
[2024-03-28 04:23:24] [world_the_end] The Player <Feathery> has placed STONE at X= 296, Y= 7, Z= -143
[2024-03-28 04:23:26] [world_the_end] The Player <Feathery> has placed STONE at X= 295, Y= 7, Z= -141
[2024-03-28 04:23:26] [world_the_end] The Player <Feathery> has placed STONE at X= 294, Y= 7, Z= -141
[2024-03-28 04:23:33] [world_the_end] The Player <Feathery> has placed STONE at X= 281, Y= 8, Z= -144
[2024-03-28 04:23:34] [world_the_end] The Player <Feathery> has placed STONE at X= 282, Y= 7, Z= -145
[2024-03-28 04:23:35] [world_the_end] The Player <Feathery> has placed STONE at X= 282, Y= 8, Z= -145
[2024-03-28 04:23:35] [world_the_end] The Player <Feathery> has placed STONE at X= 283, Y= 8, Z= -145
[2024-03-28 04:23:37] [world_the_end] The Player <Feathery> has placed STONE at X= 276, Y= 9, Z= -145
[2024-03-28 04:23:37] [world_the_end] The Player <Feathery> has placed STONE at X= 277, Y= 9, Z= -145
[2024-03-28 04:23:38] [world_the_end] The Player <Feathery> has placed STONE at X= 277, Y= 9, Z= -146
[2024-03-28 04:23:38] [world_the_end] The Player <Feathery> has placed STONE at X= 278, Y= 9, Z= -145
[2024-03-28 04:23:38] [world_the_end] The Player <Feathery> has placed STONE at X= 279, Y= 9, Z= -145
[2024-03-28 04:23:38] [world_the_end] The Player <Feathery> has placed STONE at X= 278, Y= 9, Z= -146
[2024-03-28 04:23:38] [world_the_end] The Player <Feathery> has placed STONE at X= 279, Y= 9, Z= -146
[2024-03-28 04:23:39] [world_the_end] The Player <Feathery> has placed STONE at X= 280, Y= 9, Z= -145
[2024-03-28 04:23:39] [world_the_end] The Player <Feathery> has placed STONE at X= 280, Y= 9, Z= -146
[2024-03-28 04:23:40] [world_the_end] The Player <Feathery> has placed STONE at X= 281, Y= 9, Z= -145
[2024-03-28 04:23:40] [world_the_end] The Player <Feathery> has placed STONE at X= 281, Y= 9, Z= -146
[2024-03-28 04:23:40] [world_the_end] The Player <Feathery> has placed STONE at X= 282, Y= 9, Z= -146
[2024-03-28 04:23:41] [world_the_end] The Player <Feathery> has placed STONE at X= 281, Y= 9, Z= -147
[2024-03-28 04:23:41] [world_the_end] The Player <Feathery> has placed STONE at X= 282, Y= 9, Z= -147
[2024-03-28 04:23:41] [world_the_end] The Player <Feathery> has placed STONE at X= 283, Y= 9, Z= -146
[2024-03-28 04:23:41] [world_the_end] The Player <Feathery> has placed STONE at X= 283, Y= 9, Z= -147
[2024-03-28 04:23:42] [world_the_end] The Player <Feathery> has placed STONE at X= 284, Y= 9, Z= -146
[2024-03-28 04:23:42] [world_the_end] The Player <Feathery> has placed STONE at X= 284, Y= 9, Z= -147
[2024-03-28 04:23:42] [world_the_end] The Player <Feathery> has placed STONE at X= 285, Y= 9, Z= -147
[2024-03-28 04:23:43] [world_the_end] The Player <Feathery> has placed STONE at X= 285, Y= 9, Z= -146
[2024-03-28 04:23:44] [world_the_end] The Player <Feathery> has placed STONE at X= 286, Y= 9, Z= -147
[2024-03-28 04:23:44] [world_the_end] The Player <Feathery> has placed STONE at X= 287, Y= 9, Z= -147
[2024-03-28 04:23:44] [world_the_end] The Player <Feathery> has placed STONE at X= 288, Y= 9, Z= -147
[2024-03-28 04:23:46] [world_the_end] The Player <Feathery> has placed STONE at X= 288, Y= 8, Z= -146
[2024-03-28 04:23:46] [world_the_end] The Player <Feathery> has placed STONE at X= 289, Y= 8, Z= -146
[2024-03-28 04:23:46] [world_the_end] The Player <Feathery> has placed STONE at X= 289, Y= 8, Z= -145
[2024-03-28 04:23:47] [world_the_end] The Player <Feathery> has placed STONE at X= 290, Y= 8, Z= -146
[2024-03-28 04:23:48] [world_the_end] The Player <Feathery> has placed STONE at X= 289, Y= 8, Z= -147
[2024-03-28 04:23:48] [world_the_end] The Player <Feathery> has placed STONE at X= 289, Y= 9, Z= -147
[2024-03-28 04:23:49] [world_the_end] The Player <Feathery> has placed STONE at X= 290, Y= 9, Z= -147
[2024-03-28 04:23:50] [world_the_end] The Player <Feathery> has placed STONE at X= 290, Y= 8, Z= -147
[2024-03-28 04:23:51] [world_the_end] The Player <Feathery> has placed STONE at X= 291, Y= 8, Z= -147
[2024-03-28 04:23:51] [world_the_end] The Player <Feathery> has placed STONE at X= 291, Y= 6, Z= -147
[2024-03-28 04:23:52] [world_the_end] The Player <Feathery> has placed STONE at X= 291, Y= 7, Z= -147
[2024-03-28 04:23:52] [world_the_end] The Player <Feathery> has placed STONE at X= 292, Y= 7, Z= -147
[2024-03-28 04:23:53] [world_the_end] The Player <Feathery> has placed STONE at X= 293, Y= 6, Z= -147
[2024-03-28 04:23:53] [world_the_end] The Player <Feathery> has placed STONE at X= 292, Y= 6, Z= -147
[2024-03-28 04:23:54] [world_the_end] The Player <Feathery> has placed STONE at X= 291, Y= 7, Z= -146
[2024-03-28 04:23:55] [world_the_end] The Player <Feathery> has placed STONE at X= 290, Y= 8, Z= -145
[2024-03-28 04:23:56] [world_the_end] The Player <Feathery> has placed STONE at X= 290, Y= 7, Z= -145
[2024-03-28 04:24:21] [world_the_end] The Player <Feathery> has placed STONE at X= 294, Y= 5, Z= -148
[2024-03-28 04:24:21] [world_the_end] The Player <Feathery> has placed STONE at X= 295, Y= 5, Z= -147
[2024-03-28 04:24:22] [world_the_end] The Player <Feathery> has placed STONE at X= 295, Y= 5, Z= -148
[2024-03-28 04:24:22] [world_the_end] The Player <Feathery> has placed STONE at X= 296, Y= 5, Z= -146
[2024-03-28 04:24:23] [world_the_end] The Player <Feathery> has placed STONE at X= 296, Y= 5, Z= -147
[2024-03-28 04:24:23] [world_the_end] The Player <Feathery> has placed STONE at X= 296, Y= 5, Z= -148
[2024-03-28 04:24:23] [world_the_end] The Player <Feathery> has placed STONE at X= 297, Y= 5, Z= -148
[2024-03-28 04:24:24] [world_the_end] The Player <Feathery> has placed STONE at X= 297, Y= 5, Z= -147
