[2024-03-19 11:18:46] [world_the_end] The Player <Rip_Dogwater> has placed STONE at X= 98, Y= 49, Z= -1
[2024-03-19 11:26:10] [world] The Player <TurtleDuck> has placed WOOD at X= -584, Y= 56, Z= 274
[2024-03-19 11:26:10] [world] The Player <TurtleDuck> has placed WOOD at X= -584, Y= 55, Z= 274
[2024-03-19 11:26:15] [world] The Player <TurtleDuck> has placed WOOD at X= -580, Y= 56, Z= 273
[2024-03-19 11:26:15] [world] The Player <TurtleDuck> has placed WOOD at X= -580, Y= 57, Z= 273
[2024-03-19 11:26:16] [world] The Player <TurtleDuck> has placed WOOD at X= -580, Y= 58, Z= 273
[2024-03-19 11:26:17] [world] The Player <TurtleDuck> has placed WOOD at X= -580, Y= 58, Z= 272
[2024-03-19 11:26:18] [world] The Player <TurtleDuck> has placed WOOD at X= -580, Y= 58, Z= 271
[2024-03-19 11:26:21] [world] The Player <TurtleDuck> has placed WOOD at X= -580, Y= 56, Z= 270
[2024-03-19 11:26:21] [world] The Player <TurtleDuck> has placed WOOD at X= -580, Y= 57, Z= 270
[2024-03-19 11:26:22] [world] The Player <TurtleDuck> has placed WOOD at X= -580, Y= 58, Z= 270
[2024-03-19 11:26:25] [world] The Player <TurtleDuck> has placed WOOD at X= -583, Y= 55, Z= 275
[2024-03-19 11:26:25] [world] The Player <TurtleDuck> has placed WOOD at X= -583, Y= 56, Z= 275
[2024-03-19 11:26:26] [world] The Player <TurtleDuck> has placed WOOD at X= -583, Y= 57, Z= 275
[2024-03-19 11:26:26] [world] The Player <TurtleDuck> has placed WOOD at X= -583, Y= 58, Z= 275
[2024-03-19 11:26:27] [world] The Player <TurtleDuck> has placed WOOD at X= -582, Y= 58, Z= 275
[2024-03-19 11:26:28] [world] The Player <TurtleDuck> has placed WOOD at X= -581, Y= 58, Z= 275
[2024-03-19 11:26:28] [world] The Player <TurtleDuck> has placed WOOD at X= -581, Y= 56, Z= 274
[2024-03-19 11:26:29] [world] The Player <TurtleDuck> has placed WOOD at X= -581, Y= 57, Z= 275
[2024-03-19 11:26:30] [world] The Player <TurtleDuck> has placed WOOD at X= -581, Y= 56, Z= 275
[2024-03-19 11:26:31] [world] The Player <TurtleDuck> has placed WOOD at X= -581, Y= 55, Z= 275
[2024-03-19 11:26:31] [world] The Player <TurtleDuck> has placed WOOD at X= -582, Y= 55, Z= 275
[2024-03-19 11:26:31] [world] The Player <TurtleDuck> has placed WOOD at X= -582, Y= 56, Z= 275
[2024-03-19 11:26:32] [world] The Player <TurtleDuck> has placed WOOD at X= -582, Y= 57, Z= 275
[2024-03-19 11:26:46] [world] The Player <TurtleDuck> has placed WOOD at X= -583, Y= 53, Z= 269
[2024-03-19 11:26:47] [world] The Player <TurtleDuck> has placed WOOD at X= -582, Y= 53, Z= 269
[2024-03-19 11:26:48] [world] The Player <TurtleDuck> has placed WOOD at X= -581, Y= 53, Z= 269
[2024-03-19 11:26:49] [world] The Player <TurtleDuck> has placed WOOD at X= -581, Y= 53, Z= 270
[2024-03-19 11:26:49] [world] The Player <TurtleDuck> has placed WOOD at X= -581, Y= 53, Z= 271
[2024-03-19 11:26:50] [world] The Player <TurtleDuck> has placed WOOD at X= -581, Y= 53, Z= 272
[2024-03-19 11:26:50] [world] The Player <sharky> has placed SANDSTONE at X= -490, Y= 81, Z= -506
[2024-03-19 11:26:50] [world] The Player <TurtleDuck> has placed WOOD at X= -581, Y= 53, Z= 273
[2024-03-19 11:26:50] [world] The Player <sharky> has placed SANDSTONE at X= -490, Y= 81, Z= -505
[2024-03-19 11:26:51] [world] The Player <TurtleDuck> has placed WOOD at X= -581, Y= 53, Z= 274
[2024-03-19 11:26:51] [world] The Player <TurtleDuck> has placed WOOD at X= -582, Y= 53, Z= 274
[2024-03-19 11:26:51] [world] The Player <sharky> has placed SANDSTONE at X= -491, Y= 81, Z= -504
[2024-03-19 11:26:51] [world] The Player <TurtleDuck> has placed WOOD at X= -583, Y= 53, Z= 274
[2024-03-19 11:26:52] [world] The Player <sharky> has placed SANDSTONE at X= -491, Y= 81, Z= -505
[2024-03-19 11:26:52] [world] The Player <TurtleDuck> has placed WOOD at X= -583, Y= 53, Z= 273
[2024-03-19 11:26:52] [world] The Player <sharky> has placed SANDSTONE at X= -491, Y= 81, Z= -506
[2024-03-19 11:26:53] [world] The Player <TurtleDuck> has placed WOOD at X= -583, Y= 53, Z= 272
[2024-03-19 11:26:53] [world] The Player <sharky> has placed SANDSTONE at X= -492, Y= 81, Z= -507
[2024-03-19 11:26:54] [world] The Player <TurtleDuck> has placed WOOD at X= -583, Y= 53, Z= 270
[2024-03-19 11:26:54] [world] The Player <sharky> has placed SANDSTONE at X= -492, Y= 81, Z= -506
[2024-03-19 11:26:54] [world] The Player <TurtleDuck> has placed WOOD at X= -583, Y= 53, Z= 271
[2024-03-19 11:26:55] [world] The Player <sharky> has placed SANDSTONE at X= -493, Y= 81, Z= -506
[2024-03-19 11:26:55] [world] The Player <TurtleDuck> has placed WOOD at X= -582, Y= 53, Z= 270
[2024-03-19 11:26:56] [world] The Player <TurtleDuck> has placed WOOD at X= -582, Y= 53, Z= 271
[2024-03-19 11:26:56] [world] The Player <sharky> has placed SANDSTONE at X= -493, Y= 81, Z= -505
[2024-03-19 11:26:56] [world] The Player <TurtleDuck> has placed WOOD at X= -582, Y= 53, Z= 272
[2024-03-19 11:26:57] [world] The Player <TurtleDuck> has placed WOOD at X= -582, Y= 53, Z= 273
[2024-03-19 11:26:57] [world] The Player <sharky> has placed SANDSTONE at X= -492, Y= 81, Z= -504
[2024-03-19 11:26:58] [world] The Player <sharky> has placed SANDSTONE at X= -492, Y= 81, Z= -505
[2024-03-19 11:26:59] [world] The Player <TurtleDuck> has placed WOOD at X= -583, Y= 54, Z= 268
[2024-03-19 11:27:00] [world] The Player <TurtleDuck> has placed WOOD at X= -582, Y= 53, Z= 267
[2024-03-19 11:27:00] [world] The Player <TurtleDuck> has placed WOOD at X= -582, Y= 53, Z= 268
[2024-03-19 11:27:01] [world] The Player <TurtleDuck> has placed WOOD at X= -582, Y= 53, Z= 268
[2024-03-19 11:27:01] [world] The Player <TurtleDuck> has placed WOOD at X= -582, Y= 54, Z= 268
[2024-03-19 11:27:03] [world] The Player <TurtleDuck> has placed WOOD at X= -581, Y= 54, Z= 268
[2024-03-19 11:27:05] [world] The Player <TurtleDuck> has placed WOOD at X= -580, Y= 52, Z= 269
[2024-03-19 11:27:06] [world] The Player <TurtleDuck> has placed WOOD at X= -580, Y= 53, Z= 269
[2024-03-19 11:27:06] [world] The Player <TurtleDuck> has placed WOOD at X= -580, Y= 54, Z= 269
[2024-03-19 11:27:07] [world] The Player <TurtleDuck> has placed WOOD at X= -580, Y= 53, Z= 270
[2024-03-19 11:27:07] [world] The Player <sharky> has placed SANDSTONE at X= -492, Y= 80, Z= -507
[2024-03-19 11:27:08] [world] The Player <TurtleDuck> has placed WOOD at X= -580, Y= 54, Z= 270
[2024-03-19 11:27:08] [world] The Player <TurtleDuck> has placed WOOD at X= -580, Y= 54, Z= 271
[2024-03-19 11:27:10] [world] The Player <TurtleDuck> has placed WOOD at X= -580, Y= 54, Z= 273
[2024-03-19 11:27:10] [world] The Player <TurtleDuck> has placed WOOD at X= -580, Y= 54, Z= 274
[2024-03-19 11:27:11] [world] The Player <TurtleDuck> has placed WOOD at X= -580, Y= 53, Z= 272
[2024-03-19 11:27:12] [world] The Player <TurtleDuck> has placed WOOD at X= -581, Y= 54, Z= 272
[2024-03-19 11:27:13] [world] The Player <TurtleDuck> has placed WOOD at X= -580, Y= 54, Z= 272
[2024-03-19 11:27:15] [world] The Player <TurtleDuck> has placed WOOD at X= -584, Y= 54, Z= 272
[2024-03-19 11:27:15] [world] The Player <TurtleDuck> has placed WOOD at X= -584, Y= 54, Z= 271
[2024-03-19 11:27:16] [world] The Player <TurtleDuck> has placed WOOD at X= -584, Y= 54, Z= 270
[2024-03-19 11:27:16] [world] The Player <TurtleDuck> has placed WOOD at X= -584, Y= 54, Z= 269
[2024-03-19 11:27:17] [world] The Player <sharky> has placed SANDSTONE at X= -490, Y= 80, Z= -479
[2024-03-19 11:27:17] [world] The Player <sharky> has placed SANDSTONE at X= -490, Y= 79, Z= -479
[2024-03-19 11:27:18] [world] The Player <TurtleDuck> has placed WOOD at X= -584, Y= 54, Z= 273
[2024-03-19 11:27:18] [world] The Player <TurtleDuck> has placed WOOD at X= -584, Y= 54, Z= 274
[2024-03-19 11:27:19] [world] The Player <sharky> has placed SANDSTONE at X= -490, Y= 80, Z= -480
[2024-03-19 11:27:19] [world] The Player <sharky> has placed SANDSTONE at X= -490, Y= 79, Z= -480
[2024-03-19 11:27:19] [world] The Player <TurtleDuck> has placed WOOD at X= -583, Y= 54, Z= 275
[2024-03-19 11:27:20] [world] The Player <TurtleDuck> has placed WOOD at X= -582, Y= 54, Z= 275
[2024-03-19 11:27:20] [world] The Player <sharky> has placed SANDSTONE at X= -490, Y= 79, Z= -481
[2024-03-19 11:27:20] [world] The Player <TurtleDuck> has placed WOOD at X= -581, Y= 54, Z= 275
[2024-03-19 11:27:22] [world] The Player <TurtleDuck> has placed WOOD at X= -580, Y= 55, Z= 273
[2024-03-19 11:27:22] [world] The Player <sharky> has placed SANDSTONE at X= -490, Y= 80, Z= -483
[2024-03-19 11:27:23] [world] The Player <sharky> has placed SANDSTONE at X= -490, Y= 79, Z= -483
[2024-03-19 11:27:23] [world] The Player <sharky> has placed SANDSTONE at X= -490, Y= 80, Z= -482
[2024-03-19 11:27:24] [world] The Player <sharky> has placed SANDSTONE at X= -490, Y= 79, Z= -482
[2024-03-19 11:27:25] [world] The Player <TurtleDuck> has placed WOOD at X= -580, Y= 55, Z= 274
[2024-03-19 11:27:25] [world] The Player <sharky> has placed SANDSTONE at X= -490, Y= 80, Z= -481
[2024-03-19 11:27:25] [world] The Player <TurtleDuck> has placed WOOD at X= -580, Y= 56, Z= 274
[2024-03-19 11:27:28] [world] The Player <sharky> has placed SANDSTONE at X= -491, Y= 80, Z= -479
[2024-03-19 11:27:28] [world] The Player <TurtleDuck> has placed WOOD at X= -580, Y= 57, Z= 274
[2024-03-19 11:27:28] [world] The Player <sharky> has placed SANDSTONE at X= -492, Y= 80, Z= -479
[2024-03-19 11:27:29] [world] The Player <sharky> has placed SANDSTONE at X= -493, Y= 80, Z= -480
[2024-03-19 11:27:30] [world] The Player <sharky> has placed SANDSTONE at X= -493, Y= 79, Z= -481
[2024-03-19 11:27:31] [world] The Player <sharky> has placed SANDSTONE at X= -493, Y= 79, Z= -483
[2024-03-19 11:27:31] [world] The Player <sharky> has placed SANDSTONE at X= -493, Y= 79, Z= -482
[2024-03-19 11:27:32] [world] The Player <sharky> has placed SANDSTONE at X= -492, Y= 79, Z= -483
[2024-03-19 11:27:32] [world] The Player <TurtleDuck> has placed WOOD at X= -580, Y= 58, Z= 274
[2024-03-19 11:27:33] [world] The Player <sharky> has placed SANDSTONE at X= -491, Y= 79, Z= -483
[2024-03-19 11:27:34] [world] The Player <sharky> has placed SANDSTONE at X= -491, Y= 79, Z= -482
[2024-03-19 11:27:34] [world] The Player <sharky> has placed SANDSTONE at X= -492, Y= 79, Z= -482
[2024-03-19 11:27:34] [world] The Player <TurtleDuck> has placed WOOD at X= -580, Y= 55, Z= 269
[2024-03-19 11:27:35] [world] The Player <TurtleDuck> has placed WOOD at X= -580, Y= 55, Z= 270
[2024-03-19 11:27:36] [world] The Player <TurtleDuck> has placed WOOD at X= -580, Y= 56, Z= 269
[2024-03-19 11:27:36] [world] The Player <sharky> has placed SANDSTONE at X= -491, Y= 79, Z= -479
[2024-03-19 11:27:37] [world] The Player <sharky> has placed SANDSTONE at X= -492, Y= 79, Z= -479
[2024-03-19 11:27:37] [world] The Player <TurtleDuck> has placed WOOD at X= -580, Y= 58, Z= 269
[2024-03-19 11:27:37] [world] The Player <sharky> has placed SANDSTONE at X= -491, Y= 79, Z= -480
[2024-03-19 11:27:38] [world] The Player <sharky> has placed SANDSTONE at X= -492, Y= 79, Z= -480
[2024-03-19 11:27:38] [world] The Player <TurtleDuck> has placed WOOD at X= -580, Y= 57, Z= 269
[2024-03-19 11:27:38] [world] The Player <sharky> has placed SANDSTONE at X= -491, Y= 79, Z= -481
[2024-03-19 11:27:39] [world] The Player <sharky> has placed SANDSTONE at X= -492, Y= 79, Z= -481
[2024-03-19 11:27:49] [world] The Player <TurtleDuck> has placed GLASS at X= -581, Y= 57, Z= 269
[2024-03-19 11:27:50] [world] The Player <TurtleDuck> has placed GLASS at X= -582, Y= 57, Z= 269
[2024-03-19 11:27:50] [world] The Player <TurtleDuck> has placed GLASS at X= -583, Y= 57, Z= 269
[2024-03-19 11:27:50] [world] The Player <TurtleDuck> has placed GLASS at X= -583, Y= 57, Z= 270
[2024-03-19 11:27:51] [world] The Player <TurtleDuck> has placed GLASS at X= -583, Y= 57, Z= 271
[2024-03-19 11:27:53] [world] The Player <sharky> has placed SANDSTONE at X= -478, Y= 72, Z= -492
[2024-03-19 11:27:54] [world] The Player <sharky> has placed SANDSTONE at X= -478, Y= 72, Z= -491
[2024-03-19 11:27:54] [world] The Player <sharky> has placed SANDSTONE at X= -479, Y= 72, Z= -492
[2024-03-19 11:27:55] [world] The Player <sharky> has placed SANDSTONE at X= -480, Y= 72, Z= -492
[2024-03-19 11:27:55] [world] The Player <sharky> has placed SANDSTONE at X= -481, Y= 72, Z= -492
[2024-03-19 11:27:56] [world] The Player <sharky> has placed SANDSTONE at X= -480, Y= 72, Z= -494
[2024-03-19 11:27:57] [world] The Player <sharky> has placed SANDSTONE at X= -480, Y= 72, Z= -493
[2024-03-19 11:27:57] [world] The Player <sharky> has placed SANDSTONE at X= -481, Y= 72, Z= -494
[2024-03-19 11:27:58] [world] The Player <sharky> has placed SANDSTONE at X= -481, Y= 72, Z= -493
[2024-03-19 11:27:58] [world] The Player <sharky> has placed SANDSTONE at X= -480, Y= 73, Z= -494
[2024-03-19 11:27:58] [world] The Player <sharky> has placed SANDSTONE at X= -480, Y= 73, Z= -493
[2024-03-19 11:27:59] [world] The Player <sharky> has placed SANDSTONE at X= -479, Y= 73, Z= -492
[2024-03-19 11:28:02] [world] The Player <sharky> has placed SANDSTONE at X= -483, Y= 75, Z= -490
[2024-03-19 11:28:03] [world] The Player <sharky> has placed SANDSTONE at X= -482, Y= 75, Z= -490
[2024-03-19 11:28:03] [world] The Player <sharky> has placed SANDSTONE at X= -482, Y= 74, Z= -490
[2024-03-19 11:28:04] [world] The Player <sharky> has placed SANDSTONE at X= -481, Y= 75, Z= -490
[2024-03-19 11:28:05] [world] The Player <sharky> has placed SANDSTONE at X= -479, Y= 76, Z= -491
[2024-03-19 11:28:05] [world] The Player <sharky> has placed SANDSTONE at X= -480, Y= 75, Z= -491
[2024-03-19 11:28:07] [world] The Player <sharky> has placed SANDSTONE at X= -480, Y= 76, Z= -491
[2024-03-19 11:28:08] [world] The Player <sharky> has placed SANDSTONE at X= -480, Y= 76, Z= -490
[2024-03-19 11:28:08] [world] The Player <TurtleDuck> has placed GLASS at X= -581, Y= 59, Z= 274
[2024-03-19 11:28:08] [world] The Player <sharky> has placed SANDSTONE at X= -480, Y= 75, Z= -490
[2024-03-19 11:28:09] [world] The Player <sharky> has placed SANDSTONE at X= -478, Y= 75, Z= -491
[2024-03-19 11:28:09] [world] The Player <sharky> has placed SANDSTONE at X= -479, Y= 75, Z= -491
[2024-03-19 11:28:10] [world] The Player <TurtleDuck> has placed GLASS at X= -581, Y= 58, Z= 274
[2024-03-19 11:28:10] [world] The Player <TurtleDuck> has placed GLASS at X= -582, Y= 58, Z= 274
[2024-03-19 11:28:11] [world] The Player <TurtleDuck> has placed GLASS at X= -583, Y= 58, Z= 274
[2024-03-19 11:28:11] [world] The Player <sharky> has placed SANDSTONE at X= -482, Y= 75, Z= -488
[2024-03-19 11:28:11] [world] The Player <TurtleDuck> has placed GLASS at X= -583, Y= 58, Z= 273
[2024-03-19 11:28:12] [world] The Player <TurtleDuck> has placed GLASS at X= -583, Y= 58, Z= 272
[2024-03-19 11:28:12] [world] The Player <TurtleDuck> has placed GLASS at X= -583, Y= 58, Z= 271
[2024-03-19 11:28:13] [world] The Player <sharky> has placed SANDSTONE at X= -483, Y= 78, Z= -489
[2024-03-19 11:28:13] [world] The Player <TurtleDuck> has placed GLASS at X= -583, Y= 59, Z= 270
[2024-03-19 11:28:14] [world] The Player <sharky> has placed SANDSTONE at X= -483, Y= 77, Z= -489
[2024-03-19 11:28:14] [world] The Player <TurtleDuck> has placed GLASS at X= -583, Y= 58, Z= 270
[2024-03-19 11:28:14] [world] The Player <TurtleDuck> has placed GLASS at X= -583, Y= 58, Z= 269
[2024-03-19 11:28:15] [world] The Player <TurtleDuck> has placed GLASS at X= -582, Y= 58, Z= 269
[2024-03-19 11:28:16] [world] The Player <TurtleDuck> has placed GLASS at X= -581, Y= 58, Z= 269
[2024-03-19 11:28:17] [world] The Player <TurtleDuck> has placed GLASS at X= -582, Y= 58, Z= 270
[2024-03-19 11:28:18] [world] The Player <TurtleDuck> has placed GLASS at X= -582, Y= 58, Z= 271
[2024-03-19 11:28:18] [world] The Player <sharky> has placed SANDSTONE at X= -483, Y= 76, Z= -489
[2024-03-19 11:28:18] [world] The Player <TurtleDuck> has placed GLASS at X= -582, Y= 58, Z= 272
[2024-03-19 11:28:19] [world] The Player <sharky> has placed SANDSTONE at X= -482, Y= 76, Z= -489
[2024-03-19 11:28:19] [world] The Player <TurtleDuck> has placed GLASS at X= -582, Y= 58, Z= 273
[2024-03-19 11:28:19] [world] The Player <TurtleDuck> has placed GLASS at X= -581, Y= 58, Z= 273
[2024-03-19 11:28:20] [world] The Player <TurtleDuck> has placed GLASS at X= -581, Y= 58, Z= 272
[2024-03-19 11:28:21] [world] The Player <TurtleDuck> has placed GLASS at X= -581, Y= 58, Z= 271
[2024-03-19 11:28:23] [world] The Player <sharky> has placed SANDSTONE at X= -481, Y= 76, Z= -490
[2024-03-19 11:28:35] [world] The Player <TurtleDuck> has placed GLASS at X= -581, Y= 57, Z= 269
[2024-03-19 11:28:37] [world] The Player <TurtleDuck> has placed GLASS at X= -581, Y= 58, Z= 270
