[2024-03-31 13:21:31] [world] The Player <Tester> has placed QUARTZ_BLOCK at X= -557, Y= 72, Z= -244
[2024-03-31 13:22:23] [world] The Player <Tester> has placed WALL_SIGN at X= -556, Y= 73, Z= -243
[2024-03-31 13:23:08] [world] The Player <Tester> has placed POWERED_RAIL at X= -556, Y= 64, Z= -146
[2024-03-31 13:23:09] [world] The Player <Tester> has placed POWERED_RAIL at X= -556, Y= 64, Z= -145
[2024-03-31 13:23:09] [world] The Player <Tester> has placed POWERED_RAIL at X= -556, Y= 64, Z= -144
[2024-03-31 13:23:09] [world] The Player <Tester> has placed POWERED_RAIL at X= -556, Y= 64, Z= -143
[2024-03-31 13:23:10] [world] The Player <Tester> has placed POWERED_RAIL at X= -556, Y= 64, Z= -142
[2024-03-31 13:23:10] [world] The Player <Tester> has placed POWERED_RAIL at X= -556, Y= 64, Z= -141
[2024-03-31 13:23:11] [world] The Player <Tester> has placed POWERED_RAIL at X= -556, Y= 64, Z= -140
[2024-03-31 13:23:11] [world] The Player <Tester> has placed POWERED_RAIL at X= -556, Y= 64, Z= -139
[2024-03-31 13:23:12] [world] The Player <Tester> has placed POWERED_RAIL at X= -556, Y= 63, Z= -138
[2024-03-31 13:23:12] [world] The Player <Tester> has placed POWERED_RAIL at X= -556, Y= 63, Z= -137
[2024-03-31 13:23:14] [world] The Player <Tester> has placed POWERED_RAIL at X= -556, Y= 63, Z= -136
[2024-03-31 13:23:14] [world] The Player <Tester> has placed POWERED_RAIL at X= -556, Y= 63, Z= -135
[2024-03-31 13:23:15] [world] The Player <Tester> has placed POWERED_RAIL at X= -556, Y= 63, Z= -133
[2024-03-31 13:23:15] [world] The Player <Tester> has placed POWERED_RAIL at X= -556, Y= 63, Z= -132
[2024-03-31 13:23:16] [world] The Player <Tester> has placed POWERED_RAIL at X= -556, Y= 63, Z= -134
[2024-03-31 13:23:20] [world] The Player <Tester> has placed REDSTONE_BLOCK at X= -556, Y= 62, Z= -138
[2024-03-31 13:23:22] [world] The Player <Tester> has placed GLOWSTONE at X= -557, Y= 62, Z= -138
[2024-03-31 13:23:23] [world] The Player <Tester> has placed POWERED_RAIL at X= -556, Y= 63, Z= -138
[2024-03-31 13:23:28] [world] The Player <Tester> has placed POWERED_RAIL at X= -556, Y= 63, Z= -131
[2024-03-31 13:24:40] [world] The Player <Tester> has placed QUARTZ_BLOCK at X= -557, Y= 62, Z= -132
[2024-03-31 13:24:40] [world] The Player <Tester> has placed QUARTZ_BLOCK at X= -557, Y= 62, Z= -131
[2024-03-31 13:24:40] [world] The Player <Tester> has placed QUARTZ_BLOCK at X= -557, Y= 62, Z= -130
[2024-03-31 13:24:42] [world] The Player <Tester> has placed QUARTZ_BLOCK at X= -557, Y= 62, Z= -129
[2024-03-31 13:24:45] [world] The Player <Tester> has placed POWERED_RAIL at X= -556, Y= 62, Z= -130
[2024-03-31 13:24:46] [world] The Player <Tester> has placed POWERED_RAIL at X= -556, Y= 62, Z= -129
[2024-03-31 13:24:48] [world] The Player <Tester> has placed POWERED_RAIL at X= -556, Y= 62, Z= -128
[2024-03-31 13:24:48] [world] The Player <Tester> has placed POWERED_RAIL at X= -556, Y= 62, Z= -127
[2024-03-31 13:24:49] [world] The Player <Tester> has placed POWERED_RAIL at X= -556, Y= 62, Z= -126
[2024-03-31 13:24:50] [world] The Player <Tester> has placed POWERED_RAIL at X= -556, Y= 61, Z= -125
[2024-03-31 13:24:51] [world] The Player <Tester> has placed POWERED_RAIL at X= -556, Y= 61, Z= -124
[2024-03-31 13:24:52] [world] The Player <Tester> has placed POWERED_RAIL at X= -556, Y= 60, Z= -123
[2024-03-31 13:24:54] [world] The Player <Tester> has placed POWERED_RAIL at X= -556, Y= 59, Z= -122
[2024-03-31 13:24:55] [world] The Player <Tester> has placed POWERED_RAIL at X= -556, Y= 57, Z= -121
[2024-03-31 13:24:59] [world] The Player <Tester> has placed POWERED_RAIL at X= -556, Y= 56, Z= -120
[2024-03-31 13:25:00] [world] The Player <Tester> has placed POWERED_RAIL at X= -556, Y= 56, Z= -119
[2024-03-31 13:25:00] [world] The Player <Tester> has placed POWERED_RAIL at X= -556, Y= 56, Z= -118
[2024-03-31 13:25:01] [world] The Player <Tester> has placed POWERED_RAIL at X= -556, Y= 56, Z= -117
[2024-03-31 13:25:02] [world] The Player <Tester> has placed POWERED_RAIL at X= -556, Y= 56, Z= -116
[2024-03-31 13:25:02] [world] The Player <Tester> has placed POWERED_RAIL at X= -556, Y= 56, Z= -114
[2024-03-31 13:25:03] [world] The Player <Tester> has placed POWERED_RAIL at X= -556, Y= 56, Z= -115
[2024-03-31 13:25:04] [world] The Player <Tester> has placed POWERED_RAIL at X= -556, Y= 56, Z= -113
[2024-03-31 13:25:04] [world] The Player <Tester> has placed POWERED_RAIL at X= -556, Y= 56, Z= -111
[2024-03-31 13:25:05] [world] The Player <Tester> has placed POWERED_RAIL at X= -556, Y= 56, Z= -112
[2024-03-31 13:25:06] [world] The Player <Tester> has placed POWERED_RAIL at X= -556, Y= 57, Z= -110
[2024-03-31 13:25:07] [world] The Player <Tester> has placed POWERED_RAIL at X= -556, Y= 58, Z= -109
[2024-03-31 13:25:10] [world] The Player <Tester> has placed POWERED_RAIL at X= -556, Y= 59, Z= -108
[2024-03-31 13:25:11] [world] The Player <Tester> has placed POWERED_RAIL at X= -556, Y= 60, Z= -107
[2024-03-31 13:25:14] [world] The Player <Tester> has placed QUARTZ_BLOCK at X= -556, Y= 60, Z= -106
[2024-03-31 13:25:15] [world] The Player <Tester> has placed QUARTZ_BLOCK at X= -556, Y= 60, Z= -105
[2024-03-31 13:25:15] [world] The Player <Tester> has placed QUARTZ_BLOCK at X= -556, Y= 61, Z= -105
[2024-03-31 13:25:17] [world] The Player <Tester> has placed QUARTZ_BLOCK at X= -556, Y= 60, Z= -104
[2024-03-31 13:25:18] [world] The Player <Tester> has placed QUARTZ_BLOCK at X= -556, Y= 61, Z= -104
[2024-03-31 13:25:18] [world] The Player <Tester> has placed QUARTZ_BLOCK at X= -556, Y= 62, Z= -104
[2024-03-31 13:25:20] [world] The Player <Tester> has placed POWERED_RAIL at X= -556, Y= 61, Z= -106
[2024-03-31 13:25:23] [world] The Player <Tester> has placed POWERED_RAIL at X= -556, Y= 62, Z= -105
[2024-03-31 13:25:24] [world] The Player <Tester> has placed POWERED_RAIL at X= -556, Y= 63, Z= -104
[2024-03-31 13:25:31] [world] The Player <Tester> has placed REDSTONE_BLOCK at X= -556, Y= 61, Z= -129
[2024-03-31 13:25:33] [world] The Player <Tester> has placed POWERED_RAIL at X= -556, Y= 62, Z= -129
[2024-03-31 13:25:35] [world] The Player <Tester> has placed GLOWSTONE at X= -555, Y= 62, Z= -129
[2024-03-31 13:25:43] [world] The Player <Tester> has placed REDSTONE_BLOCK at X= -556, Y= 56, Z= -121
[2024-03-31 13:25:45] [world] The Player <Tester> has placed GLOWSTONE at X= -557, Y= 56, Z= -121
[2024-03-31 13:25:46] [world] The Player <Tester> has placed POWERED_RAIL at X= -556, Y= 57, Z= -121
[2024-03-31 13:25:47] [world] The Player <Tester> has placed POWERED_RAIL at X= -556, Y= 56, Z= -120
[2024-03-31 13:25:51] [world] The Player <Tester> has placed REDSTONE_BLOCK at X= -556, Y= 55, Z= -111
[2024-03-31 13:25:51] [world] The Player <Tester> has placed POWERED_RAIL at X= -556, Y= 56, Z= -111
[2024-03-31 13:25:55] [world] The Player <Tester> has placed GLOWSTONE at X= -555, Y= 55, Z= -111
[2024-03-31 13:25:57] [world] The Player <Tester> has placed QUARTZ_BLOCK at X= -555, Y= 55, Z= -110
[2024-03-31 13:26:34] [world] The Player <Char> has placed LADDER at X= -597, Y= 75, Z= 256
[2024-03-31 13:26:35] [world] The Player <Char> has placed LADDER at X= -597, Y= 76, Z= 256
[2024-03-31 13:26:35] [world] The Player <Char> has placed LADDER at X= -597, Y= 77, Z= 256
[2024-03-31 13:26:39] [world] The Player <Char> has placed REDSTONE_LAMP_OFF at X= -596, Y= 77, Z= 256
[2024-03-31 13:26:45] [world] The Player <Char> has placed WALL_SIGN at X= -597, Y= 77, Z= 256
[2024-03-31 13:26:47] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 62, Z= -128
[2024-03-31 13:26:48] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 62, Z= -127
[2024-03-31 13:26:48] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 62, Z= -126
[2024-03-31 13:26:49] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 62, Z= -125
[2024-03-31 13:26:50] [world] The Player <Tester> has placed STAINED_GLASS at X= -555, Y= 62, Z= -128
[2024-03-31 13:26:50] [world] The Player <Tester> has placed STAINED_GLASS at X= -555, Y= 62, Z= -127
[2024-03-31 13:26:51] [world] The Player <Tester> has placed STAINED_GLASS at X= -555, Y= 62, Z= -126
[2024-03-31 13:26:52] [world] The Player <Tester> has placed STAINED_GLASS at X= -555, Y= 62, Z= -125
[2024-03-31 13:26:52] [world] The Player <Tester> has placed STAINED_GLASS at X= -555, Y= 62, Z= -124
[2024-03-31 13:26:53] [world] The Player <Tester> has placed STAINED_GLASS at X= -555, Y= 61, Z= -123
[2024-03-31 13:26:53] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 60, Z= -125
[2024-03-31 13:26:54] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 60, Z= -124
[2024-03-31 13:26:54] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 61, Z= -125
[2024-03-31 13:26:54] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 61, Z= -124
[2024-03-31 13:26:55] [world] The Player <Tester> has placed STAINED_GLASS at X= -556, Y= 61, Z= -123
[2024-03-31 13:26:57] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 59, Z= -123
[2024-03-31 13:26:57] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 60, Z= -123
[2024-03-31 13:26:58] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 58, Z= -122
[2024-03-31 13:26:59] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 59, Z= -122
[2024-03-31 13:26:59] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 60, Z= -122
[2024-03-31 13:27:00] [world] The Player <Tester> has placed STAINED_GLASS at X= -555, Y= 60, Z= -122
[2024-03-31 13:27:00] [world] The Player <Tester> has placed STAINED_GLASS at X= -555, Y= 59, Z= -121
[2024-03-31 13:27:02] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 57, Z= -121
[2024-03-31 13:27:12] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 56, Z= -120
[2024-03-31 13:27:13] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 57, Z= -120
[2024-03-31 13:27:14] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 58, Z= -121
[2024-03-31 13:27:14] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 58, Z= -120
[2024-03-31 13:27:15] [world] The Player <Tester> has placed STAINED_GLASS at X= -555, Y= 58, Z= -120
[2024-03-31 13:27:15] [world] The Player <Tester> has placed STAINED_GLASS at X= -555, Y= 57, Z= -119
[2024-03-31 13:27:17] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 56, Z= -119
[2024-03-31 13:27:17] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 57, Z= -119
[2024-03-31 13:27:20] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 63, Z= -132
[2024-03-31 13:27:20] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 63, Z= -131
[2024-03-31 13:27:21] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 63, Z= -130
[2024-03-31 13:27:21] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 63, Z= -129
[2024-03-31 13:27:22] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 63, Z= -128
[2024-03-31 13:27:23] [world] The Player <Tester> has placed STAINED_GLASS at X= -555, Y= 63, Z= -132
[2024-03-31 13:27:24] [world] The Player <Tester> has placed STAINED_GLASS at X= -555, Y= 63, Z= -131
[2024-03-31 13:27:24] [world] The Player <Tester> has placed STAINED_GLASS at X= -555, Y= 63, Z= -130
[2024-03-31 13:27:24] [world] The Player <Tester> has placed STAINED_GLASS at X= -555, Y= 63, Z= -129
[2024-03-31 13:27:25] [world] The Player <Tester> has placed STAINED_GLASS at X= -555, Y= 63, Z= -128
[2024-03-31 13:27:25] [world] The Player <Tester> has placed STAINED_GLASS at X= -555, Y= 63, Z= -127
[2024-03-31 13:27:28] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 63, Z= -127
[2024-03-31 13:27:29] [world] The Player <Tester> has placed STAINED_GLASS at X= -555, Y= 64, Z= -132
[2024-03-31 13:27:30] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 64, Z= -132
[2024-03-31 13:27:30] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 65, Z= -132
[2024-03-31 13:27:31] [world] The Player <Tester> has placed STAINED_GLASS at X= -556, Y= 65, Z= -132
[2024-03-31 13:27:32] [world] The Player <Tester> has placed STAINED_GLASS at X= -555, Y= 64, Z= -131
[2024-03-31 13:27:33] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 64, Z= -131
[2024-03-31 13:27:34] [world] The Player <Tester> has placed STAINED_GLASS at X= -555, Y= 65, Z= -132
[2024-03-31 13:27:35] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 64, Z= -130
[2024-03-31 13:27:36] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 64, Z= -129
[2024-03-31 13:27:37] [world] The Player <Tester> has placed STAINED_GLASS at X= -555, Y= 64, Z= -130
[2024-03-31 13:27:38] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 65, Z= -131
[2024-03-31 13:27:38] [world] The Player <Tester> has placed STAINED_GLASS at X= -556, Y= 65, Z= -131
[2024-03-31 13:27:39] [world] The Player <Tester> has placed STAINED_GLASS at X= -555, Y= 65, Z= -131
[2024-03-31 13:27:39] [world] The Player <Tester> has placed STAINED_GLASS at X= -555, Y= 65, Z= -130
[2024-03-31 13:27:40] [world] The Player <Tester> has placed STAINED_GLASS at X= -556, Y= 64, Z= -130
[2024-03-31 13:27:41] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 65, Z= -130
[2024-03-31 13:27:42] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 65, Z= -129
[2024-03-31 13:27:42] [world] The Player <Char> has placed REDSTONE_TORCH_ON at X= -599, Y= 75, Z= 255
[2024-03-31 13:27:42] [world] The Player <Tester> has placed STAINED_GLASS at X= -556, Y= 65, Z= -130
[2024-03-31 13:27:45] [world] The Player <Tester> has placed STAINED_GLASS at X= -555, Y= 65, Z= -129
[2024-03-31 13:27:45] [world] The Player <Tester> has placed STAINED_GLASS at X= -555, Y= 64, Z= -129
[2024-03-31 13:27:48] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 64, Z= -128
[2024-03-31 13:27:48] [world] The Player <Tester> has placed STAINED_GLASS at X= -555, Y= 64, Z= -128
[2024-03-31 13:27:49] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 64, Z= -127
[2024-03-31 13:27:50] [world] The Player <Tester> has placed STAINED_GLASS at X= -555, Y= 64, Z= -127
[2024-03-31 13:27:50] [world] The Player <Tester> has placed STAINED_GLASS at X= -555, Y= 63, Z= -126
[2024-03-31 13:27:51] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 63, Z= -126
[2024-03-31 13:27:52] [world] The Player <Tester> has placed STAINED_GLASS at X= -556, Y= 65, Z= -129
[2024-03-31 13:27:52] [world] The Player <Tester> has placed STAINED_GLASS at X= -556, Y= 65, Z= -128
[2024-03-31 13:27:53] [world] The Player <Tester> has placed STAINED_GLASS at X= -556, Y= 65, Z= -127
[2024-03-31 13:27:54] [world] The Player <Tester> has placed STAINED_GLASS at X= -555, Y= 64, Z= -126
[2024-03-31 13:27:55] [world] The Player <Tester> has placed STAINED_GLASS at X= -556, Y= 64, Z= -126
[2024-03-31 13:27:55] [world] The Player <Char> has placed LEVER at X= -597, Y= 75, Z= 254
[2024-03-31 13:27:56] [world] The Player <Tester> has placed STAINED_GLASS at X= -555, Y= 63, Z= -125
[2024-03-31 13:27:57] [world] The Player <Tester> has placed STAINED_GLASS at X= -556, Y= 63, Z= -125
[2024-03-31 13:27:59] [world] The Player <Char> has placed LEVER at X= -595, Y= 75, Z= 256
[2024-03-31 13:28:01] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 63, Z= -125
[2024-03-31 13:28:01] [world] The Player <Char> has placed LEVER at X= -597, Y= 75, Z= 258
[2024-03-31 13:28:02] [world] The Player <Tester> has placed STAINED_GLASS at X= -555, Y= 63, Z= -125
[2024-03-31 13:28:03] [world] The Player <Tester> has placed STAINED_GLASS at X= -556, Y= 64, Z= -125
[2024-03-31 13:28:04] [world] The Player <Char> has placed LEVER at X= -599, Y= 75, Z= 256
[2024-03-31 13:28:07] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 63, Z= -133
[2024-03-31 13:28:07] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 64, Z= -133
[2024-03-31 13:28:08] [world] The Player <Tester> has placed STAINED_GLASS at X= -555, Y= 63, Z= -133
[2024-03-31 13:28:09] [world] The Player <Tester> has placed STAINED_GLASS at X= -555, Y= 64, Z= -133
[2024-03-31 13:28:09] [world] The Player <Tester> has placed STAINED_GLASS at X= -555, Y= 65, Z= -133
[2024-03-31 13:28:10] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 65, Z= -133
[2024-03-31 13:28:10] [world] The Player <Char> has placed LEVER at X= -597, Y= 76, Z= 254
[2024-03-31 13:28:10] [world] The Player <Tester> has placed STAINED_GLASS at X= -556, Y= 65, Z= -133
[2024-03-31 13:28:12] [world] The Player <Char> has placed LEVER at X= -597, Y= 77, Z= 254
[2024-03-31 13:28:17] [world] The Player <Tester> has placed STAINED_GLASS at X= -555, Y= 57, Z= -118
[2024-03-31 13:28:18] [world] The Player <Tester> has placed STAINED_GLASS at X= -555, Y= 57, Z= -117
[2024-03-31 13:28:18] [world] The Player <Char> has placed LEVER at X= -597, Y= 77, Z= 254
[2024-03-31 13:28:19] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 56, Z= -118
[2024-03-31 13:28:19] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 56, Z= -117
[2024-03-31 13:28:19] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 56, Z= -116
[2024-03-31 13:28:19] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 56, Z= -115
[2024-03-31 13:28:21] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 56, Z= -113
[2024-03-31 13:28:21] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 56, Z= -114
[2024-03-31 13:28:21] [world] The Player <Char> has placed LEVER at X= -597, Y= 77, Z= 254
[2024-03-31 13:28:21] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 57, Z= -112
[2024-03-31 13:28:23] [world] The Player <Tester> has placed STAINED_GLASS at X= -555, Y= 56, Z= -111
[2024-03-31 13:28:24] [world] The Player <Tester> has placed STAINED_GLASS at X= -555, Y= 56, Z= -112
[2024-03-31 13:28:24] [world] The Player <Tester> has placed STAINED_GLASS at X= -555, Y= 56, Z= -113
[2024-03-31 13:28:25] [world] The Player <Tester> has placed STAINED_GLASS at X= -555, Y= 56, Z= -114
[2024-03-31 13:28:26] [world] The Player <Tester> has placed STAINED_GLASS at X= -555, Y= 56, Z= -116
[2024-03-31 13:28:26] [world] The Player <Tester> has placed STAINED_GLASS at X= -555, Y= 56, Z= -115
[2024-03-31 13:28:26] [world] The Player <Tester> has placed STAINED_GLASS at X= -555, Y= 57, Z= -116
[2024-03-31 13:28:27] [world] The Player <Tester> has placed STAINED_GLASS at X= -555, Y= 57, Z= -115
[2024-03-31 13:28:27] [world] The Player <Tester> has placed STAINED_GLASS at X= -555, Y= 57, Z= -114
[2024-03-31 13:28:28] [world] The Player <Tester> has placed STAINED_GLASS at X= -555, Y= 57, Z= -111
[2024-03-31 13:28:28] [world] The Player <Tester> has placed STAINED_GLASS at X= -555, Y= 57, Z= -112
[2024-03-31 13:28:29] [world] The Player <Tester> has placed STAINED_GLASS at X= -555, Y= 57, Z= -113
[2024-03-31 13:28:29] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 58, Z= -111
[2024-03-31 13:28:30] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 58, Z= -112
[2024-03-31 13:28:31] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 57, Z= -113
[2024-03-31 13:28:32] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 57, Z= -114
[2024-03-31 13:28:32] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 57, Z= -115
[2024-03-31 13:28:33] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 57, Z= -116
[2024-03-31 13:28:33] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 57, Z= -117
[2024-03-31 13:28:35] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 57, Z= -118
[2024-03-31 13:28:36] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 58, Z= -119
[2024-03-31 13:28:37] [world] The Player <Tester> has placed STAINED_GLASS at X= -555, Y= 58, Z= -119
[2024-03-31 13:28:38] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 59, Z= -121
[2024-03-31 13:28:42] [world] The Player <Tester> has placed STAINED_GLASS at X= -556, Y= 64, Z= -124
[2024-03-31 13:28:43] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 62, Z= -124
[2024-03-31 13:28:45] [world] The Player <Tester> has placed STAINED_GLASS at X= -556, Y= 63, Z= -124
[2024-03-31 13:29:02] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 61, Z= -123
[2024-03-31 13:29:05] [world] The Player <Tester> has placed STAINED_GLASS at X= -555, Y= 62, Z= -123
[2024-03-31 13:29:07] [world] The Player <Tester> has placed STAINED_GLASS at X= -556, Y= 64, Z= -123
[2024-03-31 13:29:08] [world] The Player <Tester> has placed STAINED_GLASS at X= -556, Y= 63, Z= -123
[2024-03-31 13:29:13] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 62, Z= -123
[2024-03-31 13:29:13] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 61, Z= -122
[2024-03-31 13:29:14] [world] The Player <Tester> has placed STAINED_GLASS at X= -555, Y= 61, Z= -122
[2024-03-31 13:29:15] [world] The Player <Tester> has placed STAINED_GLASS at X= -555, Y= 62, Z= -122
[2024-03-31 13:29:16] [world] The Player <Tester> has placed STAINED_GLASS at X= -556, Y= 62, Z= -122
[2024-03-31 13:29:23] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 63, Z= -124
[2024-03-31 13:29:26] [world] The Player <Tester> has placed STAINED_GLASS at X= -555, Y= 63, Z= -124
[2024-03-31 13:29:30] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 60, Z= -121
[2024-03-31 13:29:31] [world] The Player <Tester> has placed STAINED_GLASS at X= -555, Y= 60, Z= -121
[2024-03-31 13:29:33] [world] The Player <Tester> has placed STAINED_GLASS at X= -555, Y= 61, Z= -121
[2024-03-31 13:29:34] [world] The Player <Tester> has placed STAINED_GLASS at X= -555, Y= 61, Z= -120
[2024-03-31 13:29:35] [world] The Player <Tester> has placed STAINED_GLASS at X= -556, Y= 61, Z= -121
[2024-03-31 13:29:40] [world] The Player <Tester> has placed STAINED_GLASS at X= -555, Y= 59, Z= -120
[2024-03-31 13:29:41] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 59, Z= -120
[2024-03-31 13:29:43] [world] The Player <Tester> has placed STAINED_GLASS at X= -555, Y= 60, Z= -120
[2024-03-31 13:29:43] [world] The Player <Tester> has placed STAINED_GLASS at X= -555, Y= 60, Z= -119
[2024-03-31 13:29:44] [world] The Player <Tester> has placed STAINED_GLASS at X= -556, Y= 60, Z= -120
[2024-03-31 13:29:45] [world] The Player <Tester> has placed STAINED_GLASS at X= -557, Y= 60, Z= -120
