[2024-03-17 22:32:53] [world] The Player <bagelz> has crafted 1 of IRON PICKAXE at X= 1049, Y= 75, Z= 2357
[2024-03-17 22:36:26] [world_nether] The Player <Heinrich_Himmler> has crafted 4 of STICK at X= 12499, Y= 128, Z= -3
[2024-03-17 22:36:26] [world_nether] The Player <Heinrich_Himmler> has crafted 4 of STICK at X= 12499, Y= 128, Z= -3
[2024-03-17 22:36:26] [world_nether] The Player <Heinrich_Himmler> has crafted 4 of STICK at X= 12499, Y= 128, Z= -3
[2024-03-17 22:36:27] [world_nether] The Player <Heinrich_Himmler> has crafted 4 of STICK at X= 12499, Y= 128, Z= -3
[2024-03-17 22:36:27] [world_nether] The Player <Heinrich_Himmler> has crafted 4 of STICK at X= 12499, Y= 128, Z= -3
[2024-03-17 22:36:27] [world_nether] The Player <Heinrich_Himmler> has crafted 4 of STICK at X= 12499, Y= 128, Z= -3
[2024-03-17 22:36:27] [world_nether] The Player <Heinrich_Himmler> has crafted 4 of STICK at X= 12499, Y= 128, Z= -3
[2024-03-17 22:36:27] [world_nether] The Player <Heinrich_Himmler> has crafted 4 of STICK at X= 12499, Y= 128, Z= -3
[2024-03-17 22:36:28] [world_nether] The Player <Heinrich_Himmler> has crafted 4 of STICK at X= 12499, Y= 128, Z= -3
[2024-03-17 22:36:28] [world_nether] The Player <Heinrich_Himmler> has crafted 4 of STICK at X= 12499, Y= 128, Z= -3
[2024-03-17 22:36:28] [world_nether] The Player <Heinrich_Himmler> has crafted 4 of STICK at X= 12499, Y= 128, Z= -3
[2024-03-17 22:36:28] [world_nether] The Player <Heinrich_Himmler> has crafted 4 of STICK at X= 12499, Y= 128, Z= -3
[2024-03-17 22:36:28] [world_nether] The Player <Heinrich_Himmler> has crafted 4 of STICK at X= 12499, Y= 128, Z= -3
[2024-03-17 22:36:31] [world_nether] The Player <Heinrich_Himmler> has crafted 4 of STICK at X= 12499, Y= 128, Z= -3
[2024-03-17 22:36:31] [world_nether] The Player <Heinrich_Himmler> has crafted 4 of STICK at X= 12499, Y= 128, Z= -3
[2024-03-17 22:36:31] [world_nether] The Player <Heinrich_Himmler> has crafted 4 of STICK at X= 12499, Y= 128, Z= -3
[2024-03-17 22:36:31] [world_nether] The Player <Heinrich_Himmler> has crafted 4 of STICK at X= 12499, Y= 128, Z= -3
[2024-03-17 22:36:32] [world_nether] The Player <Heinrich_Himmler> has crafted 4 of STICK at X= 12499, Y= 128, Z= -3
[2024-03-17 22:36:32] [world_nether] The Player <Heinrich_Himmler> has crafted 4 of STICK at X= 12499, Y= 128, Z= -3
[2024-03-17 22:36:32] [world_nether] The Player <Heinrich_Himmler> has crafted 4 of STICK at X= 12499, Y= 128, Z= -3
[2024-03-17 22:36:32] [world_nether] The Player <Heinrich_Himmler> has crafted 4 of STICK at X= 12499, Y= 128, Z= -3
[2024-03-17 22:36:33] [world_nether] The Player <Heinrich_Himmler> has crafted 4 of STICK at X= 12499, Y= 128, Z= -3
[2024-03-17 22:36:33] [world_nether] The Player <Heinrich_Himmler> has crafted 4 of STICK at X= 12499, Y= 128, Z= -3
[2024-03-17 22:36:33] [world_nether] The Player <Heinrich_Himmler> has crafted 4 of STICK at X= 12499, Y= 128, Z= -3
[2024-03-17 22:36:33] [world_nether] The Player <Heinrich_Himmler> has crafted 4 of STICK at X= 12499, Y= 128, Z= -3
[2024-03-17 22:36:33] [world_nether] The Player <Heinrich_Himmler> has crafted 4 of STICK at X= 12499, Y= 128, Z= -3
[2024-03-17 22:36:34] [world_nether] The Player <Heinrich_Himmler> has crafted 4 of STICK at X= 12499, Y= 128, Z= -3
[2024-03-17 22:36:34] [world_nether] The Player <Heinrich_Himmler> has crafted 4 of STICK at X= 12499, Y= 128, Z= -3
[2024-03-17 22:36:34] [world_nether] The Player <Heinrich_Himmler> has crafted 4 of STICK at X= 12499, Y= 128, Z= -3
[2024-03-17 22:38:15] [world_nether] The Player <Heinrich_Himmler> has crafted 3 of LADDER at X= 12499, Y= 128, Z= -3
[2024-03-17 22:38:15] [world_nether] The Player <Heinrich_Himmler> has crafted 3 of LADDER at X= 12499, Y= 128, Z= -3
[2024-03-17 22:38:16] [world_nether] The Player <Heinrich_Himmler> has crafted 3 of LADDER at X= 12499, Y= 128, Z= -3
[2024-03-17 22:38:16] [world_nether] The Player <Heinrich_Himmler> has crafted 3 of LADDER at X= 12499, Y= 128, Z= -3
[2024-03-17 22:38:16] [world_nether] The Player <Heinrich_Himmler> has crafted 3 of LADDER at X= 12499, Y= 128, Z= -3
[2024-03-17 22:38:16] [world_nether] The Player <Heinrich_Himmler> has crafted 3 of LADDER at X= 12499, Y= 128, Z= -3
[2024-03-17 22:38:16] [world_nether] The Player <Heinrich_Himmler> has crafted 3 of LADDER at X= 12499, Y= 128, Z= -3
[2024-03-17 22:38:17] [world_nether] The Player <Heinrich_Himmler> has crafted 3 of LADDER at X= 12499, Y= 128, Z= -3
[2024-03-17 22:38:17] [world_nether] The Player <Heinrich_Himmler> has crafted 3 of LADDER at X= 12499, Y= 128, Z= -3
[2024-03-17 22:38:17] [world_nether] The Player <Heinrich_Himmler> has crafted 3 of LADDER at X= 12499, Y= 128, Z= -3
[2024-03-17 22:38:17] [world_nether] The Player <Heinrich_Himmler> has crafted 3 of LADDER at X= 12499, Y= 128, Z= -3
[2024-03-17 22:38:17] [world_nether] The Player <Heinrich_Himmler> has crafted 3 of LADDER at X= 12499, Y= 128, Z= -3
[2024-03-17 22:38:18] [world_nether] The Player <Heinrich_Himmler> has crafted 3 of LADDER at X= 12499, Y= 128, Z= -3
[2024-03-17 22:38:18] [world_nether] The Player <Heinrich_Himmler> has crafted 3 of LADDER at X= 12499, Y= 128, Z= -3
[2024-03-17 22:38:18] [world_nether] The Player <Heinrich_Himmler> has crafted 3 of LADDER at X= 12499, Y= 128, Z= -3
[2024-03-17 22:38:18] [world_nether] The Player <Heinrich_Himmler> has crafted 3 of LADDER at X= 12499, Y= 128, Z= -3
[2024-03-17 22:38:18] [world_nether] The Player <Heinrich_Himmler> has crafted 3 of LADDER at X= 12499, Y= 128, Z= -3
[2024-03-17 22:38:19] [world_nether] The Player <Heinrich_Himmler> has crafted 3 of LADDER at X= 12499, Y= 128, Z= -3
[2024-03-17 22:43:37] [world] The Player <bagelz> has crafted 1 of IRON PICKAXE at X= 1049, Y= 75, Z= 2357
[2024-03-17 22:48:22] [world] The Player <Brycethelegend> has crafted 1 of IRON PICKAXE at X= -1593, Y= 12, Z= -208
[2024-03-17 22:49:03] [world] The Player <bagelz> has crafted 6 of STEP at X= 1050, Y= 75, Z= 2357
[2024-03-17 22:49:03] [world] The Player <bagelz> has crafted 6 of STEP at X= 1050, Y= 75, Z= 2357
[2024-03-17 22:49:03] [world] The Player <bagelz> has crafted 6 of STEP at X= 1050, Y= 75, Z= 2357
[2024-03-17 22:49:03] [world] The Player <bagelz> has crafted 6 of STEP at X= 1050, Y= 75, Z= 2357
[2024-03-17 22:49:03] [world] The Player <bagelz> has crafted 6 of STEP at X= 1050, Y= 75, Z= 2357
[2024-03-17 22:49:03] [world] The Player <bagelz> has crafted 6 of STEP at X= 1050, Y= 75, Z= 2357
[2024-03-17 22:49:04] [world] The Player <bagelz> has crafted 6 of STEP at X= 1050, Y= 75, Z= 2357
[2024-03-17 22:49:04] [world] The Player <bagelz> has crafted 6 of STEP at X= 1050, Y= 75, Z= 2357
[2024-03-17 22:49:04] [world] The Player <bagelz> has crafted 6 of STEP at X= 1050, Y= 75, Z= 2357
[2024-03-17 22:49:04] [world] The Player <bagelz> has crafted 6 of STEP at X= 1050, Y= 75, Z= 2357
[2024-03-17 22:49:04] [world] The Player <bagelz> has crafted 6 of STEP at X= 1050, Y= 75, Z= 2357
[2024-03-17 22:49:04] [world] The Player <bagelz> has crafted 6 of STEP at X= 1050, Y= 75, Z= 2357
[2024-03-17 22:49:04] [world] The Player <bagelz> has crafted 6 of STEP at X= 1050, Y= 75, Z= 2357
[2024-03-17 22:49:04] [world] The Player <bagelz> has crafted 6 of STEP at X= 1050, Y= 75, Z= 2357
[2024-03-17 22:49:06] [world] The Player <bagelz> has crafted 6 of STEP at X= 1050, Y= 75, Z= 2357
[2024-03-17 22:49:06] [world] The Player <bagelz> has crafted 6 of STEP at X= 1050, Y= 75, Z= 2357
[2024-03-17 22:49:06] [world] The Player <bagelz> has crafted 6 of STEP at X= 1050, Y= 75, Z= 2357
[2024-03-17 22:49:06] [world] The Player <bagelz> has crafted 6 of STEP at X= 1050, Y= 75, Z= 2357
[2024-03-17 22:49:06] [world] The Player <bagelz> has crafted 6 of STEP at X= 1050, Y= 75, Z= 2357
[2024-03-17 22:49:07] [world] The Player <bagelz> has crafted 6 of STEP at X= 1050, Y= 75, Z= 2357
[2024-03-17 22:49:07] [world] The Player <bagelz> has crafted 6 of STEP at X= 1050, Y= 75, Z= 2357
[2024-03-17 22:49:07] [world] The Player <bagelz> has crafted 6 of STEP at X= 1050, Y= 75, Z= 2357
[2024-03-17 22:49:07] [world] The Player <bagelz> has crafted 6 of STEP at X= 1050, Y= 75, Z= 2357
[2024-03-17 22:49:07] [world] The Player <bagelz> has crafted 6 of STEP at X= 1050, Y= 75, Z= 2357
[2024-03-17 22:49:07] [world] The Player <bagelz> has crafted 6 of STEP at X= 1050, Y= 75, Z= 2357
[2024-03-17 22:49:07] [world] The Player <bagelz> has crafted 6 of STEP at X= 1050, Y= 75, Z= 2357
[2024-03-17 22:49:08] [world] The Player <bagelz> has crafted 6 of STEP at X= 1050, Y= 75, Z= 2357
[2024-03-17 22:49:08] [world] The Player <bagelz> has crafted 6 of STEP at X= 1050, Y= 75, Z= 2357
[2024-03-17 22:49:09] [world] The Player <bagelz> has crafted 6 of STEP at X= 1050, Y= 75, Z= 2357
[2024-03-17 22:49:09] [world] The Player <bagelz> has crafted 6 of STEP at X= 1050, Y= 75, Z= 2357
[2024-03-17 22:49:09] [world] The Player <bagelz> has crafted 6 of STEP at X= 1050, Y= 75, Z= 2357
[2024-03-17 22:49:10] [world] The Player <bagelz> has crafted 6 of STEP at X= 1050, Y= 75, Z= 2357
[2024-03-17 22:49:10] [world] The Player <bagelz> has crafted 6 of STEP at X= 1050, Y= 75, Z= 2357
[2024-03-17 22:49:10] [world] The Player <bagelz> has crafted 6 of STEP at X= 1050, Y= 75, Z= 2357
[2024-03-17 22:49:10] [world] The Player <bagelz> has crafted 6 of STEP at X= 1050, Y= 75, Z= 2357
[2024-03-17 22:49:10] [world] The Player <bagelz> has crafted 6 of STEP at X= 1050, Y= 75, Z= 2357
[2024-03-17 22:49:10] [world] The Player <bagelz> has crafted 6 of STEP at X= 1050, Y= 75, Z= 2357
[2024-03-17 22:49:10] [world] The Player <bagelz> has crafted 6 of STEP at X= 1050, Y= 75, Z= 2357
[2024-03-17 22:49:10] [world] The Player <bagelz> has crafted 6 of STEP at X= 1050, Y= 75, Z= 2357
[2024-03-17 22:49:12] [world] The Player <bagelz> has crafted 6 of STEP at X= 1050, Y= 75, Z= 2357
[2024-03-17 22:49:18] [world] The Player <bagelz> has crafted 6 of STEP at X= 1050, Y= 75, Z= 2357
[2024-03-17 22:53:26] [world] The Player <bagelz> has crafted 6 of STEP at X= 1049, Y= 75, Z= 2358
[2024-03-17 22:53:26] [world] The Player <bagelz> has crafted 6 of STEP at X= 1049, Y= 75, Z= 2358
[2024-03-17 22:53:44] [world] The Player <bagelz> has crafted 1 of BUCKET at X= 1049, Y= 75, Z= 2357
[2024-03-17 22:53:50] [world] The Player <bagelz> has crafted 1 of BUCKET at X= 1049, Y= 75, Z= 2357
[2024-03-17 22:55:00] [world] The Player <bagelz> has crafted 6 of STEP at X= 1049, Y= 75, Z= 2358
[2024-03-17 22:55:00] [world] The Player <bagelz> has crafted 6 of STEP at X= 1049, Y= 75, Z= 2358
[2024-03-17 22:55:00] [world] The Player <bagelz> has crafted 6 of STEP at X= 1049, Y= 75, Z= 2358
[2024-03-17 22:59:41] [world] The Player <Brycethelegend> has crafted 1 of IRON BOOTS at X= -1594, Y= 13, Z= -209
[2024-03-17 22:59:55] [world] The Player <Brycethelegend> has crafted 1 of IRON CHESTPLATE at X= -1594, Y= 13, Z= -208
[2024-03-17 23:00:09] [world] The Player <Brycethelegend> has crafted 1 of IRON LEGGINGS at X= -1594, Y= 13, Z= -208
[2024-03-17 23:00:16] [world] The Player <Brycethelegend> has crafted 1 of IRON HELMET at X= -1594, Y= 13, Z= -208
[2024-03-17 23:01:48] [world] The Player <bagelz> has crafted 1 of IRON AXE at X= 1049, Y= 75, Z= 2357
[2024-03-17 23:02:15] [world] The Player <Brycethelegend> has crafted 1 of FLINT AND STEEL at X= -1584, Y= 12, Z= -201
[2024-03-17 23:03:30] [world] The Player <bagelz> has crafted 4 of WOOD at X= 984, Y= 76, Z= 2368
[2024-03-17 23:03:30] [world] The Player <bagelz> has crafted 4 of WOOD at X= 984, Y= 76, Z= 2368
[2024-03-17 23:03:30] [world] The Player <bagelz> has crafted 4 of WOOD at X= 984, Y= 76, Z= 2368
[2024-03-17 23:03:31] [world] The Player <bagelz> has crafted 4 of WOOD at X= 984, Y= 76, Z= 2368
[2024-03-17 23:03:31] [world] The Player <bagelz> has crafted 4 of WOOD at X= 984, Y= 76, Z= 2368
[2024-03-17 23:03:31] [world] The Player <bagelz> has crafted 4 of WOOD at X= 984, Y= 76, Z= 2368
[2024-03-17 23:03:31] [world] The Player <bagelz> has crafted 4 of WOOD at X= 984, Y= 76, Z= 2368
[2024-03-17 23:03:31] [world] The Player <bagelz> has crafted 4 of WOOD at X= 984, Y= 76, Z= 2368
[2024-03-17 23:03:31] [world] The Player <bagelz> has crafted 4 of WOOD at X= 984, Y= 76, Z= 2368
[2024-03-17 23:03:31] [world] The Player <bagelz> has crafted 4 of WOOD at X= 984, Y= 76, Z= 2368
[2024-03-17 23:03:31] [world] The Player <bagelz> has crafted 4 of WOOD at X= 984, Y= 76, Z= 2368
[2024-03-17 23:03:32] [world] The Player <bagelz> has crafted 4 of WOOD at X= 984, Y= 76, Z= 2368
[2024-03-17 23:03:32] [world] The Player <bagelz> has crafted 4 of WOOD at X= 984, Y= 76, Z= 2368
[2024-03-17 23:03:32] [world] The Player <bagelz> has crafted 4 of WOOD at X= 984, Y= 76, Z= 2368
[2024-03-17 23:03:32] [world] The Player <bagelz> has crafted 4 of WOOD at X= 984, Y= 76, Z= 2368
[2024-03-17 23:03:32] [world] The Player <bagelz> has crafted 4 of WOOD at X= 984, Y= 76, Z= 2368
[2024-03-17 23:03:32] [world] The Player <bagelz> has crafted 4 of WOOD at X= 984, Y= 76, Z= 2368
[2024-03-17 23:03:32] [world] The Player <bagelz> has crafted 4 of WOOD at X= 984, Y= 76, Z= 2368
[2024-03-17 23:03:32] [world] The Player <bagelz> has crafted 4 of WOOD at X= 984, Y= 76, Z= 2368
[2024-03-17 23:03:33] [world] The Player <bagelz> has crafted 4 of WOOD at X= 984, Y= 76, Z= 2368
[2024-03-17 23:03:34] [world] The Player <bagelz> has crafted 4 of WOOD at X= 984, Y= 76, Z= 2368
[2024-03-17 23:03:34] [world] The Player <bagelz> has crafted 4 of WOOD at X= 984, Y= 76, Z= 2368
[2024-03-17 23:03:34] [world] The Player <bagelz> has crafted 4 of WOOD at X= 984, Y= 76, Z= 2368
[2024-03-17 23:03:35] [world] The Player <bagelz> has crafted 4 of WOOD at X= 984, Y= 76, Z= 2368
[2024-03-17 23:03:35] [world] The Player <bagelz> has crafted 4 of WOOD at X= 984, Y= 76, Z= 2368
[2024-03-17 23:03:35] [world] The Player <bagelz> has crafted 4 of WOOD at X= 984, Y= 76, Z= 2368
[2024-03-17 23:03:35] [world] The Player <bagelz> has crafted 4 of WOOD at X= 984, Y= 76, Z= 2368
[2024-03-17 23:03:35] [world] The Player <bagelz> has crafted 4 of WOOD at X= 984, Y= 76, Z= 2368
[2024-03-17 23:03:35] [world] The Player <bagelz> has crafted 4 of WOOD at X= 984, Y= 76, Z= 2368
[2024-03-17 23:03:36] [world] The Player <bagelz> has crafted 4 of WOOD at X= 984, Y= 76, Z= 2368
[2024-03-17 23:03:36] [world] The Player <bagelz> has crafted 4 of WOOD at X= 984, Y= 76, Z= 2368
[2024-03-17 23:03:36] [world] The Player <bagelz> has crafted 4 of WOOD at X= 984, Y= 76, Z= 2368
[2024-03-17 23:04:51] [world] The Player <bagelz> has crafted 4 of WOOD at X= 953, Y= 75, Z= 2363
[2024-03-17 23:04:51] [world] The Player <bagelz> has crafted 4 of WOOD at X= 953, Y= 75, Z= 2363
[2024-03-17 23:04:51] [world] The Player <bagelz> has crafted 4 of WOOD at X= 953, Y= 75, Z= 2363
[2024-03-17 23:04:51] [world] The Player <bagelz> has crafted 4 of WOOD at X= 953, Y= 75, Z= 2363
[2024-03-17 23:04:52] [world] The Player <bagelz> has crafted 4 of WOOD at X= 953, Y= 75, Z= 2363
[2024-03-17 23:04:52] [world] The Player <bagelz> has crafted 4 of WOOD at X= 953, Y= 75, Z= 2363
[2024-03-17 23:04:52] [world] The Player <bagelz> has crafted 4 of WOOD at X= 953, Y= 75, Z= 2363
[2024-03-17 23:04:52] [world] The Player <bagelz> has crafted 4 of WOOD at X= 953, Y= 75, Z= 2363
[2024-03-17 23:04:52] [world] The Player <bagelz> has crafted 4 of WOOD at X= 953, Y= 75, Z= 2363
[2024-03-17 23:04:52] [world] The Player <bagelz> has crafted 4 of WOOD at X= 953, Y= 75, Z= 2363
[2024-03-17 23:04:53] [world] The Player <bagelz> has crafted 4 of WOOD at X= 953, Y= 75, Z= 2363
[2024-03-17 23:04:53] [world] The Player <bagelz> has crafted 4 of WOOD at X= 953, Y= 75, Z= 2363
[2024-03-17 23:04:53] [world] The Player <bagelz> has crafted 4 of WOOD at X= 953, Y= 75, Z= 2363
[2024-03-17 23:04:53] [world] The Player <bagelz> has crafted 4 of WOOD at X= 953, Y= 75, Z= 2363
[2024-03-17 23:04:53] [world] The Player <bagelz> has crafted 4 of WOOD at X= 953, Y= 75, Z= 2363
[2024-03-17 23:04:53] [world] The Player <bagelz> has crafted 4 of WOOD at X= 953, Y= 75, Z= 2363
[2024-03-17 23:04:54] [world] The Player <bagelz> has crafted 4 of WOOD at X= 953, Y= 75, Z= 2363
[2024-03-17 23:04:54] [world] The Player <bagelz> has crafted 4 of WOOD at X= 953, Y= 75, Z= 2363
[2024-03-17 23:04:54] [world] The Player <bagelz> has crafted 4 of WOOD at X= 953, Y= 75, Z= 2363
[2024-03-17 23:04:55] [world] The Player <bagelz> has crafted 4 of WOOD at X= 953, Y= 75, Z= 2363
[2024-03-17 23:04:55] [world] The Player <bagelz> has crafted 4 of WOOD at X= 953, Y= 75, Z= 2363
[2024-03-17 23:04:56] [world] The Player <bagelz> has crafted 4 of WOOD at X= 953, Y= 75, Z= 2363
[2024-03-17 23:04:56] [world] The Player <bagelz> has crafted 4 of WOOD at X= 953, Y= 75, Z= 2363
[2024-03-17 23:04:56] [world] The Player <bagelz> has crafted 4 of WOOD at X= 953, Y= 75, Z= 2363
[2024-03-17 23:04:56] [world] The Player <bagelz> has crafted 4 of WOOD at X= 953, Y= 75, Z= 2363
[2024-03-17 23:04:56] [world] The Player <bagelz> has crafted 4 of WOOD at X= 953, Y= 75, Z= 2363
[2024-03-17 23:04:56] [world] The Player <bagelz> has crafted 4 of WOOD at X= 953, Y= 75, Z= 2363
[2024-03-17 23:04:57] [world] The Player <bagelz> has crafted 4 of WOOD at X= 953, Y= 75, Z= 2363
[2024-03-17 23:04:57] [world] The Player <bagelz> has crafted 4 of WOOD at X= 953, Y= 75, Z= 2363
[2024-03-17 23:04:57] [world] The Player <bagelz> has crafted 4 of WOOD at X= 953, Y= 75, Z= 2363
[2024-03-17 23:04:57] [world] The Player <bagelz> has crafted 4 of WOOD at X= 953, Y= 75, Z= 2363
[2024-03-17 23:04:58] [world] The Player <bagelz> has crafted 4 of WOOD at X= 953, Y= 75, Z= 2363
[2024-03-17 23:05:46] [world] The Player <bagelz> has crafted 2 of TRAP DOOR at X= 1049, Y= 75, Z= 2357
[2024-03-17 23:05:46] [world] The Player <bagelz> has crafted 2 of TRAP DOOR at X= 1049, Y= 75, Z= 2357
[2024-03-17 23:05:46] [world] The Player <bagelz> has crafted 2 of TRAP DOOR at X= 1049, Y= 75, Z= 2357
[2024-03-17 23:05:46] [world] The Player <bagelz> has crafted 2 of TRAP DOOR at X= 1049, Y= 75, Z= 2357
[2024-03-17 23:05:46] [world] The Player <bagelz> has crafted 2 of TRAP DOOR at X= 1049, Y= 75, Z= 2357
[2024-03-17 23:05:46] [world] The Player <bagelz> has crafted 2 of TRAP DOOR at X= 1049, Y= 75, Z= 2357
[2024-03-17 23:05:46] [world] The Player <bagelz> has crafted 2 of TRAP DOOR at X= 1049, Y= 75, Z= 2357
[2024-03-17 23:05:47] [world] The Player <bagelz> has crafted 2 of TRAP DOOR at X= 1049, Y= 75, Z= 2357
[2024-03-17 23:05:47] [world] The Player <bagelz> has crafted 2 of TRAP DOOR at X= 1049, Y= 75, Z= 2357
[2024-03-17 23:05:47] [world] The Player <bagelz> has crafted 2 of TRAP DOOR at X= 1049, Y= 75, Z= 2357
[2024-03-17 23:05:47] [world] The Player <bagelz> has crafted 2 of TRAP DOOR at X= 1049, Y= 75, Z= 2357
[2024-03-17 23:05:47] [world] The Player <bagelz> has crafted 2 of TRAP DOOR at X= 1049, Y= 75, Z= 2357
[2024-03-17 23:05:47] [world] The Player <bagelz> has crafted 2 of TRAP DOOR at X= 1049, Y= 75, Z= 2357
[2024-03-17 23:05:47] [world] The Player <bagelz> has crafted 2 of TRAP DOOR at X= 1049, Y= 75, Z= 2357
[2024-03-17 23:05:48] [world] The Player <bagelz> has crafted 2 of TRAP DOOR at X= 1049, Y= 75, Z= 2357
[2024-03-17 23:05:48] [world] The Player <bagelz> has crafted 2 of TRAP DOOR at X= 1049, Y= 75, Z= 2357
[2024-03-17 23:05:48] [world] The Player <bagelz> has crafted 2 of TRAP DOOR at X= 1049, Y= 75, Z= 2357
