[2024-03-21 19:48:20] [world] The Player <character> has crafted 4 of WOOD at X= -371, Y= 88, Z= -61
[2024-03-21 20:07:19] [world] The Player <Mudkips_Rule> has crafted 4 of WOOD at X= -1154, Y= 64, Z= -439
[2024-03-21 20:07:23] [world] The Player <Mudkips_Rule> has crafted 1 of CHEST at X= -1154, Y= 64, Z= -439
[2024-03-21 20:07:57] [world] The Player <hi_> has crafted 1 of GOLD INGOT at X= -1153, Y= 64, Z= -439
[2024-03-21 20:21:45] [world] The Player <Heinrich_Himmler> has crafted 4 of WOOD at X= -681, Y= 71, Z= 313
[2024-03-21 20:21:45] [world] The Player <Heinrich_Himmler> has crafted 4 of WOOD at X= -681, Y= 71, Z= 313
[2024-03-21 20:21:45] [world] The Player <Heinrich_Himmler> has crafted 4 of WOOD at X= -681, Y= 71, Z= 313
[2024-03-21 20:21:45] [world] The Player <Heinrich_Himmler> has crafted 4 of WOOD at X= -681, Y= 71, Z= 313
[2024-03-21 20:21:46] [world] The Player <Heinrich_Himmler> has crafted 4 of WOOD at X= -681, Y= 71, Z= 313
[2024-03-21 20:21:46] [world] The Player <Heinrich_Himmler> has crafted 4 of WOOD at X= -681, Y= 71, Z= 313
[2024-03-21 20:21:46] [world] The Player <Heinrich_Himmler> has crafted 4 of WOOD at X= -681, Y= 71, Z= 313
[2024-03-21 20:21:46] [world] The Player <Heinrich_Himmler> has crafted 4 of WOOD at X= -681, Y= 71, Z= 313
[2024-03-21 20:21:47] [world] The Player <Heinrich_Himmler> has crafted 4 of WOOD at X= -681, Y= 71, Z= 313
[2024-03-21 20:21:47] [world] The Player <Heinrich_Himmler> has crafted 4 of WOOD at X= -681, Y= 71, Z= 313
[2024-03-21 20:21:47] [world] The Player <Heinrich_Himmler> has crafted 4 of WOOD at X= -681, Y= 71, Z= 313
[2024-03-21 20:21:47] [world] The Player <Heinrich_Himmler> has crafted 4 of WOOD at X= -681, Y= 71, Z= 313
[2024-03-21 20:21:47] [world] The Player <Heinrich_Himmler> has crafted 4 of WOOD at X= -681, Y= 71, Z= 313
[2024-03-21 20:21:48] [world] The Player <Heinrich_Himmler> has crafted 4 of WOOD at X= -681, Y= 71, Z= 313
[2024-03-21 20:21:48] [world] The Player <Heinrich_Himmler> has crafted 4 of WOOD at X= -681, Y= 71, Z= 313
[2024-03-21 20:21:48] [world] The Player <Heinrich_Himmler> has crafted 4 of WOOD at X= -681, Y= 71, Z= 313
[2024-03-21 20:21:49] [world] The Player <Heinrich_Himmler> has crafted 4 of WOOD at X= -681, Y= 71, Z= 313
[2024-03-21 20:21:49] [world] The Player <Heinrich_Himmler> has crafted 4 of WOOD at X= -681, Y= 71, Z= 313
[2024-03-21 20:21:49] [world] The Player <Heinrich_Himmler> has crafted 4 of WOOD at X= -681, Y= 71, Z= 313
[2024-03-21 20:21:52] [world] The Player <Heinrich_Himmler> has crafted 4 of WOOD at X= -681, Y= 71, Z= 313
[2024-03-21 20:21:52] [world] The Player <Heinrich_Himmler> has crafted 4 of WOOD at X= -681, Y= 71, Z= 313
[2024-03-21 20:21:52] [world] The Player <Heinrich_Himmler> has crafted 4 of WOOD at X= -681, Y= 71, Z= 313
[2024-03-21 20:21:52] [world] The Player <Heinrich_Himmler> has crafted 4 of WOOD at X= -681, Y= 71, Z= 313
[2024-03-21 20:21:53] [world] The Player <Heinrich_Himmler> has crafted 4 of WOOD at X= -681, Y= 71, Z= 313
[2024-03-21 20:21:53] [world] The Player <Heinrich_Himmler> has crafted 4 of WOOD at X= -681, Y= 71, Z= 313
[2024-03-21 20:21:53] [world] The Player <Heinrich_Himmler> has crafted 4 of WOOD at X= -681, Y= 71, Z= 313
[2024-03-21 20:21:53] [world] The Player <Heinrich_Himmler> has crafted 4 of WOOD at X= -681, Y= 71, Z= 313
[2024-03-21 20:21:53] [world] The Player <Heinrich_Himmler> has crafted 4 of WOOD at X= -681, Y= 71, Z= 313
[2024-03-21 20:21:54] [world] The Player <Heinrich_Himmler> has crafted 4 of WOOD at X= -681, Y= 71, Z= 313
[2024-03-21 20:21:54] [world] The Player <Heinrich_Himmler> has crafted 4 of WOOD at X= -681, Y= 71, Z= 313
[2024-03-21 20:22:00] [world] The Player <Heinrich_Himmler> has crafted 4 of STICK at X= -681, Y= 71, Z= 313
[2024-03-21 20:22:06] [world] The Player <Heinrich_Himmler> has crafted 4 of STICK at X= -681, Y= 71, Z= 313
[2024-03-21 20:25:08] [world] The Player <Mudkips_Rule> has crafted 3 of GLASS BOTTLE at X= -1154, Y= 64, Z= -439
[2024-03-21 20:25:26] [world] The Player <Mudkips_Rule> has crafted 4 of WOOD at X= -1153, Y= 65, Z= -438
[2024-03-21 20:25:26] [world] The Player <Mudkips_Rule> has crafted 4 of WOOD at X= -1153, Y= 65, Z= -438
[2024-03-21 20:25:27] [world] The Player <Mudkips_Rule> has crafted 4 of WOOD at X= -1153, Y= 65, Z= -438
[2024-03-21 20:25:27] [world] The Player <Mudkips_Rule> has crafted 4 of WOOD at X= -1153, Y= 65, Z= -438
[2024-03-21 20:25:27] [world] The Player <Mudkips_Rule> has crafted 4 of WOOD at X= -1153, Y= 65, Z= -438
[2024-03-21 20:25:27] [world] The Player <Mudkips_Rule> has crafted 4 of WOOD at X= -1153, Y= 65, Z= -438
[2024-03-21 20:25:27] [world] The Player <Mudkips_Rule> has crafted 4 of WOOD at X= -1153, Y= 65, Z= -438
[2024-03-21 20:25:28] [world] The Player <Mudkips_Rule> has crafted 4 of WOOD at X= -1153, Y= 65, Z= -438
[2024-03-21 20:25:28] [world] The Player <Mudkips_Rule> has crafted 4 of WOOD at X= -1153, Y= 65, Z= -438
[2024-03-21 20:25:28] [world] The Player <Mudkips_Rule> has crafted 4 of WOOD at X= -1153, Y= 65, Z= -438
[2024-03-21 20:25:28] [world] The Player <Mudkips_Rule> has crafted 4 of WOOD at X= -1153, Y= 65, Z= -438
[2024-03-21 20:25:29] [world] The Player <Mudkips_Rule> has crafted 4 of WOOD at X= -1153, Y= 65, Z= -438
[2024-03-21 20:25:32] [world] The Player <Mudkips_Rule> has crafted 1 of CHEST at X= -1153, Y= 65, Z= -438
[2024-03-21 20:25:32] [world] The Player <Mudkips_Rule> has crafted 1 of CHEST at X= -1153, Y= 65, Z= -438
[2024-03-21 20:25:33] [world] The Player <Mudkips_Rule> has crafted 1 of CHEST at X= -1153, Y= 65, Z= -438
[2024-03-21 20:25:33] [world] The Player <Mudkips_Rule> has crafted 1 of CHEST at X= -1153, Y= 65, Z= -438
[2024-03-21 20:25:33] [world] The Player <Mudkips_Rule> has crafted 1 of CHEST at X= -1153, Y= 65, Z= -438
[2024-03-21 20:25:33] [world] The Player <Mudkips_Rule> has crafted 1 of CHEST at X= -1153, Y= 65, Z= -438
[2024-03-21 20:28:38] [world] The Player <astronomy> has crafted 1 of BREAD at X= 1802, Y= 38, Z= 289
[2024-03-21 20:28:38] [world] The Player <astronomy> has crafted 1 of BREAD at X= 1802, Y= 38, Z= 289
[2024-03-21 20:28:38] [world] The Player <astronomy> has crafted 1 of BREAD at X= 1802, Y= 38, Z= 289
[2024-03-21 20:28:38] [world] The Player <astronomy> has crafted 1 of BREAD at X= 1802, Y= 38, Z= 289
[2024-03-21 20:28:38] [world] The Player <astronomy> has crafted 1 of BREAD at X= 1802, Y= 38, Z= 289
[2024-03-21 20:28:39] [world] The Player <astronomy> has crafted 1 of BREAD at X= 1802, Y= 38, Z= 289
[2024-03-21 20:28:39] [world] The Player <astronomy> has crafted 1 of BREAD at X= 1802, Y= 38, Z= 289
[2024-03-21 20:28:39] [world] The Player <astronomy> has crafted 1 of BREAD at X= 1802, Y= 38, Z= 289
[2024-03-21 20:28:39] [world] The Player <astronomy> has crafted 1 of BREAD at X= 1802, Y= 38, Z= 289
[2024-03-21 20:28:39] [world] The Player <astronomy> has crafted 1 of BREAD at X= 1802, Y= 38, Z= 289
[2024-03-21 20:28:40] [world] The Player <astronomy> has crafted 1 of BREAD at X= 1802, Y= 38, Z= 289
[2024-03-21 20:28:40] [world] The Player <astronomy> has crafted 1 of BREAD at X= 1802, Y= 38, Z= 289
[2024-03-21 20:28:40] [world] The Player <astronomy> has crafted 1 of BREAD at X= 1802, Y= 38, Z= 289
[2024-03-21 20:28:40] [world] The Player <astronomy> has crafted 1 of BREAD at X= 1802, Y= 38, Z= 289
[2024-03-21 20:28:40] [world] The Player <astronomy> has crafted 1 of BREAD at X= 1802, Y= 38, Z= 289
[2024-03-21 20:28:41] [world] The Player <astronomy> has crafted 1 of BREAD at X= 1802, Y= 38, Z= 289
[2024-03-21 20:28:41] [world] The Player <astronomy> has crafted 1 of BREAD at X= 1802, Y= 38, Z= 289
[2024-03-21 20:28:41] [world] The Player <astronomy> has crafted 1 of BREAD at X= 1802, Y= 38, Z= 289
[2024-03-21 20:29:49] [world] The Player <astronomy> has crafted 1 of IRON PICKAXE at X= 1802, Y= 38, Z= 289
[2024-03-21 20:41:46] [world] The Player <Mudkips_Rule> has crafted 9 of COAL at X= -1153, Y= 65, Z= -436
[2024-03-21 20:41:47] [world] The Player <Mudkips_Rule> has crafted 9 of COAL at X= -1153, Y= 65, Z= -436
[2024-03-21 20:41:47] [world] The Player <Mudkips_Rule> has crafted 9 of COAL at X= -1153, Y= 65, Z= -436
[2024-03-21 20:41:47] [world] The Player <Mudkips_Rule> has crafted 9 of COAL at X= -1153, Y= 65, Z= -436
[2024-03-21 20:41:47] [world] The Player <Mudkips_Rule> has crafted 9 of COAL at X= -1153, Y= 65, Z= -436
[2024-03-21 20:41:47] [world] The Player <Mudkips_Rule> has crafted 9 of COAL at X= -1153, Y= 65, Z= -436
[2024-03-21 20:41:47] [world] The Player <Mudkips_Rule> has crafted 9 of COAL at X= -1153, Y= 65, Z= -436
[2024-03-21 20:41:48] [world] The Player <Mudkips_Rule> has crafted 9 of COAL at X= -1153, Y= 65, Z= -436
[2024-03-21 20:41:49] [world] The Player <Mudkips_Rule> has crafted 9 of COAL at X= -1153, Y= 65, Z= -436
[2024-03-21 20:41:49] [world] The Player <Mudkips_Rule> has crafted 9 of COAL at X= -1153, Y= 65, Z= -436
[2024-03-21 20:41:49] [world] The Player <Mudkips_Rule> has crafted 9 of COAL at X= -1153, Y= 65, Z= -436
[2024-03-21 20:41:50] [world] The Player <Mudkips_Rule> has crafted 9 of COAL at X= -1153, Y= 65, Z= -436
[2024-03-21 20:45:27] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:45:27] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:45:27] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:45:27] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:45:28] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:45:28] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:45:28] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:45:28] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:45:28] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:45:29] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:45:29] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:45:29] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:45:29] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:45:30] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:45:30] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:45:30] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:45:30] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:45:30] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:45:30] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:45:31] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:45:32] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:45:33] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:45:33] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:45:33] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:45:33] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:45:34] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:45:34] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:45:34] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:45:34] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:45:34] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:45:35] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:45:35] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:45:35] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:45:35] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:45:35] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:45:36] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:45:36] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:45:36] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:45:36] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:45:36] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:45:37] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:45:38] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:45:39] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:45:39] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:45:39] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:45:39] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:45:40] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:45:40] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:45:40] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:45:40] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:45:40] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:45:41] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:45:41] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:45:41] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:45:41] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:45:41] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:45:42] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:45:42] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:45:42] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:45:42] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:45:43] [world] The Player <astronomy> has crafted 4 of WOOD at X= 1792, Y= 64, Z= 331
[2024-03-21 20:59:30] [world] The Player <astronomy> has crafted 4 of STICK at X= 1802, Y= 38, Z= 289
[2024-03-21 20:59:30] [world] The Player <astronomy> has crafted 4 of STICK at X= 1802, Y= 38, Z= 289
[2024-03-21 20:59:30] [world] The Player <astronomy> has crafted 4 of STICK at X= 1802, Y= 38, Z= 289
[2024-03-21 20:59:30] [world] The Player <astronomy> has crafted 4 of STICK at X= 1802, Y= 38, Z= 289
[2024-03-21 20:59:30] [world] The Player <astronomy> has crafted 4 of STICK at X= 1802, Y= 38, Z= 289
[2024-03-21 20:59:31] [world] The Player <astronomy> has crafted 4 of STICK at X= 1802, Y= 38, Z= 289
[2024-03-21 20:59:31] [world] The Player <astronomy> has crafted 4 of STICK at X= 1802, Y= 38, Z= 289
[2024-03-21 20:59:31] [world] The Player <astronomy> has crafted 4 of STICK at X= 1802, Y= 38, Z= 289
[2024-03-21 20:59:31] [world] The Player <astronomy> has crafted 4 of STICK at X= 1802, Y= 38, Z= 289
[2024-03-21 20:59:31] [world] The Player <astronomy> has crafted 4 of STICK at X= 1802, Y= 38, Z= 289
[2024-03-21 20:59:31] [world] The Player <astronomy> has crafted 4 of STICK at X= 1802, Y= 38, Z= 289
[2024-03-21 20:59:32] [world] The Player <astronomy> has crafted 4 of STICK at X= 1802, Y= 38, Z= 289
[2024-03-21 20:59:47] [world] The Player <astronomy> has crafted 1 of DARK OAK FENCE GATE at X= 1802, Y= 38, Z= 289
[2024-03-21 21:00:13] [world] The Player <astronomy> has crafted 3 of DARK OAK FENCE at X= 1802, Y= 38, Z= 289
[2024-03-21 21:00:13] [world] The Player <astronomy> has crafted 3 of DARK OAK FENCE at X= 1802, Y= 38, Z= 289
[2024-03-21 21:00:13] [world] The Player <astronomy> has crafted 3 of DARK OAK FENCE at X= 1802, Y= 38, Z= 289
[2024-03-21 21:00:13] [world] The Player <astronomy> has crafted 3 of DARK OAK FENCE at X= 1802, Y= 38, Z= 289
[2024-03-21 21:00:14] [world] The Player <astronomy> has crafted 3 of DARK OAK FENCE at X= 1802, Y= 38, Z= 289
[2024-03-21 21:00:14] [world] The Player <astronomy> has crafted 3 of DARK OAK FENCE at X= 1802, Y= 38, Z= 289
[2024-03-21 21:00:14] [world] The Player <astronomy> has crafted 3 of DARK OAK FENCE at X= 1802, Y= 38, Z= 289
[2024-03-21 21:00:14] [world] The Player <astronomy> has crafted 3 of DARK OAK FENCE at X= 1802, Y= 38, Z= 289
[2024-03-21 21:00:14] [world] The Player <astronomy> has crafted 3 of DARK OAK FENCE at X= 1802, Y= 38, Z= 289
[2024-03-21 21:00:14] [world] The Player <astronomy> has crafted 3 of DARK OAK FENCE at X= 1802, Y= 38, Z= 289
[2024-03-21 21:05:57] [world] The Player <astronomy> has crafted 1 of DARK OAK FENCE GATE at X= 1802, Y= 38, Z= 289
[2024-03-21 21:07:27] [world] The Player <astronomy> has crafted 1 of DARK OAK FENCE GATE at X= 1802, Y= 38, Z= 289
