[2024-03-27 13:41:04] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Spider at X= -603, Y= 68, Z= 248
[2024-03-27 23:32:25] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain GolemDaWanderer at X= 1045, Y= 24, Z= 687
[2024-03-27 23:32:40] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain GolemDaWanderer at X= 1056, Y= 24, Z= 690
[2024-03-27 23:32:40] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Char at X= 1055, Y= 24, Z= 693
[2024-03-27 23:32:49] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain GolemDaWanderer at X= -575, Y= 69, Z= 320
[2024-03-27 23:33:05] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain NezukoChan at X= 1052, Y= 24, Z= 687
[2024-03-27 23:33:18] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain NezukoChan at X= 1055, Y= 25, Z= 694
[2024-03-27 23:33:59] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Feathery at X= 1064, Y= 25, Z= 681
[2024-03-27 23:34:00] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain GolemDaWanderer at X= 1065, Y= 25, Z= 680
[2024-03-27 23:34:00] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Char at X= 1062, Y= 25, Z= 686
[2024-03-27 23:34:23] [world] [f7bb36ab-e336-3c4d-9238-e9504956be33] The Player <NezukoChan> has slain GolemDaWanderer at X= 1059, Y= 24, Z= 687
[2024-03-27 23:35:12] [world] [f7bb36ab-e336-3c4d-9238-e9504956be33] The Player <NezukoChan> has slain Char at X= 1051, Y= 25, Z= 690
[2024-03-27 23:36:12] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Char at X= 1061, Y= 19, Z= 697
[2024-03-27 23:36:19] [world] [349c9999-9c4a-3d11-ac49-b859d112bf9e] The Player <Feathery> has slain GolemDaWanderer at X= 1055, Y= 18, Z= 698
[2024-03-27 23:36:22] [world] [349c9999-9c4a-3d11-ac49-b859d112bf9e] The Player <Feathery> has slain xcpc at X= 1059, Y= 19, Z= 699
[2024-03-27 23:36:29] [world] [349c9999-9c4a-3d11-ac49-b859d112bf9e] The Player <Feathery> has slain NezukoChan at X= 1052, Y= 5, Z= 715
[2024-03-27 23:37:39] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain NezukoChan at X= -574, Y= 68, Z= 250
[2024-03-27 23:37:44] [world] [349c9999-9c4a-3d11-ac49-b859d112bf9e] The Player <Feathery> has slain Skeleton at X= 1063, Y= 20, Z= 662
[2024-03-27 23:37:51] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Tester at X= 1059, Y= 60, Z= 711
[2024-03-27 23:37:58] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Feathery at X= 1064, Y= 21, Z= 667
[2024-03-27 23:44:15] [world] [17642ce9-92a4-3f8d-8872-8b5a03c49ec5] The Player <xcpc> has slain Creeper at X= -596, Y= 68, Z= 328
[2024-03-27 23:44:32] [world_the_end] [f7bb36ab-e336-3c4d-9238-e9504956be33] The Player <NezukoChan> has slain GolemDaWanderer at X= 0, Y= 67, Z= 15
[2024-03-27 23:44:53] [world_nether] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Zombie Pigman at X= -80, Y= 77, Z= 16
[2024-03-27 23:44:58] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Creeper at X= -557, Y= 65, Z= 365
[2024-03-27 23:45:46] [world_the_end] [349c9999-9c4a-3d11-ac49-b859d112bf9e] The Player <Feathery> has slain NezukoChan at X= -14, Y= 59, Z= 26
[2024-03-27 23:47:56] [world] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Sheep at X= -596, Y= 68, Z= 291
[2024-03-27 23:47:58] [world] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Rabbit at X= -596, Y= 68, Z= 292
[2024-03-27 23:48:01] [world] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Sheep at X= -591, Y= 68, Z= 287
[2024-03-27 23:49:11] [world] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Rabbit at X= -716, Y= 66, Z= 193
[2024-03-27 23:51:08] [world_the_end] [f7bb36ab-e336-3c4d-9238-e9504956be33] The Player <NezukoChan> has slain Zombie Pigman at X= 11, Y= 59, Z= 5
[2024-03-27 23:52:35] [world] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Pig at X= -688, Y= 72, Z= 269
[2024-03-27 23:52:37] [world] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Pig at X= -689, Y= 73, Z= 276
[2024-03-27 23:52:39] [world] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Pig at X= -691, Y= 73, Z= 281
[2024-03-27 23:52:44] [world] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Pig at X= -697, Y= 73, Z= 278
[2024-03-27 23:53:08] [world] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Chicken at X= -736, Y= 66, Z= 237
[2024-03-27 23:53:13] [world] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Chicken at X= -748, Y= 64, Z= 217
[2024-03-27 23:53:14] [world] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Rabbit at X= -745, Y= 66, Z= 216
[2024-03-27 23:53:22] [world] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Rabbit at X= -746, Y= 66, Z= 210
[2024-03-27 23:53:23] [world] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Chicken at X= -743, Y= 67, Z= 208
[2024-03-27 23:53:28] [world] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Sheep at X= -744, Y= 66, Z= 193
[2024-03-27 23:54:50] [world_the_end] [349c9999-9c4a-3d11-ac49-b859d112bf9e] The Player <Feathery> has slain NezukoChan at X= 13, Y= 40, Z= 108
[2024-03-27 23:55:05] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Zombie at X= -553, Y= 65, Z= 295
[2024-03-27 23:56:37] [world] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Chicken at X= -690, Y= 68, Z= 229
[2024-03-27 23:56:41] [world] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Chicken at X= -685, Y= 68, Z= 231
[2024-03-27 23:56:48] [world] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Spider at X= -679, Y= 70, Z= 235
[2024-03-27 23:56:54] [world_the_end] [349c9999-9c4a-3d11-ac49-b859d112bf9e] The Player <Feathery> has slain Zombie Pigman at X= 25, Y= 58, Z= 70
[2024-03-27 23:57:04] [world_the_end] [349c9999-9c4a-3d11-ac49-b859d112bf9e] The Player <Feathery> has slain NezukoChan at X= 29, Y= 59, Z= 71
[2024-03-27 23:57:26] [world] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain NezukoChan at X= -573, Y= 68, Z= 316
[2024-03-27 23:57:46] [world] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain NezukoChan at X= -571, Y= 69, Z= 320
[2024-03-27 23:59:27] [world] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Zombie Pigman at X= -579, Y= 69, Z= 316
[2024-03-28 00:01:10] [world] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain NezukoChan at X= -573, Y= 68, Z= 316
[2024-03-28 00:01:23] [world] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain NezukoChan at X= -576, Y= 69, Z= 321
[2024-03-28 00:01:40] [world] [349c9999-9c4a-3d11-ac49-b859d112bf9e] The Player <Feathery> has slain Heinrich_Himmler at X= -581, Y= 67, Z= 295
[2024-03-28 00:01:44] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Heinrich_Himmler at X= -573, Y= 68, Z= 315
[2024-03-28 00:01:45] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain NezukoChan at X= -572, Y= 68, Z= 317
[2024-03-28 00:02:06] [world_the_end] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain NezukoChan at X= 100, Y= 49, Z= 0
[2024-03-28 00:02:12] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Heinrich_Himmler at X= 94, Y= 54, Z= -2
[2024-03-28 00:02:12] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain NezukoChan at X= 100, Y= 50, Z= 0
[2024-03-28 00:02:24] [world_the_end] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain NezukoChan at X= 100, Y= 49, Z= -1
[2024-03-28 00:02:26] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Heinrich_Himmler at X= 94, Y= 53, Z= 0
[2024-03-28 00:02:31] [world] [f7bb36ab-e336-3c4d-9238-e9504956be33] The Player <NezukoChan> has slain Heinrich_Himmler at X= -572, Y= 69, Z= 318
[2024-03-28 00:02:34] [world] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain NezukoChan at X= -573, Y= 68, Z= 317
[2024-03-28 00:02:38] [world] [f7bb36ab-e336-3c4d-9238-e9504956be33] The Player <NezukoChan> has slain Heinrich_Himmler at X= -571, Y= 69, Z= 318
[2024-03-28 00:04:56] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Heinrich_Himmler at X= -2, Y= 63, Z= 15
[2024-03-28 00:07:21] [world] [f7bb36ab-e336-3c4d-9238-e9504956be33] The Player <NezukoChan> has slain Tester at X= -575, Y= 68, Z= 317
[2024-03-28 00:07:30] [world] [f7bb36ab-e336-3c4d-9238-e9504956be33] The Player <NezukoChan> has slain Tester at X= -568, Y= 69, Z= 316
[2024-03-28 00:07:35] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain NezukoChan at X= -569, Y= 69, Z= 316
[2024-03-28 00:08:31] [world] [349c9999-9c4a-3d11-ac49-b859d112bf9e] The Player <Feathery> has slain Endermite at X= -518, Y= 68, Z= 283
[2024-03-28 00:11:10] [world_the_end] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Heinrich_Himmler at X= -9, Y= 58, Z= -66
[2024-03-28 00:11:47] [world] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Endermite at X= -518, Y= 60, Z= 284
[2024-03-28 00:11:47] [world] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Endermite at X= -518, Y= 60, Z= 284
[2024-03-28 00:11:47] [world] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Endermite at X= -518, Y= 60, Z= 284
[2024-03-28 00:11:48] [world] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Endermite at X= -518, Y= 60, Z= 283
[2024-03-28 00:11:48] [world] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Endermite at X= -519, Y= 60, Z= 284
[2024-03-28 00:11:48] [world] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Endermite at X= -518, Y= 60, Z= 284
[2024-03-28 00:11:48] [world] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Endermite at X= -518, Y= 60, Z= 284
[2024-03-28 00:11:49] [world] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Endermite at X= -518, Y= 60, Z= 284
[2024-03-28 00:11:49] [world] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Endermite at X= -519, Y= 60, Z= 283
[2024-03-28 00:11:49] [world] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Endermite at X= -518, Y= 60, Z= 284
[2024-03-28 00:11:52] [world] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Endermite at X= -519, Y= 60, Z= 283
[2024-03-28 00:11:52] [world] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Endermite at X= -519, Y= 60, Z= 284
[2024-03-28 00:11:52] [world] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Endermite at X= -519, Y= 61, Z= 284
[2024-03-28 00:13:27] [world] [349c9999-9c4a-3d11-ac49-b859d112bf9e] The Player <Feathery> has slain GolemDaWanderer at X= -518, Y= 65, Z= 281
[2024-03-28 00:15:35] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Endermite at X= -519, Y= 59, Z= 283
[2024-03-28 00:15:35] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Endermite at X= -519, Y= 59, Z= 283
[2024-03-28 00:15:35] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Endermite at X= -518, Y= 59, Z= 283
[2024-03-28 00:15:35] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Endermite at X= -518, Y= 59, Z= 283
[2024-03-28 00:15:36] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Endermite at X= -519, Y= 59, Z= 283
[2024-03-28 00:15:36] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Endermite at X= -519, Y= 59, Z= 283
[2024-03-28 00:15:36] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Endermite at X= -518, Y= 59, Z= 284
[2024-03-28 00:15:36] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Endermite at X= -519, Y= 61, Z= 283
[2024-03-28 00:15:36] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Endermite at X= -518, Y= 59, Z= 283
[2024-03-28 00:15:37] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Endermite at X= -519, Y= 61, Z= 283
[2024-03-28 00:15:37] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Endermite at X= -519, Y= 60, Z= 283
[2024-03-28 00:15:37] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Endermite at X= -519, Y= 59, Z= 283
[2024-03-28 00:15:37] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Endermite at X= -518, Y= 59, Z= 283
[2024-03-28 00:15:38] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Endermite at X= -519, Y= 61, Z= 283
[2024-03-28 00:15:38] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Endermite at X= -519, Y= 61, Z= 283
[2024-03-28 00:15:38] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Endermite at X= -518, Y= 60, Z= 283
[2024-03-28 00:15:38] [world_nether] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Zombie Pigman at X= -8, Y= 53, Z= -64
[2024-03-28 00:15:40] [world_nether] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Zombie Pigman at X= -12, Y= 53, Z= -66
[2024-03-28 00:15:47] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Endermite at X= -518, Y= 59, Z= 284
[2024-03-28 00:15:47] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Endermite at X= -519, Y= 59, Z= 284
[2024-03-28 00:15:47] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Endermite at X= -518, Y= 59, Z= 284
[2024-03-28 00:15:47] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Endermite at X= -519, Y= 59, Z= 284
[2024-03-28 00:15:47] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Endermite at X= -519, Y= 59, Z= 284
[2024-03-28 00:15:47] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Endermite at X= -519, Y= 59, Z= 284
[2024-03-28 00:15:47] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Endermite at X= -519, Y= 59, Z= 284
[2024-03-28 00:15:47] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Endermite at X= -518, Y= 59, Z= 284
[2024-03-28 00:15:47] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Endermite at X= -519, Y= 59, Z= 284
[2024-03-28 00:15:47] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Endermite at X= -519, Y= 59, Z= 284
[2024-03-28 00:15:47] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Endermite at X= -518, Y= 59, Z= 284
[2024-03-28 00:15:47] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Endermite at X= -519, Y= 59, Z= 284
[2024-03-28 00:15:47] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Endermite at X= -519, Y= 59, Z= 284
[2024-03-28 00:15:47] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Endermite at X= -519, Y= 59, Z= 284
[2024-03-28 00:15:47] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Endermite at X= -518, Y= 59, Z= 284
[2024-03-28 00:15:48] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Endermite at X= -518, Y= 59, Z= 284
[2024-03-28 00:15:48] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Endermite at X= -518, Y= 59, Z= 284
[2024-03-28 00:15:48] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Endermite at X= -518, Y= 59, Z= 284
[2024-03-28 00:15:48] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Endermite at X= -519, Y= 59, Z= 283
[2024-03-28 00:15:48] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Endermite at X= -518, Y= 59, Z= 283
[2024-03-28 00:15:48] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Endermite at X= -518, Y= 59, Z= 284
[2024-03-28 00:15:48] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Endermite at X= -518, Y= 59, Z= 284
[2024-03-28 00:15:48] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Endermite at X= -519, Y= 59, Z= 283
[2024-03-28 00:15:48] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Endermite at X= -519, Y= 59, Z= 283
[2024-03-28 00:15:48] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Endermite at X= -518, Y= 59, Z= 283
