[2024-03-28 01:06:32] [world_the_end] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Zombie Pigman at X= 11, Y= 57, Z= 67
[2024-03-28 14:25:58] [world] [bdfd4d39-9869-3587-a60c-419be7f02cab] The Player <Milk_Frog> has slain Silverfish at X= -610, Y= 69, Z= 247
[2024-03-28 14:26:02] [world] [bdfd4d39-9869-3587-a60c-419be7f02cab] The Player <Milk_Frog> has slain Silverfish at X= -610, Y= 69, Z= 237
[2024-03-28 14:28:39] [world] [bdfd4d39-9869-3587-a60c-419be7f02cab] The Player <Milk_Frog> has slain Rabbit at X= -674, Y= 64, Z= 207
[2024-03-28 15:12:26] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Char at X= -618, Y= 68, Z= 320
[2024-03-28 15:44:04] [world] [17642ce9-92a4-3f8d-8872-8b5a03c49ec5] The Player <xcpc> has slain Sheep at X= -617, Y= 68, Z= 314
[2024-03-28 15:47:06] [world] [17642ce9-92a4-3f8d-8872-8b5a03c49ec5] The Player <xcpc> has slain Enderman at X= -593, Y= 74, Z= 466
[2024-03-28 15:59:23] [world] [17642ce9-92a4-3f8d-8872-8b5a03c49ec5] The Player <xcpc> has slain Skeleton at X= -599, Y= 68, Z= 347
[2024-03-28 15:59:38] [world] [17642ce9-92a4-3f8d-8872-8b5a03c49ec5] The Player <xcpc> has slain Pig at X= -606, Y= 68, Z= 318
[2024-03-28 16:03:18] [world] [17642ce9-92a4-3f8d-8872-8b5a03c49ec5] The Player <xcpc> has slain Sheep at X= -568, Y= 68, Z= 278
[2024-03-28 16:03:43] [world] [17642ce9-92a4-3f8d-8872-8b5a03c49ec5] The Player <xcpc> has slain Spider at X= -564, Y= 68, Z= 266
[2024-03-28 16:04:47] [world] [17642ce9-92a4-3f8d-8872-8b5a03c49ec5] The Player <xcpc> has slain Pig at X= -548, Y= 68, Z= 262
[2024-03-28 16:07:10] [world] [17642ce9-92a4-3f8d-8872-8b5a03c49ec5] The Player <xcpc> has slain Skeleton at X= -618, Y= 68, Z= 255
[2024-03-28 16:07:23] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Rabbit at X= -604, Y= 68, Z= 253
[2024-03-28 16:08:24] [world] [17642ce9-92a4-3f8d-8872-8b5a03c49ec5] The Player <xcpc> has slain Skeleton at X= -581, Y= 78, Z= 257
[2024-03-28 16:17:14] [world] [17642ce9-92a4-3f8d-8872-8b5a03c49ec5] The Player <xcpc> has slain Creeper at X= -580, Y= 63, Z= 377
[2024-03-28 16:17:51] [world] [17642ce9-92a4-3f8d-8872-8b5a03c49ec5] The Player <xcpc> has slain Skeleton at X= -597, Y= 68, Z= 325
[2024-03-28 16:17:57] [world] [17642ce9-92a4-3f8d-8872-8b5a03c49ec5] The Player <xcpc> has slain Spider at X= -597, Y= 68, Z= 317
[2024-03-28 16:18:26] [world] [17642ce9-92a4-3f8d-8872-8b5a03c49ec5] The Player <xcpc> has slain Skeleton at X= -620, Y= 68, Z= 304
[2024-03-28 16:18:30] [world] [17642ce9-92a4-3f8d-8872-8b5a03c49ec5] The Player <xcpc> has slain Skeleton at X= -621, Y= 68, Z= 299
[2024-03-28 16:21:45] [world_the_end] [349c9999-9c4a-3d11-ac49-b859d112bf9e] The Player <Feathery> has slain Pig at X= 342, Y= 37, Z= -144
[2024-03-28 16:21:50] [world_the_end] [349c9999-9c4a-3d11-ac49-b859d112bf9e] The Player <Feathery> has slain Pig at X= 336, Y= 23, Z= -145
[2024-03-28 16:22:04] [world_the_end] [349c9999-9c4a-3d11-ac49-b859d112bf9e] The Player <Feathery> has slain Pig at X= 335, Y= 24, Z= -136
[2024-03-28 16:22:06] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Pig at X= 335, Y= 28, Z= -134
[2024-03-28 16:22:14] [world_the_end] [349c9999-9c4a-3d11-ac49-b859d112bf9e] The Player <Feathery> has slain Pig at X= 338, Y= 29, Z= -145
[2024-03-28 16:54:13] [world] [17642ce9-92a4-3f8d-8872-8b5a03c49ec5] The Player <xcpc> has slain Zombie at X= -367, Y= 64, Z= 284
[2024-03-28 16:54:38] [world] [17642ce9-92a4-3f8d-8872-8b5a03c49ec5] The Player <xcpc> has slain Sheep at X= -330, Y= 67, Z= 267
[2024-03-28 16:54:41] [world] [17642ce9-92a4-3f8d-8872-8b5a03c49ec5] The Player <xcpc> has slain Sheep at X= -326, Y= 68, Z= 271
[2024-03-28 17:01:05] [world] [17642ce9-92a4-3f8d-8872-8b5a03c49ec5] The Player <xcpc> has slain Creeper at X= -290, Y= 70, Z= 279
[2024-03-28 17:01:14] [world] [17642ce9-92a4-3f8d-8872-8b5a03c49ec5] The Player <xcpc> has slain Creeper at X= -295, Y= 70, Z= 281
[2024-03-28 17:06:52] [world] [17642ce9-92a4-3f8d-8872-8b5a03c49ec5] The Player <xcpc> has slain Spider at X= -301, Y= 70, Z= 288
[2024-03-28 17:35:31] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Sheep at X= -553, Y= 68, Z= 248
[2024-03-28 17:44:03] [world_nether] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Zombie Pigman at X= -168, Y= 45, Z= -51
[2024-03-28 18:56:14] [world] [17642ce9-92a4-3f8d-8872-8b5a03c49ec5] The Player <xcpc> has slain Spider at X= -225, Y= 68, Z= 242
[2024-03-28 20:18:50] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Zombie at X= -764, Y= 10, Z= 292
[2024-03-28 20:20:33] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Cow at X= -606, Y= 68, Z= 290
[2024-03-28 21:07:43] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Char at X= 621, Y= 11, Z= 220
[2024-03-28 21:08:23] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain BTC at X= 621, Y= 10, Z= 209
[2024-03-28 21:09:59] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Char at X= 626, Y= 11, Z= 222
[2024-03-28 21:10:14] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Char at X= 623, Y= 11, Z= 226
[2024-03-28 21:10:24] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain BTC at X= 627, Y= 11, Z= 225
[2024-03-28 21:23:29] [world_the_end] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Enderman at X= -27, Y= 58, Z= 29
[2024-03-28 21:26:03] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Creeper at X= -558, Y= 68, Z= 367
[2024-03-28 21:30:08] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Chicken at X= -648, Y= 66, Z= 491
[2024-03-28 21:30:14] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Spider at X= -655, Y= 68, Z= 493
[2024-03-28 21:30:35] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Spider at X= -695, Y= 68, Z= 509
[2024-03-28 21:51:11] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Skeleton at X= -721, Y= 72, Z= 514
[2024-03-28 21:51:28] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Cow at X= -730, Y= 69, Z= 552
[2024-03-28 21:51:36] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Chicken at X= -742, Y= 68, Z= 543
[2024-03-28 21:51:48] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Zombie at X= -762, Y= 61, Z= 557
[2024-03-28 21:51:55] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Zombie at X= -765, Y= 62, Z= 562
[2024-03-28 21:52:08] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Skeleton at X= -801, Y= 68, Z= 530
[2024-03-28 21:52:36] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Skeleton at X= -836, Y= 68, Z= 503
[2024-03-28 21:53:07] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Creeper at X= -864, Y= 70, Z= 491
[2024-03-28 21:53:07] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Creeper at X= -863, Y= 70, Z= 493
[2024-03-28 21:53:21] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Zombie at X= -894, Y= 70, Z= 476
[2024-03-28 21:53:29] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Creeper at X= -898, Y= 69, Z= 458
[2024-03-28 22:00:20] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Zombie at X= -834, Y= 11, Z= 91
[2024-03-28 22:07:11] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Skeleton at X= 1058, Y= 19, Z= 681
[2024-03-28 22:10:11] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Zombie at X= 1020, Y= 63, Z= 649
[2024-03-28 22:10:33] [world_the_end] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Rabbit at X= 93, Y= 48, Z= -1
[2024-03-28 22:10:34] [world_the_end] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Chicken at X= 99, Y= 49, Z= -2
[2024-03-28 22:13:40] [world] [349c9999-9c4a-3d11-ac49-b859d112bf9e] The Player <Feathery> has slain Skeleton at X= -585, Y= 73, Z= 343
[2024-03-28 22:16:01] [world_the_end] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Chicken at X= 99, Y= 49, Z= -1
[2024-03-28 22:16:01] [world_the_end] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Chicken at X= 99, Y= 49, Z= -2
[2024-03-28 22:23:23] [world_the_end] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Enderman at X= 3, Y= 59, Z= 14
[2024-03-28 22:23:50] [world_the_end] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Enderman at X= -53, Y= 60, Z= 33
[2024-03-28 22:24:14] [world_the_end] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Enderman at X= -17, Y= 59, Z= 21
[2024-03-28 22:24:23] [world_the_end] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Enderman at X= -9, Y= 59, Z= 15
[2024-03-28 22:25:01] [world_the_end] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Enderman at X= -52, Y= 57, Z= -31
[2024-03-28 22:29:05] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Chicken at X= -574, Y= 68, Z= 316
[2024-03-28 22:29:25] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain GolemDaWanderer at X= -576, Y= 69, Z= 316
[2024-03-28 22:29:34] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain GolemDaWanderer at X= -572, Y= 68, Z= 316
[2024-03-28 22:29:38] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain GolemDaWanderer at X= -573, Y= 68, Z= 316
[2024-03-28 22:29:45] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain GolemDaWanderer at X= -570, Y= 69, Z= 317
[2024-03-28 22:29:50] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain GolemDaWanderer at X= -574, Y= 69, Z= 317
[2024-03-28 22:29:55] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain GolemDaWanderer at X= -573, Y= 68, Z= 316
[2024-03-28 22:30:04] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain GolemDaWanderer at X= -577, Y= 69, Z= 315
[2024-03-28 22:30:32] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain BTC at X= -611, Y= 68, Z= 352
[2024-03-28 22:31:03] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain GolemDaWanderer at X= -600, Y= 68, Z= 363
[2024-03-28 22:31:44] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Chicken at X= -585, Y= 68, Z= 320
[2024-03-28 22:32:11] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -606, Y= 68, Z= 289
[2024-03-28 22:32:16] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Cow at X= -590, Y= 69, Z= 294
[2024-03-28 22:32:17] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Spider at X= -608, Y= 68, Z= 304
[2024-03-28 22:33:14] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Zombie at X= -572, Y= 63, Z= 235
[2024-03-28 22:35:11] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Chicken at X= -545, Y= 72, Z= 243
[2024-03-28 22:35:19] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Pig at X= -541, Y= 68, Z= 256
[2024-03-28 22:35:47] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Sheep at X= -555, Y= 68, Z= 252
[2024-03-28 22:36:05] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Chicken at X= -572, Y= 68, Z= 275
[2024-03-28 22:36:12] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Chicken at X= -556, Y= 68, Z= 277
[2024-03-28 22:36:16] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Pig at X= -561, Y= 68, Z= 271
[2024-03-28 22:36:25] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Zombie at X= -563, Y= 68, Z= 270
[2024-03-28 22:36:36] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Pig at X= -552, Y= 68, Z= 267
[2024-03-28 22:37:01] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Zombie at X= -522, Y= 72, Z= 273
[2024-03-28 22:37:18] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Zombie at X= -529, Y= 71, Z= 265
[2024-03-28 22:37:51] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Chicken at X= -473, Y= 70, Z= 284
[2024-03-28 22:37:54] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Chicken at X= -464, Y= 71, Z= 284
[2024-03-28 22:37:58] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Chicken at X= -455, Y= 71, Z= 288
[2024-03-28 22:38:02] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Chicken at X= -461, Y= 69, Z= 294
[2024-03-28 22:38:04] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Chicken at X= -461, Y= 69, Z= 296
[2024-03-28 22:38:05] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Chicken at X= -459, Y= 69, Z= 300
[2024-03-28 22:38:10] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Chicken at X= -466, Y= 68, Z= 289
[2024-03-28 22:38:21] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Chicken at X= -451, Y= 70, Z= 295
[2024-03-28 22:38:25] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Chicken at X= -444, Y= 71, Z= 298
[2024-03-28 22:40:39] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain NezukoChan at X= -576, Y= 69, Z= 323
[2024-03-28 22:40:49] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain NezukoChan at X= -578, Y= 69, Z= 316
[2024-03-28 22:41:09] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain NezukoChan at X= -577, Y= 69, Z= 317
[2024-03-28 22:41:17] [world] [f7bb36ab-e336-3c4d-9238-e9504956be33] The Player <NezukoChan> has slain BTC at X= -580, Y= 70, Z= 317
[2024-03-28 22:43:02] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain NezukoChan at X= -583, Y= 68, Z= 331
[2024-03-28 22:43:29] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain NezukoChan at X= -581, Y= 69, Z= 327
[2024-03-28 22:43:55] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain NezukoChan at X= -573, Y= 68, Z= 316
[2024-03-28 22:44:04] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain NezukoChan at X= -573, Y= 68, Z= 315
[2024-03-28 22:44:38] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Chicken at X= -602, Y= 69, Z= 332
[2024-03-28 22:44:40] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Chicken at X= -609, Y= 68, Z= 335
[2024-03-28 22:45:27] [world] [f7bb36ab-e336-3c4d-9238-e9504956be33] The Player <NezukoChan> has slain BTC at X= -581, Y= 69, Z= 323
[2024-03-28 22:45:41] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Spider at X= -574, Y= 68, Z= 274
[2024-03-28 22:45:54] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain NezukoChan at X= -570, Y= 69, Z= 317
[2024-03-28 22:45:54] [world] [f7bb36ab-e336-3c4d-9238-e9504956be33] The Player <NezukoChan> has slain BTC at X= -557, Y= 65, Z= 311
[2024-03-28 22:46:06] [world] [f7bb36ab-e336-3c4d-9238-e9504956be33] The Player <NezukoChan> has slain BTC at X= -573, Y= 69, Z= 318
[2024-03-28 22:46:10] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain BTC at X= -573, Y= 68, Z= 316
[2024-03-28 22:47:37] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Spider at X= -724, Y= 53, Z= -22
[2024-03-28 22:47:43] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Spider at X= -728, Y= 53, Z= -19
[2024-03-28 22:47:58] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Spider at X= -723, Y= 54, Z= -19
[2024-03-28 22:52:19] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Slime at X= -528, Y= 65, Z= -75
[2024-03-28 22:52:22] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Slime at X= -521, Y= 65, Z= -77
[2024-03-28 22:55:15] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Skeleton at X= -790, Y= 63, Z= 453
[2024-03-28 22:55:24] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Skeleton at X= -784, Y= 66, Z= 457
[2024-03-28 22:55:33] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Creeper at X= -785, Y= 66, Z= 453
[2024-03-28 22:55:34] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Creeper at X= -785, Y= 66, Z= 454
[2024-03-28 22:55:42] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Skeleton at X= -785, Y= 67, Z= 478
[2024-03-28 22:55:50] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Spider at X= -790, Y= 66, Z= 474
[2024-03-28 22:55:53] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Zombie at X= -789, Y= 66, Z= 469
[2024-03-28 22:55:56] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Zombie at X= -794, Y= 66, Z= 470
[2024-03-28 22:56:13] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Pig at X= -813, Y= 66, Z= 489
[2024-03-28 22:58:08] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Zombie at X= -842, Y= 69, Z= 514
[2024-03-28 22:58:22] [world] [0a5b6dd8-f370-39c9-b3a0-78aee983ac06] The Player <BTC> has slain Skeleton at X= -872, Y= 69, Z= 535
[2024-03-28 23:00:01] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Chicken at X= -589, Y= 72, Z= 439
[2024-03-28 23:00:20] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Chicken at X= -597, Y= 72, Z= 439
[2024-03-28 23:01:07] [world] [e8de36e0-d4b2-315e-8c5d-b2baec5db3bf] The Player <GolemDaWanderer> has slain Skeleton at X= -613, Y= 69, Z= 508
[2024-03-28 23:01:26] [world] [17642ce9-92a4-3f8d-8872-8b5a03c49ec5] The Player <xcpc> has slain Skeleton at X= -290, Y= 70, Z= 281
[2024-03-28 23:01:43] [world] [17642ce9-92a4-3f8d-8872-8b5a03c49ec5] The Player <xcpc> has slain Chicken at X= -304, Y= 70, Z= 284
[2024-03-28 23:03:02] [world] [17642ce9-92a4-3f8d-8872-8b5a03c49ec5] The Player <xcpc> has slain Chicken at X= -309, Y= 70, Z= 284
[2024-03-28 23:03:03] [world] [17642ce9-92a4-3f8d-8872-8b5a03c49ec5] The Player <xcpc> has slain Chicken at X= -309, Y= 70, Z= 284
[2024-03-28 23:03:04] [world] [17642ce9-92a4-3f8d-8872-8b5a03c49ec5] The Player <xcpc> has slain Chicken at X= -309, Y= 70, Z= 283
[2024-03-28 23:03:05] [world] [17642ce9-92a4-3f8d-8872-8b5a03c49ec5] The Player <xcpc> has slain Chicken at X= -310, Y= 70, Z= 285
[2024-03-28 23:03:05] [world] [17642ce9-92a4-3f8d-8872-8b5a03c49ec5] The Player <xcpc> has slain Chicken at X= -309, Y= 70, Z= 284
[2024-03-28 23:03:06] [world] [17642ce9-92a4-3f8d-8872-8b5a03c49ec5] The Player <xcpc> has slain Chicken at X= -310, Y= 70, Z= 284
