[2024-03-18 11:11:01] [world] [996aec62-04eb-3361-9b73-c600a1eedfdd] The Player <qwerty> has slain Zombie at X= -560, Y= 68, Z= 259
[2024-03-18 11:24:59] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -149, Y= 70, Z= -96
[2024-03-18 12:06:33] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -147, Y= 68, Z= -96
[2024-03-18 12:06:58] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -144, Y= 70, Z= -91
[2024-03-18 12:07:05] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -149, Y= 70, Z= -97
[2024-03-18 12:07:35] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -148, Y= 70, Z= -90
[2024-03-18 12:07:39] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -144, Y= 70, Z= -93
[2024-03-18 12:07:54] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -147, Y= 70, Z= -91
[2024-03-18 12:08:05] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -143, Y= 71, Z= -92
[2024-03-18 12:08:44] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -144, Y= 70, Z= -91
[2024-03-18 12:08:51] [world] [a22317a5-ae4b-33d7-8478-76e621786389] The Player <Sword4001> has slain Chicken at X= -567, Y= 68, Z= 263
[2024-03-18 12:08:59] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -148, Y= 70, Z= -93
[2024-03-18 12:09:13] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -145, Y= 69, Z= -95
[2024-03-18 12:09:22] [world] [a22317a5-ae4b-33d7-8478-76e621786389] The Player <Sword4001> has slain Zombie at X= -576, Y= 68, Z= 257
[2024-03-18 12:09:26] [world] [89ac4d9f-7c7b-3e50-803d-1ff3d8f0f77a] The Player <Brycethelegend> has slain Zombie at X= -586, Y= 68, Z= 330
[2024-03-18 12:09:37] [world] [89ac4d9f-7c7b-3e50-803d-1ff3d8f0f77a] The Player <Brycethelegend> has slain Spider at X= -591, Y= 64, Z= 344
[2024-03-18 12:09:45] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -144, Y= 70, Z= -91
[2024-03-18 12:09:59] [world] [1de0a7e2-4590-31c8-8341-aad7a0f13b27] The Player <character> has slain Zombie at X= -782, Y= 10, Z= 160
[2024-03-18 12:10:02] [world] [89ac4d9f-7c7b-3e50-803d-1ff3d8f0f77a] The Player <Brycethelegend> has slain Rabbit at X= -611, Y= 68, Z= 268
[2024-03-18 12:10:09] [world] [89ac4d9f-7c7b-3e50-803d-1ff3d8f0f77a] The Player <Brycethelegend> has slain Sheep at X= -623, Y= 68, Z= 253
[2024-03-18 12:10:09] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -148, Y= 70, Z= -93
[2024-03-18 12:10:17] [world] [a7c66b95-e1a6-3999-9b04-48ac42162ea9] The Player <MrBlob2U> has slain Skeleton at X= -687, Y= 17, Z= 180
[2024-03-18 12:10:20] [world] [89ac4d9f-7c7b-3e50-803d-1ff3d8f0f77a] The Player <Brycethelegend> has slain Chicken at X= -625, Y= 68, Z= 260
[2024-03-18 12:10:26] [world] [89ac4d9f-7c7b-3e50-803d-1ff3d8f0f77a] The Player <Brycethelegend> has slain Pig at X= -620, Y= 68, Z= 279
[2024-03-18 12:10:27] [world] [89ac4d9f-7c7b-3e50-803d-1ff3d8f0f77a] The Player <Brycethelegend> has slain Sheep at X= -617, Y= 68, Z= 280
[2024-03-18 12:10:27] [world] [1de0a7e2-4590-31c8-8341-aad7a0f13b27] The Player <character> has slain Zombie at X= -770, Y= 10, Z= 165
[2024-03-18 12:12:28] [world] [89ac4d9f-7c7b-3e50-803d-1ff3d8f0f77a] The Player <Brycethelegend> has slain Chicken at X= -561, Y= 68, Z= 259
[2024-03-18 12:12:31] [world] [89ac4d9f-7c7b-3e50-803d-1ff3d8f0f77a] The Player <Brycethelegend> has slain Zombie at X= -559, Y= 68, Z= 257
[2024-03-18 12:13:58] [world] [89ac4d9f-7c7b-3e50-803d-1ff3d8f0f77a] The Player <Brycethelegend> has slain Rabbit at X= -548, Y= 63, Z= 294
[2024-03-18 12:13:58] [world_the_end] [f7bb36ab-e336-3c4d-9238-e9504956be33] The Player <NezukoChan> has slain Sheep at X= 99, Y= 49, Z= 1
[2024-03-18 12:14:09] [world] [89ac4d9f-7c7b-3e50-803d-1ff3d8f0f77a] The Player <Brycethelegend> has slain Rabbit at X= -553, Y= 66, Z= 295
[2024-03-18 12:14:37] [world] [89ac4d9f-7c7b-3e50-803d-1ff3d8f0f77a] The Player <Brycethelegend> has slain Zombie at X= -522, Y= 67, Z= 286
[2024-03-18 12:14:49] [world] [89ac4d9f-7c7b-3e50-803d-1ff3d8f0f77a] The Player <Brycethelegend> has slain Spider at X= -523, Y= 65, Z= 309
[2024-03-18 12:14:52] [world] [89ac4d9f-7c7b-3e50-803d-1ff3d8f0f77a] The Player <Brycethelegend> has slain Zombie at X= -524, Y= 65, Z= 311
[2024-03-18 12:15:57] [world] [89ac4d9f-7c7b-3e50-803d-1ff3d8f0f77a] The Player <Brycethelegend> has slain Pig at X= -577, Y= 68, Z= 333
[2024-03-18 12:16:18] [world] [89ac4d9f-7c7b-3e50-803d-1ff3d8f0f77a] The Player <Brycethelegend> has slain Skeleton at X= -601, Y= 69, Z= 330
[2024-03-18 12:20:48] [world_nether] [89ac4d9f-7c7b-3e50-803d-1ff3d8f0f77a] The Player <Brycethelegend> has slain Zombie Pigman at X= -28, Y= 38, Z= 82
[2024-03-18 12:20:48] [world_nether] [89ac4d9f-7c7b-3e50-803d-1ff3d8f0f77a] The Player <Brycethelegend> has slain Zombie Pigman at X= -28, Y= 38, Z= 82
[2024-03-18 12:20:54] [world_nether] [89ac4d9f-7c7b-3e50-803d-1ff3d8f0f77a] The Player <Brycethelegend> has slain Zombie Pigman at X= -30, Y= 38, Z= 83
[2024-03-18 12:20:54] [world_nether] [89ac4d9f-7c7b-3e50-803d-1ff3d8f0f77a] The Player <Brycethelegend> has slain Zombie Pigman at X= -29, Y= 38, Z= 83
[2024-03-18 12:23:32] [world_nether] [89ac4d9f-7c7b-3e50-803d-1ff3d8f0f77a] The Player <Brycethelegend> has slain Zombie Pigman at X= -36, Y= 36, Z= 29
[2024-03-18 12:23:40] [world_nether] [89ac4d9f-7c7b-3e50-803d-1ff3d8f0f77a] The Player <Brycethelegend> has slain Zombie Pigman at X= -46, Y= 31, Z= 24
[2024-03-18 12:25:56] [world] [d9a95374-d096-3dd8-88d6-b3a6cdec71db] The Player <theproman3387> has slain Sheep at X= -606, Y= 68, Z= 281
[2024-03-18 12:26:04] [world] [d9a95374-d096-3dd8-88d6-b3a6cdec71db] The Player <theproman3387> has slain Creeper at X= -605, Y= 68, Z= 277
[2024-03-18 12:29:51] [world_the_end] [d9a95374-d096-3dd8-88d6-b3a6cdec71db] The Player <theproman3387> has slain Enderman at X= 48, Y= 62, Z= 13
[2024-03-18 12:30:34] [world_the_end] [d9a95374-d096-3dd8-88d6-b3a6cdec71db] The Player <theproman3387> has slain Enderman at X= -44, Y= 57, Z= -3
[2024-03-18 12:30:47] [world_the_end] [98c62a86-c05e-3c2a-926c-9d80e0e48fee] The Player <Rip_Dogwater> has slain Pig at X= 102, Y= 49, Z= 1
[2024-03-18 12:31:03] [world_the_end] [d9a95374-d096-3dd8-88d6-b3a6cdec71db] The Player <theproman3387> has slain Enderman at X= -51, Y= 57, Z= 3
[2024-03-18 12:40:26] [world_the_end] [d9a95374-d096-3dd8-88d6-b3a6cdec71db] The Player <theproman3387> has slain Enderman at X= 43, Y= 63, Z= 25
[2024-03-18 12:40:34] [world_the_end] [d9a95374-d096-3dd8-88d6-b3a6cdec71db] The Player <theproman3387> has slain Enderman at X= 38, Y= 63, Z= 29
[2024-03-18 12:40:35] [world_the_end] [98c62a86-c05e-3c2a-926c-9d80e0e48fee] The Player <Rip_Dogwater> has slain Enderman at X= -36, Y= 62, Z= -9
[2024-03-18 12:41:47] [world_nether] [89ac4d9f-7c7b-3e50-803d-1ff3d8f0f77a] The Player <Brycethelegend> has slain Blaze at X= -145, Y= 69, Z= -95
[2024-03-18 12:41:51] [world_nether] [89ac4d9f-7c7b-3e50-803d-1ff3d8f0f77a] The Player <Brycethelegend> has slain Blaze at X= -148, Y= 71, Z= -92
[2024-03-18 12:41:59] [world_nether] [89ac4d9f-7c7b-3e50-803d-1ff3d8f0f77a] The Player <Brycethelegend> has slain Blaze at X= -145, Y= 71, Z= -89
[2024-03-18 12:42:17] [world_nether] [89ac4d9f-7c7b-3e50-803d-1ff3d8f0f77a] The Player <Brycethelegend> has slain Blaze at X= -123, Y= 68, Z= -102
[2024-03-18 12:44:34] [world_nether] [89ac4d9f-7c7b-3e50-803d-1ff3d8f0f77a] The Player <Brycethelegend> has slain Blaze at X= -91, Y= 66, Z= -198
[2024-03-18 12:44:52] [world_nether] [89ac4d9f-7c7b-3e50-803d-1ff3d8f0f77a] The Player <Brycethelegend> has slain Blaze at X= -94, Y= 68, Z= -197
[2024-03-18 12:46:53] [world_nether] [89ac4d9f-7c7b-3e50-803d-1ff3d8f0f77a] The Player <Brycethelegend> has slain Blaze at X= -153, Y= 67, Z= -102
[2024-03-18 12:47:03] [world_nether] [89ac4d9f-7c7b-3e50-803d-1ff3d8f0f77a] The Player <Brycethelegend> has slain Blaze at X= -144, Y= 71, Z= -89
[2024-03-18 12:47:03] [world_nether] [89ac4d9f-7c7b-3e50-803d-1ff3d8f0f77a] The Player <Brycethelegend> has slain Blaze at X= -143, Y= 71, Z= -89
[2024-03-18 12:47:06] [world_nether] [89ac4d9f-7c7b-3e50-803d-1ff3d8f0f77a] The Player <Brycethelegend> has slain Blaze at X= -148, Y= 70, Z= -90
[2024-03-18 12:47:11] [world_nether] [89ac4d9f-7c7b-3e50-803d-1ff3d8f0f77a] The Player <Brycethelegend> has slain Blaze at X= -145, Y= 68, Z= -97
[2024-03-18 12:47:54] [world_nether] [89ac4d9f-7c7b-3e50-803d-1ff3d8f0f77a] The Player <Brycethelegend> has slain Blaze at X= -134, Y= 67, Z= -100
[2024-03-18 12:48:03] [world_nether] [89ac4d9f-7c7b-3e50-803d-1ff3d8f0f77a] The Player <Brycethelegend> has slain Blaze at X= -134, Y= 70, Z= -84
[2024-03-18 12:48:18] [world_nether] [89ac4d9f-7c7b-3e50-803d-1ff3d8f0f77a] The Player <Brycethelegend> has slain Blaze at X= -136, Y= 70, Z= -91
[2024-03-18 12:48:33] [world_nether] [89ac4d9f-7c7b-3e50-803d-1ff3d8f0f77a] The Player <Brycethelegend> has slain Blaze at X= -136, Y= 71, Z= -85
[2024-03-18 12:48:47] [world_nether] [89ac4d9f-7c7b-3e50-803d-1ff3d8f0f77a] The Player <Brycethelegend> has slain Blaze at X= -148, Y= 67, Z= -99
[2024-03-18 12:50:10] [world_nether] [89ac4d9f-7c7b-3e50-803d-1ff3d8f0f77a] The Player <Brycethelegend> has slain Zombie Pigman at X= -161, Y= 67, Z= -102
[2024-03-18 12:51:45] [world] [25e1558f-7250-3703-bdd9-297e37656e1a] The Player <proman50> has slain Creeper at X= -274, Y= 70, Z= 174
[2024-03-18 12:51:58] [world_nether] [89ac4d9f-7c7b-3e50-803d-1ff3d8f0f77a] The Player <Brycethelegend> has slain Blaze at X= -145, Y= 69, Z= -95
[2024-03-18 12:52:01] [world_nether] [89ac4d9f-7c7b-3e50-803d-1ff3d8f0f77a] The Player <Brycethelegend> has slain Blaze at X= -144, Y= 71, Z= -90
[2024-03-18 12:52:04] [world_nether] [89ac4d9f-7c7b-3e50-803d-1ff3d8f0f77a] The Player <Brycethelegend> has slain Blaze at X= -148, Y= 70, Z= -90
[2024-03-18 12:52:12] [world] [25e1558f-7250-3703-bdd9-297e37656e1a] The Player <proman50> has slain Sheep at X= -212, Y= 64, Z= 109
[2024-03-18 12:52:15] [world_nether] [89ac4d9f-7c7b-3e50-803d-1ff3d8f0f77a] The Player <Brycethelegend> has slain Blaze at X= -143, Y= 71, Z= -89
[2024-03-18 12:52:17] [world_nether] [89ac4d9f-7c7b-3e50-803d-1ff3d8f0f77a] The Player <Brycethelegend> has slain Blaze at X= -144, Y= 71, Z= -91
[2024-03-18 12:52:21] [world_nether] [89ac4d9f-7c7b-3e50-803d-1ff3d8f0f77a] The Player <Brycethelegend> has slain Blaze at X= -146, Y= 69, Z= -98
[2024-03-18 12:52:29] [world_nether] [89ac4d9f-7c7b-3e50-803d-1ff3d8f0f77a] The Player <Brycethelegend> has slain Blaze at X= -148, Y= 70, Z= -90
[2024-03-18 12:52:36] [world_nether] [89ac4d9f-7c7b-3e50-803d-1ff3d8f0f77a] The Player <Brycethelegend> has slain Blaze at X= -145, Y= 70, Z= -97
[2024-03-18 12:52:47] [world_nether] [89ac4d9f-7c7b-3e50-803d-1ff3d8f0f77a] The Player <Brycethelegend> has slain Blaze at X= -140, Y= 66, Z= -92
[2024-03-18 12:52:53] [world] [25e1558f-7250-3703-bdd9-297e37656e1a] The Player <proman50> has slain Chicken at X= -214, Y= 71, Z= 127
[2024-03-18 12:52:56] [world_nether] [89ac4d9f-7c7b-3e50-803d-1ff3d8f0f77a] The Player <Brycethelegend> has slain Blaze at X= -138, Y= 63, Z= -96
[2024-03-18 12:53:03] [world] [25e1558f-7250-3703-bdd9-297e37656e1a] The Player <proman50> has slain Sheep at X= -234, Y= 70, Z= 123
[2024-03-18 12:53:08] [world] [25e1558f-7250-3703-bdd9-297e37656e1a] The Player <proman50> has slain Chicken at X= -245, Y= 71, Z= 129
[2024-03-18 12:53:19] [world] [25e1558f-7250-3703-bdd9-297e37656e1a] The Player <proman50> has slain Pig at X= -234, Y= 72, Z= 156
[2024-03-18 12:53:23] [world] [25e1558f-7250-3703-bdd9-297e37656e1a] The Player <proman50> has slain Chicken at X= -240, Y= 70, Z= 163
[2024-03-18 12:54:52] [world] [f7bb36ab-e336-3c4d-9238-e9504956be33] The Player <NezukoChan> has slain Sheep at X= -631, Y= 68, Z= 326
[2024-03-18 12:59:27] [world_nether] [89ac4d9f-7c7b-3e50-803d-1ff3d8f0f77a] The Player <Brycethelegend> has slain Blaze at X= -148, Y= 71, Z= -89
[2024-03-18 12:59:38] [world_nether] [89ac4d9f-7c7b-3e50-803d-1ff3d8f0f77a] The Player <Brycethelegend> has slain Blaze at X= -145, Y= 70, Z= -97
[2024-03-18 13:07:22] [world] [e83f87c1-9bd9-3fdb-8682-809b72df4c21] The Player <VeerIsKKK> has slain Zombie at X= -555, Y= 64, Z= 261
[2024-03-18 13:26:27] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Slime at X= -10190, Y= 62, Z= 4120
[2024-03-18 13:26:31] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Slime at X= -10192, Y= 64, Z= 4120
[2024-03-18 13:26:33] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Slime at X= -10190, Y= 64, Z= 4118
[2024-03-18 13:26:34] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Slime at X= -10188, Y= 64, Z= 4120
[2024-03-18 13:26:35] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Slime at X= -10187, Y= 64, Z= 4119
[2024-03-18 13:26:38] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Slime at X= -10191, Y= 64, Z= 4117
[2024-03-18 13:26:39] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Slime at X= -10190, Y= 63, Z= 4115
[2024-03-18 13:26:41] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Slime at X= -10190, Y= 63, Z= 4117
[2024-03-18 13:29:18] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Slime at X= -10243, Y= 64, Z= 4109
[2024-03-18 13:29:21] [world] [e83f87c1-9bd9-3fdb-8682-809b72df4c21] The Player <VeerIsKKK> has slain Zombie at X= -539, Y= 68, Z= 282
[2024-03-18 13:29:44] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Slime at X= -10241, Y= 64, Z= 4106
[2024-03-18 13:30:01] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Cow at X= -10250, Y= 64, Z= 4111
[2024-03-18 13:30:08] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Slime at X= -10244, Y= 65, Z= 4107
[2024-03-18 13:30:08] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Slime at X= -10244, Y= 64, Z= 4107
[2024-03-18 13:30:47] [world_the_end] [e83f87c1-9bd9-3fdb-8682-809b72df4c21] The Player <VeerIsKKK> has slain Sheep at X= 100, Y= 49, Z= -1
[2024-03-18 13:32:03] [world_the_end] [e83f87c1-9bd9-3fdb-8682-809b72df4c21] The Player <VeerIsKKK> has slain Enderman at X= 15, Y= 59, Z= 18
[2024-03-18 13:34:10] [world_the_end] [e83f87c1-9bd9-3fdb-8682-809b72df4c21] The Player <VeerIsKKK> has slain Enderman at X= 20, Y= 58, Z= -67
[2024-03-18 13:39:20] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Enderman at X= -169, Y= 57, Z= 39
[2024-03-18 13:43:47] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Slime at X= 100, Y= 49, Z= 1
[2024-03-18 13:45:42] [world] [59e49993-dba6-3608-baba-133766761b0c] The Player <WienerDogFace> has slain Bat at X= -449, Y= 11, Z= 1413
[2024-03-18 13:47:59] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -145, Y= 70, Z= -97
[2024-03-18 13:48:27] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -144, Y= 70, Z= -91
[2024-03-18 13:49:26] [world] [a22317a5-ae4b-33d7-8478-76e621786389] The Player <Sword4001> has slain Pig at X= -603, Y= 68, Z= 309
[2024-03-18 13:49:30] [world_nether] [996aec62-04eb-3361-9b73-c600a1eedfdd] The Player <qwerty> has slain Blaze at X= -130, Y= 67, Z= -91
[2024-03-18 13:49:31] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -145, Y= 69, Z= -95
[2024-03-18 13:49:35] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -144, Y= 70, Z= -91
[2024-03-18 13:49:39] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -146, Y= 70, Z= -95
[2024-03-18 13:49:40] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -149, Y= 71, Z= -96
[2024-03-18 13:49:50] [world_nether] [996aec62-04eb-3361-9b73-c600a1eedfdd] The Player <qwerty> has slain Blaze at X= -131, Y= 70, Z= -86
[2024-03-18 13:49:51] [world_nether] [996aec62-04eb-3361-9b73-c600a1eedfdd] The Player <qwerty> has slain Blaze at X= -130, Y= 71, Z= -83
[2024-03-18 13:49:55] [world_nether] [996aec62-04eb-3361-9b73-c600a1eedfdd] The Player <qwerty> has slain Blaze at X= -133, Y= 70, Z= -84
[2024-03-18 13:49:59] [world_nether] [996aec62-04eb-3361-9b73-c600a1eedfdd] The Player <qwerty> has slain Blaze at X= -137, Y= 71, Z= -84
[2024-03-18 13:50:07] [world_nether] [996aec62-04eb-3361-9b73-c600a1eedfdd] The Player <qwerty> has slain Blaze at X= -134, Y= 70, Z= -87
[2024-03-18 13:50:08] [world_nether] [996aec62-04eb-3361-9b73-c600a1eedfdd] The Player <qwerty> has slain Blaze at X= -135, Y= 70, Z= -87
[2024-03-18 13:50:48] [world_nether] [996aec62-04eb-3361-9b73-c600a1eedfdd] The Player <qwerty> has slain Blaze at X= -135, Y= 70, Z= -84
[2024-03-18 13:51:03] [world_nether] [996aec62-04eb-3361-9b73-c600a1eedfdd] The Player <qwerty> has slain Blaze at X= -136, Y= 67, Z= -89
[2024-03-18 13:51:51] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -146, Y= 70, Z= -97
[2024-03-18 13:51:55] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -149, Y= 69, Z= -97
[2024-03-18 13:52:01] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -148, Y= 71, Z= -90
[2024-03-18 13:52:03] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -144, Y= 70, Z= -90
[2024-03-18 13:52:10] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -145, Y= 70, Z= -97
[2024-03-18 13:52:21] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -147, Y= 68, Z= -111
[2024-03-18 13:52:30] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -146, Y= 70, Z= -93
[2024-03-18 13:52:40] [world_nether] [89ac4d9f-7c7b-3e50-803d-1ff3d8f0f77a] The Player <Brycethelegend> has slain Blaze at X= -135, Y= 70, Z= -85
[2024-03-18 13:52:46] [world_nether] [89ac4d9f-7c7b-3e50-803d-1ff3d8f0f77a] The Player <Brycethelegend> has slain Blaze at X= -130, Y= 71, Z= -87
[2024-03-18 13:52:57] [world_nether] [89ac4d9f-7c7b-3e50-803d-1ff3d8f0f77a] The Player <Brycethelegend> has slain Blaze at X= -135, Y= 70, Z= -84
[2024-03-18 13:53:00] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -149, Y= 71, Z= -91
[2024-03-18 13:53:25] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -148, Y= 70, Z= -90
[2024-03-18 13:53:36] [world_the_end] [e83f87c1-9bd9-3fdb-8682-809b72df4c21] The Player <VeerIsKKK> has slain Enderman at X= 11, Y= 58, Z= 40
[2024-03-18 13:53:39] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -149, Y= 67, Z= -90
[2024-03-18 13:53:51] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -144, Y= 70, Z= -91
[2024-03-18 13:53:54] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -147, Y= 70, Z= -96
[2024-03-18 13:54:18] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -143, Y= 71, Z= -92
