[2024-03-20 19:09:59] [world] [f7bb36ab-e336-3c4d-9238-e9504956be33] The Player <NezukoChan> has slain Sheep at X= -10240, Y= 64, Z= 4090
[2024-03-20 20:09:19] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain hexa at X= -2536, Y= 64, Z= 572
[2024-03-20 20:09:39] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain hexa at X= -2538, Y= 64, Z= 565
[2024-03-20 20:16:12] [world] [68727dc1-4832-3fda-90fc-733729969cc6] The Player <Corner1> has slain Tester at X= -547, Y= 68, Z= 254
[2024-03-20 20:18:19] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Pig at X= -590, Y= 68, Z= 296
[2024-03-20 20:18:30] [world] [68727dc1-4832-3fda-90fc-733729969cc6] The Player <Corner1> has slain Pig at X= -560, Y= 68, Z= 268
[2024-03-20 20:18:35] [world] [68727dc1-4832-3fda-90fc-733729969cc6] The Player <Corner1> has slain Pig at X= -567, Y= 68, Z= 267
[2024-03-20 20:18:35] [world] [68727dc1-4832-3fda-90fc-733729969cc6] The Player <Corner1> has slain Pig at X= -568, Y= 68, Z= 266
[2024-03-20 20:18:37] [world] [68727dc1-4832-3fda-90fc-733729969cc6] The Player <Corner1> has slain Pig at X= -574, Y= 68, Z= 267
[2024-03-20 20:18:38] [world] [68727dc1-4832-3fda-90fc-733729969cc6] The Player <Corner1> has slain Pig at X= -577, Y= 68, Z= 266
[2024-03-20 20:18:38] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Pig at X= -589, Y= 68, Z= 307
[2024-03-20 20:18:40] [world] [68727dc1-4832-3fda-90fc-733729969cc6] The Player <Corner1> has slain Pig at X= -583, Y= 68, Z= 274
[2024-03-20 20:18:46] [world] [68727dc1-4832-3fda-90fc-733729969cc6] The Player <Corner1> has slain Pig at X= -565, Y= 68, Z= 276
[2024-03-20 20:18:51] [world] [68727dc1-4832-3fda-90fc-733729969cc6] The Player <Corner1> has slain Pig at X= -558, Y= 68, Z= 256
[2024-03-20 20:18:52] [world] [68727dc1-4832-3fda-90fc-733729969cc6] The Player <Corner1> has slain Pig at X= -551, Y= 68, Z= 252
[2024-03-20 20:19:32] [world] [68727dc1-4832-3fda-90fc-733729969cc6] The Player <Corner1> has slain Pig at X= -600, Y= 68, Z= 273
[2024-03-20 20:19:53] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Tester at X= -2528, Y= 64, Z= 583
[2024-03-20 20:20:00] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Tester at X= -10177, Y= 63, Z= 4115
[2024-03-20 20:20:20] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Tester at X= -10175, Y= 63, Z= 4115
[2024-03-20 20:21:09] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Slime at X= -10174, Y= 63, Z= 4114
[2024-03-20 20:21:18] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Slime at X= -10177, Y= 63, Z= 4114
[2024-03-20 20:21:32] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10183, Y= 64, Z= 4112
[2024-03-20 20:21:32] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10178, Y= 63, Z= 4112
[2024-03-20 20:21:32] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10180, Y= 63, Z= 4111
[2024-03-20 20:21:32] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10182, Y= 63, Z= 4111
[2024-03-20 20:21:33] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10179, Y= 64, Z= 4114
[2024-03-20 20:21:33] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10177, Y= 63, Z= 4113
[2024-03-20 20:21:33] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10182, Y= 63, Z= 4114
[2024-03-20 20:21:33] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10179, Y= 63, Z= 4113
[2024-03-20 20:21:33] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10178, Y= 63, Z= 4112
[2024-03-20 20:21:33] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10178, Y= 63, Z= 4112
[2024-03-20 20:21:33] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10178, Y= 63, Z= 4112
[2024-03-20 20:21:33] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10179, Y= 63, Z= 4113
[2024-03-20 20:21:33] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10177, Y= 64, Z= 4115
[2024-03-20 20:21:33] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Tester at X= -10178, Y= 63, Z= 4114
[2024-03-20 20:21:34] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10178, Y= 63, Z= 4114
[2024-03-20 20:21:34] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10177, Y= 63, Z= 4114
[2024-03-20 20:21:34] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10178, Y= 63, Z= 4114
[2024-03-20 20:21:34] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10177, Y= 63, Z= 4114
[2024-03-20 20:21:34] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10184, Y= 63, Z= 4112
[2024-03-20 20:21:34] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10182, Y= 63, Z= 4112
[2024-03-20 20:21:34] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10181, Y= 63, Z= 4112
[2024-03-20 20:21:34] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10185, Y= 64, Z= 4112
[2024-03-20 20:21:35] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10184, Y= 64, Z= 4116
[2024-03-20 20:21:35] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10183, Y= 64, Z= 4118
[2024-03-20 20:21:36] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10179, Y= 63, Z= 4115
[2024-03-20 20:21:36] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10182, Y= 63, Z= 4115
[2024-03-20 20:21:36] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10181, Y= 63, Z= 4115
[2024-03-20 20:21:36] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10182, Y= 63, Z= 4116
[2024-03-20 20:21:36] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10183, Y= 65, Z= 4115
[2024-03-20 20:21:36] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10183, Y= 64, Z= 4117
[2024-03-20 20:21:36] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10185, Y= 63, Z= 4114
[2024-03-20 20:21:36] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10184, Y= 63, Z= 4114
[2024-03-20 20:21:36] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10185, Y= 63, Z= 4115
[2024-03-20 20:21:36] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10184, Y= 63, Z= 4115
[2024-03-20 20:21:37] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10185, Y= 63, Z= 4116
[2024-03-20 20:21:37] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10185, Y= 63, Z= 4116
[2024-03-20 20:21:37] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10185, Y= 63, Z= 4116
[2024-03-20 20:21:37] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10185, Y= 63, Z= 4116
[2024-03-20 20:21:37] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10182, Y= 63, Z= 4114
[2024-03-20 20:21:37] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10181, Y= 63, Z= 4114
[2024-03-20 20:21:37] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10182, Y= 63, Z= 4115
[2024-03-20 20:21:37] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10184, Y= 64, Z= 4115
[2024-03-20 20:21:37] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10183, Y= 64, Z= 4115
[2024-03-20 20:21:37] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10184, Y= 64, Z= 4116
[2024-03-20 20:21:37] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10183, Y= 65, Z= 4117
[2024-03-20 20:21:37] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10182, Y= 65, Z= 4117
[2024-03-20 20:21:38] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10185, Y= 64, Z= 4118
[2024-03-20 20:21:38] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10184, Y= 64, Z= 4118
[2024-03-20 20:21:38] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10184, Y= 64, Z= 4118
[2024-03-20 20:21:38] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10179, Y= 64, Z= 4117
[2024-03-20 20:21:38] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10184, Y= 64, Z= 4119
[2024-03-20 20:21:38] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10180, Y= 63, Z= 4114
[2024-03-20 20:21:39] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10182, Y= 65, Z= 4118
[2024-03-20 20:21:39] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10182, Y= 65, Z= 4118
[2024-03-20 20:21:39] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10180, Y= 64, Z= 4117
[2024-03-20 20:21:39] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10180, Y= 64, Z= 4116
[2024-03-20 20:21:39] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10177, Y= 64, Z= 4117
[2024-03-20 20:21:39] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10181, Y= 65, Z= 4118
[2024-03-20 20:21:39] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10180, Y= 65, Z= 4118
[2024-03-20 20:21:39] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10177, Y= 64, Z= 4116
[2024-03-20 20:21:39] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10178, Y= 63, Z= 4113
[2024-03-20 20:21:39] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10183, Y= 64, Z= 4117
[2024-03-20 20:21:39] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10178, Y= 63, Z= 4114
[2024-03-20 20:21:39] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10179, Y= 64, Z= 4115
[2024-03-20 20:21:39] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10179, Y= 64, Z= 4115
[2024-03-20 20:21:39] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10179, Y= 64, Z= 4116
[2024-03-20 20:21:40] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10179, Y= 63, Z= 4113
[2024-03-20 20:21:40] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10180, Y= 64, Z= 4116
[2024-03-20 20:21:40] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10176, Y= 63, Z= 4115
[2024-03-20 20:21:40] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10175, Y= 63, Z= 4116
[2024-03-20 20:21:41] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10174, Y= 63, Z= 4112
[2024-03-20 20:21:41] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10174, Y= 63, Z= 4114
[2024-03-20 20:21:41] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10172, Y= 63, Z= 4116
[2024-03-20 20:21:41] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10178, Y= 63, Z= 4114
[2024-03-20 20:21:41] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10177, Y= 63, Z= 4114
[2024-03-20 20:21:41] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10178, Y= 63, Z= 4115
[2024-03-20 20:21:41] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10171, Y= 63, Z= 4117
[2024-03-20 20:21:41] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10175, Y= 64, Z= 4115
[2024-03-20 20:21:41] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10175, Y= 64, Z= 4115
[2024-03-20 20:21:42] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10173, Y= 63, Z= 4115
[2024-03-20 20:21:42] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10173, Y= 63, Z= 4115
[2024-03-20 20:21:42] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10173, Y= 63, Z= 4115
[2024-03-20 20:21:42] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10174, Y= 63, Z= 4111
[2024-03-20 20:21:42] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10173, Y= 63, Z= 4111
[2024-03-20 20:21:42] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10176, Y= 63, Z= 4115
[2024-03-20 20:21:44] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10168, Y= 64, Z= 4116
[2024-03-20 20:21:44] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10162, Y= 63, Z= 4116
[2024-03-20 20:21:44] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10162, Y= 64, Z= 4118
[2024-03-20 20:21:45] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10158, Y= 63, Z= 4115
[2024-03-20 20:21:46] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10160, Y= 63, Z= 4112
[2024-03-20 20:21:48] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10161, Y= 63, Z= 4114
[2024-03-20 20:21:48] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Slime at X= -10158, Y= 63, Z= 4114
[2024-03-20 20:21:54] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Slime at X= -10177, Y= 64, Z= 4116
[2024-03-20 20:22:03] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Slime at X= -10169, Y= 63, Z= 4103
[2024-03-20 20:22:04] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Slime at X= -10171, Y= 64, Z= 4107
[2024-03-20 20:22:06] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Slime at X= -10163, Y= 64, Z= 4108
[2024-03-20 20:22:09] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Slime at X= -10161, Y= 63, Z= 4104
[2024-03-20 20:22:10] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Slime at X= -10162, Y= 64, Z= 4105
[2024-03-20 20:22:13] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Slime at X= -10159, Y= 63, Z= 4105
[2024-03-20 20:22:30] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Tester Slime at X= -10174, Y= 63, Z= 4114
[2024-03-20 20:22:44] [world] [68727dc1-4832-3fda-90fc-733729969cc6] The Player <Corner1> has slain Tester Slime at X= -10177, Y= 63, Z= 4102
[2024-03-20 20:22:47] [world] [68727dc1-4832-3fda-90fc-733729969cc6] The Player <Corner1> has slain Tester Slime at X= -10177, Y= 63, Z= 4101
[2024-03-20 20:22:49] [world] [68727dc1-4832-3fda-90fc-733729969cc6] The Player <Corner1> has slain Tester Slime at X= -10177, Y= 63, Z= 4103
[2024-03-20 20:22:50] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Tester Slime at X= -10177, Y= 63, Z= 4102
[2024-03-20 20:22:50] [world] [68727dc1-4832-3fda-90fc-733729969cc6] The Player <Corner1> has slain Tester Slime at X= -10177, Y= 64, Z= 4103
[2024-03-20 20:22:52] [world] [68727dc1-4832-3fda-90fc-733729969cc6] The Player <Corner1> has slain Tester at X= -10178, Y= 63, Z= 4101
[2024-03-20 20:22:53] [world] [68727dc1-4832-3fda-90fc-733729969cc6] The Player <Corner1> has slain Tester Slime at X= -10177, Y= 63, Z= 4100
[2024-03-20 20:22:55] [world] [68727dc1-4832-3fda-90fc-733729969cc6] The Player <Corner1> has slain Tester Slime at X= -10178, Y= 64, Z= 4102
[2024-03-20 20:23:00] [world] [68727dc1-4832-3fda-90fc-733729969cc6] The Player <Corner1> has slain Tester Slime at X= -10177, Y= 64, Z= 4102
[2024-03-20 20:23:04] [world] [68727dc1-4832-3fda-90fc-733729969cc6] The Player <Corner1> has slain Tester Slime at X= -10174, Y= 63, Z= 4098
[2024-03-20 20:23:14] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Slime at X= -10173, Y= 64, Z= 4117
[2024-03-20 20:23:16] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Tester Slime at X= -10172, Y= 65, Z= 4119
[2024-03-20 20:23:19] [world] [68727dc1-4832-3fda-90fc-733729969cc6] The Player <Corner1> has slain Tester Slime at X= -10161, Y= 63, Z= 4102
