[2024-03-19 11:18:15] [world] [98c62a86-c05e-3c2a-926c-9d80e0e48fee] The Player <Rip_Dogwater> has slain Sheep at X= -572, Y= 68, Z= 275
[2024-03-19 11:45:09] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -146, Y= 70, Z= -93
[2024-03-19 11:45:45] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -147, Y= 69, Z= -97
[2024-03-19 11:46:21] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -148, Y= 70, Z= -93
[2024-03-19 11:46:24] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -144, Y= 70, Z= -90
[2024-03-19 11:46:42] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -143, Y= 71, Z= -91
[2024-03-19 11:46:55] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -144, Y= 70, Z= -92
[2024-03-19 11:47:24] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -147, Y= 69, Z= -95
[2024-03-19 11:47:36] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -145, Y= 69, Z= -95
[2024-03-19 11:48:02] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -144, Y= 70, Z= -90
[2024-03-19 11:48:13] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -144, Y= 70, Z= -93
[2024-03-19 11:48:46] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -145, Y= 70, Z= -97
[2024-03-19 11:48:59] [world] [8f6793d7-cfa8-3782-a5cf-864f62685c06] The Player <TurtleDuck> has slain Horse at X= -582, Y= 54, Z= 275
[2024-03-19 11:49:12] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -148, Y= 70, Z= -93
[2024-03-19 11:49:51] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -147, Y= 68, Z= -97
[2024-03-19 11:50:23] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -149, Y= 68, Z= -97
[2024-03-19 11:50:30] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -149, Y= 69, Z= -97
[2024-03-19 11:50:46] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -146, Y= 70, Z= -93
[2024-03-19 11:51:23] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -148, Y= 70, Z= -93
[2024-03-19 11:51:46] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -148, Y= 70, Z= -92
[2024-03-19 11:52:42] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -118, Y= 67, Z= -100
[2024-03-19 11:53:00] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -132, Y= 70, Z= -89
[2024-03-19 11:53:04] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -131, Y= 71, Z= -83
[2024-03-19 11:53:06] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -133, Y= 70, Z= -84
[2024-03-19 11:53:09] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -135, Y= 70, Z= -87
[2024-03-19 11:53:16] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -136, Y= 71, Z= -83
[2024-03-19 11:53:23] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -131, Y= 70, Z= -87
[2024-03-19 11:53:28] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -136, Y= 70, Z= -91
[2024-03-19 11:53:43] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -145, Y= 69, Z= -95
[2024-03-19 11:53:44] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -145, Y= 69, Z= -95
[2024-03-19 11:53:55] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -144, Y= 70, Z= -90
[2024-03-19 11:54:20] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -148, Y= 70, Z= -91
[2024-03-19 11:54:31] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -147, Y= 67, Z= -100
[2024-03-19 11:54:43] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -131, Y= 70, Z= -84
[2024-03-19 11:54:49] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -135, Y= 70, Z= -87
[2024-03-19 11:54:51] [world_nether] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Blaze at X= -135, Y= 70, Z= -87
[2024-03-19 12:04:32] [world_the_end] [996aec62-04eb-3361-9b73-c600a1eedfdd] The Player <qwerty> has slain Zombie Pigman at X= 100, Y= 49, Z= 0
[2024-03-19 12:05:57] [world_the_end] [996aec62-04eb-3361-9b73-c600a1eedfdd] The Player <qwerty> has slain Enderman at X= 75, Y= 61, Z= 8
[2024-03-19 12:06:13] [world_the_end] [996aec62-04eb-3361-9b73-c600a1eedfdd] The Player <qwerty> has slain Enderman at X= 52, Y= 62, Z= 26
[2024-03-19 12:06:29] [world_the_end] [996aec62-04eb-3361-9b73-c600a1eedfdd] The Player <qwerty> has slain Enderman at X= 53, Y= 62, Z= 17
[2024-03-19 12:06:40] [world_the_end] [7e8da72a-cfff-3ef4-aa28-0a41015af521] The Player <I_am_amazing> has slain Enderman at X= 25, Y= 59, Z= -11
[2024-03-19 12:07:04] [world_the_end] [996aec62-04eb-3361-9b73-c600a1eedfdd] The Player <qwerty> has slain Enderman at X= 15, Y= 59, Z= 18
[2024-03-19 12:07:27] [world_the_end] [996aec62-04eb-3361-9b73-c600a1eedfdd] The Player <qwerty> has slain Enderman at X= -34, Y= 58, Z= 7
[2024-03-19 12:09:20] [world] [7e8da72a-cfff-3ef4-aa28-0a41015af521] The Player <I_am_amazing> has slain Creeper at X= -561, Y= 66, Z= 305
[2024-03-19 12:15:19] [world] [e83f87c1-9bd9-3fdb-8682-809b72df4c21] The Player <VeerIsKKK> has slain doggo at X= -559, Y= 72, Z= 280
[2024-03-19 12:15:30] [world] [e83f87c1-9bd9-3fdb-8682-809b72df4c21] The Player <VeerIsKKK> has slain doggo at X= -555, Y= 72, Z= 284
[2024-03-19 12:26:41] [world_the_end] [7e8da72a-cfff-3ef4-aa28-0a41015af521] The Player <I_am_amazing> has slain Enderman at X= 47, Y= 62, Z= 17
[2024-03-19 12:26:50] [world_the_end] [7e8da72a-cfff-3ef4-aa28-0a41015af521] The Player <I_am_amazing> has slain Enderman at X= 86, Y= 24, Z= 40
[2024-03-19 12:39:56] [world] [bdfd4d39-9869-3587-a60c-419be7f02cab] The Player <Milk_Frog> has slain Spider at X= -486, Y= 64, Z= -197
[2024-03-19 12:41:01] [world] [0de7a445-9f6f-32e5-b661-94c7daf64b40] The Player <hi_> has slain Skeleton at X= -1352, Y= 66, Z= -224
[2024-03-19 12:42:58] [world] [59e49993-dba6-3608-baba-133766761b0c] The Player <WienerDogFace> has slain Creeper at X= -1090, Y= 13, Z= 1591
[2024-03-19 12:43:08] [world] [59e49993-dba6-3608-baba-133766761b0c] The Player <WienerDogFace> has slain Zombie at X= -1106, Y= 25, Z= 1581
[2024-03-19 12:43:09] [world] [59e49993-dba6-3608-baba-133766761b0c] The Player <WienerDogFace> has slain Zombie at X= -1107, Y= 25, Z= 1581
[2024-03-19 12:43:11] [world] [59e49993-dba6-3608-baba-133766761b0c] The Player <WienerDogFace> has slain Zombie at X= -1107, Y= 25, Z= 1582
[2024-03-19 12:43:49] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -583, Y= 54, Z= 272
[2024-03-19 12:44:16] [world] [370f2f41-6d5b-3722-a6eb-6a675f62e120] The Player <dhar> has slain Zombie at X= -638, Y= 76, Z= 309
[2024-03-19 12:45:01] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -583, Y= 54, Z= 271
[2024-03-19 12:45:01] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -585, Y= 54, Z= 271
[2024-03-19 12:45:02] [world] [0de7a445-9f6f-32e5-b661-94c7daf64b40] The Player <hi_> has slain Get_dick_slapped at X= -624, Y= 68, Z= 240
[2024-03-19 12:45:02] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -583, Y= 54, Z= 271
[2024-03-19 12:45:02] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -583, Y= 54, Z= 273
[2024-03-19 12:45:02] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -583, Y= 54, Z= 272
[2024-03-19 12:45:02] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -583, Y= 54, Z= 271
[2024-03-19 12:45:02] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -583, Y= 54, Z= 271
[2024-03-19 12:45:02] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -583, Y= 54, Z= 269
[2024-03-19 12:45:02] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -583, Y= 54, Z= 271
[2024-03-19 12:45:02] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -583, Y= 54, Z= 270
[2024-03-19 12:45:02] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -585, Y= 54, Z= 272
[2024-03-19 12:45:03] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -581, Y= 54, Z= 270
[2024-03-19 12:45:03] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -583, Y= 54, Z= 271
[2024-03-19 12:45:03] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -580, Y= 54, Z= 271
[2024-03-19 12:45:03] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -582, Y= 54, Z= 272
[2024-03-19 12:45:03] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -582, Y= 54, Z= 271
[2024-03-19 12:45:07] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -582, Y= 54, Z= 273
[2024-03-19 12:45:07] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -582, Y= 54, Z= 272
[2024-03-19 12:45:07] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -581, Y= 54, Z= 271
[2024-03-19 12:45:07] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -581, Y= 54, Z= 271
[2024-03-19 12:45:07] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -582, Y= 54, Z= 271
[2024-03-19 12:45:07] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -581, Y= 54, Z= 271
[2024-03-19 12:45:07] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -582, Y= 54, Z= 272
[2024-03-19 12:45:07] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -581, Y= 54, Z= 274
[2024-03-19 12:45:07] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -580, Y= 54, Z= 272
[2024-03-19 12:45:07] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -583, Y= 54, Z= 272
[2024-03-19 12:45:07] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -583, Y= 54, Z= 271
[2024-03-19 12:45:07] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -580, Y= 54, Z= 272
[2024-03-19 12:45:07] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -583, Y= 54, Z= 272
[2024-03-19 12:45:07] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -583, Y= 54, Z= 271
[2024-03-19 12:45:07] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -580, Y= 54, Z= 271
[2024-03-19 12:45:07] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -580, Y= 54, Z= 271
[2024-03-19 12:45:07] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -583, Y= 54, Z= 272
[2024-03-19 12:45:08] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -583, Y= 54, Z= 272
[2024-03-19 12:45:08] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -583, Y= 54, Z= 269
[2024-03-19 12:45:08] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -583, Y= 54, Z= 274
[2024-03-19 12:45:08] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -581, Y= 54, Z= 269
[2024-03-19 12:45:08] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -585, Y= 54, Z= 271
[2024-03-19 12:45:08] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -583, Y= 54, Z= 269
[2024-03-19 12:45:08] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -583, Y= 54, Z= 271
[2024-03-19 12:45:08] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -585, Y= 54, Z= 271
[2024-03-19 12:45:08] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -581, Y= 54, Z= 273
[2024-03-19 12:45:08] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -581, Y= 54, Z= 270
[2024-03-19 12:45:08] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -583, Y= 54, Z= 271
[2024-03-19 12:45:08] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -582, Y= 54, Z= 272
[2024-03-19 12:45:08] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -581, Y= 54, Z= 269
[2024-03-19 12:45:08] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -581, Y= 54, Z= 274
[2024-03-19 12:45:08] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -580, Y= 54, Z= 271
[2024-03-19 12:45:08] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -583, Y= 54, Z= 271
[2024-03-19 12:45:08] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -582, Y= 54, Z= 272
[2024-03-19 12:45:08] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -583, Y= 54, Z= 274
[2024-03-19 12:45:08] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -582, Y= 54, Z= 271
[2024-03-19 12:45:09] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -580, Y= 54, Z= 272
[2024-03-19 12:45:09] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -581, Y= 54, Z= 271
[2024-03-19 12:45:09] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -582, Y= 54, Z= 271
[2024-03-19 12:45:09] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -583, Y= 54, Z= 274
[2024-03-19 12:45:09] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -583, Y= 54, Z= 270
[2024-03-19 12:45:09] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -581, Y= 54, Z= 271
[2024-03-19 12:45:09] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -581, Y= 54, Z= 271
[2024-03-19 12:45:09] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -583, Y= 54, Z= 272
[2024-03-19 12:45:09] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -583, Y= 54, Z= 273
[2024-03-19 12:45:10] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -582, Y= 54, Z= 271
[2024-03-19 12:45:10] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -583, Y= 54, Z= 272
[2024-03-19 12:45:10] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -580, Y= 54, Z= 271
[2024-03-19 12:45:10] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -581, Y= 54, Z= 269
[2024-03-19 12:45:10] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -583, Y= 54, Z= 269
[2024-03-19 12:45:10] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -583, Y= 54, Z= 271
[2024-03-19 12:45:10] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -581, Y= 54, Z= 269
[2024-03-19 12:45:10] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -583, Y= 54, Z= 271
[2024-03-19 12:45:10] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -583, Y= 54, Z= 272
[2024-03-19 12:45:10] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -581, Y= 54, Z= 271
[2024-03-19 12:45:10] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -585, Y= 54, Z= 270
[2024-03-19 12:45:10] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -581, Y= 54, Z= 269
[2024-03-19 12:45:10] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -583, Y= 54, Z= 272
[2024-03-19 12:45:11] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -585, Y= 54, Z= 271
[2024-03-19 12:45:11] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -580, Y= 54, Z= 271
[2024-03-19 12:45:11] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -583, Y= 54, Z= 269
[2024-03-19 12:45:11] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -583, Y= 54, Z= 274
[2024-03-19 12:45:11] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -582, Y= 54, Z= 272
[2024-03-19 12:45:11] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -583, Y= 54, Z= 269
[2024-03-19 12:45:11] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -583, Y= 54, Z= 274
[2024-03-19 12:45:11] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -585, Y= 54, Z= 271
[2024-03-19 12:45:11] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -581, Y= 54, Z= 274
[2024-03-19 12:45:11] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -585, Y= 54, Z= 271
[2024-03-19 12:45:11] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -584, Y= 54, Z= 272
[2024-03-19 12:45:11] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -585, Y= 54, Z= 269
[2024-03-19 12:45:11] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -584, Y= 54, Z= 271
[2024-03-19 12:45:12] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -584, Y= 54, Z= 269
[2024-03-19 12:45:12] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -584, Y= 54, Z= 271
[2024-03-19 12:45:12] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -582, Y= 54, Z= 270
[2024-03-19 12:45:12] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -581, Y= 54, Z= 271
[2024-03-19 12:45:13] [world] [0de7a445-9f6f-32e5-b661-94c7daf64b40] The Player <hi_> has slain Witch at X= -640, Y= 63, Z= 239
[2024-03-19 12:45:13] [world] [ed29d03b-f01b-39dd-ab82-ac3b54f2c88b] The Player <Char> has slain Horse at X= -581, Y= 54, Z= 273
