[2024-03-21 19:46:43] [world] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain astronomy at X= -1551, Y= 69, Z= -122
[2024-03-21 19:49:02] [world] [b69a2d91-1b9a-31bd-be6e-5c8476414696] The Player <astronomy> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 19:49:17] [world] [b69a2d91-1b9a-31bd-be6e-5c8476414696] The Player <astronomy> has slain Zombie at X= -1534, Y= 51, Z= -118
[2024-03-21 19:49:22] [world] [b69a2d91-1b9a-31bd-be6e-5c8476414696] The Player <astronomy> has slain Zombie at X= -1534, Y= 51, Z= -118
[2024-03-21 19:49:24] [world] [b69a2d91-1b9a-31bd-be6e-5c8476414696] The Player <astronomy> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 19:49:27] [world] [b69a2d91-1b9a-31bd-be6e-5c8476414696] The Player <astronomy> has slain Zombie at X= -1534, Y= 51, Z= -118
[2024-03-21 19:49:27] [world] [b69a2d91-1b9a-31bd-be6e-5c8476414696] The Player <astronomy> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 19:49:28] [world] [b69a2d91-1b9a-31bd-be6e-5c8476414696] The Player <astronomy> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 19:49:50] [world] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain hi_ at X= -582, Y= 68, Z= 289
[2024-03-21 19:49:59] [world] [b69a2d91-1b9a-31bd-be6e-5c8476414696] The Player <astronomy> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 19:50:04] [world] [b69a2d91-1b9a-31bd-be6e-5c8476414696] The Player <astronomy> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 19:50:05] [world_the_end] [0de7a445-9f6f-32e5-b661-94c7daf64b40] The Player <hi_> has slain Zombie Pigman at X= 98, Y= 49, Z= 0
[2024-03-21 19:50:10] [world] [b69a2d91-1b9a-31bd-be6e-5c8476414696] The Player <astronomy> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 19:50:12] [world] [b69a2d91-1b9a-31bd-be6e-5c8476414696] The Player <astronomy> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 19:50:24] [world] [b69a2d91-1b9a-31bd-be6e-5c8476414696] The Player <astronomy> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 19:50:27] [world] [b69a2d91-1b9a-31bd-be6e-5c8476414696] The Player <astronomy> has slain Zombie at X= -1534, Y= 51, Z= -118
[2024-03-21 19:50:27] [world] [b69a2d91-1b9a-31bd-be6e-5c8476414696] The Player <astronomy> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 19:50:28] [world] [b69a2d91-1b9a-31bd-be6e-5c8476414696] The Player <astronomy> has slain Zombie at X= -1534, Y= 51, Z= -118
[2024-03-21 19:58:17] [world_the_end] [0de7a445-9f6f-32e5-b661-94c7daf64b40] The Player <hi_> has slain Enderman at X= 16, Y= 59, Z= -57
[2024-03-21 19:58:30] [world_the_end] [0de7a445-9f6f-32e5-b661-94c7daf64b40] The Player <hi_> has slain Enderman at X= 22, Y= 57, Z= -70
[2024-03-21 19:58:48] [world_the_end] [0de7a445-9f6f-32e5-b661-94c7daf64b40] The Player <hi_> has slain Enderman at X= 23, Y= 57, Z= -80
[2024-03-21 19:58:53] [world_the_end] [0de7a445-9f6f-32e5-b661-94c7daf64b40] The Player <hi_> has slain Enderman at X= 21, Y= 57, Z= -85
[2024-03-21 19:59:03] [world_the_end] [0de7a445-9f6f-32e5-b661-94c7daf64b40] The Player <hi_> has slain Enderman at X= 14, Y= 57, Z= -84
[2024-03-21 19:59:51] [world_the_end] [0de7a445-9f6f-32e5-b661-94c7daf64b40] The Player <hi_> has slain Enderman at X= 9, Y= 59, Z= -8
[2024-03-21 19:59:56] [world_the_end] [0de7a445-9f6f-32e5-b661-94c7daf64b40] The Player <hi_> has slain Enderman at X= 8, Y= 59, Z= -11
[2024-03-21 20:03:30] [world_nether] [0de7a445-9f6f-32e5-b661-94c7daf64b40] The Player <hi_> has slain Zombie Pigman at X= -94, Y= 34, Z= 63
[2024-03-21 20:03:33] [world_nether] [0de7a445-9f6f-32e5-b661-94c7daf64b40] The Player <hi_> has slain Zombie Pigman at X= -92, Y= 34, Z= 62
[2024-03-21 20:03:39] [world_nether] [0de7a445-9f6f-32e5-b661-94c7daf64b40] The Player <hi_> has slain Zombie Pigman at X= -95, Y= 34, Z= 59
[2024-03-21 20:03:41] [world_nether] [0de7a445-9f6f-32e5-b661-94c7daf64b40] The Player <hi_> has slain Zombie Pigman at X= -94, Y= 34, Z= 59
[2024-03-21 20:04:08] [world_nether] [0de7a445-9f6f-32e5-b661-94c7daf64b40] The Player <hi_> has slain Zombie Pigman at X= -82, Y= 30, Z= 20
[2024-03-21 20:07:02] [world_nether] [0de7a445-9f6f-32e5-b661-94c7daf64b40] The Player <hi_> has slain Zombie Pigman at X= -69, Y= 71, Z= 27
[2024-03-21 20:07:06] [world] [b69a2d91-1b9a-31bd-be6e-5c8476414696] The Player <astronomy> has slain Tester Slime at X= -10176, Y= 65, Z= 4121
[2024-03-21 20:09:10] [world] [0de7a445-9f6f-32e5-b661-94c7daf64b40] The Player <hi_> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 20:09:13] [world] [0de7a445-9f6f-32e5-b661-94c7daf64b40] The Player <hi_> has slain Zombie at X= -1534, Y= 51, Z= -118
[2024-03-21 20:09:24] [world] [0de7a445-9f6f-32e5-b661-94c7daf64b40] The Player <hi_> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 20:09:28] [world] [0de7a445-9f6f-32e5-b661-94c7daf64b40] The Player <hi_> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 20:09:42] [world] [0de7a445-9f6f-32e5-b661-94c7daf64b40] The Player <hi_> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 20:09:46] [world] [0de7a445-9f6f-32e5-b661-94c7daf64b40] The Player <hi_> has slain Zombie at X= -1534, Y= 51, Z= -118
[2024-03-21 20:09:47] [world] [0de7a445-9f6f-32e5-b661-94c7daf64b40] The Player <hi_> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 20:09:52] [world] [0de7a445-9f6f-32e5-b661-94c7daf64b40] The Player <hi_> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 20:10:10] [world] [0de7a445-9f6f-32e5-b661-94c7daf64b40] The Player <hi_> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 20:10:10] [world] [0de7a445-9f6f-32e5-b661-94c7daf64b40] The Player <hi_> has slain Zombie at X= -1534, Y= 51, Z= -118
[2024-03-21 20:11:09] [world] [0de7a445-9f6f-32e5-b661-94c7daf64b40] The Player <hi_> has slain Zombie at X= -1534, Y= 51, Z= -118
[2024-03-21 20:11:14] [world] [0de7a445-9f6f-32e5-b661-94c7daf64b40] The Player <hi_> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 20:11:14] [world] [0de7a445-9f6f-32e5-b661-94c7daf64b40] The Player <hi_> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 20:13:12] [world] [0de7a445-9f6f-32e5-b661-94c7daf64b40] The Player <hi_> has slain Zombie at X= -1535, Y= 50, Z= -118
[2024-03-21 20:13:16] [world] [0de7a445-9f6f-32e5-b661-94c7daf64b40] The Player <hi_> has slain Zombie at X= -1534, Y= 51, Z= -118
[2024-03-21 20:13:17] [world] [0de7a445-9f6f-32e5-b661-94c7daf64b40] The Player <hi_> has slain Zombie at X= -1534, Y= 51, Z= -118
[2024-03-21 20:13:19] [world] [0de7a445-9f6f-32e5-b661-94c7daf64b40] The Player <hi_> has slain Zombie at X= -1534, Y= 51, Z= -118
[2024-03-21 20:13:20] [world] [0de7a445-9f6f-32e5-b661-94c7daf64b40] The Player <hi_> has slain Zombie at X= -1534, Y= 51, Z= -118
[2024-03-21 20:13:21] [world] [0de7a445-9f6f-32e5-b661-94c7daf64b40] The Player <hi_> has slain Zombie at X= -1534, Y= 51, Z= -118
[2024-03-21 20:13:25] [world] [0de7a445-9f6f-32e5-b661-94c7daf64b40] The Player <hi_> has slain Zombie at X= -1534, Y= 51, Z= -118
[2024-03-21 20:13:25] [world] [0de7a445-9f6f-32e5-b661-94c7daf64b40] The Player <hi_> has slain Zombie at X= -1534, Y= 51, Z= -118
[2024-03-21 20:13:28] [world] [0de7a445-9f6f-32e5-b661-94c7daf64b40] The Player <hi_> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 20:13:29] [world] [0de7a445-9f6f-32e5-b661-94c7daf64b40] The Player <hi_> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 20:13:29] [world] [0de7a445-9f6f-32e5-b661-94c7daf64b40] The Player <hi_> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 20:13:31] [world] [0de7a445-9f6f-32e5-b661-94c7daf64b40] The Player <hi_> has slain Zombie at X= -1534, Y= 51, Z= -118
[2024-03-21 20:13:33] [world] [0de7a445-9f6f-32e5-b661-94c7daf64b40] The Player <hi_> has slain Zombie at X= -1535, Y= 50, Z= -117
[2024-03-21 20:13:35] [world] [0de7a445-9f6f-32e5-b661-94c7daf64b40] The Player <hi_> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 20:13:36] [world] [0de7a445-9f6f-32e5-b661-94c7daf64b40] The Player <hi_> has slain Zombie at X= -1534, Y= 51, Z= -118
[2024-03-21 20:13:38] [world] [0de7a445-9f6f-32e5-b661-94c7daf64b40] The Player <hi_> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 20:13:40] [world] [0de7a445-9f6f-32e5-b661-94c7daf64b40] The Player <hi_> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 20:13:42] [world] [0de7a445-9f6f-32e5-b661-94c7daf64b40] The Player <hi_> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 20:13:43] [world] [0de7a445-9f6f-32e5-b661-94c7daf64b40] The Player <hi_> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 20:13:44] [world] [0de7a445-9f6f-32e5-b661-94c7daf64b40] The Player <hi_> has slain Zombie at X= -1534, Y= 51, Z= -118
[2024-03-21 20:15:14] [world] [b69a2d91-1b9a-31bd-be6e-5c8476414696] The Player <astronomy> has slain Tester Slime at X= -10176, Y= 63, Z= 4115
[2024-03-21 20:17:02] [world] [84398786-e521-351c-9cf0-df0f73b6d326] The Player <Mudkips_Rule> has slain Skeleton at X= -1173, Y= 69, Z= -414
[2024-03-21 20:17:55] [world] [f7bb36ab-e336-3c4d-9238-e9504956be33] The Player <NezukoChan> has slain Dave_TheCoolGuy at X= -587, Y= 68, Z= 307
[2024-03-21 20:21:38] [world] [b69a2d91-1b9a-31bd-be6e-5c8476414696] The Player <astronomy> has slain Chicken at X= -543, Y= 64, Z= 289
[2024-03-21 20:23:51] [world] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Skeleton at X= -745, Y= 55, Z= 300
[2024-03-21 20:23:54] [world] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Skeleton at X= -749, Y= 55, Z= 302
[2024-03-21 20:30:49] [world_the_end] [98545e40-f1b3-3d1f-9e55-8b879bee9098] The Player <Heinrich_Himmler> has slain Enderman at X= -168, Y= 57, Z= 38
[2024-03-21 20:31:29] [world] [f7bb36ab-e336-3c4d-9238-e9504956be33] The Player <NezukoChan> has slain Bat at X= 1806, Y= 11, Z= 275
[2024-03-21 20:35:22] [world] [f7bb36ab-e336-3c4d-9238-e9504956be33] The Player <NezukoChan> has slain Skeleton at X= 1814, Y= 12, Z= 288
[2024-03-21 21:26:36] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 21:26:40] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 21:26:52] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -118
[2024-03-21 21:26:53] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 21:27:17] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 21:27:18] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 21:27:18] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -118
[2024-03-21 21:27:21] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 21:27:22] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -118
[2024-03-21 21:27:27] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 21:27:27] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 21:27:55] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -118
[2024-03-21 21:27:56] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 21:34:45] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -10324, Y= 63, Z= 4042
[2024-03-21 21:39:17] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Cow at X= -10203, Y= 64, Z= 3958
[2024-03-21 21:39:22] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -10218, Y= 64, Z= 3955
[2024-03-21 21:39:34] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Cow at X= -10229, Y= 63, Z= 3971
[2024-03-21 21:39:41] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Cow at X= -10240, Y= 64, Z= 3950
[2024-03-21 21:39:43] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Cow at X= -10248, Y= 64, Z= 3947
[2024-03-21 21:39:48] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Cow at X= -10234, Y= 64, Z= 3941
[2024-03-21 21:39:50] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Cow at X= -10230, Y= 64, Z= 3943
[2024-03-21 21:39:53] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Creeper at X= -10219, Y= 64, Z= 3942
[2024-03-21 21:57:44] [world] [b69a2d91-1b9a-31bd-be6e-5c8476414696] The Player <astronomy> has slain Horse at X= -10131, Y= 64, Z= 4085
[2024-03-21 21:59:19] [world] [b69a2d91-1b9a-31bd-be6e-5c8476414696] The Player <astronomy> has slain Zombie at X= -10230, Y= 65, Z= 4079
[2024-03-21 22:02:16] [world] [b69a2d91-1b9a-31bd-be6e-5c8476414696] The Player <astronomy> has slain Horse at X= -10292, Y= 63, Z= 4005
[2024-03-21 22:02:22] [world] [b69a2d91-1b9a-31bd-be6e-5c8476414696] The Player <astronomy> has slain Horse at X= -10285, Y= 63, Z= 3998
[2024-03-21 22:02:31] [world] [b69a2d91-1b9a-31bd-be6e-5c8476414696] The Player <astronomy> has slain Skeleton at X= -10299, Y= 63, Z= 4026
[2024-03-21 22:02:35] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 22:02:35] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 22:02:36] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -118
[2024-03-21 22:02:36] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -118
[2024-03-21 22:02:36] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 22:02:37] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -118
[2024-03-21 22:02:38] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -118
[2024-03-21 22:02:38] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -118
[2024-03-21 22:02:39] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 22:02:40] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 22:02:41] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -118
[2024-03-21 22:03:45] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -118
[2024-03-21 22:03:45] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -118
[2024-03-21 22:03:46] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -118
[2024-03-21 22:03:46] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -118
[2024-03-21 22:03:47] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -118
[2024-03-21 22:03:47] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1535, Y= 51, Z= -118
[2024-03-21 22:03:47] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 22:03:48] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 22:03:48] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 22:03:48] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -118
[2024-03-21 22:03:49] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 22:03:49] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 22:03:50] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -118
[2024-03-21 22:03:50] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 22:03:50] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -118
[2024-03-21 22:03:56] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 22:03:57] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 22:04:03] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -118
[2024-03-21 22:04:04] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 22:04:04] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 22:04:06] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -118
[2024-03-21 22:04:32] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 22:04:50] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -118
[2024-03-21 22:04:50] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 22:04:50] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 22:04:51] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -118
[2024-03-21 22:04:51] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 22:04:52] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -118
[2024-03-21 22:05:21] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 22:05:22] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -118
[2024-03-21 22:05:30] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -118
[2024-03-21 22:05:33] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -118
[2024-03-21 22:05:36] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -118
[2024-03-21 22:05:36] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1535, Y= 50, Z= -118
[2024-03-21 22:05:37] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 22:05:41] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 22:05:46] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 22:05:51] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 22:05:57] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 22:05:57] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -118
[2024-03-21 22:06:11] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 22:08:13] [world] [b69a2d91-1b9a-31bd-be6e-5c8476414696] The Player <astronomy> has slain Zombie at X= -10254, Y= 64, Z= 4051
[2024-03-21 22:08:33] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 22:08:34] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 22:08:51] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 22:08:54] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -117
[2024-03-21 22:08:57] [world] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has slain Zombie at X= -1534, Y= 51, Z= -117
