[2024-03-22 02:21:53] [world_the_end] [%uuid%] The Player <Heinrich_Himmler> has changed a sign at X= -50, Y= 38, Z= -9 with learn to claim, territory bozo, , 
[2024-03-23 04:42:03] [world] [%uuid%] The Player <digbick> has changed a sign at X= -699, Y= 69, Z= 315 with renting out, 1 dimond per , 3 days or 30 iron, place sign if want
[2024-03-24 00:09:06] [world] [%uuid%] The Player <Marshtomp17> has changed a sign at X= -597, Y= 67, Z= 230 with Mudkips_Rule, strength 2, B:5 S:0.5, 
[2024-03-24 00:11:59] [world] [%uuid%] The Player <Marshtomp17> has changed a sign at X= -597, Y= 67, Z= 230 with Mudkips_Rule, 1, B:5 S:0.5, Strength 2
[2024-03-24 00:12:50] [world] [%uuid%] The Player <Marshtomp17> has changed a sign at X= -597, Y= 67, Z= 231 with , , , 
[2024-03-24 00:14:36] [world] [%uuid%] The Player <Marshtomp17> has changed a sign at X= -597, Y= 67, Z= 231 with , , , 
[2024-03-24 00:15:16] [world] [%uuid%] The Player <Marshtomp17> has changed a sign at X= -596, Y= 67, Z= 230 with Marshtomp17, 1, B:5 S:0.5, Strength 2
[2024-03-24 00:23:52] [world] [%uuid%] The Player <Tester> has changed a sign at X= -577, Y= 78, Z= 250 with Mudkip's , store, 20% profit, to Tester.
[2024-03-24 15:27:12] [world] [%uuid%] The Player <GolemDaWanderer> has changed a sign at X= -10224, Y= 68, Z= 4077 with , , , 
[2024-03-24 17:51:43] [world] [%uuid%] The Player <Tester> has changed a sign at X= -10299, Y= 47, Z= 4030 with , , , 
[2024-03-24 17:54:23] [world] [%uuid%] The Player <Tester> has changed a sign at X= -10299, Y= 47, Z= 4030 with , , , 
