[2024-03-27 13:43:10] [world] The Player <Milk_Frog> has picked 1 of RED_ROSE at X= -606, Y= 68, Z= 250 that had [] enchantment(s) |  
[2024-03-27 20:06:25] [world] The Player <GolemDaWanderer> has picked 1 of COBBLESTONE at X= -582, Y= 67, Z= 159 that had [] enchantment(s) |  
[2024-03-27 20:06:55] [world_the_end] The Player <GolemDaWanderer> has picked 1 of ENDER_CHEST at X= 104, Y= 49, Z= 1 that had [] enchantment(s) |  
[2024-03-27 20:07:02] [world_the_end] The Player <GolemDaWanderer> has picked 1 of LEATHER at X= 98, Y= 50, Z= 3 that had [] enchantment(s) |  
[2024-03-27 20:07:33] [world_the_end] The Player <GolemDaWanderer> has picked 1 of WOOL at X= 51, Y= 62, Z= 22 that had [] enchantment(s) |  
[2024-03-27 20:08:30] [world_the_end] The Player <GolemDaWanderer> has picked 3 of ENDER_STONE at X= -52, Y= 43, Z= 1 that had [] enchantment(s) |  
[2024-03-27 20:09:00] [world_the_end] The Player <GolemDaWanderer> has picked 1 of ENDER_STONE at X= -54, Y= 38, Z= -18 that had [] enchantment(s) |  
[2024-03-27 20:09:11] [world_the_end] The Player <GolemDaWanderer> has picked 1 of ENDER_STONE at X= -39, Y= 40, Z= -16 that had [] enchantment(s) |  
[2024-03-27 20:09:12] [world_the_end] The Player <GolemDaWanderer> has picked 2 of ENDER_STONE at X= -41, Y= 33, Z= -16 that had [] enchantment(s) |  
[2024-03-27 20:39:46] [world] The Player <NezukoChan> has picked 1 of PAINTING at X= -10250, Y= 65, Z= 4093 that had [] enchantment(s) |  
[2024-03-27 20:39:49] [world] The Player <NezukoChan> has picked 1 of PAINTING at X= -10250, Y= 66, Z= 4093 that had [] enchantment(s) |  
[2024-03-27 20:39:54] [world] The Player <NezukoChan> has picked 1 of PAINTING at X= -10250, Y= 64, Z= 4092 that had [] enchantment(s) |  
[2024-03-27 20:49:05] [world] The Player <Heinrich_Himmler> has picked 1 of OBSIDIAN at X= -626, Y= 64, Z= 278 that had [] enchantment(s) |  
[2024-03-27 20:49:08] [world] The Player <Heinrich_Himmler> has picked 1 of OBSIDIAN at X= -626, Y= 64, Z= 279 that had [] enchantment(s) |  
[2024-03-27 20:54:52] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of LEATHER at X= 101, Y= 49, Z= 2 that had [] enchantment(s) |  
[2024-03-27 20:56:15] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of NETHERRACK at X= 66, Y= 23, Z= -1 that had [] enchantment(s) |  
[2024-03-27 20:56:27] [world_the_end] The Player <Heinrich_Himmler> has picked 3 of NETHERRACK at X= 65, Y= 23, Z= -1 that had [] enchantment(s) |  
[2024-03-27 20:56:29] [world_the_end] The Player <Heinrich_Himmler> has picked 4 of NETHERRACK at X= 67, Y= 23, Z= -1 that had [] enchantment(s) |  
[2024-03-27 20:56:29] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of NETHERRACK at X= 68, Y= 23, Z= -1 that had [] enchantment(s) |  
[2024-03-27 20:56:29] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of NETHERRACK at X= 68, Y= 24, Z= -1 that had [] enchantment(s) |  
[2024-03-27 21:00:55] [world_the_end] The Player <Heinrich_Himmler> has picked 3 of NETHERRACK at X= 48, Y= 45, Z= -1 that had [] enchantment(s) |  
[2024-03-27 21:13:42] [world] The Player <Heinrich_Himmler> has picked 1 of RABBIT_HIDE at X= -597, Y= 68, Z= 316 that had [] enchantment(s) |  
[2024-03-27 21:13:47] [world] The Player <Heinrich_Himmler> has picked 1 of RABBIT at X= -595, Y= 68, Z= 316 that had [] enchantment(s) |  
[2024-03-27 21:13:49] [world] The Player <Heinrich_Himmler> has picked 1 of ROTTEN_FLESH at X= -587, Y= 68, Z= 314 that had [] enchantment(s) |  
[2024-03-27 21:14:42] [world] The Player <Heinrich_Himmler> has picked 1 of POWERED_RAIL at X= -583, Y= 67, Z= 290 that had [] enchantment(s) |  
[2024-03-27 21:16:05] [world] The Player <Heinrich_Himmler> has picked 2 of GOLD_ORE at X= -564, Y= 7, Z= 290 that had [] enchantment(s) |  
[2024-03-27 21:16:08] [world] The Player <Heinrich_Himmler> has picked 2 of GOLD_ORE at X= -565, Y= 6, Z= 289 that had [] enchantment(s) |  
[2024-03-27 21:16:09] [world] The Player <Heinrich_Himmler> has picked 4 of GOLD_ORE at X= -565, Y= 8, Z= 288 that had [] enchantment(s) |  
[2024-03-27 21:16:11] [world] The Player <Heinrich_Himmler> has picked 1 of COBBLESTONE at X= -565, Y= 7, Z= 288 that had [] enchantment(s) |  
[2024-03-27 21:20:11] [world] The Player <Heinrich_Himmler> has picked 1 of SOUL_SAND at X= -564, Y= 5, Z= 290 that had [] enchantment(s) |  
[2024-03-27 21:20:22] [world] The Player <Heinrich_Himmler> has picked 1 of GOLDEN_APPLE at X= -564, Y= 5, Z= 291 that had [] enchantment(s) |  
[2024-03-27 21:23:00] [world] The Player <Heinrich_Himmler> has picked 1 of TORCH at X= -565, Y= 7, Z= 291 that had [] enchantment(s) |  
[2024-03-27 21:26:14] [world] The Player <Heinrich_Himmler> has picked 2 of SLIME_BALL at X= -564, Y= 6, Z= 292 that had [] enchantment(s) |  
[2024-03-27 21:26:16] [world] The Player <Heinrich_Himmler> has picked 1 of SLIME_BALL at X= -566, Y= 6, Z= 291 that had [] enchantment(s) |  
[2024-03-27 21:26:16] [world] The Player <Heinrich_Himmler> has picked 1 of SLIME_BALL at X= -566, Y= 6, Z= 291 that had [] enchantment(s) |  
[2024-03-27 21:26:17] [world] The Player <Heinrich_Himmler> has picked 2 of SLIME_BALL at X= -566, Y= 6, Z= 291 that had [] enchantment(s) |  
[2024-03-27 21:26:19] [world] The Player <Heinrich_Himmler> has picked 1 of SLIME_BALL at X= -564, Y= 5, Z= 291 that had [] enchantment(s) |  
[2024-03-27 21:26:20] [world] The Player <Heinrich_Himmler> has picked 2 of SLIME_BALL at X= -564, Y= 6, Z= 290 that had [] enchantment(s) |  
[2024-03-27 21:26:23] [world] The Player <Heinrich_Himmler> has picked 2 of SLIME_BALL at X= -564, Y= 6, Z= 291 that had [] enchantment(s) |  
[2024-03-27 21:26:31] [world] The Player <Heinrich_Himmler> has picked 2 of COBBLESTONE at X= -564, Y= 6, Z= 288 that had [] enchantment(s) |  
[2024-03-27 21:26:39] [world] The Player <Heinrich_Himmler> has picked 10 of COBBLESTONE at X= -563, Y= 6, Z= 288 that had [] enchantment(s) |  
[2024-03-27 21:26:40] [world] The Player <Heinrich_Himmler> has picked 1 of COBBLESTONE at X= -562, Y= 6, Z= 288 that had [] enchantment(s) |  
[2024-03-27 21:26:56] [world] The Player <Heinrich_Himmler> has picked 1 of COBBLESTONE at X= -563, Y= 7, Z= 287 that had [] enchantment(s) |  
[2024-03-27 21:26:56] [world] The Player <Heinrich_Himmler> has picked 23 of COBBLESTONE at X= -563, Y= 7, Z= 288 that had [] enchantment(s) |  
[2024-03-27 21:26:58] [world] The Player <Heinrich_Himmler> has picked 4 of COBBLESTONE at X= -563, Y= 6, Z= 287 that had [] enchantment(s) |  
[2024-03-27 21:34:12] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 0, Y= 67, Z= -70 that had [] enchantment(s) |  
[2024-03-27 21:34:13] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 0, Y= 67, Z= -72 that had [] enchantment(s) |  
[2024-03-27 21:34:15] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 0, Y= 68, Z= -70 that had [] enchantment(s) |  
[2024-03-27 21:34:17] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 0, Y= 69, Z= -70 that had [] enchantment(s) |  
[2024-03-27 21:34:18] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= -1, Y= 68, Z= -72 that had [] enchantment(s) |  
[2024-03-27 21:34:20] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 0, Y= 67, Z= -72 that had [] enchantment(s) |  
[2024-03-27 21:34:21] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 0, Y= 68, Z= -71 that had [] enchantment(s) |  
[2024-03-27 21:35:13] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 0, Y= 74, Z= -70 that had [] enchantment(s) |  
[2024-03-27 21:35:14] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 0, Y= 73, Z= -70 that had [] enchantment(s) |  
[2024-03-27 21:35:15] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 0, Y= 73, Z= -70 that had [] enchantment(s) |  
[2024-03-27 21:35:16] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= -1, Y= 71, Z= -71 that had [] enchantment(s) |  
[2024-03-27 21:35:18] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 0, Y= 70, Z= -72 that had [] enchantment(s) |  
[2024-03-27 21:35:19] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 0, Y= 70, Z= -71 that had [] enchantment(s) |  
[2024-03-27 21:35:20] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= -1, Y= 68, Z= -71 that had [] enchantment(s) |  
[2024-03-27 21:35:21] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= -1, Y= 68, Z= -71 that had [] enchantment(s) |  
[2024-03-27 21:37:38] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of OBSIDIAN at X= -1, Y= 72, Z= -70 that had [] enchantment(s) |  
[2024-03-27 21:39:15] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 0, Y= 75, Z= -71 that had [] enchantment(s) |  
[2024-03-27 21:39:16] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 0, Y= 74, Z= -71 that had [] enchantment(s) |  
[2024-03-27 21:39:17] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 0, Y= 73, Z= -71 that had [] enchantment(s) |  
[2024-03-27 21:39:18] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 0, Y= 72, Z= -71 that had [] enchantment(s) |  
[2024-03-27 21:39:19] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 0, Y= 70, Z= -72 that had [] enchantment(s) |  
[2024-03-27 21:39:20] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 0, Y= 70, Z= -71 that had [] enchantment(s) |  
[2024-03-27 21:39:22] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 0, Y= 68, Z= -72 that had [] enchantment(s) |  
[2024-03-27 21:39:23] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 0, Y= 67, Z= -72 that had [] enchantment(s) |  
[2024-03-27 21:42:40] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of OBSIDIAN at X= 7, Y= 58, Z= -71 that had [] enchantment(s) |  
[2024-03-27 21:42:41] [world_the_end] The Player <Heinrich_Himmler> has picked 3 of OBSIDIAN at X= 9, Y= 59, Z= -67 that had [] enchantment(s) |  
[2024-03-27 21:43:22] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 6, Y= 64, Z= -73 that had [] enchantment(s) |  
[2024-03-27 21:43:23] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 4, Y= 64, Z= -72 that had [] enchantment(s) |  
[2024-03-27 21:43:36] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 5, Y= 63, Z= -72 that had [] enchantment(s) |  
[2024-03-27 21:43:37] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 6, Y= 62, Z= -72 that had [] enchantment(s) |  
[2024-03-27 21:43:38] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 5, Y= 60, Z= -73 that had [] enchantment(s) |  
[2024-03-27 21:43:39] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 6, Y= 59, Z= -73 that had [] enchantment(s) |  
[2024-03-27 21:43:40] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 4, Y= 58, Z= -72 that had [] enchantment(s) |  
[2024-03-27 21:43:41] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 6, Y= 58, Z= -71 that had [] enchantment(s) |  
[2024-03-27 21:43:44] [world_the_end] The Player <Heinrich_Himmler> has picked 1 of SAND at X= 9, Y= 57, Z= -73 that had [] enchantment(s) |  
[2024-03-27 21:44:13] [world_the_end] The Player <Heinrich_Himmler> has picked 8 of SANDSTONE at X= -4, Y= 58, Z= -70 that had [] enchantment(s) |  
[2024-03-27 21:46:10] [world] The Player <Heinrich_Himmler> has picked 1 of DIRT at X= -617, Y= 68, Z= 350 that had [] enchantment(s) |  
[2024-03-27 21:46:18] [world] The Player <Heinrich_Himmler> has picked 1 of DIRT at X= -613, Y= 68, Z= 352 that had [] enchantment(s) |  
[2024-03-27 21:46:39] [world] The Player <Heinrich_Himmler> has picked 7 of DIRT at X= -611, Y= 68, Z= 350 that had [] enchantment(s) |  
[2024-03-27 21:46:48] [world] The Player <Heinrich_Himmler> has picked 1 of DIRT at X= -611, Y= 68, Z= 355 that had [] enchantment(s) |  
[2024-03-27 21:47:12] [world] The Player <Heinrich_Himmler> has picked 1 of DIRT at X= -613, Y= 68, Z= 346 that had [] enchantment(s) |  
[2024-03-27 21:47:56] [world] The Player <Heinrich_Himmler> has picked 1 of DIRT at X= -613, Y= 68, Z= 356 that had [] enchantment(s) |  
[2024-03-27 21:49:08] [world] The Player <Heinrich_Himmler> has picked 1 of RED_ROSE at X= -619, Y= 68, Z= 353 that had [] enchantment(s) |  
[2024-03-27 22:05:58] [world] The Player <Heinrich_Himmler> has picked 2 of ARROW at X= -606, Y= 68, Z= 323 that had [] enchantment(s) |  
[2024-03-27 22:06:02] [world] The Player <Heinrich_Himmler> has picked 1 of BONE at X= -619, Y= 68, Z= 319 that had [] enchantment(s) |  
[2024-03-27 22:06:02] [world] The Player <Heinrich_Himmler> has picked 2 of ARROW at X= -620, Y= 68, Z= 319 that had [] enchantment(s) |  
[2024-03-27 22:09:57] [world] The Player <Heinrich_Himmler> has picked 1 of SAND at X= -570, Y= 63, Z= 226 that had [] enchantment(s) |  
[2024-03-27 22:09:58] [world] The Player <Heinrich_Himmler> has picked 1 of SAND at X= -569, Y= 63, Z= 226 that had [] enchantment(s) |  
[2024-03-27 22:09:59] [world] The Player <Heinrich_Himmler> has picked 1 of SAND at X= -568, Y= 63, Z= 226 that had [] enchantment(s) |  
[2024-03-27 22:10:00] [world] The Player <Heinrich_Himmler> has picked 1 of SAND at X= -567, Y= 63, Z= 226 that had [] enchantment(s) |  
[2024-03-27 22:10:01] [world] The Player <Heinrich_Himmler> has picked 1 of SAND at X= -566, Y= 64, Z= 226 that had [] enchantment(s) |  
[2024-03-27 22:10:02] [world] The Player <Heinrich_Himmler> has picked 1 of SAND at X= -565, Y= 63, Z= 226 that had [] enchantment(s) |  
[2024-03-27 22:10:03] [world] The Player <Heinrich_Himmler> has picked 1 of SAND at X= -564, Y= 63, Z= 226 that had [] enchantment(s) |  
[2024-03-27 22:10:05] [world] The Player <Heinrich_Himmler> has picked 1 of SAND at X= -563, Y= 63, Z= 226 that had [] enchantment(s) |  
[2024-03-27 22:10:11] [world] The Player <Heinrich_Himmler> has picked 2 of SAND at X= -563, Y= 62, Z= 226 that had [] enchantment(s) |  
[2024-03-27 22:12:12] [world] The Player <Heinrich_Himmler> has picked 1 of DIAMOND at X= -582, Y= 69, Z= 340 that had [] enchantment(s) |  
[2024-03-27 22:13:46] [world] The Player <Heinrich_Himmler> has picked 1 of SAND at X= -686, Y= 70, Z= 343 that had [] enchantment(s) |  
[2024-03-27 22:13:47] [world] The Player <Heinrich_Himmler> has picked 1 of SAND at X= -686, Y= 69, Z= 343 that had [] enchantment(s) |  
[2024-03-27 22:13:53] [world] The Player <Heinrich_Himmler> has picked 1 of SAND at X= -686, Y= 71, Z= 343 that had [] enchantment(s) |  
[2024-03-27 22:22:21] [world] The Player <Feathery> has picked 1 of ANVIL at X= 1058, Y= 25, Z= 677 that had [] enchantment(s) |  
[2024-03-27 22:23:18] [world] The Player <Feathery> has picked 2 of NAME_TAG at X= 1059, Y= 25, Z= 677 that had [] enchantment(s) |  
[2024-03-27 22:24:37] [world] The Player <Tester> has picked 2 of QUARTZ_BLOCK at X= -592, Y= 68, Z= 351 that had [] enchantment(s) |  
[2024-03-27 22:24:43] [world] The Player <Tester> has picked 1 of DOUBLE_PLANT at X= -591, Y= 68, Z= 348 that had [] enchantment(s) |  
[2024-03-27 22:24:43] [world] The Player <Tester> has picked 1 of IRON_PLATE at X= -591, Y= 68, Z= 349 that had [] enchantment(s) |  
[2024-03-27 22:24:49] [world] The Player <Feathery> has picked 1 of ENCHANTED_BOOK at X= 1059, Y= 25, Z= 677 that had [] enchantment(s) |  
[2024-03-27 22:24:52] [world] The Player <Feathery> has picked 1 of ENCHANTED_BOOK at X= 1059, Y= 25, Z= 677 that had [] enchantment(s) |  
[2024-03-27 22:24:56] [world] The Player <Tester> has picked 2 of DOUBLE_PLANT at X= -593, Y= 68, Z= 352 that had [] enchantment(s) |  
[2024-03-27 22:24:59] [world] The Player <Feathery> has picked 1 of ENCHANTED_BOOK at X= 1059, Y= 25, Z= 677 that had [] enchantment(s) |  
[2024-03-27 22:25:28] [world] The Player <Tester> has picked 1 of SAND at X= -636, Y= 67, Z= 350 that had [] enchantment(s) |  
[2024-03-27 22:26:32] [world] The Player <Feathery> has picked 1 of LEVER at X= 1059, Y= 25, Z= 677 that had [] enchantment(s) |  
[2024-03-27 22:29:25] [world] The Player <Feathery> has picked 1 of DIAMOND_CHESTPLATE at X= 1059, Y= 25, Z= 677 that had [] enchantment(s) |  
[2024-03-27 22:30:28] [world] The Player <Feathery> has picked 1 of ENCHANTED_BOOK at X= 1059, Y= 25, Z= 677 that had [] enchantment(s) |  
[2024-03-27 22:30:29] [world] The Player <Feathery> has picked 1 of ENCHANTED_BOOK at X= 1059, Y= 25, Z= 677 that had [] enchantment(s) |  
[2024-03-27 22:30:30] [world] The Player <Feathery> has picked 1 of ENCHANTED_BOOK at X= 1059, Y= 25, Z= 677 that had [] enchantment(s) |  
[2024-03-27 22:31:42] [world] The Player <Feathery> has picked 1 of ENCHANTED_BOOK at X= 1058, Y= 25, Z= 678 that had [] enchantment(s) |  
[2024-03-27 22:31:44] [world] The Player <Feathery> has picked 1 of ENCHANTED_BOOK at X= 1058, Y= 25, Z= 678 that had [] enchantment(s) |  
[2024-03-27 22:31:46] [world] The Player <Feathery> has picked 1 of ENCHANTED_BOOK at X= 1058, Y= 25, Z= 678 that had [] enchantment(s) |  
[2024-03-27 22:31:48] [world] The Player <Feathery> has picked 1 of ENCHANTED_BOOK at X= 1058, Y= 25, Z= 678 that had [] enchantment(s) |  
[2024-03-27 22:31:51] [world] The Player <Feathery> has picked 1 of ENCHANTED_BOOK at X= 1058, Y= 25, Z= 678 that had [] enchantment(s) |  
[2024-03-27 22:31:53] [world] The Player <Tester> has picked 1 of RAW_CHICKEN at X= -592, Y= 68, Z= 352 that had [] enchantment(s) |  
[2024-03-27 22:34:11] [world] The Player <Tester> has picked 45 of EMERALD at X= -548, Y= 68, Z= 243 that had [] enchantment(s) |  
[2024-03-27 22:34:11] [world] The Player <Tester> has picked 57 of EMERALD at X= -548, Y= 68, Z= 243 that had [] enchantment(s) |  
[2024-03-27 22:34:11] [world] The Player <Tester> has picked 24 of EMERALD at X= -548, Y= 68, Z= 243 that had [] enchantment(s) |  
[2024-03-27 22:34:11] [world] The Player <Tester> has picked 64 of EMERALD at X= -548, Y= 68, Z= 243 that had [] enchantment(s) |  
[2024-03-27 22:34:11] [world] The Player <Tester> has picked 61 of EMERALD at X= -548, Y= 68, Z= 243 that had [] enchantment(s) |  
[2024-03-27 22:34:11] [world] The Player <Tester> has picked 57 of EMERALD at X= -548, Y= 68, Z= 243 that had [] enchantment(s) |  
[2024-03-27 22:34:11] [world] The Player <Tester> has picked 60 of EMERALD at X= -548, Y= 68, Z= 243 that had [] enchantment(s) |  
[2024-03-27 22:34:11] [world] The Player <Tester> has picked 56 of EMERALD at X= -548, Y= 68, Z= 243 that had [] enchantment(s) |  
[2024-03-27 22:34:11] [world] The Player <Tester> has picked 29 of EMERALD at X= -548, Y= 68, Z= 243 that had [] enchantment(s) |  
[2024-03-27 22:34:11] [world] The Player <Tester> has picked 61 of EMERALD at X= -548, Y= 68, Z= 243 that had [] enchantment(s) |  
[2024-03-27 22:34:11] [world] The Player <Tester> has picked 62 of EMERALD at X= -548, Y= 68, Z= 243 that had [] enchantment(s) |  
[2024-03-27 22:39:17] [world] The Player <Feathery> has picked 1 of DIAMOND_CHESTPLATE at X= 1058, Y= 25, Z= 679 that had [Protection 4, Unbreaking 3, Thorns 3] enchantment(s) |  
[2024-03-27 22:48:52] [world] The Player <Feathery> has picked 1 of WOOD at X= 1054, Y= 60, Z= 708 that had [] enchantment(s) |  
[2024-03-27 22:49:54] [world] The Player <Tester> has picked 1 of POWERED_RAIL at X= -725, Y= 64, Z= 42 that had [] enchantment(s) |  
[2024-03-27 23:01:38] [world] The Player <Tester> has picked 1 of POWERED_RAIL at X= -722, Y= 119, Z= -27 that had [] enchantment(s) |  
[2024-03-27 23:03:26] [world] The Player <Tester> has picked 2 of CACTUS at X= -724, Y= 64, Z= 78 that had [] enchantment(s) |  
[2024-03-27 23:03:43] [world] The Player <Tester> has picked 1 of POWERED_RAIL at X= -725, Y= 61, Z= 63 that had [] enchantment(s) |  
[2024-03-27 23:03:54] [world] The Player <Tester> has picked 1 of POWERED_RAIL at X= -723, Y= 119, Z= -23 that had [] enchantment(s) |  
[2024-03-27 23:03:54] [world] The Player <Tester> has picked 1 of RAILS at X= -722, Y= 120, Z= -24 that had [] enchantment(s) |  
[2024-03-27 23:07:25] [world] The Player <Tester> has picked 1 of POWERED_RAIL at X= -726, Y= 68, Z= 126 that had [] enchantment(s) |  
[2024-03-27 23:08:44] [world] The Player <Feathery> has picked 1 of POTION at X= 1052, Y= 59, Z= 713 that had [] enchantment(s) |  
[2024-03-27 23:08:44] [world] The Player <Feathery> has picked 1 of POTION at X= 1052, Y= 59, Z= 713 that had [] enchantment(s) |  
[2024-03-27 23:08:44] [world] The Player <Feathery> has picked 1 of POTION at X= 1052, Y= 59, Z= 713 that had [] enchantment(s) |  
[2024-03-27 23:08:44] [world] The Player <Feathery> has picked 1 of POTION at X= 1052, Y= 59, Z= 713 that had [] enchantment(s) |  
[2024-03-27 23:08:44] [world] The Player <Feathery> has picked 1 of POTION at X= 1051, Y= 59, Z= 713 that had [] enchantment(s) |  
[2024-03-27 23:08:44] [world] The Player <Feathery> has picked 1 of POTION at X= 1052, Y= 59, Z= 713 that had [] enchantment(s) |  
[2024-03-27 23:08:44] [world] The Player <Feathery> has picked 1 of POTION at X= 1051, Y= 59, Z= 713 that had [] enchantment(s) |  
[2024-03-27 23:14:55] [world] The Player <Feathery> has picked 1 of RAW_BEEF at X= 1062, Y= 63, Z= 716 that had [] enchantment(s) |  
[2024-03-27 23:14:57] [world] The Player <Feathery> has picked 2 of LEATHER at X= 1061, Y= 63, Z= 712 that had [] enchantment(s) |  
[2024-03-27 23:16:06] [world] The Player <Milk_Frog> has picked 5 of PUMPKIN_PIE at X= 1046, Y= 63, Z= 710 that had [] enchantment(s) |  
[2024-03-27 23:16:11] [world] The Player <Char> has picked 3 of PUMPKIN_PIE at X= 1044, Y= 63, Z= 710 that had [] enchantment(s) |  
[2024-03-27 23:16:16] [world] The Player <Milk_Frog> has picked 3 of RAW_BEEF at X= 1059, Y= 60, Z= 714 that had [] enchantment(s) |  
[2024-03-27 23:17:09] [world] The Player <Milk_Frog> has picked 1 of POTION at X= 1055, Y= 58, Z= 713 that had [] enchantment(s) |  
[2024-03-27 23:17:13] [world] The Player <Feathery> has picked 1 of POTION at X= 1051, Y= 59, Z= 712 that had [] enchantment(s) |  
