[2024-03-20 19:10:05] [world] The Player <NezukoChan> has picked 1 of WOOL at X= -10241, Y= 64, Z= 4090 that had [] enchantment(s) |  
[2024-03-20 19:30:37] [world] The Player <NezukoChan> has picked 1 of DIRT at X= -10195, Y= 12, Z= 4052 that had [] enchantment(s) |  
[2024-03-20 19:30:38] [world] The Player <NezukoChan> has picked 1 of DIRT at X= -10195, Y= 11, Z= 4052 that had [] enchantment(s) |  
[2024-03-20 19:30:43] [world] The Player <NezukoChan> has picked 1 of DIRT at X= -10195, Y= 11, Z= 4052 that had [] enchantment(s) |  
[2024-03-20 19:30:45] [world] The Player <NezukoChan> has picked 1 of DIRT at X= -10195, Y= 11, Z= 4051 that had [] enchantment(s) |  
[2024-03-20 19:30:46] [world] The Player <NezukoChan> has picked 1 of DIRT at X= -10195, Y= 11, Z= 4051 that had [] enchantment(s) |  
[2024-03-20 19:30:47] [world] The Player <NezukoChan> has picked 1 of DIRT at X= -10195, Y= 11, Z= 4051 that had [] enchantment(s) |  
[2024-03-20 19:30:48] [world] The Player <NezukoChan> has picked 1 of DIRT at X= -10195, Y= 12, Z= 4049 that had [] enchantment(s) |  
[2024-03-20 19:30:49] [world] The Player <NezukoChan> has picked 1 of DIRT at X= -10195, Y= 11, Z= 4050 that had [] enchantment(s) |  
[2024-03-20 19:30:50] [world] The Player <NezukoChan> has picked 1 of DIRT at X= -10195, Y= 12, Z= 4049 that had [] enchantment(s) |  
[2024-03-20 19:30:51] [world] The Player <NezukoChan> has picked 1 of DIRT at X= -10195, Y= 11, Z= 4048 that had [] enchantment(s) |  
[2024-03-20 19:30:52] [world] The Player <NezukoChan> has picked 1 of DIRT at X= -10195, Y= 12, Z= 4047 that had [] enchantment(s) |  
[2024-03-20 19:30:53] [world] The Player <NezukoChan> has picked 1 of DIRT at X= -10195, Y= 11, Z= 4047 that had [] enchantment(s) |  
[2024-03-20 19:30:55] [world] The Player <NezukoChan> has picked 1 of DIRT at X= -10195, Y= 12, Z= 4046 that had [] enchantment(s) |  
[2024-03-20 19:30:57] [world] The Player <NezukoChan> has picked 1 of STONE at X= -10195, Y= 11, Z= 4047 that had [] enchantment(s) |  
[2024-03-20 19:30:58] [world] The Player <NezukoChan> has picked 1 of DIRT at X= -10195, Y= 12, Z= 4045 that had [] enchantment(s) |  
[2024-03-20 19:30:59] [world] The Player <NezukoChan> has picked 1 of STONE at X= -10195, Y= 11, Z= 4045 that had [] enchantment(s) |  
[2024-03-20 19:31:00] [world] The Player <NezukoChan> has picked 2 of STONE at X= -10195, Y= 11, Z= 4044 that had [] enchantment(s) |  
[2024-03-20 19:31:01] [world] The Player <NezukoChan> has picked 2 of STONE at X= -10195, Y= 11, Z= 4043 that had [] enchantment(s) |  
[2024-03-20 19:31:01] [world] The Player <NezukoChan> has picked 2 of STONE at X= -10195, Y= 11, Z= 4043 that had [] enchantment(s) |  
[2024-03-20 19:31:02] [world] The Player <I_am_amazing> has picked 10 of INK_SACK at X= -1355, Y= 63, Z= -261 that had [] enchantment(s) |  
[2024-03-20 19:31:03] [world] The Player <NezukoChan> has picked 2 of STONE at X= -10195, Y= 11, Z= 4042 that had [] enchantment(s) |  
[2024-03-20 19:31:04] [world] The Player <NezukoChan> has picked 1 of STONE at X= -10195, Y= 11, Z= 4044 that had [] enchantment(s) |  
[2024-03-20 19:31:08] [world] The Player <NezukoChan> has picked 2 of STONE at X= -10195, Y= 11, Z= 4040 that had [] enchantment(s) |  
[2024-03-20 19:31:09] [world] The Player <NezukoChan> has picked 2 of STONE at X= -10195, Y= 11, Z= 4038 that had [] enchantment(s) |  
[2024-03-20 19:31:10] [world] The Player <NezukoChan> has picked 2 of STONE at X= -10195, Y= 11, Z= 4037 that had [] enchantment(s) |  
[2024-03-20 19:31:11] [world] The Player <NezukoChan> has picked 2 of STONE at X= -10195, Y= 11, Z= 4036 that had [] enchantment(s) |  
[2024-03-20 19:31:12] [world] The Player <NezukoChan> has picked 2 of STONE at X= -10195, Y= 11, Z= 4035 that had [] enchantment(s) |  
[2024-03-20 19:31:13] [world] The Player <NezukoChan> has picked 2 of STONE at X= -10195, Y= 11, Z= 4034 that had [] enchantment(s) |  
[2024-03-20 19:31:15] [world] The Player <NezukoChan> has picked 3 of STONE at X= -10195, Y= 11, Z= 4033 that had [] enchantment(s) |  
[2024-03-20 19:31:15] [world] The Player <NezukoChan> has picked 1 of STONE at X= -10195, Y= 11, Z= 4032 that had [] enchantment(s) |  
[2024-03-20 19:31:16] [world] The Player <NezukoChan> has picked 2 of STONE at X= -10195, Y= 11, Z= 4031 that had [] enchantment(s) |  
[2024-03-20 19:31:17] [world] The Player <NezukoChan> has picked 3 of STONE at X= -10195, Y= 11, Z= 4030 that had [] enchantment(s) |  
[2024-03-20 19:31:18] [world] The Player <NezukoChan> has picked 1 of STONE at X= -10195, Y= 11, Z= 4030 that had [] enchantment(s) |  
[2024-03-20 19:31:18] [world] The Player <NezukoChan> has picked 2 of STONE at X= -10195, Y= 11, Z= 4028 that had [] enchantment(s) |  
[2024-03-20 19:31:19] [world] The Player <NezukoChan> has picked 2 of STONE at X= -10195, Y= 11, Z= 4027 that had [] enchantment(s) |  
[2024-03-20 19:31:20] [world] The Player <NezukoChan> has picked 2 of STONE at X= -10195, Y= 11, Z= 4026 that had [] enchantment(s) |  
[2024-03-20 19:31:21] [world] The Player <NezukoChan> has picked 2 of STONE at X= -10195, Y= 11, Z= 4025 that had [] enchantment(s) |  
[2024-03-20 19:31:21] [world] The Player <NezukoChan> has picked 2 of STONE at X= -10195, Y= 11, Z= 4025 that had [] enchantment(s) |  
[2024-03-20 19:31:22] [world] The Player <NezukoChan> has picked 2 of STONE at X= -10195, Y= 11, Z= 4023 that had [] enchantment(s) |  
[2024-03-20 19:31:23] [world] The Player <NezukoChan> has picked 2 of STONE at X= -10195, Y= 11, Z= 4022 that had [] enchantment(s) |  
[2024-03-20 19:31:24] [world] The Player <NezukoChan> has picked 2 of STONE at X= -10195, Y= 11, Z= 4021 that had [] enchantment(s) |  
[2024-03-20 19:31:24] [world] The Player <hexa> has picked 2 of COBBLESTONE at X= -2526, Y= 64, Z= 582 that had [] enchantment(s) |  
[2024-03-20 19:31:25] [world] The Player <NezukoChan> has picked 2 of STONE at X= -10195, Y= 11, Z= 4020 that had [] enchantment(s) |  
[2024-03-20 19:31:27] [world] The Player <NezukoChan> has picked 2 of STONE at X= -10195, Y= 11, Z= 4019 that had [] enchantment(s) |  
[2024-03-20 19:31:46] [world] The Player <NezukoChan> has picked 1 of STONE at X= -10195, Y= 12, Z= 4018 that had [] enchantment(s) |  
[2024-03-20 19:31:48] [world] The Player <NezukoChan> has picked 1 of STONE at X= -10195, Y= 11, Z= 4018 that had [] enchantment(s) |  
[2024-03-20 19:31:48] [world] The Player <NezukoChan> has picked 2 of STONE at X= -10195, Y= 11, Z= 4017 that had [] enchantment(s) |  
[2024-03-20 19:31:49] [world] The Player <NezukoChan> has picked 1 of STONE at X= -10195, Y= 11, Z= 4016 that had [] enchantment(s) |  
[2024-03-20 19:31:50] [world] The Player <NezukoChan> has picked 1 of STONE at X= -10195, Y= 11, Z= 4015 that had [] enchantment(s) |  
[2024-03-20 19:31:50] [world] The Player <NezukoChan> has picked 1 of STONE at X= -10195, Y= 11, Z= 4015 that had [] enchantment(s) |  
[2024-03-20 19:31:51] [world] The Player <NezukoChan> has picked 1 of STONE at X= -10195, Y= 11, Z= 4013 that had [] enchantment(s) |  
[2024-03-20 19:31:53] [world] The Player <NezukoChan> has picked 1 of STONE at X= -10195, Y= 11, Z= 4011 that had [] enchantment(s) |  
[2024-03-20 19:31:56] [world] The Player <NezukoChan> has picked 1 of STONE at X= -10195, Y= 11, Z= 4010 that had [] enchantment(s) |  
[2024-03-20 19:32:00] [world] The Player <NezukoChan> has picked 1 of STONE at X= -10195, Y= 12, Z= 4009 that had [] enchantment(s) |  
[2024-03-20 19:32:01] [world] The Player <NezukoChan> has picked 2 of STONE at X= -10195, Y= 11, Z= 4008 that had [] enchantment(s) |  
[2024-03-20 19:32:02] [world] The Player <NezukoChan> has picked 1 of DIRT at X= -10195, Y= 12, Z= 4007 that had [] enchantment(s) |  
[2024-03-20 19:32:04] [world] The Player <NezukoChan> has picked 1 of DIRT at X= -10195, Y= 11, Z= 4007 that had [] enchantment(s) |  
[2024-03-20 19:32:05] [world] The Player <NezukoChan> has picked 1 of DIRT at X= -10195, Y= 12, Z= 4006 that had [] enchantment(s) |  
[2024-03-20 19:32:05] [world] The Player <Mudkips_Rule> has picked 1 of DIAMOND_SWORD at X= -1356, Y= 63, Z= -263 that had [Sharpness 4, Knockback 2] enchantment(s) |  
[2024-03-20 19:32:07] [world] The Player <Mudkips_Rule> has picked 1 of DIAMOND_CHESTPLATE at X= -1356, Y= 63, Z= -263 that had [Protection 4, Thorns 2] enchantment(s) |  
[2024-03-20 19:32:09] [world] The Player <Mudkips_Rule> has picked 1 of DIAMOND_HELMET at X= -1356, Y= 63, Z= -263 that had [] enchantment(s) |  
[2024-03-20 19:32:43] [world] The Player <NezukoChan> has picked 4 of STONE at X= -10195, Y= 11, Z= 3997 that had [] enchantment(s) |  
[2024-03-20 19:32:44] [world] The Player <NezukoChan> has picked 2 of STONE at X= -10195, Y= 11, Z= 3997 that had [] enchantment(s) |  
[2024-03-20 19:32:44] [world] The Player <NezukoChan> has picked 2 of STONE at X= -10195, Y= 11, Z= 3995 that had [] enchantment(s) |  
[2024-03-20 19:33:13] [world] The Player <NezukoChan> has picked 2 of STONE at X= -10195, Y= 11, Z= 3969 that had [] enchantment(s) |  
[2024-03-20 19:33:14] [world] The Player <NezukoChan> has picked 2 of STONE at X= -10195, Y= 11, Z= 3969 that had [] enchantment(s) |  
[2024-03-20 19:33:14] [world] The Player <NezukoChan> has picked 2 of STONE at X= -10195, Y= 11, Z= 3967 that had [] enchantment(s) |  
[2024-03-20 19:33:15] [world] The Player <NezukoChan> has picked 2 of STONE at X= -10195, Y= 11, Z= 3966 that had [] enchantment(s) |  
[2024-03-20 19:33:16] [world] The Player <NezukoChan> has picked 2 of STONE at X= -10195, Y= 11, Z= 3966 that had [] enchantment(s) |  
[2024-03-20 19:33:16] [world] The Player <NezukoChan> has picked 1 of STONE at X= -10195, Y= 11, Z= 3964 that had [] enchantment(s) |  
[2024-03-20 19:33:35] [world] The Player <NezukoChan> has picked 8 of STONE at X= -10195, Y= 12, Z= 3960 that had [] enchantment(s) |  
[2024-03-20 19:33:38] [world] The Player <NezukoChan> has picked 1 of STONE at X= -10195, Y= 11, Z= 3961 that had [] enchantment(s) |  
[2024-03-20 19:33:39] [world] The Player <NezukoChan> has picked 2 of STONE at X= -10195, Y= 11, Z= 3960 that had [] enchantment(s) |  
[2024-03-20 19:33:41] [world] The Player <NezukoChan> has picked 4 of STONE at X= -10195, Y= 11, Z= 3957 that had [] enchantment(s) |  
[2024-03-20 19:33:42] [world] The Player <NezukoChan> has picked 1 of STONE at X= -10195, Y= 11, Z= 3957 that had [] enchantment(s) |  
[2024-03-20 19:33:51] [world] The Player <hexa> has picked 1 of WOOD_STEP at X= -2527, Y= 68, Z= 585 that had [] enchantment(s) |  
[2024-03-20 19:33:56] [world] The Player <NezukoChan> has picked 5 of STONE at X= -10195, Y= 11, Z= 3955 that had [] enchantment(s) |  
[2024-03-20 19:34:02] [world] The Player <NezukoChan> has picked 1 of ENDER_CHEST at X= -10195, Y= 11, Z= 3956 that had [] enchantment(s) |  
[2024-03-20 19:34:03] [world] The Player <NezukoChan> has picked 8 of DIAMOND at X= -10194, Y= 13, Z= 3954 that had [] enchantment(s) |  
[2024-03-20 19:34:09] [world] The Player <NezukoChan> has picked 2 of STONE at X= -10195, Y= 11, Z= 3952 that had [] enchantment(s) |  
[2024-03-20 19:34:10] [world] The Player <NezukoChan> has picked 2 of STONE at X= -10195, Y= 11, Z= 3951 that had [] enchantment(s) |  
[2024-03-20 19:34:10] [world] The Player <NezukoChan> has picked 1 of STONE at X= -10195, Y= 11, Z= 3951 that had [] enchantment(s) |  
[2024-03-20 19:34:12] [world] The Player <NezukoChan> has picked 1 of STONE at X= -10195, Y= 11, Z= 3950 that had [] enchantment(s) |  
[2024-03-20 19:34:13] [world] The Player <NezukoChan> has picked 2 of STONE at X= -10195, Y= 11, Z= 3949 that had [] enchantment(s) |  
[2024-03-20 19:34:14] [world] The Player <NezukoChan> has picked 2 of STONE at X= -10195, Y= 11, Z= 3948 that had [] enchantment(s) |  
[2024-03-20 19:34:15] [world] The Player <NezukoChan> has picked 2 of STONE at X= -10195, Y= 11, Z= 3947 that had [] enchantment(s) |  
[2024-03-20 19:34:16] [world] The Player <NezukoChan> has picked 2 of STONE at X= -10195, Y= 11, Z= 3946 that had [] enchantment(s) |  
[2024-03-20 19:34:16] [world] The Player <NezukoChan> has picked 2 of STONE at X= -10195, Y= 11, Z= 3945 that had [] enchantment(s) |  
[2024-03-20 19:34:17] [world] The Player <NezukoChan> has picked 2 of STONE at X= -10195, Y= 11, Z= 3944 that had [] enchantment(s) |  
[2024-03-20 19:34:18] [world] The Player <NezukoChan> has picked 4 of STONE at X= -10195, Y= 11, Z= 3942 that had [] enchantment(s) |  
[2024-03-20 19:34:19] [world] The Player <NezukoChan> has picked 2 of STONE at X= -10195, Y= 11, Z= 3942 that had [] enchantment(s) |  
[2024-03-20 19:34:21] [world] The Player <NezukoChan> has picked 5 of STONE at X= -10195, Y= 11, Z= 3940 that had [] enchantment(s) |  
[2024-03-20 19:34:22] [world] The Player <NezukoChan> has picked 2 of STONE at X= -10193, Y= 11, Z= 3940 that had [] enchantment(s) |  
[2024-03-20 19:34:23] [world] The Player <NezukoChan> has picked 2 of STONE at X= -10192, Y= 11, Z= 3940 that had [] enchantment(s) |  
[2024-03-20 19:34:24] [world] The Player <NezukoChan> has picked 2 of STONE at X= -10192, Y= 11, Z= 3940 that had [] enchantment(s) |  
[2024-03-20 19:34:26] [world] The Player <NezukoChan> has picked 6 of DIAMOND at X= -10192, Y= 11, Z= 3941 that had [] enchantment(s) |  
[2024-03-20 19:34:27] [world] The Player <NezukoChan> has picked 4 of DIAMOND at X= -10192, Y= 11, Z= 3942 that had [] enchantment(s) |  
[2024-03-20 19:34:30] [world] The Player <NezukoChan> has picked 5 of DIAMOND at X= -10193, Y= 11, Z= 3942 that had [] enchantment(s) |  
[2024-03-20 19:34:34] [world] The Player <NezukoChan> has picked 1 of STONE at X= -10195, Y= 11, Z= 3939 that had [] enchantment(s) |  
[2024-03-20 19:34:36] [world] The Player <NezukoChan> has picked 1 of STONE at X= -10191, Y= 10, Z= 3940 that had [] enchantment(s) |  
[2024-03-20 19:34:37] [world] The Player <NezukoChan> has picked 2 of STONE at X= -10191, Y= 10, Z= 3940 that had [] enchantment(s) |  
[2024-03-20 19:34:37] [world] The Player <NezukoChan> has picked 1 of STONE at X= -10189, Y= 11, Z= 3940 that had [] enchantment(s) |  
[2024-03-20 19:34:38] [world] The Player <NezukoChan> has picked 2 of STONE at X= -10188, Y= 10, Z= 3940 that had [] enchantment(s) |  
[2024-03-20 19:34:38] [world] The Player <NezukoChan> has picked 1 of STONE at X= -10189, Y= 10, Z= 3940 that had [] enchantment(s) |  
[2024-03-20 19:34:39] [world] The Player <NezukoChan> has picked 2 of STONE at X= -10188, Y= 10, Z= 3940 that had [] enchantment(s) |  
[2024-03-20 19:34:40] [world] The Player <NezukoChan> has picked 2 of STONE at X= -10186, Y= 10, Z= 3940 that had [] enchantment(s) |  
[2024-03-20 19:34:41] [world] The Player <NezukoChan> has picked 1 of STONE at X= -10185, Y= 10, Z= 3940 that had [] enchantment(s) |  
[2024-03-20 19:34:52] [world] The Player <NezukoChan> has picked 2 of COAL_ORE at X= -10179, Y= 10, Z= 3940 that had [] enchantment(s) |  
[2024-03-20 19:34:53] [world] The Player <Brycethelegend> has picked 2 of ENDER_PEARL at X= -1355, Y= 63, Z= -267 that had [] enchantment(s) |  
[2024-03-20 19:34:58] [world] The Player <NezukoChan> has picked 8 of SUGAR at X= -10180, Y= 9, Z= 3940 that had [] enchantment(s) |  
[2024-03-20 19:34:59] [world] The Player <NezukoChan> has picked 1 of COAL at X= -10180, Y= 9, Z= 3940 that had [] enchantment(s) |  
[2024-03-20 19:35:00] [world] The Player <NezukoChan> has picked 3 of COAL at X= -10179, Y= 9, Z= 3940 that had [] enchantment(s) |  
[2024-03-20 19:35:02] [world] The Player <NezukoChan> has picked 5 of COAL at X= -10180, Y= 9, Z= 3939 that had [] enchantment(s) |  
[2024-03-20 19:35:04] [world] The Player <NezukoChan> has picked 1 of COAL at X= -10180, Y= 8, Z= 3939 that had [] enchantment(s) |  
[2024-03-20 19:35:04] [world] The Player <NezukoChan> has picked 1 of COAL at X= -10180, Y= 8, Z= 3939 that had [] enchantment(s) |  
