[2024-03-30 14:40:34] [world] The Player <GolemDaWanderer> has picked 3 of SUGAR_CANE at X= 10337, Y= 64, Z= -10542 that had [] enchantment(s) |  
[2024-03-31 13:01:17] [world] The Player <GolemDaWanderer> has picked 1 of BOW at X= -10298, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-31 13:02:18] [world] The Player <GolemDaWanderer> has picked 1 of BOW at X= -10301, Y= 35, Z= 4030 that had [] enchantment(s) |  
[2024-03-31 13:02:25] [world] The Player <GolemDaWanderer> has picked 11 of BONE at X= -10300, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-31 13:02:51] [world] The Player <GolemDaWanderer> has picked 1 of ARROW at X= -10301, Y= 35, Z= 4030 that had [] enchantment(s) |  
[2024-03-31 13:03:47] [world] The Player <GolemDaWanderer> has picked 1 of BOW at X= -10300, Y= 35, Z= 4032 that had [] enchantment(s) |  
[2024-03-31 13:03:53] [world] The Player <GolemDaWanderer> has picked 1 of BOW at X= -10300, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-31 13:05:08] [world] The Player <GolemDaWanderer> has picked 1 of BOW at X= -10300, Y= 36, Z= 4031 that had [] enchantment(s) |  
[2024-03-31 13:05:40] [world] The Player <GolemDaWanderer> has picked 14 of BONE at X= -10299, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-31 13:08:10] [world] The Player <BTC> has picked 1 of DIRT at X= -3130, Y= 61, Z= 832 that had [] enchantment(s) |  
[2024-03-31 13:08:11] [world] The Player <BTC> has picked 1 of DIRT at X= -3130, Y= 59, Z= 832 that had [] enchantment(s) |  
[2024-03-31 13:08:12] [world] The Player <BTC> has picked 1 of STONE at X= -3130, Y= 59, Z= 832 that had [] enchantment(s) |  
[2024-03-31 13:08:18] [world] The Player <BTC> has picked 2 of STONE at X= -3130, Y= 57, Z= 832 that had [] enchantment(s) |  
[2024-03-31 13:08:19] [world] The Player <BTC> has picked 3 of COBBLESTONE at X= -3130, Y= 54, Z= 832 that had [] enchantment(s) |  
[2024-03-31 13:08:20] [world] The Player <BTC> has picked 2 of COBBLESTONE at X= -3130, Y= 52, Z= 832 that had [] enchantment(s) |  
[2024-03-31 13:08:21] [world] The Player <BTC> has picked 2 of COBBLESTONE at X= -3130, Y= 50, Z= 832 that had [] enchantment(s) |  
[2024-03-31 13:08:22] [world] The Player <BTC> has picked 2 of COBBLESTONE at X= -3130, Y= 48, Z= 832 that had [] enchantment(s) |  
[2024-03-31 13:08:23] [world] The Player <BTC> has picked 1 of COBBLESTONE at X= -3130, Y= 46, Z= 832 that had [] enchantment(s) |  
[2024-03-31 13:08:24] [world] The Player <BTC> has picked 1 of STONE at X= -3130, Y= 46, Z= 832 that had [] enchantment(s) |  
[2024-03-31 13:08:25] [world] The Player <BTC> has picked 2 of STONE at X= -3130, Y= 44, Z= 832 that had [] enchantment(s) |  
[2024-03-31 13:08:30] [world] The Player <BTC> has picked 2 of COBBLESTONE at X= -3130, Y= 42, Z= 832 that had [] enchantment(s) |  
[2024-03-31 13:08:30] [world] The Player <BTC> has picked 1 of COBBLESTONE at X= -3130, Y= 41, Z= 832 that had [] enchantment(s) |  
[2024-03-31 13:08:31] [world] The Player <BTC> has picked 1 of COBBLESTONE at X= -3129, Y= 42, Z= 832 that had [] enchantment(s) |  
[2024-03-31 13:08:33] [world] The Player <BTC> has picked 1 of COBBLESTONE at X= -3129, Y= 41, Z= 832 that had [] enchantment(s) |  
[2024-03-31 13:08:34] [world] The Player <BTC> has picked 1 of COBBLESTONE at X= -3130, Y= 42, Z= 831 that had [] enchantment(s) |  
[2024-03-31 13:08:36] [world] The Player <BTC> has picked 1 of COBBLESTONE at X= -3130, Y= 41, Z= 832 that had [] enchantment(s) |  
[2024-03-31 13:08:38] [world] The Player <BTC> has picked 2 of COBBLESTONE at X= -3131, Y= 41, Z= 832 that had [] enchantment(s) |  
[2024-03-31 13:08:41] [world] The Player <BTC> has picked 2 of COBBLESTONE at X= -3130, Y= 41, Z= 833 that had [] enchantment(s) |  
[2024-03-31 13:08:44] [world] The Player <BTC> has picked 3 of COBBLESTONE at X= -3131, Y= 41, Z= 832 that had [] enchantment(s) |  
[2024-03-31 13:08:45] [world] The Player <BTC> has picked 1 of COBBLESTONE at X= -3131, Y= 41, Z= 832 that had [] enchantment(s) |  
[2024-03-31 13:08:49] [world] The Player <BTC> has picked 3 of COBBLESTONE at X= -3130, Y= 41, Z= 832 that had [] enchantment(s) |  
[2024-03-31 13:08:49] [world] The Player <BTC> has picked 1 of COBBLESTONE at X= -3130, Y= 41, Z= 832 that had [] enchantment(s) |  
[2024-03-31 13:09:18] [world] The Player <GolemDaWanderer> has picked 1 of MINECART at X= -625, Y= 68, Z= 251 that had [] enchantment(s) |  
[2024-03-31 13:09:19] [world] The Player <GolemDaWanderer> has picked 1 of MINECART at X= -623, Y= 68, Z= 251 that had [] enchantment(s) |  
[2024-03-31 13:09:19] [world] The Player <GolemDaWanderer> has picked 1 of MINECART at X= -624, Y= 68, Z= 251 that had [] enchantment(s) |  
[2024-03-31 13:09:20] [world] The Player <GolemDaWanderer> has picked 1 of MINECART at X= -624, Y= 68, Z= 251 that had [] enchantment(s) |  
[2024-03-31 13:09:21] [world] The Player <GolemDaWanderer> has picked 1 of BOW at X= -624, Y= 68, Z= 252 that had [] enchantment(s) |  
[2024-03-31 13:09:22] [world] The Player <GolemDaWanderer> has picked 1 of BOW at X= -624, Y= 68, Z= 252 that had [] enchantment(s) |  
[2024-03-31 13:09:23] [world] The Player <GolemDaWanderer> has picked 1 of BOW at X= -624, Y= 68, Z= 252 that had [] enchantment(s) |  
[2024-03-31 13:09:23] [world] The Player <GolemDaWanderer> has picked 1 of BOW at X= -624, Y= 68, Z= 252 that had [] enchantment(s) |  
[2024-03-31 13:09:26] [world] The Player <GolemDaWanderer> has picked 1 of MINECART at X= -625, Y= 68, Z= 251 that had [] enchantment(s) |  
[2024-03-31 13:09:27] [world] The Player <GolemDaWanderer> has picked 1 of MINECART at X= -625, Y= 68, Z= 250 that had [] enchantment(s) |  
[2024-03-31 13:09:28] [world] The Player <GolemDaWanderer> has picked 1 of BOW at X= -624, Y= 68, Z= 252 that had [] enchantment(s) |  
[2024-03-31 13:09:29] [world] The Player <GolemDaWanderer> has picked 1 of BOW at X= -624, Y= 68, Z= 252 that had [] enchantment(s) |  
[2024-03-31 13:09:29] [world] The Player <GolemDaWanderer> has picked 1 of BOW at X= -624, Y= 68, Z= 252 that had [] enchantment(s) |  
[2024-03-31 13:09:41] [world] The Player <BTC> has picked 2 of COBBLESTONE at X= -3129, Y= 41, Z= 833 that had [] enchantment(s) |  
[2024-03-31 13:09:50] [world] The Player <BTC> has picked 2 of COBBLESTONE at X= -3128, Y= 42, Z= 831 that had [] enchantment(s) |  
[2024-03-31 13:09:51] [world] The Player <BTC> has picked 13 of COBBLESTONE at X= -3127, Y= 41, Z= 831 that had [] enchantment(s) |  
[2024-03-31 13:09:51] [world] The Player <BTC> has picked 1 of COBBLESTONE at X= -3126, Y= 41, Z= 831 that had [] enchantment(s) |  
[2024-03-31 13:11:08] [world] The Player <BTC> has picked 1 of BOW at X= -624, Y= 68, Z= 252 that had [] enchantment(s) |  
[2024-03-31 13:11:09] [world] The Player <BTC> has picked 1 of BOW at X= -624, Y= 68, Z= 251 that had [] enchantment(s) |  
[2024-03-31 13:11:09] [world] The Player <BTC> has picked 1 of BOW at X= -624, Y= 68, Z= 251 that had [] enchantment(s) |  
[2024-03-31 13:11:09] [world] The Player <BTC> has picked 1 of BOW at X= -624, Y= 68, Z= 251 that had [] enchantment(s) |  
[2024-03-31 13:11:09] [world] The Player <BTC> has picked 1 of BOW at X= -624, Y= 68, Z= 251 that had [] enchantment(s) |  
[2024-03-31 13:11:09] [world] The Player <BTC> has picked 1 of BOW at X= -624, Y= 68, Z= 251 that had [] enchantment(s) |  
[2024-03-31 13:11:18] [world] The Player <BTC> has picked 1 of MINECART at X= -627, Y= 68, Z= 251 that had [] enchantment(s) |  
[2024-03-31 13:16:13] [world] The Player <BTC> has picked 1 of SEEDS at X= -698, Y= 64, Z= 182 that had [] enchantment(s) |  
[2024-03-31 13:16:16] [world] The Player <BTC> has picked 1 of COOKED_BEEF at X= -697, Y= 64, Z= 193 that had [] enchantment(s) |  
[2024-03-31 13:17:17] [world] The Player <BTC> has picked 1 of SANDSTONE at X= -709, Y= 51, Z= 91 that had [] enchantment(s) |  
[2024-03-31 13:17:17] [world] The Player <BTC> has picked 1 of TNT at X= -709, Y= 51, Z= 91 that had [] enchantment(s) |  
[2024-03-31 13:17:17] [world] The Player <BTC> has picked 1 of SANDSTONE at X= -709, Y= 50, Z= 91 that had [] enchantment(s) |  
[2024-03-31 13:17:18] [world] The Player <BTC> has picked 1 of STONE at X= -709, Y= 49, Z= 91 that had [] enchantment(s) |  
[2024-03-31 13:17:18] [world] The Player <BTC> has picked 1 of STONE at X= -709, Y= 48, Z= 91 that had [] enchantment(s) |  
[2024-03-31 13:17:21] [world] The Player <BTC> has picked 1 of SANDSTONE at X= -710, Y= 49, Z= 91 that had [] enchantment(s) |  
[2024-03-31 13:17:21] [world] The Player <BTC> has picked 1 of STONE at X= -710, Y= 49, Z= 91 that had [] enchantment(s) |  
[2024-03-31 13:17:22] [world] The Player <BTC> has picked 1 of SANDSTONE at X= -710, Y= 49, Z= 91 that had [] enchantment(s) |  
[2024-03-31 13:17:23] [world] The Player <BTC> has picked 1 of COBBLESTONE at X= -711, Y= 49, Z= 91 that had [] enchantment(s) |  
[2024-03-31 13:17:31] [world] The Player <BTC> has picked 1 of SANDSTONE at X= -711, Y= 49, Z= 91 that had [] enchantment(s) |  
[2024-03-31 13:17:32] [world] The Player <BTC> has picked 1 of SANDSTONE at X= -711, Y= 49, Z= 91 that had [] enchantment(s) |  
[2024-03-31 13:17:33] [world] The Player <BTC> has picked 1 of SANDSTONE at X= -711, Y= 49, Z= 90 that had [] enchantment(s) |  
[2024-03-31 13:17:35] [world] The Player <BTC> has picked 2 of COBBLESTONE at X= -711, Y= 49, Z= 89 that had [] enchantment(s) |  
[2024-03-31 13:18:45] [world] The Player <BTC> has picked 1 of BOW at X= -3130, Y= 41, Z= 832 that had [] enchantment(s) |  
[2024-03-31 13:18:45] [world] The Player <BTC> has picked 1 of BOW at X= -3130, Y= 41, Z= 832 that had [] enchantment(s) |  
