[2024-03-19 11:18:16] [world] The Player <Rip_Dogwater> has picked 1 of WOOL at X= -572, Y= 68, Z= 275 that had [] enchantment(s) |  
[2024-03-19 11:45:57] [world_nether] The Player <Mudkips_Rule> has picked 1 of NETHERRACK at X= -155, Y= 67, Z= -97 that had [] enchantment(s) |  
[2024-03-19 11:45:59] [world_nether] The Player <Mudkips_Rule> has picked 1 of NETHERRACK at X= -156, Y= 68, Z= -96 that had [] enchantment(s) |  
[2024-03-19 11:46:04] [world_nether] The Player <Mudkips_Rule> has picked 1 of NETHERRACK at X= -157, Y= 69, Z= -97 that had [] enchantment(s) |  
[2024-03-19 11:46:05] [world_nether] The Player <Mudkips_Rule> has picked 2 of NETHERRACK at X= -157, Y= 68, Z= -96 that had [] enchantment(s) |  
[2024-03-19 11:46:09] [world_nether] The Player <Mudkips_Rule> has picked 14 of QUARTZ at X= -155, Y= 69, Z= -97 that had [] enchantment(s) |  
[2024-03-19 11:46:11] [world_nether] The Player <Mudkips_Rule> has picked 8 of NETHERRACK at X= -154, Y= 70, Z= -96 that had [] enchantment(s) |  
[2024-03-19 11:46:35] [world_nether] The Player <Mudkips_Rule> has picked 1 of BLAZE_ROD at X= -144, Y= 70, Z= -90 that had [] enchantment(s) |  
[2024-03-19 11:46:37] [world_nether] The Player <Mudkips_Rule> has picked 1 of BLAZE_ROD at X= -148, Y= 70, Z= -93 that had [] enchantment(s) |  
[2024-03-19 11:46:42] [world_nether] The Player <Mudkips_Rule> has picked 1 of BLAZE_ROD at X= -144, Y= 71, Z= -90 that had [] enchantment(s) |  
[2024-03-19 11:47:25] [world_nether] The Player <Mudkips_Rule> has picked 1 of BLAZE_ROD at X= -146, Y= 69, Z= -97 that had [] enchantment(s) |  
[2024-03-19 11:47:38] [world_nether] The Player <Mudkips_Rule> has picked 1 of BLAZE_ROD at X= -145, Y= 69, Z= -95 that had [] enchantment(s) |  
[2024-03-19 11:48:03] [world_nether] The Player <Mudkips_Rule> has picked 1 of BLAZE_ROD at X= -144, Y= 70, Z= -90 that had [] enchantment(s) |  
[2024-03-19 11:48:30] [world] The Player <sharky> has picked 2 of COBBLESTONE at X= -499, Y= 56, Z= -479 that had [] enchantment(s) |  
[2024-03-19 11:48:32] [world] The Player <sharky> has picked 3 of COBBLESTONE at X= -497, Y= 56, Z= -479 that had [] enchantment(s) |  
[2024-03-19 11:48:35] [world] The Player <sharky> has picked 9 of STONE at X= -496, Y= 56, Z= -480 that had [] enchantment(s) |  
[2024-03-19 11:48:36] [world] The Player <sharky> has picked 3 of STONE at X= -495, Y= 56, Z= -480 that had [] enchantment(s) |  
[2024-03-19 11:48:41] [world] The Player <sharky> has picked 9 of STONE at X= -496, Y= 56, Z= -481 that had [] enchantment(s) |  
[2024-03-19 11:48:41] [world] The Player <sharky> has picked 1 of COBBLESTONE at X= -495, Y= 56, Z= -482 that had [] enchantment(s) |  
[2024-03-19 11:48:41] [world] The Player <sharky> has picked 1 of STONE at X= -495, Y= 56, Z= -482 that had [] enchantment(s) |  
[2024-03-19 11:48:43] [world] The Player <sharky> has picked 1 of COBBLESTONE at X= -493, Y= 56, Z= -480 that had [] enchantment(s) |  
[2024-03-19 11:48:43] [world] The Player <sharky> has picked 2 of STONE at X= -493, Y= 56, Z= -480 that had [] enchantment(s) |  
[2024-03-19 11:48:43] [world] The Player <sharky> has picked 1 of COBBLESTONE at X= -493, Y= 57, Z= -479 that had [] enchantment(s) |  
[2024-03-19 11:48:44] [world] The Player <sharky> has picked 1 of COBBLESTONE at X= -493, Y= 56, Z= -479 that had [] enchantment(s) |  
[2024-03-19 11:48:45] [world] The Player <sharky> has picked 1 of STONE at X= -495, Y= 56, Z= -482 that had [] enchantment(s) |  
[2024-03-19 11:48:47] [world_nether] The Player <Mudkips_Rule> has picked 1 of BLAZE_ROD at X= -145, Y= 70, Z= -96 that had [] enchantment(s) |  
[2024-03-19 11:48:50] [world] The Player <sharky> has picked 1 of COBBLESTONE at X= -495, Y= 56, Z= -482 that had [] enchantment(s) |  
[2024-03-19 11:48:55] [world] The Player <sharky> has picked 4 of STONE at X= -493, Y= 56, Z= -483 that had [] enchantment(s) |  
[2024-03-19 11:49:48] [world] The Player <TurtleDuck> has picked 1 of LEASH at X= -579, Y= 65, Z= 276 that had [] enchantment(s) |  
[2024-03-19 11:49:54] [world_nether] The Player <Mudkips_Rule> has picked 1 of BLAZE_ROD at X= -147, Y= 67, Z= -98 that had [] enchantment(s) |  
[2024-03-19 11:50:00] [world] The Player <sharky> has picked 1 of STICK at X= -494, Y= 56, Z= -479 that had [] enchantment(s) |  
[2024-03-19 11:50:46] [world_nether] The Player <Mudkips_Rule> has picked 1 of BLAZE_ROD at X= -146, Y= 70, Z= -94 that had [] enchantment(s) |  
[2024-03-19 11:53:01] [world_nether] The Player <Mudkips_Rule> has picked 1 of BLAZE_ROD at X= -132, Y= 69, Z= -90 that had [] enchantment(s) |  
[2024-03-19 11:53:05] [world_nether] The Player <Mudkips_Rule> has picked 1 of BLAZE_ROD at X= -132, Y= 70, Z= -85 that had [] enchantment(s) |  
[2024-03-19 11:53:07] [world_nether] The Player <Mudkips_Rule> has picked 1 of BLAZE_ROD at X= -133, Y= 70, Z= -85 that had [] enchantment(s) |  
[2024-03-19 11:53:17] [world_nether] The Player <Mudkips_Rule> has picked 1 of BLAZE_ROD at X= -136, Y= 71, Z= -83 that had [] enchantment(s) |  
[2024-03-19 11:53:44] [world_nether] The Player <Mudkips_Rule> has picked 1 of BLAZE_ROD at X= -145, Y= 69, Z= -95 that had [] enchantment(s) |  
[2024-03-19 11:53:56] [world_nether] The Player <Mudkips_Rule> has picked 1 of BLAZE_ROD at X= -144, Y= 70, Z= -90 that had [] enchantment(s) |  
[2024-03-19 11:54:21] [world_nether] The Player <Mudkips_Rule> has picked 1 of BLAZE_ROD at X= -148, Y= 70, Z= -90 that had [] enchantment(s) |  
[2024-03-19 11:54:31] [world_nether] The Player <Mudkips_Rule> has picked 1 of BLAZE_ROD at X= -148, Y= 66, Z= -99 that had [] enchantment(s) |  
[2024-03-19 11:54:44] [world_nether] The Player <Mudkips_Rule> has picked 1 of BLAZE_ROD at X= -131, Y= 70, Z= -84 that had [] enchantment(s) |  
[2024-03-19 11:54:49] [world_nether] The Player <Mudkips_Rule> has picked 1 of BLAZE_ROD at X= -135, Y= 70, Z= -85 that had [] enchantment(s) |  
[2024-03-19 11:55:01] [world_nether] The Player <Mudkips_Rule> has picked 1 of NETHERRACK at X= -135, Y= 68, Z= -96 that had [] enchantment(s) |  
[2024-03-19 11:55:02] [world_nether] The Player <Mudkips_Rule> has picked 3 of NETHERRACK at X= -135, Y= 68, Z= -96 that had [] enchantment(s) |  
[2024-03-19 12:04:02] [world] The Player <qwerty> has picked 1 of MINECART at X= -553, Y= 63, Z= 290 that had [] enchantment(s) |  
[2024-03-19 12:04:08] [world] The Player <qwerty> has picked 1 of MINECART at X= -555, Y= 59, Z= 294 that had [] enchantment(s) |  
[2024-03-19 12:04:30] [world_the_end] The Player <qwerty> has picked 3 of GOLD_NUGGET at X= 100, Y= 49, Z= -1 that had [] enchantment(s) |  
[2024-03-19 12:04:30] [world_the_end] The Player <qwerty> has picked 1 of GOLD_SWORD at X= 100, Y= 49, Z= -1 that had [] enchantment(s) |  
[2024-03-19 12:04:30] [world_the_end] The Player <qwerty> has picked 2 of ROTTEN_FLESH at X= 100, Y= 49, Z= -1 that had [] enchantment(s) |  
[2024-03-19 12:04:33] [world_the_end] The Player <qwerty> has picked 1 of GOLD_NUGGET at X= 100, Y= 49, Z= 0 that had [] enchantment(s) |  
[2024-03-19 12:05:58] [world_the_end] The Player <qwerty> has picked 1 of ENDER_PEARL at X= 75, Y= 61, Z= 8 that had [] enchantment(s) |  
[2024-03-19 12:06:30] [world_the_end] The Player <qwerty> has picked 1 of ENDER_PEARL at X= 54, Y= 62, Z= 16 that had [] enchantment(s) |  
[2024-03-19 12:07:26] [world_the_end] The Player <I_am_amazing> has picked 1 of COBBLESTONE at X= 1, Y= 59, Z= -7 that had [] enchantment(s) |  
[2024-03-19 12:07:27] [world_the_end] The Player <qwerty> has picked 1 of ENDER_PEARL at X= -34, Y= 58, Z= 7 that had [] enchantment(s) |  
[2024-03-19 12:07:44] [world_the_end] The Player <I_am_amazing> has picked 1 of DIAMOND_SWORD at X= 1, Y= 59, Z= 5 that had [Sharpness 5, Fire Aspect 2, Looting 3] enchantment(s) |  
[2024-03-19 12:07:49] [world_the_end] The Player <qwerty> has picked 1 of COBBLESTONE at X= -6, Y= 59, Z= 4 that had [] enchantment(s) |  
[2024-03-19 12:09:06] [world_the_end] The Player <I_am_amazing> has picked 1 of COBBLESTONE at X= 3, Y= 59, Z= 1 that had [] enchantment(s) |  
[2024-03-19 12:11:47] [world] The Player <I_am_amazing> has picked 1 of ANVIL at X= -490, Y= 77, Z= -503 that had [] enchantment(s) |  
[2024-03-19 12:12:50] [world] The Player <I_am_amazing> has picked 1 of POTION at X= -500, Y= 77, Z= -482 that had [] enchantment(s) |  
[2024-03-19 12:15:10] [world] The Player <qwerty> has picked 5 of SAND at X= -496, Y= 73, Z= -498 that had [] enchantment(s) |  
[2024-03-19 12:16:22] [world] The Player <qwerty> has picked 1 of POTION at X= -502, Y= 73, Z= -497 that had [] enchantment(s) |  
[2024-03-19 12:17:14] [world] The Player <I_am_amazing> has picked 1 of SANDSTONE at X= -493, Y= 57, Z= -481 that had [] enchantment(s) |  
[2024-03-19 12:17:24] [world] The Player <I_am_amazing> has picked 1 of SANDSTONE at X= -494, Y= 57, Z= -482 that had [] enchantment(s) |  
[2024-03-19 12:18:18] [world] The Player <qwerty> has picked 1 of POTION at X= -501, Y= 42, Z= -465 that had [] enchantment(s) |  
[2024-03-19 12:18:24] [world] The Player <qwerty> has picked 1 of ENDER_PEARL at X= -501, Y= 48, Z= -470 that had [] enchantment(s) |  
[2024-03-19 12:18:38] [world] The Player <I_am_amazing> has picked 1 of SANDSTONE at X= -501, Y= 72, Z= -493 that had [] enchantment(s) |  
[2024-03-19 12:18:56] [world] The Player <sharky> has picked 3 of NETHER_STALK at X= -496, Y= 77, Z= -480 that had [] enchantment(s) |  
[2024-03-19 12:19:16] [world] The Player <sharky> has picked 1 of POTION at X= -499, Y= 77, Z= -481 that had [] enchantment(s) |  
[2024-03-19 12:19:36] [world] The Player <qwerty> has picked 3 of NETHER_STALK at X= -497, Y= 77, Z= -480 that had [] enchantment(s) |  
[2024-03-19 12:20:57] [world] The Player <qwerty> has picked 1 of DIAMOND_CHESTPLATE at X= -485, Y= 72, Z= -496 that had [] enchantment(s) |  
[2024-03-19 12:21:08] [world] The Player <sharky> has picked 1 of POTION at X= -488, Y= 72, Z= -497 that had [] enchantment(s) |  
[2024-03-19 12:23:23] [world] The Player <WienerDogFace> has picked 2 of COBBLESTONE at X= -1083, Y= 10, Z= 1440 that had [] enchantment(s) |  
[2024-03-19 12:23:30] [world] The Player <WienerDogFace> has picked 4 of COAL at X= -1083, Y= 10, Z= 1440 that had [] enchantment(s) |  
[2024-03-19 12:23:32] [world] The Player <WienerDogFace> has picked 7 of COAL at X= -1083, Y= 10, Z= 1444 that had [] enchantment(s) |  
[2024-03-19 12:28:09] [world] The Player <Dave_TheCoolGuy> has picked 1 of LOG at X= -675, Y= 72, Z= 247 that had [] enchantment(s) |  
[2024-03-19 12:28:16] [world] The Player <Dave_TheCoolGuy> has picked 1 of LOG at X= -676, Y= 71, Z= 247 that had [] enchantment(s) |  
[2024-03-19 12:28:19] [world] The Player <Dave_TheCoolGuy> has picked 1 of SAPLING at X= -684, Y= 70, Z= 242 that had [] enchantment(s) |  
[2024-03-19 12:28:27] [world] The Player <Dave_TheCoolGuy> has picked 1 of LOG at X= -674, Y= 72, Z= 248 that had [] enchantment(s) |  
[2024-03-19 12:28:30] [world] The Player <Dave_TheCoolGuy> has picked 1 of LOG at X= -675, Y= 72, Z= 247 that had [] enchantment(s) |  
[2024-03-19 12:28:34] [world] The Player <Dave_TheCoolGuy> has picked 1 of LOG at X= -675, Y= 73, Z= 247 that had [] enchantment(s) |  
[2024-03-19 12:28:37] [world] The Player <Dave_TheCoolGuy> has picked 1 of LOG at X= -675, Y= 72, Z= 247 that had [] enchantment(s) |  
[2024-03-19 12:29:17] [world] The Player <Dave_TheCoolGuy> has picked 2 of SAPLING at X= -675, Y= 71, Z= 248 that had [] enchantment(s) |  
[2024-03-19 12:29:26] [world] The Player <Dave_TheCoolGuy> has picked 1 of SAPLING at X= -674, Y= 73, Z= 248 that had [] enchantment(s) |  
[2024-03-19 12:29:28] [world] The Player <qwerty> has picked 1 of SANDSTONE at X= -494, Y= 56, Z= -481 that had [] enchantment(s) |  
[2024-03-19 12:29:30] [world] The Player <qwerty> has picked 1 of SANDSTONE at X= -493, Y= 56, Z= -483 that had [] enchantment(s) |  
[2024-03-19 12:29:31] [world] The Player <Dave_TheCoolGuy> has picked 1 of SAPLING at X= -673, Y= 73, Z= 247 that had [] enchantment(s) |  
[2024-03-19 12:29:50] [world] The Player <Dave_TheCoolGuy> has picked 1 of LOG at X= -679, Y= 72, Z= 253 that had [] enchantment(s) |  
[2024-03-19 12:29:53] [world] The Player <Dave_TheCoolGuy> has picked 1 of LOG at X= -681, Y= 72, Z= 251 that had [] enchantment(s) |  
[2024-03-19 12:29:56] [world] The Player <Dave_TheCoolGuy> has picked 1 of LOG at X= -680, Y= 72, Z= 253 that had [] enchantment(s) |  
[2024-03-19 12:29:58] [world] The Player <Dave_TheCoolGuy> has picked 1 of LOG at X= -680, Y= 73, Z= 252 that had [] enchantment(s) |  
[2024-03-19 12:30:00] [world] The Player <Dave_TheCoolGuy> has picked 1 of LOG at X= -680, Y= 74, Z= 252 that had [] enchantment(s) |  
[2024-03-19 12:30:02] [world] The Player <Dave_TheCoolGuy> has picked 1 of LOG at X= -680, Y= 73, Z= 252 that had [] enchantment(s) |  
[2024-03-19 12:30:47] [world] The Player <Dave_TheCoolGuy> has picked 2 of SAPLING at X= -679, Y= 73, Z= 252 that had [] enchantment(s) |  
[2024-03-19 12:30:47] [world] The Player <qwerty> has picked 1 of STEP at X= -492, Y= 76, Z= -483 that had [] enchantment(s) |  
[2024-03-19 12:30:48] [world] The Player <qwerty> has picked 1 of STEP at X= -492, Y= 75, Z= -485 that had [] enchantment(s) |  
[2024-03-19 12:30:49] [world] The Player <qwerty> has picked 1 of STEP at X= -492, Y= 74, Z= -487 that had [] enchantment(s) |  
[2024-03-19 12:30:50] [world] The Player <Dave_TheCoolGuy> has picked 1 of SAPLING at X= -676, Y= 72, Z= 253 that had [] enchantment(s) |  
[2024-03-19 12:30:54] [world] The Player <qwerty> has picked 1 of SANDSTONE_STAIRS at X= -492, Y= 72, Z= -490 that had [] enchantment(s) |  
[2024-03-19 12:30:55] [world] The Player <qwerty> has picked 1 of STEP at X= -492, Y= 73, Z= -489 that had [] enchantment(s) |  
[2024-03-19 12:30:55] [world] The Player <Dave_TheCoolGuy> has picked 1 of LOG at X= -683, Y= 73, Z= 258 that had [] enchantment(s) |  
[2024-03-19 12:30:58] [world] The Player <Dave_TheCoolGuy> has picked 1 of LOG at X= -684, Y= 72, Z= 258 that had [] enchantment(s) |  
[2024-03-19 12:30:59] [world] The Player <qwerty> has picked 1 of SAND at X= -492, Y= 75, Z= -484 that had [] enchantment(s) |  
[2024-03-19 12:31:00] [world] The Player <Dave_TheCoolGuy> has picked 1 of LOG at X= -684, Y= 73, Z= 257 that had [] enchantment(s) |  
[2024-03-19 12:31:04] [world] The Player <qwerty> has picked 1 of SAND at X= -492, Y= 74, Z= -485 that had [] enchantment(s) |  
[2024-03-19 12:31:05] [world] The Player <qwerty> has picked 1 of SAND at X= -492, Y= 74, Z= -486 that had [] enchantment(s) |  
[2024-03-19 12:31:08] [world] The Player <qwerty> has picked 1 of SANDSTONE at X= -492, Y= 73, Z= -486 that had [] enchantment(s) |  
[2024-03-19 12:31:12] [world] The Player <Dave_TheCoolGuy> has picked 1 of SAPLING at X= -683, Y= 75, Z= 259 that had [] enchantment(s) |  
[2024-03-19 12:31:14] [world] The Player <qwerty> has picked 1 of SAND at X= -492, Y= 73, Z= -488 that had [] enchantment(s) |  
[2024-03-19 12:31:14] [world] The Player <qwerty> has picked 1 of SAND at X= -492, Y= 73, Z= -487 that had [] enchantment(s) |  
[2024-03-19 12:31:19] [world] The Player <qwerty> has picked 1 of SANDSTONE at X= -492, Y= 72, Z= -487 that had [] enchantment(s) |  
[2024-03-19 12:31:20] [world] The Player <qwerty> has picked 2 of SAND at X= -492, Y= 72, Z= -490 that had [] enchantment(s) |  
[2024-03-19 12:31:26] [world] The Player <Dave_TheCoolGuy> has picked 1 of LOG at X= -683, Y= 72, Z= 258 that had [] enchantment(s) |  
[2024-03-19 12:31:26] [world] The Player <Dave_TheCoolGuy> has picked 1 of SAPLING at X= -683, Y= 72, Z= 259 that had [] enchantment(s) |  
[2024-03-19 12:31:31] [world] The Player <Dave_TheCoolGuy> has picked 1 of LOG at X= -683, Y= 74, Z= 258 that had [] enchantment(s) |  
[2024-03-19 12:31:36] [world] The Player <Dave_TheCoolGuy> has picked 1 of LOG at X= -683, Y= 73, Z= 258 that had [] enchantment(s) |  
[2024-03-19 12:31:40] [world] The Player <qwerty> has picked 1 of SANDSTONE_STAIRS at X= -496, Y= 77, Z= -483 that had [] enchantment(s) |  
[2024-03-19 12:31:47] [world] The Player <qwerty> has picked 1 of SANDSTONE_STAIRS at X= -497, Y= 77, Z= -480 that had [] enchantment(s) |  
[2024-03-19 12:32:49] [world] The Player <Dave_TheCoolGuy> has picked 1 of SAPLING at X= -682, Y= 72, Z= 257 that had [] enchantment(s) |  
[2024-03-19 12:33:04] [world] The Player <Dave_TheCoolGuy> has picked 1 of WORKBENCH at X= -675, Y= 72, Z= 250 that had [] enchantment(s) |  
[2024-03-19 12:34:06] [world] The Player <sharky> has picked 1 of TORCH at X= -499, Y= 77, Z= -482 that had [] enchantment(s) |  
[2024-03-19 12:34:20] [world] The Player <Milk_Frog> has picked 9 of COBBLESTONE at X= -1083, Y= 10, Z= 1455 that had [] enchantment(s) |  
[2024-03-19 12:37:16] [world] The Player <Milk_Frog> has picked 1 of COBBLESTONE at X= -1083, Y= 10, Z= 1453 that had [] enchantment(s) |  
[2024-03-19 12:37:27] [world] The Player <WienerDogFace> has picked 3 of COBBLESTONE at X= -1083, Y= 11, Z= 1459 that had [] enchantment(s) |  
[2024-03-19 12:38:42] [world] The Player <WienerDogFace> has picked 8 of COAL at X= -1082, Y= 19, Z= 1472 that had [] enchantment(s) |  
[2024-03-19 12:39:04] [world] The Player <WienerDogFace> has picked 5 of COAL at X= -1094, Y= 10, Z= 1489 that had [] enchantment(s) |  
[2024-03-19 12:39:04] [world] The Player <WienerDogFace> has picked 1 of COAL at X= -1094, Y= 10, Z= 1489 that had [] enchantment(s) |  
[2024-03-19 12:39:06] [world] The Player <WienerDogFace> has picked 7 of COAL at X= -1094, Y= 10, Z= 1490 that had [] enchantment(s) |  
[2024-03-19 12:39:20] [world] The Player <WienerDogFace> has picked 2 of DIAMOND at X= -1090, Y= 10, Z= 1503 that had [] enchantment(s) |  
