[2024-03-24 21:45:28] [world] The Player <GolemDaWanderer> has picked 64 of BONE at X= -10300, Y= 35, Z= 4029 that had [] enchantment(s) |  
[2024-03-24 21:53:55] [world] The Player <Tester> has picked 6 of COOKED_BEEF at X= -562, Y= 68, Z= 265 that had [] enchantment(s) |  
[2024-03-24 21:53:55] [world] The Player <Tester> has picked 1 of LEATHER at X= -562, Y= 68, Z= 264 that had [] enchantment(s) |  
[2024-03-24 21:54:30] [world_the_end] The Player <Tester> has picked 6 of POWERED_RAIL at X= 35, Y= 46, Z= -1 that had [] enchantment(s) |  
[2024-03-24 21:54:35] [world_the_end] The Player <Tester> has picked 1 of MINECART at X= 36, Y= 46, Z= -1 that had [] enchantment(s) |  
[2024-03-24 21:55:23] [world] The Player <NezukoChan> has picked 1 of BOW at X= -10298, Y= 35, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 21:55:28] [world] The Player <NezukoChan> has picked 1 of DIAMOND_SWORD at X= -10298, Y= 35, Z= 4030 that had [Sharpness 5, Unbreaking 3, Knockback 2, Fire Aspect 2, Looting 3] enchantment(s) | Abyssal Fury
[2024-03-24 21:56:45] [world] The Player <NezukoChan> has picked 1 of BOW at X= -10298, Y= 35, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 21:59:33] [world] The Player <Tester> has picked 7 of FEATHER at X= -584, Y= 68, Z= 289 that had [] enchantment(s) |  
[2024-03-24 21:59:33] [world] The Player <Tester> has picked 1 of COOKED_CHICKEN at X= -583, Y= 68, Z= 289 that had [] enchantment(s) |  
[2024-03-24 21:59:57] [world] The Player <Tester> has picked 1 of BOW at X= -10299, Y= 35, Z= 4028 that had [] enchantment(s) |  
[2024-03-24 22:00:34] [world] The Player <Tester> has picked 1 of BOW at X= -10300, Y= 36, Z= 4028 that had [] enchantment(s) |  
[2024-03-24 22:00:34] [world] The Player <Tester> has picked 4 of ARROW at X= -10300, Y= 35, Z= 4029 that had [] enchantment(s) |  
[2024-03-24 22:01:56] [world] The Player <Tester> has picked 2 of ARROW at X= -10297, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 22:01:57] [world] The Player <NezukoChan> has picked 3 of BONE at X= -10299, Y= 35, Z= 4028 that had [] enchantment(s) |  
[2024-03-24 22:01:57] [world] The Player <Tester> has picked 2 of ARROW at X= -10297, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 22:02:00] [world] The Player <Tester> has picked 2 of BONE at X= -10299, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 22:02:01] [world] The Player <Tester> has picked 1 of ARROW at X= -10297, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 22:02:13] [world] The Player <Tester> has picked 6 of BONE at X= -10299, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 22:02:18] [world] The Player <Tester> has picked 4 of ARROW at X= -10299, Y= 36, Z= 4029 that had [] enchantment(s) |  
[2024-03-24 22:02:20] [world] The Player <NezukoChan> has picked 8 of BONE at X= -10297, Y= 36, Z= 4029 that had [] enchantment(s) |  
[2024-03-24 22:02:22] [world] The Player <Tester> has picked 1 of BOW at X= -10300, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 22:02:23] [world] The Player <Tester> has picked 7 of ARROW at X= -10300, Y= 35, Z= 4029 that had [] enchantment(s) |  
[2024-03-24 22:02:24] [world] The Player <Tester> has picked 7 of ARROW at X= -10300, Y= 36, Z= 4028 that had [] enchantment(s) |  
[2024-03-24 22:02:27] [world_the_end] The Player <GolemDaWanderer> has picked 1 of ROTTEN_FLESH at X= 81, Y= 59, Z= 0 that had [] enchantment(s) |  
[2024-03-24 22:02:28] [world] The Player <Tester> has picked 1 of BOW at X= -10299, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 22:02:29] [world] The Player <Tester> has picked 7 of ARROW at X= -10298, Y= 35, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 22:02:30] [world] The Player <Tester> has picked 1 of BONE at X= -10299, Y= 36, Z= 4031 that had [] enchantment(s) |  
[2024-03-24 22:02:32] [world] The Player <Tester> has picked 16 of ARROW at X= -10299, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 22:02:32] [world] The Player <NezukoChan> has picked 1 of ARROW at X= -10299, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 22:02:32] [world] The Player <Tester> has picked 1 of ARROW at X= -10299, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 22:02:34] [world] The Player <NezukoChan> has picked 1 of BONE at X= -10297, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 22:02:34] [world] The Player <Tester> has picked 2 of ARROW at X= -10297, Y= 36, Z= 4029 that had [] enchantment(s) |  
[2024-03-24 22:02:38] [world] The Player <Tester> has picked 4 of BONE at X= -10297, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 22:02:38] [world] The Player <Tester> has picked 9 of ARROW at X= -10299, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 22:02:40] [world] The Player <Tester> has picked 2 of ARROW at X= -10297, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 22:02:42] [world] The Player <Tester> has picked 1 of BONE at X= -10297, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 22:02:50] [world] The Player <GolemDaWanderer> has picked 1 of BOW at X= -10300, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 22:02:50] [world] The Player <GolemDaWanderer> has picked 1 of BOW at X= -10299, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 22:02:50] [world] The Player <GolemDaWanderer> has picked 1 of BOW at X= -10300, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 22:02:50] [world] The Player <GolemDaWanderer> has picked 1 of BOW at X= -10300, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 22:02:50] [world] The Player <GolemDaWanderer> has picked 1 of BOW at X= -10299, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 22:02:55] [world] The Player <GolemDaWanderer> has picked 4 of ARROW at X= -10300, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 22:02:55] [world] The Player <GolemDaWanderer> has picked 3 of BONE at X= -10299, Y= 36, Z= 4031 that had [] enchantment(s) |  
[2024-03-24 22:03:02] [world] The Player <GolemDaWanderer> has picked 1 of BOW at X= -10299, Y= 36, Z= 4031 that had [] enchantment(s) |  
[2024-03-24 22:03:02] [world] The Player <GolemDaWanderer> has picked 1 of ARROW at X= -10300, Y= 36, Z= 4028 that had [] enchantment(s) |  
[2024-03-24 22:03:03] [world] The Player <GolemDaWanderer> has picked 1 of BOW at X= -10299, Y= 35, Z= 4028 that had [] enchantment(s) |  
[2024-03-24 22:03:05] [world] The Player <GolemDaWanderer> has picked 1 of BOW at X= -10299, Y= 36, Z= 4031 that had [] enchantment(s) |  
[2024-03-24 22:03:07] [world] The Player <GolemDaWanderer> has picked 1 of BOW at X= -10299, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 22:03:08] [world] The Player <GolemDaWanderer> has picked 16 of ARROW at X= -10299, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 22:03:09] [world] The Player <NezukoChan> has picked 2 of BONE at X= -10299, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 22:03:13] [world] The Player <GolemDaWanderer> has picked 2 of BONE at X= -10299, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 22:03:18] [world] The Player <GolemDaWanderer> has picked 3 of BONE at X= -10299, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 22:03:19] [world] The Player <GolemDaWanderer> has picked 2 of ARROW at X= -10299, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 22:03:19] [world] The Player <GolemDaWanderer> has picked 2 of BONE at X= -10299, Y= 36, Z= 4031 that had [] enchantment(s) |  
[2024-03-24 22:03:21] [world] The Player <GolemDaWanderer> has picked 1 of ARROW at X= -10299, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 22:03:23] [world] The Player <GolemDaWanderer> has picked 4 of BONE at X= -10299, Y= 36, Z= 4031 that had [] enchantment(s) |  
[2024-03-24 22:03:25] [world] The Player <GolemDaWanderer> has picked 2 of ARROW at X= -10299, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 22:03:31] [world] The Player <GolemDaWanderer> has picked 3 of BONE at X= -10299, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 22:03:32] [world] The Player <GolemDaWanderer> has picked 2 of ARROW at X= -10299, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 22:03:33] [world] The Player <GolemDaWanderer> has picked 2 of BONE at X= -10299, Y= 36, Z= 4031 that had [] enchantment(s) |  
[2024-03-24 22:03:34] [world] The Player <GolemDaWanderer> has picked 2 of BONE at X= -10299, Y= 36, Z= 4031 that had [] enchantment(s) |  
[2024-03-24 22:03:34] [world] The Player <GolemDaWanderer> has picked 4 of ARROW at X= -10299, Y= 37, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 22:03:36] [world] The Player <GolemDaWanderer> has picked 2 of ARROW at X= -10299, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 22:03:37] [world] The Player <NezukoChan> has picked 1 of BONE at X= -10300, Y= 36, Z= 4028 that had [] enchantment(s) |  
[2024-03-24 22:03:38] [world] The Player <NezukoChan> has picked 1 of BONE at X= -10300, Y= 36, Z= 4028 that had [] enchantment(s) |  
[2024-03-24 22:03:40] [world] The Player <Tester> has picked 2 of BONE at X= -10300, Y= 36, Z= 4028 that had [] enchantment(s) |  
[2024-03-24 22:03:41] [world] The Player <Tester> has picked 1 of BOW at X= -10298, Y= 35, Z= 4027 that had [] enchantment(s) |  
[2024-03-24 22:03:42] [world] The Player <Tester> has picked 1 of BOW at X= -10300, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 22:03:42] [world] The Player <GolemDaWanderer> has picked 2 of ARROW at X= -10299, Y= 36, Z= 4031 that had [] enchantment(s) |  
[2024-03-24 22:03:44] [world] The Player <GolemDaWanderer> has picked 2 of BONE at X= -10299, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 22:03:45] [world] The Player <NezukoChan> has picked 1 of BONE at X= -10300, Y= 35, Z= 4029 that had [] enchantment(s) |  
[2024-03-24 22:03:47] [world] The Player <NezukoChan> has picked 2 of BONE at X= -10299, Y= 35, Z= 4029 that had [] enchantment(s) |  
[2024-03-24 22:03:47] [world] The Player <GolemDaWanderer> has picked 2 of ARROW at X= -10297, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 22:03:51] [world] The Player <GolemDaWanderer> has picked 2 of ARROW at X= -10299, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 22:04:39] [world] The Player <GolemDaWanderer> has picked 1 of BOW at X= -10299, Y= 35, Z= 4029 that had [] enchantment(s) |  
[2024-03-24 22:04:39] [world] The Player <GolemDaWanderer> has picked 23 of ARROW at X= -10299, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 22:04:46] [world] The Player <Tester> has picked 2 of ARROW at X= -10298, Y= 35, Z= 4028 that had [] enchantment(s) |  
[2024-03-24 22:04:47] [world] The Player <GolemDaWanderer> has picked 5 of BONE at X= -10299, Y= 37, Z= 4031 that had [] enchantment(s) |  
[2024-03-24 22:04:52] [world] The Player <Tester> has picked 1 of BOW at X= -10300, Y= 35, Z= 4029 that had [] enchantment(s) |  
[2024-03-24 22:04:52] [world] The Player <Tester> has picked 1 of BOW at X= -10300, Y= 35, Z= 4029 that had [] enchantment(s) |  
[2024-03-24 22:05:30] [world] The Player <GolemDaWanderer> has picked 4 of BONE at X= -10298, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 22:05:31] [world] The Player <GolemDaWanderer> has picked 3 of BONE at X= -10299, Y= 37, Z= 4031 that had [] enchantment(s) |  
[2024-03-24 22:05:57] [world] The Player <GolemDaWanderer> has picked 1 of ARROW at X= -10299, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 22:06:03] [world] The Player <GolemDaWanderer> has picked 4 of ARROW at X= -10299, Y= 36, Z= 4031 that had [] enchantment(s) |  
[2024-03-24 22:06:04] [world] The Player <GolemDaWanderer> has picked 4 of BONE at X= -10299, Y= 36, Z= 4031 that had [] enchantment(s) |  
[2024-03-24 22:06:05] [world] The Player <GolemDaWanderer> has picked 1 of ARROW at X= -10299, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 22:06:08] [world] The Player <NezukoChan> has picked 3 of BONE at X= -10299, Y= 37, Z= 4031 that had [] enchantment(s) |  
[2024-03-24 22:06:08] [world] The Player <GolemDaWanderer> has picked 4 of ARROW at X= -10299, Y= 36, Z= 4031 that had [] enchantment(s) |  
[2024-03-24 22:06:11] [world] The Player <NezukoChan> has picked 2 of BONE at X= -10300, Y= 35, Z= 4029 that had [] enchantment(s) |  
[2024-03-24 22:06:12] [world] The Player <GolemDaWanderer> has picked 1 of ARROW at X= -10299, Y= 37, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 22:06:13] [world] The Player <NezukoChan> has picked 2 of BONE at X= -10300, Y= 36, Z= 4031 that had [] enchantment(s) |  
[2024-03-24 22:06:14] [world] The Player <GolemDaWanderer> has picked 2 of ARROW at X= -10300, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 22:06:14] [world] The Player <NezukoChan> has picked 3 of BONE at X= -10300, Y= 38, Z= 4031 that had [] enchantment(s) |  
[2024-03-24 22:06:21] [world] The Player <GolemDaWanderer> has picked 1 of ARROW at X= -10299, Y= 36, Z= 4031 that had [] enchantment(s) |  
[2024-03-24 22:06:28] [world] The Player <Tester> has picked 1 of COBBLESTONE at X= -10296, Y= 48, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 22:06:29] [world] The Player <GolemDaWanderer> has picked 64 of BONE at X= -10299, Y= 35, Z= 4029 that had [] enchantment(s) |  
[2024-03-24 22:06:33] [world] The Player <GolemDaWanderer> has picked 1 of BOW at X= -10299, Y= 35, Z= 4029 that had [] enchantment(s) |  
[2024-03-24 22:06:34] [world] The Player <Tester> has picked 1 of BOW at X= -10299, Y= 35, Z= 4029 that had [] enchantment(s) |  
[2024-03-24 22:07:02] [world] The Player <NezukoChan> has picked 1 of DIRT at X= -10301, Y= 51, Z= 4023 that had [] enchantment(s) |  
[2024-03-24 22:08:06] [world] The Player <NezukoChan> has picked 1 of TORCH at X= -10296, Y= 48, Z= 4029 that had [] enchantment(s) |  
[2024-03-24 22:09:04] [world] The Player <Tester> has picked 1 of COBBLESTONE at X= -10301, Y= 50, Z= 4027 that had [] enchantment(s) |  
[2024-03-24 22:09:06] [world] The Player <Tester> has picked 2 of COBBLESTONE at X= -10301, Y= 48, Z= 4027 that had [] enchantment(s) |  
[2024-03-24 22:11:36] [world] The Player <Tester> has picked 1 of DIRT at X= -10301, Y= 52, Z= 4024 that had [] enchantment(s) |  
[2024-03-24 22:11:37] [world] The Player <Tester> has picked 1 of DIRT at X= -10301, Y= 51, Z= 4025 that had [] enchantment(s) |  
[2024-03-24 22:12:51] [world] The Player <Tester> has picked 1 of DIRT at X= -10300, Y= 51, Z= 4031 that had [] enchantment(s) |  
[2024-03-24 22:13:00] [world] The Player <Tester> has picked 1 of DIRT at X= -10299, Y= 50, Z= 4033 that had [] enchantment(s) |  
[2024-03-24 22:13:02] [world] The Player <Tester> has picked 1 of DIRT at X= -10300, Y= 49, Z= 4033 that had [] enchantment(s) |  
[2024-03-24 22:13:09] [world] The Player <GolemDaWanderer> has picked 1 of TORCH at X= -10303, Y= 48, Z= 4028 that had [] enchantment(s) |  
[2024-03-24 22:13:11] [world] The Player <NezukoChan> has picked 1 of DIRT at X= -10300, Y= 37, Z= 4031 that had [] enchantment(s) |  
[2024-03-24 22:13:16] [world] The Player <NezukoChan> has picked 1 of HOPPER at X= -10299, Y= 48, Z= 4032 that had [] enchantment(s) |  
[2024-03-24 22:13:18] [world] The Player <Tester> has picked 1 of DIRT at X= -10300, Y= 48, Z= 4032 that had [] enchantment(s) |  
[2024-03-24 22:13:24] [world] The Player <Tester> has picked 1 of STONE at X= -10300, Y= 48, Z= 4035 that had [] enchantment(s) |  
[2024-03-24 22:13:33] [world] The Player <Tester> has picked 1 of WOOD_STEP at X= -10300, Y= 48, Z= 4035 that had [] enchantment(s) |  
[2024-03-24 22:13:45] [world] The Player <Tester> has picked 1 of BOW at X= -10300, Y= 36, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 22:13:46] [world] The Player <Tester> has picked 1 of ARROW at X= -10299, Y= 36, Z= 4031 that had [] enchantment(s) |  
[2024-03-24 22:13:46] [world] The Player <Tester> has picked 1 of BOW at X= -10299, Y= 36, Z= 4031 that had [] enchantment(s) |  
[2024-03-24 22:14:26] [world] The Player <NezukoChan> has picked 1 of STONE at X= -10300, Y= 49, Z= 4036 that had [] enchantment(s) |  
[2024-03-24 22:15:01] [world] The Player <GolemDaWanderer> has picked 1 of ARROW at X= -10299, Y= 35, Z= 4028 that had [] enchantment(s) |  
[2024-03-24 22:15:16] [world] The Player <NezukoChan> has picked 1 of ARROW at X= -10299, Y= 36, Z= 4029 that had [] enchantment(s) |  
[2024-03-24 22:16:22] [world] The Player <GolemDaWanderer> has picked 32 of BONE at X= -10301, Y= 27, Z= 4028 that had [] enchantment(s) |  
[2024-03-24 22:16:56] [world] The Player <GolemDaWanderer> has picked 1 of COBBLESTONE at X= -10298, Y= 36, Z= 4031 that had [] enchantment(s) |  
[2024-03-24 22:16:57] [world] The Player <GolemDaWanderer> has picked 1 of COBBLESTONE at X= -10298, Y= 35, Z= 4031 that had [] enchantment(s) |  
[2024-03-24 22:16:59] [world] The Player <GolemDaWanderer> has picked 1 of COBBLESTONE at X= -10298, Y= 36, Z= 4032 that had [] enchantment(s) |  
[2024-03-24 22:17:00] [world] The Player <GolemDaWanderer> has picked 2 of COBBLESTONE at X= -10298, Y= 35, Z= 4031 that had [] enchantment(s) |  
[2024-03-24 22:17:03] [world] The Player <GolemDaWanderer> has picked 3 of COBBLESTONE at X= -10300, Y= 35, Z= 4032 that had [] enchantment(s) |  
[2024-03-24 22:17:04] [world] The Player <GolemDaWanderer> has picked 2 of COBBLESTONE at X= -10301, Y= 35, Z= 4032 that had [] enchantment(s) |  
[2024-03-24 22:17:05] [world] The Player <GolemDaWanderer> has picked 1 of COBBLESTONE at X= -10301, Y= 35, Z= 4031 that had [] enchantment(s) |  
[2024-03-24 22:17:06] [world] The Player <GolemDaWanderer> has picked 2 of COBBLESTONE at X= -10301, Y= 35, Z= 4031 that had [] enchantment(s) |  
[2024-03-24 22:17:06] [world] The Player <GolemDaWanderer> has picked 1 of COBBLESTONE at X= -10301, Y= 35, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 22:18:20] [world] The Player <Tester> has picked 5 of ARROW at X= -10301, Y= 35, Z= 4032 that had [] enchantment(s) |  
[2024-03-24 22:20:32] [world] The Player <GolemDaWanderer> has picked 2 of COBBLESTONE at X= -10301, Y= 37, Z= 4028 that had [] enchantment(s) |  
[2024-03-24 22:21:18] [world] The Player <GolemDaWanderer> has picked 1 of COBBLESTONE at X= -10302, Y= 52, Z= 4023 that had [] enchantment(s) |  
[2024-03-24 22:21:19] [world] The Player <GolemDaWanderer> has picked 1 of TORCH at X= -10302, Y= 52, Z= 4024 that had [] enchantment(s) |  
[2024-03-24 22:21:21] [world] The Player <GolemDaWanderer> has picked 1 of COBBLESTONE at X= -10301, Y= 52, Z= 4025 that had [] enchantment(s) |  
[2024-03-24 22:21:30] [world] The Player <GolemDaWanderer> has picked 1 of TORCH at X= -10301, Y= 52, Z= 4025 that had [] enchantment(s) |  
[2024-03-24 22:23:07] [world] The Player <NezukoChan> has picked 3 of BONE at X= -10301, Y= 33, Z= 4029 that had [] enchantment(s) |  
[2024-03-24 22:24:48] [world] The Player <NezukoChan> has picked 1 of COBBLESTONE at X= -10300, Y= 35, Z= 4028 that had [] enchantment(s) |  
[2024-03-24 22:24:52] [world] The Player <NezukoChan> has picked 2 of BONE at X= -10298, Y= 35, Z= 4029 that had [] enchantment(s) |  
[2024-03-24 22:24:58] [world] The Player <NezukoChan> has picked 25 of BONE at X= -10298, Y= 35, Z= 4031 that had [] enchantment(s) |  
[2024-03-24 22:25:05] [world] The Player <NezukoChan> has picked 1 of BOW at X= -10301, Y= 35, Z= 4031 that had [] enchantment(s) |  
[2024-03-24 22:25:24] [world] The Player <NezukoChan> has picked 2 of ARROW at X= -10301, Y= 35, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 22:25:27] [world] The Player <NezukoChan> has picked 1 of BOW at X= -10300, Y= 35, Z= 4028 that had [] enchantment(s) |  
[2024-03-24 22:25:28] [world] The Player <NezukoChan> has picked 1 of TORCH at X= -10299, Y= 35, Z= 4024 that had [] enchantment(s) |  
[2024-03-24 22:25:33] [world] The Player <NezukoChan> has picked 1 of BOW at X= -10299, Y= 35, Z= 4024 that had [] enchantment(s) |  
[2024-03-24 22:26:47] [world] The Player <NezukoChan> has picked 2 of ARROW at X= -10301, Y= 35, Z= 4031 that had [] enchantment(s) |  
[2024-03-24 22:26:52] [world] The Player <NezukoChan> has picked 1 of ARROW at X= -10300, Y= 36, Z= 4032 that had [] enchantment(s) |  
[2024-03-24 22:27:49] [world] The Player <GolemDaWanderer> has picked 2 of BONE at X= -10298, Y= 35, Z= 4031 that had [] enchantment(s) |  
[2024-03-24 22:27:56] [world] The Player <GolemDaWanderer> has picked 1 of BONE at X= -10298, Y= 35, Z= 4027 that had [] enchantment(s) |  
[2024-03-24 22:28:06] [world] The Player <GolemDaWanderer> has picked 1 of COBBLESTONE at X= -10298, Y= 34, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 22:28:08] [world] The Player <GolemDaWanderer> has picked 1 of COBBLESTONE at X= -10298, Y= 34, Z= 4030 that had [] enchantment(s) |  
[2024-03-24 22:28:20] [world] The Player <NezukoChan> has picked 1 of WORKBENCH at X= -10298, Y= 34, Z= 4029 that had [] enchantment(s) |  
