[2024-03-19 11:18:57] [world] The Player <qwerty> has broke SANDSTONE at X= -502, Y= 73, Z= -497
[2024-03-19 11:24:25] [world] The Player <TurtleDuck> has broke STONE at X= -582, Y= 58, Z= 271
[2024-03-19 11:24:26] [world] The Player <TurtleDuck> has broke STONE at X= -583, Y= 58, Z= 271
[2024-03-19 11:24:26] [world] The Player <TurtleDuck> has broke STONE at X= -582, Y= 57, Z= 271
[2024-03-19 11:24:27] [world] The Player <TurtleDuck> has broke STONE at X= -583, Y= 57, Z= 271
[2024-03-19 11:24:27] [world] The Player <TurtleDuck> has broke STONE at X= -582, Y= 56, Z= 271
[2024-03-19 11:24:28] [world] The Player <TurtleDuck> has broke STONE at X= -583, Y= 56, Z= 271
[2024-03-19 11:24:28] [world] The Player <TurtleDuck> has broke STONE at X= -582, Y= 56, Z= 272
[2024-03-19 11:24:28] [world] The Player <TurtleDuck> has broke STONE at X= -582, Y= 57, Z= 272
[2024-03-19 11:24:29] [world] The Player <TurtleDuck> has broke STONE at X= -583, Y= 57, Z= 272
[2024-03-19 11:24:29] [world] The Player <TurtleDuck> has broke STONE at X= -583, Y= 56, Z= 272
[2024-03-19 11:24:29] [world] The Player <TurtleDuck> has broke STONE at X= -582, Y= 58, Z= 272
[2024-03-19 11:24:30] [world] The Player <TurtleDuck> has broke STONE at X= -583, Y= 58, Z= 272
[2024-03-19 11:24:30] [world] The Player <TurtleDuck> has broke STONE at X= -582, Y= 58, Z= 273
[2024-03-19 11:24:31] [world] The Player <TurtleDuck> has broke STONE at X= -583, Y= 58, Z= 273
[2024-03-19 11:24:31] [world] The Player <TurtleDuck> has broke STONE at X= -582, Y= 57, Z= 273
[2024-03-19 11:24:31] [world] The Player <TurtleDuck> has broke STONE at X= -583, Y= 57, Z= 273
[2024-03-19 11:24:32] [world] The Player <TurtleDuck> has broke STONE at X= -582, Y= 56, Z= 273
[2024-03-19 11:24:32] [world] The Player <TurtleDuck> has broke STONE at X= -583, Y= 56, Z= 273
[2024-03-19 11:24:33] [world] The Player <TurtleDuck> has broke STONE at X= -581, Y= 55, Z= 273
[2024-03-19 11:24:33] [world] The Player <TurtleDuck> has broke STONE at X= -581, Y= 55, Z= 272
[2024-03-19 11:24:34] [world] The Player <TurtleDuck> has broke STONE at X= -581, Y= 55, Z= 271
[2024-03-19 11:24:34] [world] The Player <TurtleDuck> has broke STONE at X= -582, Y= 55, Z= 271
[2024-03-19 11:24:34] [world] The Player <TurtleDuck> has broke STONE at X= -583, Y= 55, Z= 271
[2024-03-19 11:24:35] [world] The Player <TurtleDuck> has broke STONE at X= -583, Y= 55, Z= 272
[2024-03-19 11:24:35] [world] The Player <TurtleDuck> has broke STONE at X= -582, Y= 55, Z= 272
[2024-03-19 11:24:35] [world] The Player <TurtleDuck> has broke STONE at X= -582, Y= 55, Z= 273
[2024-03-19 11:24:36] [world] The Player <TurtleDuck> has broke STONE at X= -583, Y= 55, Z= 273
[2024-03-19 11:24:36] [world] The Player <TurtleDuck> has broke STONE at X= -581, Y= 57, Z= 274
[2024-03-19 11:24:37] [world] The Player <TurtleDuck> has broke STONE at X= -581, Y= 58, Z= 274
[2024-03-19 11:24:38] [world] The Player <TurtleDuck> has broke STONE at X= -582, Y= 58, Z= 274
[2024-03-19 11:24:38] [world] The Player <TurtleDuck> has broke STONE at X= -583, Y= 58, Z= 274
[2024-03-19 11:24:39] [world] The Player <TurtleDuck> has broke STONE at X= -583, Y= 57, Z= 274
[2024-03-19 11:24:39] [world] The Player <TurtleDuck> has broke STONE at X= -582, Y= 57, Z= 274
[2024-03-19 11:24:39] [world] The Player <TurtleDuck> has broke STONE at X= -581, Y= 56, Z= 274
[2024-03-19 11:24:40] [world] The Player <TurtleDuck> has broke STONE at X= -581, Y= 55, Z= 274
[2024-03-19 11:24:40] [world] The Player <TurtleDuck> has broke STONE at X= -582, Y= 56, Z= 274
[2024-03-19 11:24:40] [world] The Player <TurtleDuck> has broke STONE at X= -582, Y= 55, Z= 274
[2024-03-19 11:24:41] [world] The Player <TurtleDuck> has broke STONE at X= -583, Y= 55, Z= 274
[2024-03-19 11:24:41] [world] The Player <TurtleDuck> has broke STONE at X= -583, Y= 56, Z= 274
[2024-03-19 11:24:42] [world] The Player <TurtleDuck> has broke STONE at X= -581, Y= 56, Z= 270
[2024-03-19 11:24:43] [world] The Player <TurtleDuck> has broke STONE at X= -581, Y= 55, Z= 270
[2024-03-19 11:24:43] [world] The Player <TurtleDuck> has broke STONE at X= -581, Y= 57, Z= 270
[2024-03-19 11:24:43] [world] The Player <TurtleDuck> has broke STONE at X= -581, Y= 58, Z= 270
[2024-03-19 11:24:44] [world] The Player <TurtleDuck> has broke STONE at X= -582, Y= 58, Z= 270
[2024-03-19 11:24:44] [world] The Player <TurtleDuck> has broke STONE at X= -582, Y= 57, Z= 270
[2024-03-19 11:24:45] [world] The Player <TurtleDuck> has broke STONE at X= -582, Y= 56, Z= 270
[2024-03-19 11:24:45] [world] The Player <TurtleDuck> has broke STONE at X= -582, Y= 55, Z= 270
[2024-03-19 11:24:45] [world] The Player <TurtleDuck> has broke STONE at X= -583, Y= 55, Z= 270
[2024-03-19 11:24:46] [world] The Player <TurtleDuck> has broke STONE at X= -583, Y= 56, Z= 270
[2024-03-19 11:24:46] [world] The Player <TurtleDuck> has broke STONE at X= -583, Y= 57, Z= 270
[2024-03-19 11:24:46] [world] The Player <TurtleDuck> has broke STONE at X= -583, Y= 58, Z= 270
[2024-03-19 11:25:22] [world] The Player <TurtleDuck> has broke WOOD at X= -580, Y= 57, Z= 264
[2024-03-19 11:25:22] [world] The Player <TurtleDuck> has broke WOOD at X= -580, Y= 56, Z= 264
[2024-03-19 11:25:24] [world] The Player <TurtleDuck> has broke WOOD at X= -580, Y= 56, Z= 264
[2024-03-19 11:25:34] [world] The Player <TurtleDuck> has broke STONE at X= -581, Y= 56, Z= 269
[2024-03-19 11:25:34] [world] The Player <TurtleDuck> has broke STONE at X= -581, Y= 55, Z= 269
[2024-03-19 11:25:34] [world] The Player <TurtleDuck> has broke STONE at X= -582, Y= 55, Z= 269
[2024-03-19 11:25:35] [world] The Player <TurtleDuck> has broke STONE at X= -584, Y= 56, Z= 270
[2024-03-19 11:25:35] [world] The Player <TurtleDuck> has broke STONE at X= -583, Y= 55, Z= 269
[2024-03-19 11:25:36] [world] The Player <TurtleDuck> has broke STONE at X= -582, Y= 56, Z= 269
[2024-03-19 11:25:36] [world] The Player <TurtleDuck> has broke STONE at X= -582, Y= 57, Z= 269
[2024-03-19 11:25:37] [world] The Player <TurtleDuck> has broke STONE at X= -582, Y= 58, Z= 269
[2024-03-19 11:25:37] [world] The Player <TurtleDuck> has broke STONE at X= -581, Y= 57, Z= 269
[2024-03-19 11:25:38] [world] The Player <TurtleDuck> has broke STONE at X= -581, Y= 58, Z= 269
[2024-03-19 11:25:39] [world] The Player <TurtleDuck> has broke STONE at X= -583, Y= 58, Z= 269
[2024-03-19 11:25:44] [world] The Player <TurtleDuck> has broke STONE at X= -583, Y= 58, Z= 268
[2024-03-19 11:25:45] [world] The Player <TurtleDuck> has broke STONE at X= -582, Y= 58, Z= 268
[2024-03-19 11:25:46] [world] The Player <TurtleDuck> has broke STONE at X= -581, Y= 58, Z= 268
[2024-03-19 11:25:46] [world] The Player <TurtleDuck> has broke STONE at X= -581, Y= 57, Z= 268
[2024-03-19 11:25:48] [world] The Player <TurtleDuck> has broke STONE at X= -582, Y= 57, Z= 268
[2024-03-19 11:25:48] [world] The Player <TurtleDuck> has broke STONE at X= -582, Y= 56, Z= 268
[2024-03-19 11:25:49] [world] The Player <TurtleDuck> has broke STONE at X= -582, Y= 55, Z= 268
[2024-03-19 11:25:53] [world] The Player <TurtleDuck> has broke STONE at X= -581, Y= 56, Z= 268
[2024-03-19 11:25:53] [world] The Player <TurtleDuck> has broke STONE at X= -581, Y= 55, Z= 268
[2024-03-19 11:25:56] [world] The Player <TurtleDuck> has broke STONE at X= -583, Y= 55, Z= 268
[2024-03-19 11:25:57] [world] The Player <TurtleDuck> has broke STONE at X= -584, Y= 55, Z= 269
[2024-03-19 11:25:59] [world] The Player <TurtleDuck> has broke STONE at X= -584, Y= 58, Z= 269
[2024-03-19 11:26:00] [world] The Player <TurtleDuck> has broke STONE at X= -584, Y= 58, Z= 270
[2024-03-19 11:26:01] [world] The Player <TurtleDuck> has broke STONE at X= -584, Y= 58, Z= 271
[2024-03-19 11:26:02] [world] The Player <TurtleDuck> has broke STONE at X= -584, Y= 58, Z= 272
[2024-03-19 11:26:02] [world] The Player <TurtleDuck> has broke STONE at X= -584, Y= 58, Z= 273
[2024-03-19 11:26:03] [world] The Player <TurtleDuck> has broke STONE at X= -584, Y= 58, Z= 274
[2024-03-19 11:26:03] [world] The Player <TurtleDuck> has broke STONE at X= -584, Y= 57, Z= 274
[2024-03-19 11:26:04] [world] The Player <TurtleDuck> has broke STONE at X= -584, Y= 57, Z= 273
[2024-03-19 11:26:04] [world] The Player <TurtleDuck> has broke STONE at X= -584, Y= 57, Z= 272
[2024-03-19 11:26:05] [world] The Player <TurtleDuck> has broke STONE at X= -584, Y= 57, Z= 271
[2024-03-19 11:26:05] [world] The Player <TurtleDuck> has broke STONE at X= -584, Y= 57, Z= 270
[2024-03-19 11:26:06] [world] The Player <TurtleDuck> has broke STONE at X= -584, Y= 55, Z= 270
[2024-03-19 11:26:07] [world] The Player <TurtleDuck> has broke STONE at X= -584, Y= 55, Z= 271
[2024-03-19 11:26:08] [world] The Player <TurtleDuck> has broke STONE at X= -584, Y= 56, Z= 271
[2024-03-19 11:26:08] [world] The Player <TurtleDuck> has broke STONE at X= -584, Y= 56, Z= 272
[2024-03-19 11:26:08] [world] The Player <TurtleDuck> has broke STONE at X= -584, Y= 55, Z= 272
[2024-03-19 11:26:09] [world] The Player <TurtleDuck> has broke STONE at X= -584, Y= 55, Z= 273
[2024-03-19 11:26:09] [world] The Player <TurtleDuck> has broke STONE at X= -584, Y= 56, Z= 273
[2024-03-19 11:26:10] [world] The Player <TurtleDuck> has broke STONE at X= -584, Y= 56, Z= 274
[2024-03-19 11:26:10] [world] The Player <TurtleDuck> has broke STONE at X= -584, Y= 55, Z= 274
[2024-03-19 11:26:19] [world] The Player <TurtleDuck> has broke STONE at X= -580, Y= 58, Z= 270
[2024-03-19 11:26:20] [world] The Player <TurtleDuck> has broke STONE at X= -580, Y= 57, Z= 270
[2024-03-19 11:26:20] [world] The Player <TurtleDuck> has broke STONE at X= -580, Y= 56, Z= 270
[2024-03-19 11:26:24] [world] The Player <TurtleDuck> has broke STONE at X= -583, Y= 55, Z= 275
[2024-03-19 11:26:25] [world] The Player <TurtleDuck> has broke STONE at X= -583, Y= 56, Z= 275
[2024-03-19 11:26:26] [world] The Player <TurtleDuck> has broke STONE at X= -583, Y= 57, Z= 275
[2024-03-19 11:26:26] [world] The Player <TurtleDuck> has broke STONE at X= -583, Y= 58, Z= 275
[2024-03-19 11:26:27] [world] The Player <TurtleDuck> has broke STONE at X= -582, Y= 58, Z= 275
[2024-03-19 11:26:28] [world] The Player <TurtleDuck> has broke STONE at X= -581, Y= 58, Z= 275
[2024-03-19 11:26:28] [world] The Player <TurtleDuck> has broke COAL_ORE at X= -581, Y= 57, Z= 275
[2024-03-19 11:26:29] [world] The Player <TurtleDuck> has broke WOOD at X= -581, Y= 56, Z= 274
[2024-03-19 11:26:30] [world] The Player <TurtleDuck> has broke COAL_ORE at X= -581, Y= 56, Z= 275
[2024-03-19 11:26:31] [world] The Player <TurtleDuck> has broke STONE at X= -581, Y= 55, Z= 275
[2024-03-19 11:26:31] [world] The Player <TurtleDuck> has broke STONE at X= -582, Y= 55, Z= 275
[2024-03-19 11:26:31] [world] The Player <TurtleDuck> has broke STONE at X= -582, Y= 56, Z= 275
[2024-03-19 11:26:32] [world] The Player <TurtleDuck> has broke STONE at X= -582, Y= 57, Z= 275
[2024-03-19 11:26:36] [world] The Player <TurtleDuck> has broke STONE at X= -581, Y= 54, Z= 272
[2024-03-19 11:26:36] [world] The Player <TurtleDuck> has broke STONE at X= -581, Y= 54, Z= 271
[2024-03-19 11:26:37] [world] The Player <TurtleDuck> has broke STONE at X= -581, Y= 54, Z= 270
[2024-03-19 11:26:37] [world] The Player <TurtleDuck> has broke STONE at X= -581, Y= 54, Z= 269
[2024-03-19 11:26:38] [world] The Player <TurtleDuck> has broke STONE at X= -582, Y= 54, Z= 269
[2024-03-19 11:26:39] [world] The Player <TurtleDuck> has broke STONE at X= -582, Y= 54, Z= 270
[2024-03-19 11:26:39] [world] The Player <TurtleDuck> has broke STONE at X= -583, Y= 54, Z= 269
[2024-03-19 11:26:41] [world] The Player <TurtleDuck> has broke STONE at X= -583, Y= 54, Z= 270
[2024-03-19 11:26:41] [world] The Player <TurtleDuck> has broke STONE at X= -582, Y= 54, Z= 271
[2024-03-19 11:26:42] [world] The Player <TurtleDuck> has broke STONE at X= -582, Y= 54, Z= 272
[2024-03-19 11:26:42] [world] The Player <TurtleDuck> has broke STONE at X= -583, Y= 54, Z= 271
[2024-03-19 11:26:42] [world] The Player <TurtleDuck> has broke STONE at X= -583, Y= 54, Z= 272
[2024-03-19 11:26:43] [world] The Player <TurtleDuck> has broke STONE at X= -583, Y= 54, Z= 273
[2024-03-19 11:26:43] [world] The Player <TurtleDuck> has broke STONE at X= -583, Y= 54, Z= 274
[2024-03-19 11:26:44] [world] The Player <TurtleDuck> has broke STONE at X= -582, Y= 54, Z= 274
[2024-03-19 11:26:44] [world] The Player <TurtleDuck> has broke STONE at X= -581, Y= 54, Z= 274
[2024-03-19 11:26:45] [world] The Player <TurtleDuck> has broke STONE at X= -581, Y= 54, Z= 273
[2024-03-19 11:26:45] [world] The Player <TurtleDuck> has broke STONE at X= -582, Y= 54, Z= 273
[2024-03-19 11:26:46] [world] The Player <TurtleDuck> has broke STONE at X= -583, Y= 53, Z= 269
[2024-03-19 11:26:48] [world] The Player <TurtleDuck> has broke STONE at X= -581, Y= 53, Z= 269
[2024-03-19 11:26:48] [world] The Player <TurtleDuck> has broke STONE at X= -581, Y= 53, Z= 270
[2024-03-19 11:26:49] [world] The Player <TurtleDuck> has broke STONE at X= -581, Y= 53, Z= 271
[2024-03-19 11:26:49] [world] The Player <TurtleDuck> has broke STONE at X= -581, Y= 53, Z= 272
[2024-03-19 11:26:50] [world] The Player <TurtleDuck> has broke STONE at X= -581, Y= 53, Z= 273
[2024-03-19 11:26:50] [world] The Player <TurtleDuck> has broke STONE at X= -581, Y= 53, Z= 274
[2024-03-19 11:26:51] [world] The Player <TurtleDuck> has broke STONE at X= -582, Y= 53, Z= 274
[2024-03-19 11:26:51] [world] The Player <TurtleDuck> has broke STONE at X= -583, Y= 53, Z= 274
[2024-03-19 11:26:52] [world] The Player <TurtleDuck> has broke STONE at X= -583, Y= 53, Z= 273
[2024-03-19 11:26:53] [world] The Player <TurtleDuck> has broke STONE at X= -583, Y= 53, Z= 272
[2024-03-19 11:26:53] [world] The Player <TurtleDuck> has broke STONE at X= -583, Y= 53, Z= 271
[2024-03-19 11:26:54] [world] The Player <TurtleDuck> has broke STONE at X= -583, Y= 53, Z= 270
[2024-03-19 11:26:55] [world] The Player <TurtleDuck> has broke STONE at X= -582, Y= 53, Z= 270
[2024-03-19 11:26:56] [world] The Player <TurtleDuck> has broke STONE at X= -582, Y= 53, Z= 271
[2024-03-19 11:26:56] [world] The Player <TurtleDuck> has broke STONE at X= -582, Y= 53, Z= 272
[2024-03-19 11:26:56] [world] The Player <TurtleDuck> has broke STONE at X= -582, Y= 53, Z= 273
[2024-03-19 11:26:59] [world] The Player <TurtleDuck> has broke STONE at X= -583, Y= 54, Z= 268
[2024-03-19 11:27:00] [world] The Player <TurtleDuck> has broke WOOD at X= -582, Y= 53, Z= 268
[2024-03-19 11:27:03] [world] The Player <TurtleDuck> has broke STONE at X= -581, Y= 54, Z= 268
[2024-03-19 11:27:07] [world] The Player <TurtleDuck> has broke STONE at X= -580, Y= 54, Z= 270
[2024-03-19 11:27:08] [world] The Player <TurtleDuck> has broke STONE at X= -580, Y= 54, Z= 271
[2024-03-19 11:27:09] [world] The Player <TurtleDuck> has broke STONE at X= -580, Y= 54, Z= 272
[2024-03-19 11:27:10] [world] The Player <TurtleDuck> has broke STONE at X= -580, Y= 54, Z= 273
[2024-03-19 11:27:10] [world] The Player <TurtleDuck> has broke STONE at X= -580, Y= 54, Z= 274
[2024-03-19 11:27:11] [world] The Player <TurtleDuck> has broke STONE at X= -580, Y= 53, Z= 272
[2024-03-19 11:27:12] [world] The Player <TurtleDuck> has broke WOOD at X= -581, Y= 54, Z= 272
[2024-03-19 11:27:15] [world] The Player <TurtleDuck> has broke STONE at X= -584, Y= 54, Z= 272
[2024-03-19 11:27:15] [world] The Player <TurtleDuck> has broke STONE at X= -584, Y= 54, Z= 271
[2024-03-19 11:27:16] [world] The Player <TurtleDuck> has broke STONE at X= -584, Y= 54, Z= 270
[2024-03-19 11:27:16] [world] The Player <TurtleDuck> has broke STONE at X= -584, Y= 54, Z= 269
[2024-03-19 11:27:17] [world] The Player <TurtleDuck> has broke STONE at X= -584, Y= 54, Z= 273
[2024-03-19 11:27:18] [world] The Player <TurtleDuck> has broke STONE at X= -584, Y= 54, Z= 274
[2024-03-19 11:27:19] [world] The Player <TurtleDuck> has broke STONE at X= -583, Y= 54, Z= 275
[2024-03-19 11:27:20] [world] The Player <TurtleDuck> has broke STONE at X= -582, Y= 54, Z= 275
[2024-03-19 11:27:20] [world] The Player <TurtleDuck> has broke STONE at X= -581, Y= 54, Z= 275
[2024-03-19 11:27:22] [world] The Player <TurtleDuck> has broke STONE at X= -580, Y= 55, Z= 273
[2024-03-19 11:27:24] [world] The Player <TurtleDuck> has broke STONE at X= -580, Y= 55, Z= 274
[2024-03-19 11:27:25] [world] The Player <TurtleDuck> has broke COAL_ORE at X= -580, Y= 56, Z= 274
[2024-03-19 11:27:26] [world] The Player <TurtleDuck> has broke COAL_ORE at X= -580, Y= 57, Z= 274
[2024-03-19 11:27:29] [world] The Player <TurtleDuck> has broke STONE at X= -580, Y= 58, Z= 274
[2024-03-19 11:27:34] [world] The Player <TurtleDuck> has broke STONE at X= -580, Y= 55, Z= 269
[2024-03-19 11:27:35] [world] The Player <TurtleDuck> has broke STONE at X= -580, Y= 55, Z= 270
[2024-03-19 11:27:36] [world] The Player <TurtleDuck> has broke STONE at X= -580, Y= 56, Z= 269
[2024-03-19 11:27:37] [world] The Player <TurtleDuck> has broke STONE at X= -580, Y= 58, Z= 269
[2024-03-19 11:27:38] [world] The Player <TurtleDuck> has broke STONE at X= -580, Y= 57, Z= 269
[2024-03-19 11:27:51] [world] The Player <TurtleDuck> has broke GLASS at X= -583, Y= 57, Z= 271
[2024-03-19 11:27:52] [world] The Player <TurtleDuck> has broke GLASS at X= -583, Y= 57, Z= 270
[2024-03-19 11:27:52] [world] The Player <TurtleDuck> has broke GLASS at X= -582, Y= 57, Z= 269
[2024-03-19 11:27:53] [world] The Player <TurtleDuck> has broke GLASS at X= -581, Y= 57, Z= 269
[2024-03-19 11:27:54] [world] The Player <TurtleDuck> has broke GLASS at X= -583, Y= 57, Z= 269
[2024-03-19 11:27:54] [world] The Player <TurtleDuck> has broke STONE at X= -583, Y= 59, Z= 269
[2024-03-19 11:27:55] [world] The Player <TurtleDuck> has broke STONE at X= -583, Y= 59, Z= 270
[2024-03-19 11:27:56] [world] The Player <TurtleDuck> has broke STONE at X= -583, Y= 59, Z= 271
[2024-03-19 11:27:58] [world] The Player <TurtleDuck> has broke STONE at X= -583, Y= 59, Z= 272
[2024-03-19 11:27:59] [world] The Player <TurtleDuck> has broke STONE at X= -583, Y= 59, Z= 273
[2024-03-19 11:27:59] [world] The Player <TurtleDuck> has broke STONE at X= -583, Y= 59, Z= 274
[2024-03-19 11:28:00] [world] The Player <TurtleDuck> has broke STONE at X= -582, Y= 59, Z= 273
[2024-03-19 11:28:01] [world] The Player <TurtleDuck> has broke STONE at X= -582, Y= 59, Z= 272
[2024-03-19 11:28:02] [world] The Player <TurtleDuck> has broke STONE at X= -582, Y= 59, Z= 271
[2024-03-19 11:28:03] [world] The Player <TurtleDuck> has broke STONE at X= -582, Y= 59, Z= 270
[2024-03-19 11:28:03] [world] The Player <TurtleDuck> has broke STONE at X= -582, Y= 59, Z= 269
[2024-03-19 11:28:04] [world] The Player <TurtleDuck> has broke STONE at X= -581, Y= 59, Z= 269
[2024-03-19 11:28:04] [world] The Player <TurtleDuck> has broke STONE at X= -581, Y= 59, Z= 270
[2024-03-19 11:28:05] [world] The Player <TurtleDuck> has broke STONE at X= -581, Y= 59, Z= 271
[2024-03-19 11:28:05] [world] The Player <TurtleDuck> has broke STONE at X= -581, Y= 60, Z= 271
[2024-03-19 11:28:06] [world] The Player <TurtleDuck> has broke STONE at X= -581, Y= 59, Z= 272
[2024-03-19 11:28:06] [world] The Player <TurtleDuck> has broke STONE at X= -581, Y= 59, Z= 273
[2024-03-19 11:28:07] [world] The Player <TurtleDuck> has broke STONE at X= -582, Y= 59, Z= 274
[2024-03-19 11:28:08] [world] The Player <TurtleDuck> has broke STONE at X= -581, Y= 59, Z= 274
[2024-03-19 11:28:09] [world] The Player <TurtleDuck> has broke GLASS at X= -581, Y= 59, Z= 274
