[2024-03-17 22:33:00] [world] The Player <TurtleDuck> has broke SAND at X= -528, Y= 72, Z= 267
[2024-03-17 22:39:17] [world] The Player <bagelz> has broke STONE at X= 1159, Y= 5, Z= 2457
[2024-03-17 22:39:17] [world] The Player <bagelz> has broke STONE at X= 1160, Y= 6, Z= 2457
[2024-03-17 22:39:18] [world] The Player <bagelz> has broke STONE at X= 1160, Y= 5, Z= 2457
[2024-03-17 22:39:19] [world] The Player <bagelz> has broke STONE at X= 1161, Y= 6, Z= 2457
[2024-03-17 22:39:20] [world] The Player <bagelz> has broke STONE at X= 1161, Y= 5, Z= 2457
[2024-03-17 22:39:20] [world] The Player <bagelz> has broke STONE at X= 1162, Y= 6, Z= 2457
[2024-03-17 22:39:20] [world_nether] The Player <Heinrich_Himmler> has broke LADDER at X= 12500, Y= 106, Z= -3
[2024-03-17 22:39:21] [world] The Player <bagelz> has broke GRAVEL at X= 1162, Y= 5, Z= 2457
[2024-03-17 22:39:22] [world] The Player <bagelz> has broke STONE at X= 1163, Y= 6, Z= 2457
[2024-03-17 22:39:23] [world_nether] The Player <Heinrich_Himmler> has broke LADDER at X= 12500, Y= 107, Z= -3
[2024-03-17 22:39:23] [world] The Player <bagelz> has broke GRAVEL at X= 1163, Y= 5, Z= 2457
[2024-03-17 22:39:24] [world_nether] The Player <Heinrich_Himmler> has broke LADDER at X= 12500, Y= 108, Z= -3
[2024-03-17 22:39:24] [world] The Player <bagelz> has broke STONE at X= 1164, Y= 6, Z= 2457
[2024-03-17 22:39:25] [world_nether] The Player <Heinrich_Himmler> has broke LADDER at X= 12500, Y= 109, Z= -3
[2024-03-17 22:39:25] [world] The Player <bagelz> has broke GRAVEL at X= 1164, Y= 5, Z= 2457
[2024-03-17 22:39:27] [world] The Player <bagelz> has broke GRAVEL at X= 1165, Y= 6, Z= 2457
[2024-03-17 22:39:28] [world] The Player <bagelz> has broke GRAVEL at X= 1165, Y= 5, Z= 2457
[2024-03-17 22:39:29] [world] The Player <bagelz> has broke GRAVEL at X= 1166, Y= 6, Z= 2457
[2024-03-17 22:39:30] [world] The Player <bagelz> has broke GRAVEL at X= 1166, Y= 5, Z= 2457
[2024-03-17 22:39:32] [world] The Player <bagelz> has broke GRAVEL at X= 1167, Y= 6, Z= 2457
[2024-03-17 22:39:33] [world] The Player <bagelz> has broke GRAVEL at X= 1167, Y= 5, Z= 2457
[2024-03-17 22:39:34] [world] The Player <bagelz> has broke STONE at X= 1168, Y= 6, Z= 2457
[2024-03-17 22:39:35] [world] The Player <bagelz> has broke STONE at X= 1168, Y= 5, Z= 2457
[2024-03-17 22:39:35] [world] The Player <bagelz> has broke STONE at X= 1169, Y= 6, Z= 2457
[2024-03-17 22:39:36] [world] The Player <bagelz> has broke STONE at X= 1169, Y= 5, Z= 2457
[2024-03-17 22:39:37] [world] The Player <bagelz> has broke STONE at X= 1170, Y= 6, Z= 2457
[2024-03-17 22:39:38] [world] The Player <bagelz> has broke STONE at X= 1170, Y= 5, Z= 2457
[2024-03-17 22:39:38] [world_nether] The Player <Heinrich_Himmler> has broke LADDER at X= 12501, Y= 111, Z= -3
[2024-03-17 22:39:38] [world] The Player <bagelz> has broke STONE at X= 1171, Y= 6, Z= 2457
[2024-03-17 22:39:39] [world] The Player <bagelz> has broke STONE at X= 1171, Y= 5, Z= 2457
[2024-03-17 22:39:40] [world] The Player <bagelz> has broke STONE at X= 1172, Y= 6, Z= 2457
[2024-03-17 22:39:40] [world] The Player <bagelz> has broke STONE at X= 1172, Y= 5, Z= 2457
[2024-03-17 22:39:41] [world] The Player <bagelz> has broke STONE at X= 1173, Y= 6, Z= 2457
[2024-03-17 22:39:42] [world] The Player <bagelz> has broke STONE at X= 1173, Y= 5, Z= 2457
[2024-03-17 22:39:42] [world] The Player <bagelz> has broke STONE at X= 1174, Y= 6, Z= 2457
[2024-03-17 22:39:43] [world] The Player <bagelz> has broke STONE at X= 1174, Y= 5, Z= 2457
[2024-03-17 22:39:44] [world] The Player <bagelz> has broke STONE at X= 1175, Y= 6, Z= 2457
[2024-03-17 22:39:45] [world] The Player <bagelz> has broke STONE at X= 1175, Y= 5, Z= 2457
[2024-03-17 22:39:45] [world] The Player <bagelz> has broke STONE at X= 1176, Y= 6, Z= 2457
[2024-03-17 22:39:46] [world] The Player <bagelz> has broke STONE at X= 1176, Y= 5, Z= 2457
[2024-03-17 22:39:47] [world] The Player <bagelz> has broke STONE at X= 1177, Y= 6, Z= 2457
[2024-03-17 22:39:47] [world] The Player <bagelz> has broke STONE at X= 1177, Y= 5, Z= 2457
[2024-03-17 22:39:48] [world] The Player <bagelz> has broke STONE at X= 1178, Y= 6, Z= 2457
[2024-03-17 22:39:49] [world] The Player <bagelz> has broke STONE at X= 1178, Y= 5, Z= 2457
[2024-03-17 22:39:49] [world] The Player <bagelz> has broke STONE at X= 1179, Y= 6, Z= 2457
[2024-03-17 22:39:50] [world] The Player <bagelz> has broke STONE at X= 1179, Y= 5, Z= 2457
[2024-03-17 22:39:51] [world] The Player <bagelz> has broke STONE at X= 1180, Y= 6, Z= 2457
[2024-03-17 22:39:52] [world] The Player <bagelz> has broke STONE at X= 1180, Y= 5, Z= 2457
[2024-03-17 22:39:52] [world] The Player <bagelz> has broke STONE at X= 1181, Y= 6, Z= 2457
[2024-03-17 22:39:53] [world] The Player <bagelz> has broke STONE at X= 1181, Y= 5, Z= 2457
[2024-03-17 22:39:59] [world_nether] The Player <Heinrich_Himmler> has broke LADDER at X= 12500, Y= 125, Z= -2
[2024-03-17 22:40:01] [world_nether] The Player <Heinrich_Himmler> has broke LADDER at X= 12500, Y= 124, Z= -2
[2024-03-17 22:40:02] [world_nether] The Player <Heinrich_Himmler> has broke LADDER at X= 12500, Y= 123, Z= -2
[2024-03-17 22:40:03] [world_nether] The Player <Heinrich_Himmler> has broke LADDER at X= 12500, Y= 122, Z= -2
[2024-03-17 22:40:04] [world_nether] The Player <Heinrich_Himmler> has broke LADDER at X= 12500, Y= 121, Z= -2
[2024-03-17 22:40:05] [world_nether] The Player <Heinrich_Himmler> has broke LADDER at X= 12500, Y= 120, Z= -2
[2024-03-17 22:40:06] [world_nether] The Player <Heinrich_Himmler> has broke LADDER at X= 12500, Y= 119, Z= -2
[2024-03-17 22:40:06] [world_nether] The Player <Heinrich_Himmler> has broke LADDER at X= 12500, Y= 118, Z= -2
[2024-03-17 22:40:07] [world_nether] The Player <Heinrich_Himmler> has broke LADDER at X= 12500, Y= 117, Z= -2
[2024-03-17 22:40:08] [world] The Player <bagelz> has broke STONE at X= 1182, Y= 6, Z= 2457
[2024-03-17 22:40:08] [world_nether] The Player <Heinrich_Himmler> has broke LADDER at X= 12500, Y= 116, Z= -2
[2024-03-17 22:40:09] [world_nether] The Player <Heinrich_Himmler> has broke LADDER at X= 12500, Y= 115, Z= -2
[2024-03-17 22:40:10] [world_nether] The Player <Heinrich_Himmler> has broke LADDER at X= 12500, Y= 114, Z= -2
[2024-03-17 22:40:11] [world_nether] The Player <Heinrich_Himmler> has broke LADDER at X= 12500, Y= 113, Z= -2
[2024-03-17 22:40:12] [world] The Player <bagelz> has broke STONE at X= 1181, Y= 6, Z= 2456
[2024-03-17 22:40:12] [world_nether] The Player <Heinrich_Himmler> has broke LADDER at X= 12500, Y= 112, Z= -2
[2024-03-17 22:40:13] [world] The Player <bagelz> has broke STONE at X= 1181, Y= 5, Z= 2456
[2024-03-17 22:40:13] [world_nether] The Player <Heinrich_Himmler> has broke LADDER at X= 12500, Y= 111, Z= -2
[2024-03-17 22:40:14] [world] The Player <bagelz> has broke STONE at X= 1181, Y= 6, Z= 2455
[2024-03-17 22:40:14] [world_nether] The Player <Heinrich_Himmler> has broke LADDER at X= 12500, Y= 110, Z= -2
[2024-03-17 22:40:14] [world] The Player <bagelz> has broke STONE at X= 1181, Y= 5, Z= 2455
[2024-03-17 22:40:15] [world] The Player <bagelz> has broke STONE at X= 1182, Y= 6, Z= 2455
[2024-03-17 22:40:15] [world_nether] The Player <Heinrich_Himmler> has broke LADDER at X= 12500, Y= 109, Z= -2
[2024-03-17 22:40:16] [world] The Player <bagelz> has broke STONE at X= 1183, Y= 6, Z= 2455
[2024-03-17 22:40:16] [world_nether] The Player <Heinrich_Himmler> has broke LADDER at X= 12500, Y= 108, Z= -2
[2024-03-17 22:40:16] [world] The Player <bagelz> has broke STONE at X= 1184, Y= 6, Z= 2455
[2024-03-17 22:40:17] [world_nether] The Player <Heinrich_Himmler> has broke LADDER at X= 12500, Y= 107, Z= -2
[2024-03-17 22:40:17] [world] The Player <bagelz> has broke STONE at X= 1182, Y= 5, Z= 2455
[2024-03-17 22:40:20] [world_nether] The Player <Heinrich_Himmler> has broke LADDER at X= 12500, Y= 110, Z= -3
[2024-03-17 22:40:23] [world_nether] The Player <Heinrich_Himmler> has broke LADDER at X= 12500, Y= 106, Z= -2
[2024-03-17 22:40:24] [world] The Player <bagelz> has broke STONE at X= 1183, Y= 5, Z= 2455
[2024-03-17 22:40:24] [world_nether] The Player <Heinrich_Himmler> has broke LADDER at X= 12500, Y= 105, Z= -2
[2024-03-17 22:40:25] [world] The Player <bagelz> has broke STONE at X= 1184, Y= 5, Z= 2455
[2024-03-17 22:40:30] [world_nether] The Player <Heinrich_Himmler> has broke LADDER at X= 12500, Y= 104, Z= -2
[2024-03-17 22:40:31] [world] The Player <bagelz> has broke STONE at X= 1181, Y= 6, Z= 2454
[2024-03-17 22:40:32] [world] The Player <bagelz> has broke STONE at X= 1181, Y= 5, Z= 2454
[2024-03-17 22:40:32] [world] The Player <bagelz> has broke STONE at X= 1181, Y= 6, Z= 2453
[2024-03-17 22:40:33] [world] The Player <bagelz> has broke STONE at X= 1181, Y= 5, Z= 2453
[2024-03-17 22:40:47] [world] The Player <bagelz> has broke STONE at X= 1182, Y= 6, Z= 2453
[2024-03-17 22:40:48] [world] The Player <bagelz> has broke STONE at X= 1182, Y= 5, Z= 2453
[2024-03-17 22:40:48] [world] The Player <bagelz> has broke STONE at X= 1183, Y= 6, Z= 2453
[2024-03-17 22:40:49] [world] The Player <bagelz> has broke STONE at X= 1183, Y= 5, Z= 2453
[2024-03-17 22:40:50] [world] The Player <bagelz> has broke STONE at X= 1184, Y= 6, Z= 2453
[2024-03-17 22:40:51] [world] The Player <bagelz> has broke STONE at X= 1184, Y= 5, Z= 2453
[2024-03-17 22:40:51] [world] The Player <bagelz> has broke STONE at X= 1185, Y= 6, Z= 2453
[2024-03-17 22:40:52] [world] The Player <bagelz> has broke STONE at X= 1185, Y= 5, Z= 2453
[2024-03-17 22:40:53] [world] The Player <bagelz> has broke STONE at X= 1186, Y= 6, Z= 2453
[2024-03-17 22:40:53] [world_nether] The Player <Heinrich_Himmler> has broke NETHERRACK at X= 12501, Y= 102, Z= -2
[2024-03-17 22:40:53] [world] The Player <bagelz> has broke STONE at X= 1186, Y= 5, Z= 2453
[2024-03-17 22:40:54] [world] The Player <bagelz> has broke STONE at X= 1187, Y= 6, Z= 2453
[2024-03-17 22:40:54] [world_nether] The Player <Heinrich_Himmler> has broke NETHERRACK at X= 12501, Y= 101, Z= -2
[2024-03-17 22:40:55] [world] The Player <bagelz> has broke STONE at X= 1187, Y= 5, Z= 2453
[2024-03-17 22:40:55] [world] The Player <bagelz> has broke STONE at X= 1188, Y= 6, Z= 2453
[2024-03-17 22:40:56] [world] The Player <bagelz> has broke STONE at X= 1188, Y= 5, Z= 2453
[2024-03-17 22:40:57] [world] The Player <bagelz> has broke STONE at X= 1189, Y= 6, Z= 2453
[2024-03-17 22:40:58] [world] The Player <bagelz> has broke STONE at X= 1189, Y= 5, Z= 2453
[2024-03-17 22:40:58] [world] The Player <bagelz> has broke STONE at X= 1190, Y= 6, Z= 2453
[2024-03-17 22:40:59] [world] The Player <bagelz> has broke STONE at X= 1190, Y= 5, Z= 2453
[2024-03-17 22:41:00] [world] The Player <bagelz> has broke STONE at X= 1191, Y= 6, Z= 2453
[2024-03-17 22:41:00] [world] The Player <bagelz> has broke STONE at X= 1191, Y= 5, Z= 2453
[2024-03-17 22:41:01] [world] The Player <bagelz> has broke STONE at X= 1192, Y= 6, Z= 2453
[2024-03-17 22:41:02] [world] The Player <bagelz> has broke STONE at X= 1192, Y= 5, Z= 2453
[2024-03-17 22:41:02] [world] The Player <bagelz> has broke STONE at X= 1193, Y= 6, Z= 2453
[2024-03-17 22:41:03] [world] The Player <bagelz> has broke STONE at X= 1193, Y= 5, Z= 2453
[2024-03-17 22:41:04] [world] The Player <bagelz> has broke STONE at X= 1194, Y= 6, Z= 2453
[2024-03-17 22:41:05] [world] The Player <bagelz> has broke STONE at X= 1194, Y= 5, Z= 2453
[2024-03-17 22:41:05] [world] The Player <bagelz> has broke STONE at X= 1195, Y= 6, Z= 2453
[2024-03-17 22:41:06] [world] The Player <bagelz> has broke STONE at X= 1195, Y= 5, Z= 2453
[2024-03-17 22:41:07] [world] The Player <bagelz> has broke STONE at X= 1196, Y= 6, Z= 2453
[2024-03-17 22:41:07] [world] The Player <bagelz> has broke STONE at X= 1196, Y= 5, Z= 2453
[2024-03-17 22:41:08] [world] The Player <bagelz> has broke STONE at X= 1197, Y= 6, Z= 2453
[2024-03-17 22:41:09] [world] The Player <bagelz> has broke STONE at X= 1197, Y= 5, Z= 2453
[2024-03-17 22:41:09] [world] The Player <bagelz> has broke STONE at X= 1198, Y= 6, Z= 2453
[2024-03-17 22:41:10] [world] The Player <bagelz> has broke STONE at X= 1198, Y= 5, Z= 2453
[2024-03-17 22:41:11] [world] The Player <bagelz> has broke STONE at X= 1199, Y= 6, Z= 2453
[2024-03-17 22:41:12] [world] The Player <bagelz> has broke STONE at X= 1199, Y= 5, Z= 2453
[2024-03-17 22:41:12] [world] The Player <bagelz> has broke STONE at X= 1200, Y= 6, Z= 2453
[2024-03-17 22:41:13] [world] The Player <TurtleDuck> has broke SPRUCE_FENCE_GATE at X= 3998, Y= 65, Z= -1846
[2024-03-17 22:41:13] [world] The Player <bagelz> has broke STONE at X= 1200, Y= 5, Z= 2453
[2024-03-17 22:41:14] [world] The Player <bagelz> has broke STONE at X= 1201, Y= 6, Z= 2453
[2024-03-17 22:41:14] [world] The Player <bagelz> has broke STONE at X= 1201, Y= 5, Z= 2453
[2024-03-17 22:41:15] [world] The Player <bagelz> has broke STONE at X= 1202, Y= 6, Z= 2453
[2024-03-17 22:41:16] [world] The Player <bagelz> has broke STONE at X= 1202, Y= 5, Z= 2453
[2024-03-17 22:41:16] [world] The Player <bagelz> has broke STONE at X= 1203, Y= 6, Z= 2453
[2024-03-17 22:41:17] [world] The Player <bagelz> has broke STONE at X= 1203, Y= 5, Z= 2453
[2024-03-17 22:41:18] [world] The Player <bagelz> has broke STONE at X= 1204, Y= 6, Z= 2453
[2024-03-17 22:41:19] [world] The Player <bagelz> has broke STONE at X= 1204, Y= 5, Z= 2453
[2024-03-17 22:41:19] [world] The Player <bagelz> has broke STONE at X= 1205, Y= 6, Z= 2453
[2024-03-17 22:41:20] [world] The Player <bagelz> has broke STONE at X= 1205, Y= 5, Z= 2453
[2024-03-17 22:41:21] [world] The Player <bagelz> has broke STONE at X= 1206, Y= 6, Z= 2453
[2024-03-17 22:41:21] [world] The Player <bagelz> has broke STONE at X= 1206, Y= 5, Z= 2453
[2024-03-17 22:41:22] [world] The Player <bagelz> has broke STONE at X= 1207, Y= 6, Z= 2453
[2024-03-17 22:41:23] [world_nether] The Player <Heinrich_Himmler> has broke LADDER at X= 12500, Y= 103, Z= -2
[2024-03-17 22:41:24] [world] The Player <bagelz> has broke STONE at X= 1207, Y= 5, Z= 2453
[2024-03-17 22:41:25] [world] The Player <TurtleDuck> has broke SPRUCE_FENCE_GATE at X= 3994, Y= 65, Z= -1840
[2024-03-17 22:41:25] [world] The Player <bagelz> has broke STONE at X= 1208, Y= 6, Z= 2453
[2024-03-17 22:41:26] [world] The Player <bagelz> has broke STONE at X= 1208, Y= 5, Z= 2453
[2024-03-17 22:41:26] [world] The Player <bagelz> has broke STONE at X= 1209, Y= 6, Z= 2453
[2024-03-17 22:41:27] [world] The Player <bagelz> has broke STONE at X= 1209, Y= 5, Z= 2453
[2024-03-17 22:41:28] [world] The Player <bagelz> has broke STONE at X= 1210, Y= 6, Z= 2453
[2024-03-17 22:41:29] [world] The Player <bagelz> has broke STONE at X= 1210, Y= 5, Z= 2453
[2024-03-17 22:41:29] [world] The Player <bagelz> has broke STONE at X= 1211, Y= 6, Z= 2453
[2024-03-17 22:41:30] [world] The Player <bagelz> has broke STONE at X= 1211, Y= 5, Z= 2453
[2024-03-17 22:41:31] [world] The Player <bagelz> has broke STONE at X= 1212, Y= 6, Z= 2453
[2024-03-17 22:41:31] [world] The Player <bagelz> has broke STONE at X= 1212, Y= 5, Z= 2453
[2024-03-17 22:41:32] [world] The Player <bagelz> has broke STONE at X= 1213, Y= 6, Z= 2453
[2024-03-17 22:41:33] [world] The Player <bagelz> has broke STONE at X= 1213, Y= 5, Z= 2453
[2024-03-17 22:41:33] [world] The Player <bagelz> has broke STONE at X= 1214, Y= 6, Z= 2453
[2024-03-17 22:41:34] [world] The Player <bagelz> has broke STONE at X= 1214, Y= 5, Z= 2453
[2024-03-17 22:41:35] [world] The Player <bagelz> has broke STONE at X= 1215, Y= 6, Z= 2453
[2024-03-17 22:41:36] [world] The Player <bagelz> has broke STONE at X= 1215, Y= 5, Z= 2453
[2024-03-17 22:41:36] [world] The Player <bagelz> has broke STONE at X= 1216, Y= 6, Z= 2453
[2024-03-17 22:41:37] [world] The Player <bagelz> has broke STONE at X= 1216, Y= 5, Z= 2453
[2024-03-17 22:41:38] [world] The Player <bagelz> has broke STONE at X= 1217, Y= 6, Z= 2453
[2024-03-17 22:41:38] [world] The Player <bagelz> has broke STONE at X= 1217, Y= 5, Z= 2453
[2024-03-17 22:41:39] [world] The Player <bagelz> has broke STONE at X= 1218, Y= 6, Z= 2453
[2024-03-17 22:41:40] [world] The Player <bagelz> has broke STONE at X= 1218, Y= 5, Z= 2453
[2024-03-17 22:41:41] [world] The Player <bagelz> has broke STONE at X= 1219, Y= 6, Z= 2453
[2024-03-17 22:41:41] [world] The Player <bagelz> has broke STONE at X= 1219, Y= 5, Z= 2453
[2024-03-17 22:41:42] [world] The Player <bagelz> has broke STONE at X= 1220, Y= 6, Z= 2453
[2024-03-17 22:41:43] [world] The Player <bagelz> has broke STONE at X= 1220, Y= 5, Z= 2453
[2024-03-17 22:41:43] [world] The Player <bagelz> has broke STONE at X= 1221, Y= 6, Z= 2453
[2024-03-17 22:41:44] [world] The Player <bagelz> has broke STONE at X= 1221, Y= 5, Z= 2453
[2024-03-17 22:41:45] [world] The Player <bagelz> has broke STONE at X= 1222, Y= 6, Z= 2453
[2024-03-17 22:41:45] [world] The Player <bagelz> has broke STONE at X= 1222, Y= 5, Z= 2453
[2024-03-17 22:41:46] [world] The Player <bagelz> has broke STONE at X= 1223, Y= 6, Z= 2453
[2024-03-17 22:41:47] [world] The Player <bagelz> has broke STONE at X= 1223, Y= 5, Z= 2453
[2024-03-17 22:41:48] [world] The Player <bagelz> has broke GLOWING_REDSTONE_ORE at X= 1224, Y= 6, Z= 2453
[2024-03-17 22:41:49] [world] The Player <bagelz> has broke STONE at X= 1224, Y= 5, Z= 2453
[2024-03-17 22:41:50] [world] The Player <bagelz> has broke STONE at X= 1225, Y= 6, Z= 2453
[2024-03-17 22:41:50] [world] The Player <bagelz> has broke STONE at X= 1225, Y= 5, Z= 2453
[2024-03-17 22:41:51] [world] The Player <bagelz> has broke STONE at X= 1226, Y= 6, Z= 2453
[2024-03-17 22:41:51] [world] The Player <TurtleDuck> has broke SPRUCE_FENCE_GATE at X= 3998, Y= 65, Z= -1840
[2024-03-17 22:41:52] [world] The Player <bagelz> has broke STONE at X= 1226, Y= 5, Z= 2453
[2024-03-17 22:41:52] [world] The Player <bagelz> has broke STONE at X= 1227, Y= 6, Z= 2453
[2024-03-17 22:41:53] [world] The Player <bagelz> has broke STONE at X= 1227, Y= 5, Z= 2453
[2024-03-17 22:41:54] [world] The Player <bagelz> has broke STONE at X= 1228, Y= 6, Z= 2453
[2024-03-17 22:41:54] [world] The Player <bagelz> has broke STONE at X= 1228, Y= 5, Z= 2453
[2024-03-17 22:41:55] [world] The Player <bagelz> has broke STONE at X= 1229, Y= 6, Z= 2453
[2024-03-17 22:41:55] [world] The Player <TurtleDuck> has broke SPRUCE_FENCE at X= 3999, Y= 65, Z= -1840
[2024-03-17 22:41:56] [world] The Player <bagelz> has broke STONE at X= 1229, Y= 5, Z= 2453
[2024-03-17 22:41:57] [world] The Player <bagelz> has broke STONE at X= 1230, Y= 6, Z= 2453
[2024-03-17 22:41:57] [world] The Player <bagelz> has broke STONE at X= 1230, Y= 5, Z= 2453
[2024-03-17 22:41:58] [world] The Player <bagelz> has broke STONE at X= 1231, Y= 6, Z= 2453
[2024-03-17 22:41:59] [world] The Player <bagelz> has broke STONE at X= 1231, Y= 5, Z= 2453
[2024-03-17 22:41:59] [world] The Player <bagelz> has broke STONE at X= 1232, Y= 6, Z= 2453
[2024-03-17 22:42:00] [world] The Player <bagelz> has broke STONE at X= 1232, Y= 5, Z= 2453
[2024-03-17 22:42:01] [world] The Player <bagelz> has broke STONE at X= 1233, Y= 6, Z= 2453
[2024-03-17 22:42:01] [world] The Player <Tester> has broke STONE at X= -10191, Y= 65, Z= 4122
