[2024-03-18 01:30:14] [world] The Player <NezukoChan> has broke DIRT at X= 100004, Y= 12, Z= 60
[2024-03-18 01:35:41] [world_the_end] The Player <Tester> has broke ENDER_STONE at X= -42, Y= 65, Z= -7
[2024-03-18 01:35:42] [world_the_end] The Player <Tester> has broke ENDER_STONE at X= -43, Y= 65, Z= -8
[2024-03-18 01:35:42] [world_the_end] The Player <Tester> has broke ENDER_STONE at X= -43, Y= 65, Z= -9
[2024-03-18 01:35:43] [world_the_end] The Player <Tester> has broke ENDER_STONE at X= -44, Y= 65, Z= -6
[2024-03-18 01:35:43] [world_the_end] The Player <Tester> has broke ENDER_STONE at X= -44, Y= 65, Z= -7
[2024-03-18 01:35:44] [world_the_end] The Player <Tester> has broke ENDER_STONE at X= -44, Y= 65, Z= -8
[2024-03-18 01:35:44] [world_the_end] The Player <Tester> has broke ENDER_STONE at X= -44, Y= 65, Z= -9
[2024-03-18 01:35:46] [world_the_end] The Player <Tester> has broke ENDER_STONE at X= -43, Y= 65, Z= -10
[2024-03-18 01:35:47] [world_the_end] The Player <Tester> has broke ENDER_STONE at X= -42, Y= 65, Z= -9
[2024-03-18 01:35:47] [world_the_end] The Player <Tester> has broke ENDER_STONE at X= -42, Y= 65, Z= -10
[2024-03-18 01:35:50] [world_the_end] The Player <Tester> has broke ENDER_STONE at X= -43, Y= 66, Z= -10
[2024-03-18 01:35:50] [world_the_end] The Player <Tester> has broke ENDER_STONE at X= -41, Y= 65, Z= -10
[2024-03-18 10:35:37] [world] The Player <sharky> has broke SANDSTONE at X= -526, Y= 71, Z= -456
[2024-03-18 10:35:37] [world] The Player <sharky> has broke SANDSTONE at X= -527, Y= 71, Z= -456
[2024-03-18 10:35:38] [world] The Player <sharky> has broke SANDSTONE at X= -527, Y= 70, Z= -456
[2024-03-18 10:35:38] [world] The Player <sharky> has broke SANDSTONE at X= -528, Y= 70, Z= -456
[2024-03-18 10:35:39] [world] The Player <sharky> has broke SANDSTONE at X= -529, Y= 70, Z= -456
[2024-03-18 10:35:39] [world] The Player <sharky> has broke SANDSTONE at X= -528, Y= 71, Z= -456
[2024-03-18 10:35:40] [world] The Player <sharky> has broke SANDSTONE at X= -529, Y= 71, Z= -456
[2024-03-18 10:35:41] [world] The Player <sharky> has broke SANDSTONE at X= -530, Y= 70, Z= -456
[2024-03-18 10:35:43] [world] The Player <sharky> has broke SANDSTONE at X= -526, Y= 70, Z= -456
[2024-03-18 10:35:47] [world] The Player <sharky> has broke SANDSTONE at X= -529, Y= 71, Z= -457
[2024-03-18 10:35:48] [world] The Player <sharky> has broke SANDSTONE at X= -530, Y= 71, Z= -457
[2024-03-18 10:35:48] [world] The Player <sharky> has broke SANDSTONE at X= -530, Y= 71, Z= -458
[2024-03-18 10:35:49] [world] The Player <sharky> has broke SANDSTONE at X= -530, Y= 70, Z= -458
[2024-03-18 11:05:53] [world] The Player <qwerty> has broke SAND at X= -492, Y= 72, Z= -490
[2024-03-18 11:06:03] [world] The Player <qwerty> has broke STEP at X= -492, Y= 72, Z= -491
[2024-03-18 11:06:03] [world] The Player <qwerty> has broke SAND at X= -492, Y= 71, Z= -491
[2024-03-18 11:12:33] [world] The Player <Rip_Dogwater> has broke LONG_GRASS at X= -642, Y= 68, Z= 488
[2024-03-18 11:12:52] [world] The Player <Rip_Dogwater> has broke LONG_GRASS at X= -649, Y= 72, Z= 541
[2024-03-18 11:12:52] [world] The Player <Rip_Dogwater> has broke LONG_GRASS at X= -649, Y= 72, Z= 542
[2024-03-18 11:15:24] [world] The Player <Rip_Dogwater> has broke DOUBLE_PLANT at X= -673, Y= 72, Z= 359
[2024-03-18 11:15:45] [world] The Player <qwerty> has broke NETHER_WARTS at X= -496, Y= 77, Z= -479
[2024-03-18 11:15:54] [world] The Player <qwerty> has broke NETHER_WARTS at X= -499, Y= 77, Z= -479
[2024-03-18 11:18:12] [world] The Player <sharky> has broke SAND at X= -509, Y= 92, Z= -466
[2024-03-18 11:18:12] [world] The Player <sharky> has broke SAND at X= -509, Y= 91, Z= -466
[2024-03-18 11:18:13] [world] The Player <sharky> has broke SAND at X= -509, Y= 90, Z= -466
[2024-03-18 11:18:13] [world] The Player <sharky> has broke SAND at X= -509, Y= 89, Z= -466
[2024-03-18 11:18:16] [world] The Player <sharky> has broke SANDSTONE at X= -509, Y= 88, Z= -466
[2024-03-18 11:18:17] [world] The Player <sharky> has broke SANDSTONE at X= -509, Y= 87, Z= -466
[2024-03-18 11:18:17] [world] The Player <sharky> has broke SANDSTONE at X= -509, Y= 86, Z= -466
[2024-03-18 11:18:18] [world] The Player <sharky> has broke SANDSTONE at X= -509, Y= 85, Z= -466
[2024-03-18 11:18:18] [world] The Player <sharky> has broke SANDSTONE at X= -509, Y= 84, Z= -466
[2024-03-18 11:18:19] [world] The Player <sharky> has broke SANDSTONE at X= -509, Y= 83, Z= -466
[2024-03-18 11:18:19] [world] The Player <sharky> has broke SANDSTONE at X= -509, Y= 82, Z= -466
[2024-03-18 11:18:20] [world] The Player <sharky> has broke SANDSTONE at X= -509, Y= 81, Z= -466
[2024-03-18 11:18:21] [world] The Player <sharky> has broke SANDSTONE at X= -509, Y= 80, Z= -466
[2024-03-18 11:18:21] [world] The Player <sharky> has broke SANDSTONE at X= -509, Y= 79, Z= -466
[2024-03-18 11:18:22] [world] The Player <sharky> has broke SANDSTONE at X= -509, Y= 78, Z= -466
[2024-03-18 11:18:22] [world] The Player <sharky> has broke SANDSTONE at X= -509, Y= 77, Z= -466
[2024-03-18 11:18:23] [world] The Player <sharky> has broke SANDSTONE at X= -509, Y= 76, Z= -466
[2024-03-18 11:18:23] [world] The Player <sharky> has broke SANDSTONE at X= -509, Y= 75, Z= -466
[2024-03-18 11:18:24] [world] The Player <sharky> has broke SANDSTONE at X= -509, Y= 74, Z= -466
[2024-03-18 11:18:24] [world] The Player <sharky> has broke SANDSTONE at X= -509, Y= 73, Z= -466
[2024-03-18 11:18:25] [world] The Player <sharky> has broke SANDSTONE at X= -509, Y= 69, Z= -466
[2024-03-18 11:19:14] [world] The Player <Rip_Dogwater> has broke LONG_GRASS at X= -712, Y= 66, Z= 168
[2024-03-18 11:19:14] [world] The Player <Rip_Dogwater> has broke LONG_GRASS at X= -709, Y= 65, Z= 167
[2024-03-18 11:19:14] [world] The Player <Rip_Dogwater> has broke LONG_GRASS at X= -707, Y= 65, Z= 166
[2024-03-18 11:20:28] [world] The Player <BigDickRandy> has broke OBSIDIAN at X= -769, Y= 10, Z= 341
[2024-03-18 11:20:31] [world] The Player <BigDickRandy> has broke OBSIDIAN at X= -768, Y= 10, Z= 341
[2024-03-18 11:20:34] [world] The Player <BigDickRandy> has broke OBSIDIAN at X= -768, Y= 10, Z= 340
[2024-03-18 11:20:39] [world] The Player <BigDickRandy> has broke OBSIDIAN at X= -768, Y= 10, Z= 342
[2024-03-18 11:20:45] [world] The Player <BigDickRandy> has broke OBSIDIAN at X= -769, Y= 10, Z= 342
[2024-03-18 11:20:52] [world] The Player <BigDickRandy> has broke OBSIDIAN at X= -770, Y= 10, Z= 342
[2024-03-18 11:21:08] [world] The Player <BigDickRandy> has broke STONE at X= -783, Y= 13, Z= 347
[2024-03-18 11:21:09] [world] The Player <BigDickRandy> has broke STONE at X= -783, Y= 12, Z= 347
[2024-03-18 11:21:10] [world] The Player <BigDickRandy> has broke STONE at X= -783, Y= 11, Z= 347
[2024-03-18 11:21:11] [world] The Player <BigDickRandy> has broke STONE at X= -784, Y= 12, Z= 347
[2024-03-18 11:21:11] [world] The Player <BigDickRandy> has broke STONE at X= -784, Y= 11, Z= 347
[2024-03-18 11:21:12] [world] The Player <BigDickRandy> has broke STONE at X= -785, Y= 12, Z= 347
[2024-03-18 11:21:13] [world] The Player <BigDickRandy> has broke STONE at X= -785, Y= 11, Z= 347
[2024-03-18 11:21:13] [world] The Player <BigDickRandy> has broke STONE at X= -786, Y= 11, Z= 347
[2024-03-18 11:21:15] [world] The Player <BigDickRandy> has broke STONE at X= -786, Y= 12, Z= 347
[2024-03-18 11:21:15] [world] The Player <BigDickRandy> has broke STONE at X= -787, Y= 11, Z= 347
[2024-03-18 11:21:16] [world] The Player <BigDickRandy> has broke STONE at X= -787, Y= 10, Z= 347
[2024-03-18 11:21:16] [world] The Player <BigDickRandy> has broke STONE at X= -788, Y= 11, Z= 347
[2024-03-18 11:21:17] [world] The Player <BigDickRandy> has broke STONE at X= -786, Y= 12, Z= 348
[2024-03-18 11:21:21] [world] The Player <BigDickRandy> has broke STONE at X= -787, Y= 12, Z= 347
[2024-03-18 11:21:21] [world] The Player <BigDickRandy> has broke STONE at X= -788, Y= 12, Z= 347
[2024-03-18 11:21:21] [world] The Player <BigDickRandy> has broke STONE at X= -789, Y= 11, Z= 347
[2024-03-18 11:21:22] [world] The Player <BigDickRandy> has broke STONE at X= -790, Y= 11, Z= 347
[2024-03-18 11:21:22] [world] The Player <BigDickRandy> has broke STONE at X= -789, Y= 12, Z= 347
[2024-03-18 11:21:23] [world] The Player <BigDickRandy> has broke STONE at X= -791, Y= 11, Z= 347
[2024-03-18 11:21:23] [world] The Player <BigDickRandy> has broke STONE at X= -792, Y= 11, Z= 347
[2024-03-18 11:21:24] [world] The Player <BigDickRandy> has broke STONE at X= -790, Y= 12, Z= 347
[2024-03-18 11:21:25] [world] The Player <BigDickRandy> has broke STONE at X= -791, Y= 12, Z= 347
[2024-03-18 11:21:25] [world] The Player <BigDickRandy> has broke STONE at X= -793, Y= 11, Z= 347
[2024-03-18 11:21:26] [world] The Player <BigDickRandy> has broke STONE at X= -794, Y= 11, Z= 347
[2024-03-18 11:21:26] [world] The Player <BigDickRandy> has broke STONE at X= -792, Y= 12, Z= 347
[2024-03-18 11:21:27] [world] The Player <BigDickRandy> has broke STONE at X= -795, Y= 11, Z= 347
[2024-03-18 11:21:27] [world] The Player <BigDickRandy> has broke STONE at X= -793, Y= 12, Z= 347
[2024-03-18 11:21:27] [world] The Player <BigDickRandy> has broke STONE at X= -796, Y= 11, Z= 347
[2024-03-18 11:21:28] [world] The Player <BigDickRandy> has broke STONE at X= -794, Y= 12, Z= 347
[2024-03-18 11:21:28] [world] The Player <BigDickRandy> has broke STONE at X= -797, Y= 11, Z= 347
[2024-03-18 11:21:29] [world] The Player <BigDickRandy> has broke STONE at X= -795, Y= 12, Z= 347
[2024-03-18 11:21:29] [world] The Player <BigDickRandy> has broke STONE at X= -798, Y= 11, Z= 347
[2024-03-18 11:21:29] [world] The Player <BigDickRandy> has broke STONE at X= -796, Y= 12, Z= 347
[2024-03-18 11:21:30] [world] The Player <BigDickRandy> has broke STONE at X= -799, Y= 11, Z= 347
[2024-03-18 11:21:40] [world] The Player <BigDickRandy> has broke STONE at X= -797, Y= 12, Z= 347
[2024-03-18 11:21:41] [world] The Player <BigDickRandy> has broke STONE at X= -798, Y= 12, Z= 347
[2024-03-18 11:21:41] [world] The Player <BigDickRandy> has broke STONE at X= -800, Y= 11, Z= 347
[2024-03-18 11:21:46] [world] The Player <BigDickRandy> has broke STONE at X= -799, Y= 12, Z= 347
[2024-03-18 11:21:54] [world] The Player <BigDickRandy> has broke STONE at X= -800, Y= 12, Z= 347
[2024-03-18 11:21:55] [world] The Player <BigDickRandy> has broke STONE at X= -801, Y= 11, Z= 347
[2024-03-18 11:21:55] [world] The Player <BigDickRandy> has broke STONE at X= -802, Y= 11, Z= 347
[2024-03-18 11:21:56] [world] The Player <BigDickRandy> has broke STONE at X= -801, Y= 12, Z= 347
[2024-03-18 11:21:57] [world] The Player <BigDickRandy> has broke STONE at X= -802, Y= 12, Z= 347
[2024-03-18 11:21:57] [world] The Player <BigDickRandy> has broke STONE at X= -803, Y= 12, Z= 347
[2024-03-18 11:21:59] [world] The Player <BigDickRandy> has broke DIRT at X= -803, Y= 11, Z= 347
[2024-03-18 11:22:00] [world] The Player <BigDickRandy> has broke STONE at X= -804, Y= 11, Z= 347
[2024-03-18 11:22:00] [world] The Player <BigDickRandy> has broke STONE at X= -805, Y= 11, Z= 347
[2024-03-18 11:22:01] [world] The Player <BigDickRandy> has broke STONE at X= -804, Y= 12, Z= 347
[2024-03-18 11:22:01] [world] The Player <BigDickRandy> has broke STONE at X= -806, Y= 11, Z= 347
[2024-03-18 11:22:01] [world] The Player <BigDickRandy> has broke STONE at X= -805, Y= 12, Z= 347
[2024-03-18 11:22:02] [world] The Player <BigDickRandy> has broke STONE at X= -807, Y= 11, Z= 347
[2024-03-18 11:22:02] [world] The Player <BigDickRandy> has broke STONE at X= -806, Y= 12, Z= 347
[2024-03-18 11:22:03] [world] The Player <BigDickRandy> has broke STONE at X= -808, Y= 11, Z= 347
[2024-03-18 11:22:03] [world] The Player <BigDickRandy> has broke STONE at X= -807, Y= 12, Z= 347
[2024-03-18 11:22:04] [world] The Player <BigDickRandy> has broke STONE at X= -808, Y= 12, Z= 347
[2024-03-18 11:22:04] [world] The Player <BigDickRandy> has broke STONE at X= -809, Y= 12, Z= 347
[2024-03-18 11:22:05] [world] The Player <BigDickRandy> has broke STONE at X= -809, Y= 11, Z= 347
[2024-03-18 11:22:05] [world] The Player <BigDickRandy> has broke STONE at X= -810, Y= 11, Z= 347
[2024-03-18 11:22:05] [world] The Player <BigDickRandy> has broke STONE at X= -811, Y= 11, Z= 347
[2024-03-18 11:22:06] [world] The Player <BigDickRandy> has broke STONE at X= -812, Y= 11, Z= 347
[2024-03-18 11:22:06] [world] The Player <BigDickRandy> has broke STONE at X= -810, Y= 12, Z= 347
[2024-03-18 11:22:07] [world] The Player <BigDickRandy> has broke STONE at X= -811, Y= 12, Z= 347
[2024-03-18 11:22:07] [world] The Player <BigDickRandy> has broke STONE at X= -813, Y= 11, Z= 347
[2024-03-18 11:22:08] [world] The Player <BigDickRandy> has broke STONE at X= -812, Y= 12, Z= 347
[2024-03-18 11:22:08] [world] The Player <BigDickRandy> has broke STONE at X= -814, Y= 11, Z= 347
[2024-03-18 11:22:09] [world] The Player <BigDickRandy> has broke STONE at X= -813, Y= 12, Z= 347
[2024-03-18 11:22:09] [world] The Player <BigDickRandy> has broke STONE at X= -814, Y= 12, Z= 347
[2024-03-18 11:22:09] [world] The Player <BigDickRandy> has broke STONE at X= -816, Y= 11, Z= 347
[2024-03-18 11:22:16] [world] The Player <BigDickRandy> has broke GOLD_ORE at X= -816, Y= 12, Z= 347
[2024-03-18 11:22:20] [world] The Player <BigDickRandy> has broke GOLD_ORE at X= -816, Y= 11, Z= 348
[2024-03-18 11:22:21] [world] The Player <BigDickRandy> has broke GOLD_ORE at X= -816, Y= 12, Z= 348
[2024-03-18 11:22:23] [world] The Player <BigDickRandy> has broke GOLD_ORE at X= -817, Y= 12, Z= 347
[2024-03-18 11:22:23] [world] The Player <BigDickRandy> has broke GOLD_ORE at X= -817, Y= 12, Z= 348
[2024-03-18 11:22:31] [world] The Player <BigDickRandy> has broke GOLD_ORE at X= -817, Y= 13, Z= 347
[2024-03-18 11:22:56] [world] The Player <sharky> has broke SANDSTONE at X= -522, Y= 70, Z= -467
[2024-03-18 11:22:56] [world] The Player <sharky> has broke SANDSTONE at X= -523, Y= 70, Z= -467
[2024-03-18 11:22:57] [world] The Player <sharky> has broke SANDSTONE at X= -524, Y= 70, Z= -467
[2024-03-18 11:22:57] [world] The Player <sharky> has broke SANDSTONE at X= -523, Y= 71, Z= -466
[2024-03-18 11:22:57] [world] The Player <sharky> has broke SANDSTONE at X= -522, Y= 70, Z= -466
[2024-03-18 11:22:58] [world] The Player <sharky> has broke SANDSTONE at X= -522, Y= 70, Z= -465
[2024-03-18 11:22:58] [world] The Player <sharky> has broke SANDSTONE at X= -523, Y= 70, Z= -465
[2024-03-18 11:22:59] [world] The Player <sharky> has broke SANDSTONE at X= -523, Y= 71, Z= -465
[2024-03-18 11:23:00] [world] The Player <sharky> has broke SANDSTONE at X= -523, Y= 72, Z= -466
[2024-03-18 11:23:00] [world] The Player <sharky> has broke SANDSTONE at X= -523, Y= 72, Z= -465
[2024-03-18 11:23:01] [world] The Player <sharky> has broke SANDSTONE at X= -524, Y= 72, Z= -466
[2024-03-18 11:23:02] [world] The Player <sharky> has broke SANDSTONE at X= -523, Y= 72, Z= -467
[2024-03-18 11:23:02] [world] The Player <sharky> has broke SANDSTONE at X= -523, Y= 71, Z= -467
[2024-03-18 11:23:03] [world] The Player <sharky> has broke SANDSTONE at X= -523, Y= 70, Z= -466
[2024-03-18 11:23:04] [world] The Player <sharky> has broke SANDSTONE at X= -524, Y= 70, Z= -466
[2024-03-18 11:23:04] [world] The Player <sharky> has broke SANDSTONE at X= -524, Y= 71, Z= -466
[2024-03-18 11:23:05] [world] The Player <sharky> has broke SANDSTONE at X= -524, Y= 71, Z= -467
[2024-03-18 11:23:05] [world] The Player <sharky> has broke SANDSTONE at X= -524, Y= 72, Z= -467
[2024-03-18 11:23:07] [world] The Player <sharky> has broke SANDSTONE at X= -524, Y= 72, Z= -465
[2024-03-18 11:23:07] [world] The Player <sharky> has broke SANDSTONE at X= -524, Y= 71, Z= -465
[2024-03-18 11:23:07] [world] The Player <sharky> has broke SANDSTONE at X= -524, Y= 70, Z= -465
[2024-03-18 11:23:08] [world] The Player <sharky> has broke SANDSTONE at X= -525, Y= 71, Z= -465
[2024-03-18 11:23:09] [world] The Player <sharky> has broke SANDSTONE at X= -525, Y= 70, Z= -465
[2024-03-18 11:23:09] [world] The Player <sharky> has broke SANDSTONE at X= -525, Y= 70, Z= -466
[2024-03-18 11:23:10] [world] The Player <sharky> has broke SANDSTONE at X= -525, Y= 71, Z= -466
[2024-03-18 11:23:11] [world] The Player <sharky> has broke SANDSTONE at X= -525, Y= 71, Z= -467
[2024-03-18 11:23:11] [world] The Player <sharky> has broke SANDSTONE at X= -525, Y= 70, Z= -467
[2024-03-18 11:23:12] [world] The Player <sharky> has broke SANDSTONE at X= -526, Y= 70, Z= -466
[2024-03-18 11:23:13] [world] The Player <sharky> has broke SANDSTONE at X= -526, Y= 71, Z= -466
[2024-03-18 11:23:13] [world] The Player <sharky> has broke SANDSTONE at X= -526, Y= 71, Z= -465
[2024-03-18 11:23:14] [world] The Player <sharky> has broke SANDSTONE at X= -526, Y= 70, Z= -465
[2024-03-18 11:23:14] [world] The Player <sharky> has broke SANDSTONE at X= -525, Y= 70, Z= -468
[2024-03-18 11:23:15] [world] The Player <sharky> has broke SANDSTONE at X= -526, Y= 70, Z= -467
[2024-03-18 11:23:15] [world] The Player <sharky> has broke SANDSTONE at X= -526, Y= 71, Z= -467
[2024-03-18 11:23:17] [world] The Player <sharky> has broke SANDSTONE at X= -525, Y= 72, Z= -466
[2024-03-18 11:23:26] [world] The Player <sharky> has broke SANDSTONE at X= -524, Y= 70, Z= -467
[2024-03-18 11:23:30] [world] The Player <sharky> has broke SANDSTONE at X= -525, Y= 72, Z= -467
[2024-03-18 11:23:31] [world] The Player <sharky> has broke SANDSTONE at X= -525, Y= 72, Z= -465
[2024-03-18 11:23:32] [world] The Player <sharky> has broke SANDSTONE at X= -526, Y= 72, Z= -465
[2024-03-18 11:23:32] [world] The Player <sharky> has broke SANDSTONE at X= -526, Y= 72, Z= -466
[2024-03-18 11:23:33] [world] The Player <sharky> has broke SANDSTONE at X= -527, Y= 72, Z= -466
[2024-03-18 11:23:33] [world] The Player <sharky> has broke SANDSTONE at X= -526, Y= 72, Z= -467
[2024-03-18 11:23:34] [world] The Player <sharky> has broke SANDSTONE at X= -527, Y= 71, Z= -467
[2024-03-18 11:23:35] [world] The Player <sharky> has broke SANDSTONE at X= -527, Y= 71, Z= -466
[2024-03-18 11:23:35] [world] The Player <sharky> has broke SANDSTONE at X= -528, Y= 71, Z= -466
[2024-03-18 11:23:38] [world] The Player <sharky> has broke SANDSTONE at X= -527, Y= 71, Z= -465
[2024-03-18 11:23:38] [world] The Player <sharky> has broke SANDSTONE at X= -527, Y= 72, Z= -465
[2024-03-18 11:23:39] [world] The Player <sharky> has broke SANDSTONE at X= -528, Y= 71, Z= -465
[2024-03-18 11:23:39] [world] The Player <sharky> has broke SANDSTONE at X= -528, Y= 72, Z= -466
[2024-03-18 11:23:40] [world] The Player <sharky> has broke SANDSTONE at X= -528, Y= 72, Z= -465
[2024-03-18 11:23:41] [world] The Player <sharky> has broke SANDSTONE at X= -527, Y= 70, Z= -465
[2024-03-18 11:23:41] [world] The Player <sharky> has broke SANDSTONE at X= -527, Y= 70, Z= -466
[2024-03-18 11:23:42] [world] The Player <sharky> has broke SANDSTONE at X= -528, Y= 70, Z= -466
[2024-03-18 11:23:42] [world] The Player <sharky> has broke SANDSTONE at X= -528, Y= 70, Z= -465
[2024-03-18 11:23:43] [world] The Player <sharky> has broke SANDSTONE at X= -527, Y= 70, Z= -467
[2024-03-18 11:23:44] [world] The Player <sharky> has broke SANDSTONE at X= -528, Y= 71, Z= -467
[2024-03-18 11:23:44] [world] The Player <sharky> has broke SANDSTONE at X= -527, Y= 72, Z= -467
[2024-03-18 11:23:45] [world] The Player <sharky> has broke SANDSTONE at X= -528, Y= 72, Z= -467
[2024-03-18 11:23:45] [world] The Player <sharky> has broke SANDSTONE at X= -528, Y= 70, Z= -467
[2024-03-18 11:23:46] [world] The Player <sharky> has broke SANDSTONE at X= -529, Y= 70, Z= -467
[2024-03-18 11:23:47] [world] The Player <sharky> has broke SANDSTONE at X= -529, Y= 70, Z= -465
[2024-03-18 11:23:48] [world] The Player <sharky> has broke SANDSTONE at X= -529, Y= 70, Z= -466
[2024-03-18 11:23:49] [world] The Player <sharky> has broke SANDSTONE at X= -529, Y= 71, Z= -465
[2024-03-18 11:23:50] [world] The Player <sharky> has broke SANDSTONE at X= -529, Y= 71, Z= -466
[2024-03-18 11:23:50] [world] The Player <sharky> has broke SANDSTONE at X= -529, Y= 71, Z= -467
[2024-03-18 11:23:51] [world] The Player <sharky> has broke SANDSTONE at X= -529, Y= 72, Z= -467
[2024-03-18 11:23:52] [world] The Player <sharky> has broke SANDSTONE at X= -529, Y= 72, Z= -466
[2024-03-18 11:23:52] [world] The Player <sharky> has broke SANDSTONE at X= -529, Y= 72, Z= -465
[2024-03-18 11:23:53] [world] The Player <sharky> has broke SANDSTONE at X= -530, Y= 71, Z= -465
[2024-03-18 11:23:53] [world] The Player <sharky> has broke SANDSTONE at X= -530, Y= 71, Z= -466
[2024-03-18 11:24:00] [world] The Player <sharky> has broke SANDSTONE at X= -530, Y= 72, Z= -465
[2024-03-18 11:24:01] [world] The Player <sharky> has broke SANDSTONE at X= -530, Y= 72, Z= -467
[2024-03-18 11:24:01] [world] The Player <sharky> has broke SANDSTONE at X= -530, Y= 72, Z= -466
[2024-03-18 11:24:02] [world] The Player <sharky> has broke SANDSTONE at X= -530, Y= 71, Z= -467
[2024-03-18 11:24:02] [world] The Player <sharky> has broke SANDSTONE at X= -530, Y= 70, Z= -467
[2024-03-18 11:24:03] [world] The Player <sharky> has broke SANDSTONE at X= -530, Y= 70, Z= -466
[2024-03-18 11:24:03] [world] The Player <sharky> has broke SANDSTONE at X= -530, Y= 70, Z= -465
[2024-03-18 11:24:04] [world] The Player <sharky> has broke SANDSTONE at X= -531, Y= 71, Z= -465
[2024-03-18 11:24:05] [world] The Player <sharky> has broke SANDSTONE at X= -531, Y= 72, Z= -465
[2024-03-18 11:24:05] [world] The Player <sharky> has broke SANDSTONE at X= -531, Y= 72, Z= -466
[2024-03-18 11:24:06] [world] The Player <sharky> has broke SANDSTONE at X= -531, Y= 71, Z= -466
[2024-03-18 11:24:07] [world] The Player <sharky> has broke SANDSTONE at X= -531, Y= 71, Z= -467
[2024-03-18 11:24:07] [world] The Player <sharky> has broke SANDSTONE at X= -531, Y= 72, Z= -467
[2024-03-18 11:24:08] [world] The Player <sharky> has broke SANDSTONE at X= -531, Y= 70, Z= -467
[2024-03-18 11:24:08] [world] The Player <sharky> has broke SANDSTONE at X= -531, Y= 70, Z= -466
[2024-03-18 11:24:09] [world] The Player <sharky> has broke SANDSTONE at X= -531, Y= 70, Z= -465
[2024-03-18 11:24:10] [world] The Player <sharky> has broke SANDSTONE at X= -532, Y= 71, Z= -465
[2024-03-18 11:24:11] [world] The Player <sharky> has broke SANDSTONE at X= -532, Y= 72, Z= -466
[2024-03-18 11:24:12] [world] The Player <sharky> has broke SANDSTONE at X= -532, Y= 71, Z= -466
[2024-03-18 11:24:12] [world] The Player <sharky> has broke SANDSTONE at X= -532, Y= 71, Z= -467
[2024-03-18 11:24:13] [world] The Player <sharky> has broke SANDSTONE at X= -532, Y= 72, Z= -467
[2024-03-18 11:24:13] [world] The Player <sharky> has broke SANDSTONE at X= -532, Y= 72, Z= -465
[2024-03-18 11:24:14] [world] The Player <sharky> has broke SANDSTONE at X= -531, Y= 73, Z= -465
[2024-03-18 11:24:14] [world] The Player <sharky> has broke SANDSTONE at X= -532, Y= 73, Z= -465
[2024-03-18 11:24:15] [world] The Player <sharky> has broke SANDSTONE at X= -531, Y= 73, Z= -466
[2024-03-18 11:24:16] [world] The Player <sharky> has broke SANDSTONE at X= -532, Y= 73, Z= -466
[2024-03-18 11:24:16] [world] The Player <sharky> has broke SANDSTONE at X= -532, Y= 73, Z= -467
