[2024-03-21 19:44:50] [world] The Player <Dave_TheCoolGuy> has broke LEAVES at X= -666, Y= 73, Z= 306
[2024-03-21 19:45:55] [world] The Player <Dave_TheCoolGuy> has broke LEAVES at X= -665, Y= 77, Z= 308
[2024-03-21 19:45:56] [world] The Player <Dave_TheCoolGuy> has broke LEAVES at X= -665, Y= 78, Z= 308
[2024-03-21 19:45:58] [world] The Player <hi_> has broke LEAVES at X= -1160, Y= 69, Z= -441
[2024-03-21 19:45:59] [world] The Player <Dave_TheCoolGuy> has broke LOG at X= -666, Y= 72, Z= 308
[2024-03-21 19:45:59] [world] The Player <Dave_TheCoolGuy> has broke LOG at X= -666, Y= 71, Z= 308
[2024-03-21 19:46:07] [world] The Player <hi_> has broke LEAVES at X= -1156, Y= 71, Z= -441
[2024-03-21 19:46:08] [world] The Player <hi_> has broke LEAVES at X= -1155, Y= 71, Z= -441
[2024-03-21 19:46:10] [world] The Player <Dave_TheCoolGuy> has broke SAPLING at X= -665, Y= 71, Z= 308
[2024-03-21 19:46:53] [world] The Player <Dave_TheCoolGuy> has broke BED_BLOCK at X= -689, Y= 75, Z= 304
[2024-03-21 19:47:12] [world] The Player <character> has broke LOG at X= -383, Y= 89, Z= -65
[2024-03-21 19:47:13] [world] The Player <character> has broke LOG at X= -383, Y= 88, Z= -65
[2024-03-21 19:47:14] [world] The Player <character> has broke LOG at X= -383, Y= 90, Z= -65
[2024-03-21 19:47:15] [world] The Player <character> has broke LOG at X= -383, Y= 91, Z= -65
[2024-03-21 19:47:16] [world] The Player <character> has broke LOG at X= -383, Y= 92, Z= -65
[2024-03-21 19:47:21] [world] The Player <Dave_TheCoolGuy> has broke BED_BLOCK at X= -689, Y= 75, Z= 304
[2024-03-21 19:47:24] [world] The Player <Dave_TheCoolGuy> has broke WALL_SIGN at X= -690, Y= 76, Z= 304
[2024-03-21 19:47:29] [world] The Player <character> has broke LEAVES at X= -383, Y= 93, Z= -65
[2024-03-21 19:47:30] [world] The Player <astronomy> has broke STEP at X= -1535, Y= 52, Z= -118
[2024-03-21 19:47:37] [world] The Player <astronomy> has broke STEP at X= -1535, Y= 52, Z= -117
[2024-03-21 19:50:57] [world] The Player <character> has broke STONE at X= -389, Y= 77, Z= -67
[2024-03-21 19:51:00] [world] The Player <character> has broke STONE at X= -389, Y= 77, Z= -68
[2024-03-21 19:51:02] [world] The Player <character> has broke STONE at X= -389, Y= 77, Z= -69
[2024-03-21 19:51:04] [world] The Player <character> has broke STONE at X= -389, Y= 77, Z= -70
[2024-03-21 19:51:04] [world] The Player <character> has broke STONE at X= -389, Y= 77, Z= -71
[2024-03-21 19:51:06] [world] The Player <character> has broke STONE at X= -388, Y= 77, Z= -67
[2024-03-21 19:51:07] [world] The Player <character> has broke STONE at X= -387, Y= 77, Z= -67
[2024-03-21 19:51:08] [world] The Player <character> has broke STONE at X= -386, Y= 77, Z= -67
[2024-03-21 19:51:08] [world] The Player <character> has broke STONE at X= -385, Y= 77, Z= -67
[2024-03-21 19:51:09] [world] The Player <character> has broke STONE at X= -384, Y= 77, Z= -67
[2024-03-21 19:51:10] [world] The Player <character> has broke STONE at X= -383, Y= 77, Z= -67
[2024-03-21 19:51:10] [world] The Player <character> has broke STONE at X= -382, Y= 77, Z= -67
[2024-03-21 19:51:11] [world] The Player <character> has broke STONE at X= -381, Y= 77, Z= -67
[2024-03-21 19:51:12] [world] The Player <character> has broke STONE at X= -380, Y= 77, Z= -67
[2024-03-21 19:51:14] [world] The Player <character> has broke STONE at X= -380, Y= 77, Z= -68
[2024-03-21 19:51:15] [world] The Player <character> has broke STONE at X= -380, Y= 77, Z= -69
[2024-03-21 19:51:15] [world] The Player <character> has broke STONE at X= -380, Y= 77, Z= -70
[2024-03-21 19:51:16] [world] The Player <character> has broke STONE at X= -380, Y= 77, Z= -71
[2024-03-21 19:51:18] [world] The Player <character> has broke STONE at X= -381, Y= 77, Z= -71
[2024-03-21 19:51:19] [world] The Player <character> has broke STONE at X= -382, Y= 77, Z= -71
[2024-03-21 19:51:20] [world] The Player <character> has broke STONE at X= -383, Y= 77, Z= -71
[2024-03-21 19:51:20] [world] The Player <character> has broke STONE at X= -384, Y= 77, Z= -71
[2024-03-21 19:51:21] [world] The Player <character> has broke STONE at X= -385, Y= 77, Z= -71
[2024-03-21 19:51:22] [world] The Player <character> has broke STONE at X= -386, Y= 77, Z= -71
[2024-03-21 19:51:22] [world] The Player <character> has broke STONE at X= -387, Y= 77, Z= -71
[2024-03-21 19:51:23] [world] The Player <character> has broke STONE at X= -388, Y= 77, Z= -71
[2024-03-21 19:51:25] [world] The Player <character> has broke STONE at X= -388, Y= 77, Z= -70
[2024-03-21 19:51:25] [world] The Player <character> has broke STONE at X= -388, Y= 77, Z= -69
[2024-03-21 19:51:26] [world] The Player <character> has broke STONE at X= -388, Y= 77, Z= -68
[2024-03-21 19:51:28] [world] The Player <character> has broke STONE at X= -387, Y= 77, Z= -68
[2024-03-21 19:51:28] [world] The Player <character> has broke STONE at X= -386, Y= 77, Z= -68
[2024-03-21 19:51:29] [world] The Player <character> has broke STONE at X= -385, Y= 77, Z= -68
[2024-03-21 19:51:30] [world] The Player <character> has broke STONE at X= -384, Y= 77, Z= -68
[2024-03-21 19:51:31] [world] The Player <character> has broke STONE at X= -383, Y= 77, Z= -68
[2024-03-21 19:51:31] [world] The Player <character> has broke STONE at X= -382, Y= 77, Z= -68
[2024-03-21 19:51:32] [world] The Player <character> has broke STONE at X= -381, Y= 77, Z= -68
[2024-03-21 19:51:36] [world] The Player <character> has broke STONE at X= -381, Y= 77, Z= -69
[2024-03-21 19:51:37] [world] The Player <character> has broke STONE at X= -381, Y= 77, Z= -70
[2024-03-21 19:51:37] [world] The Player <character> has broke STONE at X= -382, Y= 77, Z= -70
[2024-03-21 19:51:38] [world] The Player <character> has broke STONE at X= -382, Y= 77, Z= -69
[2024-03-21 19:51:39] [world] The Player <character> has broke STONE at X= -383, Y= 77, Z= -69
[2024-03-21 19:51:39] [world] The Player <character> has broke STONE at X= -383, Y= 77, Z= -70
[2024-03-21 19:51:40] [world] The Player <character> has broke STONE at X= -384, Y= 77, Z= -70
[2024-03-21 19:51:41] [world] The Player <character> has broke STONE at X= -384, Y= 77, Z= -69
[2024-03-21 19:51:41] [world] The Player <character> has broke STONE at X= -385, Y= 77, Z= -69
[2024-03-21 19:51:42] [world] The Player <character> has broke STONE at X= -385, Y= 77, Z= -70
[2024-03-21 19:51:43] [world] The Player <character> has broke STONE at X= -386, Y= 77, Z= -70
[2024-03-21 19:51:44] [world] The Player <character> has broke STONE at X= -386, Y= 77, Z= -69
[2024-03-21 19:51:45] [world] The Player <character> has broke STONE at X= -387, Y= 77, Z= -69
[2024-03-21 19:51:46] [world] The Player <character> has broke STONE at X= -387, Y= 77, Z= -70
[2024-03-21 19:51:56] [world] The Player <Mudkips_Rule> has broke STONE at X= -1155, Y= 65, Z= -442
[2024-03-21 19:51:56] [world] The Player <Mudkips_Rule> has broke STONE at X= -1155, Y= 64, Z= -442
[2024-03-21 19:51:58] [world] The Player <Mudkips_Rule> has broke STONE at X= -1155, Y= 63, Z= -442
[2024-03-21 19:51:59] [world] The Player <Mudkips_Rule> has broke STONE at X= -1156, Y= 64, Z= -442
[2024-03-21 19:51:59] [world] The Player <Mudkips_Rule> has broke STONE at X= -1156, Y= 63, Z= -442
[2024-03-21 19:52:00] [world] The Player <Mudkips_Rule> has broke STONE at X= -1156, Y= 62, Z= -442
[2024-03-21 19:52:00] [world] The Player <Mudkips_Rule> has broke STONE at X= -1157, Y= 63, Z= -442
[2024-03-21 19:52:01] [world] The Player <Mudkips_Rule> has broke STONE at X= -1157, Y= 62, Z= -442
[2024-03-21 19:52:01] [world] The Player <Mudkips_Rule> has broke STONE at X= -1157, Y= 61, Z= -442
[2024-03-21 19:52:01] [world] The Player <Mudkips_Rule> has broke STONE at X= -1158, Y= 62, Z= -442
[2024-03-21 19:52:02] [world] The Player <Mudkips_Rule> has broke STONE at X= -1158, Y= 61, Z= -442
[2024-03-21 19:52:02] [world] The Player <Mudkips_Rule> has broke STONE at X= -1158, Y= 60, Z= -442
[2024-03-21 19:52:03] [world] The Player <Mudkips_Rule> has broke STONE at X= -1159, Y= 61, Z= -442
[2024-03-21 19:52:03] [world] The Player <Mudkips_Rule> has broke STONE at X= -1159, Y= 60, Z= -442
[2024-03-21 19:52:04] [world] The Player <Mudkips_Rule> has broke STONE at X= -1159, Y= 59, Z= -442
[2024-03-21 19:52:04] [world] The Player <Mudkips_Rule> has broke STONE at X= -1160, Y= 60, Z= -442
[2024-03-21 19:52:04] [world] The Player <astronomy> has broke NOTE_BLOCK at X= 1802, Y= 38, Z= 286
[2024-03-21 19:52:04] [world] The Player <Mudkips_Rule> has broke STONE at X= -1160, Y= 59, Z= -442
[2024-03-21 19:52:05] [world] The Player <Mudkips_Rule> has broke STONE at X= -1160, Y= 58, Z= -442
[2024-03-21 19:52:05] [world] The Player <Mudkips_Rule> has broke STONE at X= -1161, Y= 59, Z= -442
[2024-03-21 19:52:06] [world] The Player <Mudkips_Rule> has broke STONE at X= -1161, Y= 58, Z= -442
[2024-03-21 19:52:06] [world] The Player <Mudkips_Rule> has broke STONE at X= -1161, Y= 57, Z= -442
[2024-03-21 19:52:06] [world] The Player <Dave_TheCoolGuy> has broke OBSIDIAN at X= -683, Y= 76, Z= 306
[2024-03-21 19:52:06] [world] The Player <Mudkips_Rule> has broke STONE at X= -1162, Y= 58, Z= -442
[2024-03-21 19:52:07] [world] The Player <Mudkips_Rule> has broke STONE at X= -1162, Y= 57, Z= -442
[2024-03-21 19:52:07] [world] The Player <Mudkips_Rule> has broke STONE at X= -1162, Y= 56, Z= -442
[2024-03-21 19:52:08] [world] The Player <Mudkips_Rule> has broke STONE at X= -1163, Y= 57, Z= -442
[2024-03-21 19:52:08] [world] The Player <Mudkips_Rule> has broke STONE at X= -1163, Y= 56, Z= -442
[2024-03-21 19:52:09] [world] The Player <Mudkips_Rule> has broke STONE at X= -1163, Y= 55, Z= -442
[2024-03-21 19:52:09] [world] The Player <Mudkips_Rule> has broke STONE at X= -1164, Y= 56, Z= -442
[2024-03-21 19:52:10] [world] The Player <Mudkips_Rule> has broke STONE at X= -1164, Y= 55, Z= -442
[2024-03-21 19:52:10] [world] The Player <Dave_TheCoolGuy> has broke OBSIDIAN at X= -682, Y= 76, Z= 306
[2024-03-21 19:52:10] [world] The Player <Mudkips_Rule> has broke STONE at X= -1164, Y= 54, Z= -442
[2024-03-21 19:52:11] [world] The Player <Mudkips_Rule> has broke STONE at X= -1165, Y= 55, Z= -442
[2024-03-21 19:52:11] [world] The Player <Mudkips_Rule> has broke STONE at X= -1165, Y= 54, Z= -442
[2024-03-21 19:52:11] [world] The Player <Mudkips_Rule> has broke STONE at X= -1165, Y= 53, Z= -442
[2024-03-21 19:52:13] [world] The Player <Dave_TheCoolGuy> has broke OBSIDIAN at X= -683, Y= 77, Z= 306
[2024-03-21 19:52:15] [world] The Player <Dave_TheCoolGuy> has broke OBSIDIAN at X= -682, Y= 77, Z= 306
[2024-03-21 19:52:21] [world] The Player <Dave_TheCoolGuy> has broke OBSIDIAN at X= -683, Y= 78, Z= 306
[2024-03-21 19:52:22] [world] The Player <Mudkips_Rule> has broke STONE at X= -1166, Y= 53, Z= -442
[2024-03-21 19:52:23] [world] The Player <Mudkips_Rule> has broke STONE at X= -1166, Y= 54, Z= -442
[2024-03-21 19:52:23] [world] The Player <Mudkips_Rule> has broke STONE at X= -1166, Y= 52, Z= -442
[2024-03-21 19:52:25] [world] The Player <Dave_TheCoolGuy> has broke OBSIDIAN at X= -681, Y= 77, Z= 306
[2024-03-21 19:52:26] [world] The Player <Mudkips_Rule> has broke STONE at X= -1167, Y= 53, Z= -442
[2024-03-21 19:52:56] [world] The Player <Mudkips_Rule> has broke STONE at X= -1167, Y= 52, Z= -442
[2024-03-21 19:52:57] [world] The Player <Mudkips_Rule> has broke STONE at X= -1167, Y= 51, Z= -442
[2024-03-21 19:52:58] [world] The Player <Mudkips_Rule> has broke STONE at X= -1168, Y= 51, Z= -442
[2024-03-21 19:52:58] [world] The Player <Mudkips_Rule> has broke STONE at X= -1168, Y= 52, Z= -442
[2024-03-21 19:52:58] [world] The Player <Mudkips_Rule> has broke STONE at X= -1168, Y= 50, Z= -442
[2024-03-21 19:52:59] [world] The Player <Mudkips_Rule> has broke STONE at X= -1169, Y= 50, Z= -442
[2024-03-21 19:52:59] [world] The Player <Mudkips_Rule> has broke STONE at X= -1169, Y= 51, Z= -442
[2024-03-21 19:53:00] [world] The Player <Mudkips_Rule> has broke STONE at X= -1169, Y= 49, Z= -442
[2024-03-21 19:53:01] [world] The Player <Mudkips_Rule> has broke STONE at X= -1169, Y= 50, Z= -441
[2024-03-21 19:53:01] [world] The Player <Mudkips_Rule> has broke STONE at X= -1169, Y= 49, Z= -441
[2024-03-21 19:53:01] [world] The Player <Dave_TheCoolGuy> has broke OBSIDIAN at X= -682, Y= 77, Z= 305
[2024-03-21 19:53:02] [world] The Player <Mudkips_Rule> has broke STONE at X= -1169, Y= 50, Z= -440
[2024-03-21 19:53:02] [world] The Player <Mudkips_Rule> has broke STONE at X= -1169, Y= 49, Z= -440
[2024-03-21 19:53:03] [world] The Player <Mudkips_Rule> has broke STONE at X= -1169, Y= 49, Z= -439
[2024-03-21 19:53:03] [world] The Player <Mudkips_Rule> has broke STONE at X= -1169, Y= 50, Z= -439
[2024-03-21 19:53:03] [world] The Player <Mudkips_Rule> has broke STONE at X= -1169, Y= 50, Z= -438
[2024-03-21 19:53:04] [world] The Player <Mudkips_Rule> has broke STONE at X= -1169, Y= 49, Z= -438
[2024-03-21 19:53:04] [world] The Player <Dave_TheCoolGuy> has broke OBSIDIAN at X= -683, Y= 77, Z= 305
[2024-03-21 19:53:04] [world] The Player <Mudkips_Rule> has broke STONE at X= -1169, Y= 49, Z= -437
[2024-03-21 19:53:05] [world] The Player <Mudkips_Rule> has broke STONE at X= -1169, Y= 50, Z= -437
[2024-03-21 19:53:05] [world] The Player <Mudkips_Rule> has broke STONE at X= -1169, Y= 50, Z= -436
[2024-03-21 19:53:05] [world] The Player <Mudkips_Rule> has broke STONE at X= -1169, Y= 49, Z= -436
[2024-03-21 19:53:06] [world] The Player <Mudkips_Rule> has broke STONE at X= -1169, Y= 50, Z= -435
[2024-03-21 19:53:06] [world] The Player <Mudkips_Rule> has broke STONE at X= -1169, Y= 49, Z= -435
[2024-03-21 19:53:07] [world] The Player <Dave_TheCoolGuy> has broke OBSIDIAN at X= -683, Y= 77, Z= 304
[2024-03-21 19:53:07] [world] The Player <Mudkips_Rule> has broke STONE at X= -1169, Y= 50, Z= -434
[2024-03-21 19:53:07] [world] The Player <Mudkips_Rule> has broke STONE at X= -1169, Y= 49, Z= -434
[2024-03-21 19:53:08] [world] The Player <Mudkips_Rule> has broke STONE at X= -1169, Y= 50, Z= -433
[2024-03-21 19:53:08] [world] The Player <Mudkips_Rule> has broke STONE at X= -1169, Y= 49, Z= -433
[2024-03-21 19:53:08] [world] The Player <Mudkips_Rule> has broke STONE at X= -1169, Y= 50, Z= -432
[2024-03-21 19:53:09] [world] The Player <Mudkips_Rule> has broke STONE at X= -1169, Y= 49, Z= -432
[2024-03-21 19:53:09] [world] The Player <Mudkips_Rule> has broke STONE at X= -1169, Y= 49, Z= -431
[2024-03-21 19:53:09] [world] The Player <Dave_TheCoolGuy> has broke OBSIDIAN at X= -683, Y= 76, Z= 305
[2024-03-21 19:53:10] [world] The Player <Mudkips_Rule> has broke STONE at X= -1169, Y= 49, Z= -430
[2024-03-21 19:53:10] [world] The Player <Mudkips_Rule> has broke STONE at X= -1169, Y= 50, Z= -431
[2024-03-21 19:53:11] [world] The Player <Mudkips_Rule> has broke STONE at X= -1169, Y= 49, Z= -429
[2024-03-21 19:53:11] [world] The Player <Mudkips_Rule> has broke STONE at X= -1169, Y= 50, Z= -430
[2024-03-21 19:53:11] [world] The Player <Char> has broke OBSIDIAN at X= -681, Y= 73, Z= 291
[2024-03-21 19:53:11] [world] The Player <Mudkips_Rule> has broke STONE at X= -1169, Y= 50, Z= -429
[2024-03-21 19:53:12] [world] The Player <Char> has broke OBSIDIAN at X= -681, Y= 72, Z= 291
[2024-03-21 19:53:12] [world] The Player <Mudkips_Rule> has broke STONE at X= -1169, Y= 50, Z= -428
[2024-03-21 19:53:12] [world] The Player <Char> has broke OBSIDIAN at X= -681, Y= 72, Z= 290
[2024-03-21 19:53:12] [world] The Player <Dave_TheCoolGuy> has broke OBSIDIAN at X= -683, Y= 76, Z= 304
[2024-03-21 19:53:12] [world] The Player <Mudkips_Rule> has broke STONE at X= -1169, Y= 49, Z= -428
[2024-03-21 19:53:12] [world] The Player <Char> has broke OBSIDIAN at X= -681, Y= 73, Z= 290
[2024-03-21 19:53:13] [world] The Player <Char> has broke OBSIDIAN at X= -680, Y= 72, Z= 290
[2024-03-21 19:53:13] [world] The Player <Mudkips_Rule> has broke STONE at X= -1169, Y= 50, Z= -427
[2024-03-21 19:53:13] [world] The Player <Char> has broke OBSIDIAN at X= -680, Y= 73, Z= 290
[2024-03-21 19:53:13] [world] The Player <Char> has broke OBSIDIAN at X= -679, Y= 72, Z= 290
[2024-03-21 19:53:13] [world] The Player <Mudkips_Rule> has broke STONE at X= -1169, Y= 49, Z= -427
[2024-03-21 19:53:13] [world] The Player <Char> has broke OBSIDIAN at X= -679, Y= 72, Z= 289
[2024-03-21 19:53:13] [world] The Player <Mudkips_Rule> has broke COAL_ORE at X= -1169, Y= 50, Z= -426
[2024-03-21 19:53:14] [world] The Player <Mudkips_Rule> has broke STONE at X= -1169, Y= 49, Z= -426
[2024-03-21 19:53:14] [world] The Player <Char> has broke OBSIDIAN at X= -681, Y= 73, Z= 289
[2024-03-21 19:53:14] [world] The Player <Mudkips_Rule> has broke COAL_ORE at X= -1169, Y= 50, Z= -425
[2024-03-21 19:53:15] [world] The Player <Char> has broke OBSIDIAN at X= -681, Y= 72, Z= 289
[2024-03-21 19:53:15] [world] The Player <Dave_TheCoolGuy> has broke OBSIDIAN at X= -683, Y= 78, Z= 305
[2024-03-21 19:53:15] [world] The Player <Mudkips_Rule> has broke STONE at X= -1169, Y= 49, Z= -425
[2024-03-21 19:53:15] [world] The Player <Mudkips_Rule> has broke STONE at X= -1169, Y= 50, Z= -424
[2024-03-21 19:53:15] [world] The Player <Char> has broke OBSIDIAN at X= -680, Y= 73, Z= 289
[2024-03-21 19:53:15] [world] The Player <Mudkips_Rule> has broke STONE at X= -1169, Y= 49, Z= -424
[2024-03-21 19:53:16] [world] The Player <Char> has broke OBSIDIAN at X= -680, Y= 72, Z= 289
[2024-03-21 19:53:16] [world] The Player <Mudkips_Rule> has broke STONE at X= -1169, Y= 50, Z= -423
[2024-03-21 19:53:16] [world] The Player <Mudkips_Rule> has broke STONE at X= -1169, Y= 49, Z= -423
[2024-03-21 19:53:17] [world] The Player <Char> has broke OBSIDIAN at X= -679, Y= 73, Z= 289
[2024-03-21 19:53:17] [world] The Player <Mudkips_Rule> has broke STONE at X= -1169, Y= 50, Z= -422
[2024-03-21 19:53:17] [world] The Player <Mudkips_Rule> has broke STONE at X= -1169, Y= 49, Z= -422
[2024-03-21 19:53:18] [world] The Player <Char> has broke OBSIDIAN at X= -679, Y= 73, Z= 290
[2024-03-21 19:53:18] [world] The Player <Mudkips_Rule> has broke STONE at X= -1170, Y= 50, Z= -422
[2024-03-21 19:53:18] [world] The Player <Mudkips_Rule> has broke STONE at X= -1170, Y= 49, Z= -422
[2024-03-21 19:53:19] [world] The Player <Mudkips_Rule> has broke STONE at X= -1170, Y= 50, Z= -423
[2024-03-21 19:53:19] [world] The Player <Char> has broke OBSIDIAN at X= -679, Y= 73, Z= 288
[2024-03-21 19:53:19] [world] The Player <Mudkips_Rule> has broke STONE at X= -1170, Y= 49, Z= -423
[2024-03-21 19:53:19] [world] The Player <Mudkips_Rule> has broke STONE at X= -1170, Y= 49, Z= -424
[2024-03-21 19:53:20] [world] The Player <Mudkips_Rule> has broke STONE at X= -1170, Y= 50, Z= -424
[2024-03-21 19:53:20] [world] The Player <Char> has broke OBSIDIAN at X= -679, Y= 72, Z= 288
[2024-03-21 19:53:20] [world] The Player <Mudkips_Rule> has broke COAL_ORE at X= -1170, Y= 50, Z= -425
[2024-03-21 19:53:21] [world] The Player <Mudkips_Rule> has broke STONE at X= -1170, Y= 49, Z= -425
[2024-03-21 19:53:21] [world] The Player <Mudkips_Rule> has broke COAL_ORE at X= -1170, Y= 50, Z= -426
[2024-03-21 19:53:22] [world] The Player <Mudkips_Rule> has broke STONE at X= -1170, Y= 49, Z= -426
[2024-03-21 19:53:22] [world] The Player <Mudkips_Rule> has broke COAL_ORE at X= -1170, Y= 50, Z= -427
[2024-03-21 19:53:23] [world] The Player <Mudkips_Rule> has broke STONE at X= -1170, Y= 49, Z= -427
[2024-03-21 19:53:23] [world] The Player <Char> has broke OBSIDIAN at X= -680, Y= 73, Z= 291
[2024-03-21 19:53:23] [world] The Player <Char> has broke OBSIDIAN at X= -680, Y= 73, Z= 292
[2024-03-21 19:53:23] [world] The Player <Mudkips_Rule> has broke STONE at X= -1170, Y= 50, Z= -428
[2024-03-21 19:53:23] [world] The Player <Char> has broke OBSIDIAN at X= -680, Y= 73, Z= 293
[2024-03-21 19:53:23] [world] The Player <Mudkips_Rule> has broke STONE at X= -1170, Y= 50, Z= -429
[2024-03-21 19:53:24] [world] The Player <Char> has broke OBSIDIAN at X= -680, Y= 73, Z= 294
[2024-03-21 19:53:24] [world] The Player <Mudkips_Rule> has broke STONE at X= -1170, Y= 50, Z= -430
[2024-03-21 19:53:24] [world] The Player <Char> has broke OBSIDIAN at X= -679, Y= 73, Z= 291
[2024-03-21 19:53:24] [world] The Player <Mudkips_Rule> has broke STONE at X= -1170, Y= 50, Z= -431
[2024-03-21 19:53:24] [world] The Player <Char> has broke OBSIDIAN at X= -679, Y= 73, Z= 292
[2024-03-21 19:53:25] [world] The Player <Mudkips_Rule> has broke STONE at X= -1170, Y= 50, Z= -432
[2024-03-21 19:53:25] [world] The Player <Char> has broke OBSIDIAN at X= -679, Y= 72, Z= 291
[2024-03-21 19:53:25] [world] The Player <Char> has broke OBSIDIAN at X= -680, Y= 72, Z= 291
[2024-03-21 19:53:25] [world] The Player <Mudkips_Rule> has broke STONE at X= -1170, Y= 49, Z= -428
[2024-03-21 19:53:26] [world] The Player <Mudkips_Rule> has broke STONE at X= -1170, Y= 49, Z= -429
[2024-03-21 19:53:26] [world] The Player <Char> has broke OBSIDIAN at X= -680, Y= 72, Z= 292
[2024-03-21 19:53:26] [world] The Player <Mudkips_Rule> has broke STONE at X= -1170, Y= 49, Z= -430
[2024-03-21 19:53:27] [world] The Player <Mudkips_Rule> has broke STONE at X= -1170, Y= 49, Z= -431
