[2024-03-27 13:40:17] [world] The Player <Milk_Frog> has broke DIRT at X= -577, Y= 67, Z= 277
[2024-03-27 13:42:52] [world] The Player <Milk_Frog> has broke OBSIDIAN at X= -570, Y= 67, Z= 278
[2024-03-27 13:42:53] [world] The Player <Milk_Frog> has broke OBSIDIAN at X= -569, Y= 67, Z= 278
[2024-03-27 13:42:53] [world] The Player <Milk_Frog> has broke OBSIDIAN at X= -567, Y= 67, Z= 278
[2024-03-27 13:42:54] [world] The Player <Milk_Frog> has broke OBSIDIAN at X= -568, Y= 67, Z= 278
[2024-03-27 13:42:55] [world] The Player <Milk_Frog> has broke OBSIDIAN at X= -566, Y= 67, Z= 278
[2024-03-27 13:42:55] [world] The Player <Milk_Frog> has broke OBSIDIAN at X= -565, Y= 67, Z= 278
[2024-03-27 13:42:56] [world] The Player <Milk_Frog> has broke OBSIDIAN at X= -564, Y= 67, Z= 278
[2024-03-27 13:42:56] [world] The Player <Milk_Frog> has broke OBSIDIAN at X= -563, Y= 67, Z= 278
[2024-03-27 13:42:57] [world] The Player <Milk_Frog> has broke OBSIDIAN at X= -562, Y= 67, Z= 278
[2024-03-27 13:42:57] [world] The Player <Milk_Frog> has broke OBSIDIAN at X= -561, Y= 67, Z= 278
[2024-03-27 13:42:58] [world] The Player <Milk_Frog> has broke OBSIDIAN at X= -560, Y= 67, Z= 278
[2024-03-27 13:42:58] [world] The Player <Milk_Frog> has broke OBSIDIAN at X= -559, Y= 67, Z= 278
[2024-03-27 13:42:59] [world] The Player <Milk_Frog> has broke OBSIDIAN at X= -558, Y= 67, Z= 278
[2024-03-27 13:42:59] [world] The Player <Milk_Frog> has broke OBSIDIAN at X= -557, Y= 67, Z= 278
[2024-03-27 13:43:00] [world] The Player <Milk_Frog> has broke OBSIDIAN at X= -556, Y= 67, Z= 278
[2024-03-27 13:43:00] [world] The Player <Milk_Frog> has broke OBSIDIAN at X= -555, Y= 67, Z= 278
[2024-03-27 13:43:01] [world] The Player <Milk_Frog> has broke OBSIDIAN at X= -554, Y= 67, Z= 278
[2024-03-27 13:43:01] [world] The Player <Milk_Frog> has broke OBSIDIAN at X= -553, Y= 67, Z= 278
[2024-03-27 13:43:05] [world] The Player <Char> has broke GRASS at X= -600, Y= 67, Z= 336
[2024-03-27 13:43:07] [world] The Player <Char> has broke GRASS at X= -599, Y= 67, Z= 336
[2024-03-27 13:43:07] [world] The Player <Char> has broke GRASS at X= -598, Y= 67, Z= 336
[2024-03-27 13:43:07] [world] The Player <Char> has broke GRASS at X= -597, Y= 67, Z= 336
[2024-03-27 13:43:08] [world] The Player <Char> has broke GRASS at X= -596, Y= 67, Z= 336
[2024-03-27 13:43:09] [world] The Player <Milk_Frog> has broke GRASS at X= -605, Y= 67, Z= 251
[2024-03-27 13:43:09] [world] The Player <Char> has broke GRASS at X= -596, Y= 67, Z= 337
[2024-03-27 13:43:09] [world] The Player <Char> has broke GRASS at X= -597, Y= 67, Z= 337
[2024-03-27 13:43:09] [world] The Player <Char> has broke GRASS at X= -598, Y= 67, Z= 337
[2024-03-27 13:43:10] [world] The Player <Milk_Frog> has broke GRASS at X= -606, Y= 67, Z= 251
[2024-03-27 13:43:10] [world] The Player <Char> has broke GRASS at X= -599, Y= 67, Z= 337
[2024-03-27 13:43:10] [world] The Player <Char> has broke GRASS at X= -600, Y= 67, Z= 337
[2024-03-27 13:43:10] [world] The Player <Milk_Frog> has broke GRASS at X= -607, Y= 67, Z= 251
[2024-03-27 13:43:17] [world] The Player <Milk_Frog> has broke GRASS at X= -606, Y= 68, Z= 251
[2024-03-27 13:43:18] [world] The Player <Milk_Frog> has broke GRASS at X= -607, Y= 67, Z= 250
[2024-03-27 13:43:18] [world] The Player <Milk_Frog> has broke GRASS at X= -606, Y= 67, Z= 250
[2024-03-27 13:43:19] [world] The Player <Milk_Frog> has broke GRASS at X= -605, Y= 67, Z= 250
[2024-03-27 13:43:22] [world] The Player <Milk_Frog> has broke GRASS at X= -604, Y= 67, Z= 250
[2024-03-27 13:43:22] [world] The Player <Milk_Frog> has broke GRASS at X= -603, Y= 67, Z= 250
[2024-03-27 13:43:23] [world] The Player <Milk_Frog> has broke GRASS at X= -602, Y= 67, Z= 250
[2024-03-27 13:43:23] [world] The Player <Milk_Frog> has broke GRASS at X= -601, Y= 67, Z= 250
[2024-03-27 13:43:24] [world] The Player <Milk_Frog> has broke GRASS at X= -600, Y= 67, Z= 250
[2024-03-27 13:43:24] [world] The Player <Milk_Frog> has broke LONG_GRASS at X= -599, Y= 68, Z= 250
[2024-03-27 13:43:25] [world] The Player <Milk_Frog> has broke GRASS at X= -599, Y= 67, Z= 250
[2024-03-27 13:43:25] [world] The Player <Milk_Frog> has broke LONG_GRASS at X= -598, Y= 68, Z= 250
[2024-03-27 13:43:26] [world] The Player <Milk_Frog> has broke GRASS at X= -598, Y= 67, Z= 250
[2024-03-27 13:43:26] [world] The Player <Milk_Frog> has broke GRASS at X= -597, Y= 67, Z= 250
[2024-03-27 13:43:29] [world] The Player <Milk_Frog> has broke GRASS at X= -608, Y= 67, Z= 250
[2024-03-27 13:43:29] [world] The Player <Milk_Frog> has broke GRASS at X= -609, Y= 67, Z= 250
[2024-03-27 13:43:30] [world] The Player <Milk_Frog> has broke LOG at X= -610, Y= 69, Z= 250
[2024-03-27 13:43:30] [world] The Player <Milk_Frog> has broke LOG at X= -610, Y= 68, Z= 250
[2024-03-27 13:43:31] [world] The Player <Milk_Frog> has broke LEAVES at X= -608, Y= 70, Z= 250
[2024-03-27 13:43:31] [world] The Player <Milk_Frog> has broke LEAVES at X= -609, Y= 70, Z= 250
[2024-03-27 13:43:36] [world] The Player <Milk_Frog> has broke LOG at X= -610, Y= 70, Z= 250
[2024-03-27 13:43:36] [world] The Player <Milk_Frog> has broke LOG at X= -610, Y= 71, Z= 250
[2024-03-27 13:43:36] [world] The Player <Milk_Frog> has broke LOG at X= -610, Y= 72, Z= 250
[2024-03-27 13:43:36] [world] The Player <Milk_Frog> has broke LOG at X= -610, Y= 73, Z= 250
[2024-03-27 13:43:36] [world] The Player <Milk_Frog> has broke LEAVES at X= -610, Y= 74, Z= 250
[2024-03-27 13:43:57] [world] The Player <Milk_Frog> has broke LEAVES at X= -609, Y= 70, Z= 253
[2024-03-27 13:43:57] [world] The Player <Milk_Frog> has broke LEAVES at X= -610, Y= 70, Z= 253
[2024-03-27 13:44:06] [world] The Player <Char> has broke GRASS at X= -600, Y= 67, Z= 339
[2024-03-27 13:44:07] [world] The Player <Char> has broke GRASS at X= -599, Y= 67, Z= 339
[2024-03-27 13:44:07] [world] The Player <Char> has broke GRASS at X= -598, Y= 67, Z= 339
[2024-03-27 13:44:07] [world] The Player <Char> has broke GRASS at X= -597, Y= 67, Z= 339
[2024-03-27 13:44:08] [world] The Player <Char> has broke GRASS at X= -596, Y= 67, Z= 339
[2024-03-27 13:44:08] [world] The Player <Char> has broke GRASS at X= -595, Y= 67, Z= 339
[2024-03-27 13:44:17] [world] The Player <Char> has broke GRASS at X= -597, Y= 67, Z= 340
[2024-03-27 13:44:18] [world] The Player <Char> has broke GRASS at X= -596, Y= 67, Z= 340
[2024-03-27 13:44:18] [world] The Player <Char> has broke GRASS at X= -596, Y= 67, Z= 341
[2024-03-27 13:44:19] [world] The Player <Char> has broke GRASS at X= -597, Y= 67, Z= 341
[2024-03-27 13:44:19] [world] The Player <Char> has broke GRASS at X= -596, Y= 67, Z= 342
[2024-03-27 13:44:19] [world] The Player <Char> has broke GRASS at X= -597, Y= 67, Z= 342
[2024-03-27 13:44:20] [world] The Player <Char> has broke GRASS at X= -598, Y= 67, Z= 340
[2024-03-27 13:44:20] [world] The Player <Char> has broke GRASS at X= -598, Y= 67, Z= 341
[2024-03-27 13:44:21] [world] The Player <Char> has broke GRASS at X= -598, Y= 67, Z= 342
[2024-03-27 13:44:21] [world] The Player <Char> has broke GRASS at X= -599, Y= 67, Z= 341
[2024-03-27 13:44:21] [world] The Player <Char> has broke GRASS at X= -599, Y= 67, Z= 340
[2024-03-27 13:44:22] [world] The Player <Char> has broke GRASS at X= -599, Y= 67, Z= 342
[2024-03-27 13:44:25] [world] The Player <Char> has broke GRASS at X= -600, Y= 67, Z= 340
[2024-03-27 13:44:25] [world] The Player <Char> has broke GRASS at X= -600, Y= 67, Z= 341
[2024-03-27 13:44:26] [world] The Player <Char> has broke GRASS at X= -600, Y= 67, Z= 342
[2024-03-27 13:44:28] [world] The Player <Milk_Frog> has broke LEAVES at X= -610, Y= 71, Z= 252
[2024-03-27 13:44:28] [world] The Player <Milk_Frog> has broke LEAVES at X= -611, Y= 71, Z= 252
[2024-03-27 13:44:29] [world] The Player <Milk_Frog> has broke LEAVES at X= -611, Y= 70, Z= 253
[2024-03-27 13:44:29] [world] The Player <Milk_Frog> has broke LEAVES at X= -611, Y= 70, Z= 252
[2024-03-27 13:44:29] [world] The Player <Milk_Frog> has broke LEAVES at X= -612, Y= 70, Z= 253
[2024-03-27 13:44:30] [world] The Player <Milk_Frog> has broke LEAVES at X= -611, Y= 70, Z= 251
[2024-03-27 13:44:30] [world] The Player <Milk_Frog> has broke LEAVES at X= -610, Y= 70, Z= 252
[2024-03-27 13:44:30] [world] The Player <Milk_Frog> has broke LEAVES at X= -610, Y= 70, Z= 251
[2024-03-27 13:44:31] [world] The Player <Milk_Frog> has broke LEAVES at X= -608, Y= 70, Z= 252
[2024-03-27 13:44:31] [world] The Player <Milk_Frog> has broke LEAVES at X= -609, Y= 71, Z= 251
[2024-03-27 13:44:32] [world] The Player <Milk_Frog> has broke LEAVES at X= -607, Y= 70, Z= 251
[2024-03-27 13:44:32] [world] The Player <Milk_Frog> has broke LEAVES at X= -607, Y= 70, Z= 250
[2024-03-27 13:44:32] [world] The Player <Milk_Frog> has broke LEAVES at X= -611, Y= 70, Z= 250
[2024-03-27 13:44:33] [world] The Player <Milk_Frog> has broke LEAVES at X= -609, Y= 70, Z= 252
[2024-03-27 13:44:33] [world] The Player <Milk_Frog> has broke LEAVES at X= -609, Y= 70, Z= 251
[2024-03-27 13:44:33] [world] The Player <Milk_Frog> has broke LEAVES at X= -609, Y= 70, Z= 249
[2024-03-27 13:44:34] [world] The Player <Milk_Frog> has broke LEAVES at X= -611, Y= 71, Z= 251
[2024-03-27 13:44:34] [world] The Player <Milk_Frog> has broke LEAVES at X= -612, Y= 71, Z= 251
[2024-03-27 13:44:34] [world] The Player <Milk_Frog> has broke LEAVES at X= -612, Y= 70, Z= 251
[2024-03-27 13:44:35] [world] The Player <Milk_Frog> has broke LEAVES at X= -613, Y= 70, Z= 251
[2024-03-27 13:44:35] [world] The Player <Milk_Frog> has broke LEAVES at X= -613, Y= 70, Z= 250
[2024-03-27 13:44:36] [world] The Player <Milk_Frog> has broke LEAVES at X= -612, Y= 71, Z= 250
[2024-03-27 13:44:36] [world] The Player <Milk_Frog> has broke LEAVES at X= -612, Y= 70, Z= 250
[2024-03-27 13:44:36] [world] The Player <Milk_Frog> has broke LEAVES at X= -612, Y= 70, Z= 249
[2024-03-27 13:44:37] [world] The Player <Milk_Frog> has broke LEAVES at X= -613, Y= 70, Z= 249
[2024-03-27 13:44:37] [world] The Player <Milk_Frog> has broke LEAVES at X= -611, Y= 70, Z= 249
[2024-03-27 13:44:37] [world] The Player <Milk_Frog> has broke LEAVES at X= -611, Y= 71, Z= 250
[2024-03-27 13:44:38] [world] The Player <Milk_Frog> has broke LEAVES at X= -611, Y= 72, Z= 250
[2024-03-27 13:44:38] [world] The Player <Milk_Frog> has broke LEAVES at X= -609, Y= 72, Z= 250
[2024-03-27 13:44:38] [world] The Player <Milk_Frog> has broke LEAVES at X= -610, Y= 71, Z= 251
[2024-03-27 13:44:39] [world] The Player <Milk_Frog> has broke LEAVES at X= -610, Y= 72, Z= 251
[2024-03-27 13:44:40] [world] The Player <Milk_Frog> has broke LEAVES at X= -608, Y= 71, Z= 250
[2024-03-27 13:44:41] [world] The Player <Milk_Frog> has broke LEAVES at X= -609, Y= 73, Z= 250
[2024-03-27 13:44:42] [world] The Player <Milk_Frog> has broke LEAVES at X= -609, Y= 71, Z= 248
[2024-03-27 13:44:42] [world] The Player <Milk_Frog> has broke LEAVES at X= -610, Y= 71, Z= 249
[2024-03-27 13:44:43] [world] The Player <Milk_Frog> has broke LEAVES at X= -611, Y= 71, Z= 248
[2024-03-27 13:44:43] [world] The Player <Milk_Frog> has broke LEAVES at X= -611, Y= 70, Z= 248
[2024-03-27 13:44:44] [world] The Player <Milk_Frog> has broke LEAVES at X= -612, Y= 70, Z= 247
[2024-03-27 13:44:51] [world] The Player <Milk_Frog> has broke LEAVES at X= -610, Y= 71, Z= 248
[2024-03-27 13:44:51] [world] The Player <Milk_Frog> has broke LEAVES at X= -608, Y= 70, Z= 249
[2024-03-27 13:44:52] [world] The Player <Milk_Frog> has broke LEAVES at X= -607, Y= 70, Z= 249
[2024-03-27 13:44:52] [world] The Player <Milk_Frog> has broke LEAVES at X= -608, Y= 71, Z= 249
[2024-03-27 13:44:53] [world] The Player <Milk_Frog> has broke LEAVES at X= -608, Y= 70, Z= 248
[2024-03-27 13:44:53] [world] The Player <Milk_Frog> has broke LEAVES at X= -607, Y= 70, Z= 248
[2024-03-27 13:44:54] [world] The Player <Milk_Frog> has broke LEAVES at X= -609, Y= 70, Z= 247
[2024-03-27 13:44:54] [world] The Player <Milk_Frog> has broke LEAVES at X= -608, Y= 70, Z= 247
[2024-03-27 13:45:14] [world] The Player <Milk_Frog> has broke GRASS at X= -602, Y= 68, Z= 250
[2024-03-27 13:45:40] [world] The Player <Milk_Frog> has broke SPRUCE_WOOD_STAIRS at X= -606, Y= 68, Z= 251
[2024-03-27 13:45:43] [world] The Player <Milk_Frog> has broke LONG_GRASS at X= -608, Y= 68, Z= 251
[2024-03-27 13:46:20] [world] The Player <Milk_Frog> has broke LOG at X= -609, Y= 68, Z= 251
[2024-03-27 13:46:21] [world] The Player <Milk_Frog> has broke LOG at X= -609, Y= 68, Z= 251
[2024-03-27 13:46:21] [world] The Player <Milk_Frog> has broke LOG_2 at X= -608, Y= 68, Z= 251
[2024-03-27 13:46:23] [world] The Player <Milk_Frog> has broke RED_ROSE at X= -608, Y= 68, Z= 251
[2024-03-27 13:46:27] [world] The Player <Milk_Frog> has broke LOG at X= -608, Y= 69, Z= 251
[2024-03-27 13:46:27] [world] The Player <Milk_Frog> has broke LOG at X= -608, Y= 68, Z= 251
[2024-03-27 13:46:37] [world] The Player <Char> has broke WOOL at X= -599, Y= 68, Z= 343
[2024-03-27 13:46:40] [world] The Player <Milk_Frog> has broke LEAVES at X= -608, Y= 72, Z= 247
[2024-03-27 13:46:41] [world] The Player <Milk_Frog> has broke LEAVES at X= -607, Y= 71, Z= 246
[2024-03-27 13:46:41] [world] The Player <Milk_Frog> has broke LEAVES at X= -607, Y= 70, Z= 245
[2024-03-27 13:46:42] [world] The Player <Milk_Frog> has broke LEAVES at X= -608, Y= 70, Z= 245
[2024-03-27 13:46:43] [world] The Player <Milk_Frog> has broke LOG at X= -606, Y= 74, Z= 246
[2024-03-27 13:46:44] [world] The Player <Milk_Frog> has broke LOG at X= -606, Y= 73, Z= 246
[2024-03-27 13:46:45] [world] The Player <Milk_Frog> has broke LEAVES at X= -605, Y= 72, Z= 246
[2024-03-27 13:46:45] [world] The Player <Milk_Frog> has broke LEAVES at X= -605, Y= 71, Z= 246
[2024-03-27 13:46:46] [world] The Player <Milk_Frog> has broke LOG at X= -606, Y= 72, Z= 246
[2024-03-27 13:46:46] [world] The Player <Milk_Frog> has broke LOG at X= -606, Y= 71, Z= 246
[2024-03-27 13:46:46] [world] The Player <Milk_Frog> has broke LOG at X= -606, Y= 70, Z= 246
[2024-03-27 13:46:46] [world] The Player <Milk_Frog> has broke LOG at X= -606, Y= 69, Z= 246
[2024-03-27 13:46:47] [world] The Player <Milk_Frog> has broke LOG at X= -606, Y= 68, Z= 246
[2024-03-27 13:46:57] [world] The Player <Char> has broke LADDER at X= -600, Y= 68, Z= 342
[2024-03-27 13:46:57] [world] The Player <Milk_Frog> has broke LOG at X= -611, Y= 68, Z= 250
[2024-03-27 13:46:58] [world] The Player <Char> has broke LADDER at X= -596, Y= 68, Z= 342
[2024-03-27 13:46:58] [world] The Player <Milk_Frog> has broke LOG at X= -608, Y= 69, Z= 250
[2024-03-27 13:46:59] [world] The Player <Milk_Frog> has broke LOG at X= -608, Y= 68, Z= 250
[2024-03-27 13:47:00] [world] The Player <Milk_Frog> has broke SPRUCE_WOOD_STAIRS at X= -607, Y= 68, Z= 251
[2024-03-27 13:47:00] [world] The Player <Milk_Frog> has broke SPRUCE_WOOD_STAIRS at X= -606, Y= 68, Z= 251
[2024-03-27 13:47:00] [world] The Player <Milk_Frog> has broke SPRUCE_WOOD_STAIRS at X= -605, Y= 68, Z= 251
[2024-03-27 13:47:01] [world] The Player <Milk_Frog> has broke SPRUCE_WOOD_STAIRS at X= -604, Y= 68, Z= 251
[2024-03-27 13:47:01] [world] The Player <Milk_Frog> has broke SPRUCE_WOOD_STAIRS at X= -603, Y= 68, Z= 251
[2024-03-27 13:47:11] [world] The Player <Milk_Frog> has broke LOG at X= -602, Y= 69, Z= 250
[2024-03-27 13:47:11] [world] The Player <Milk_Frog> has broke LOG at X= -602, Y= 68, Z= 250
[2024-03-27 13:47:36] [world] The Player <Milk_Frog> has broke WOOD_STEP at X= -598, Y= 68, Z= 250
[2024-03-27 13:47:46] [world] The Player <Milk_Frog> has broke WOOD_STEP at X= -611, Y= 68, Z= 250
[2024-03-27 13:47:47] [world] The Player <Milk_Frog> has broke WOOD_STEP at X= -610, Y= 68, Z= 250
[2024-03-27 13:48:01] [world] The Player <Char> has broke STAINED_CLAY at X= -598, Y= 69, Z= 345
[2024-03-27 13:48:01] [world] The Player <Char> has broke STAINED_CLAY at X= -598, Y= 68, Z= 345
[2024-03-27 13:48:07] [world] The Player <Milk_Frog> has broke WOOD_STEP at X= -595, Y= 68, Z= 250
[2024-03-27 13:48:10] [world] The Player <Milk_Frog> has broke WOOD_STEP at X= -600, Y= 68, Z= 250
[2024-03-27 13:48:13] [world] The Player <Char> has broke WOOL at X= -592, Y= 69, Z= 345
[2024-03-27 13:48:14] [world] The Player <Char> has broke WOOL at X= -592, Y= 68, Z= 345
[2024-03-27 13:48:14] [world] The Player <Char> has broke WOOL at X= -593, Y= 69, Z= 345
[2024-03-27 13:48:14] [world] The Player <Char> has broke WOOL at X= -593, Y= 68, Z= 345
[2024-03-27 13:48:15] [world] The Player <Char> has broke STAINED_CLAY at X= -594, Y= 69, Z= 345
[2024-03-27 13:48:15] [world] The Player <Char> has broke STAINED_CLAY at X= -594, Y= 68, Z= 345
[2024-03-27 13:48:15] [world] The Player <Char> has broke WOOL at X= -595, Y= 69, Z= 345
[2024-03-27 13:48:16] [world] The Player <Char> has broke WOOL at X= -595, Y= 68, Z= 345
[2024-03-27 13:48:16] [world] The Player <Char> has broke WOOL at X= -596, Y= 69, Z= 345
[2024-03-27 13:48:16] [world] The Player <Char> has broke WOOL at X= -596, Y= 68, Z= 345
[2024-03-27 13:48:17] [world] The Player <Char> has broke WOOL at X= -600, Y= 69, Z= 345
[2024-03-27 13:48:17] [world] The Player <Char> has broke WOOL at X= -600, Y= 68, Z= 345
[2024-03-27 13:48:18] [world] The Player <Char> has broke WOOL at X= -601, Y= 69, Z= 345
[2024-03-27 13:48:18] [world] The Player <Char> has broke WOOL at X= -601, Y= 68, Z= 345
[2024-03-27 13:48:18] [world] The Player <Char> has broke STAINED_CLAY at X= -602, Y= 68, Z= 345
[2024-03-27 13:48:19] [world] The Player <Char> has broke STAINED_CLAY at X= -602, Y= 69, Z= 345
[2024-03-27 13:48:19] [world] The Player <Char> has broke WOOL at X= -603, Y= 68, Z= 345
[2024-03-27 13:48:19] [world] The Player <Char> has broke WOOL at X= -603, Y= 69, Z= 345
[2024-03-27 13:48:20] [world] The Player <Char> has broke WOOL at X= -604, Y= 69, Z= 345
[2024-03-27 13:48:20] [world] The Player <Milk_Frog> has broke WOOD_STEP at X= -602, Y= 68, Z= 250
[2024-03-27 13:48:20] [world] The Player <Char> has broke WOOL at X= -604, Y= 68, Z= 345
[2024-03-27 13:48:21] [world] The Player <Milk_Frog> has broke WOOD_STEP at X= -601, Y= 68, Z= 250
[2024-03-27 13:48:22] [world] The Player <Milk_Frog> has broke LOG at X= -600, Y= 68, Z= 250
[2024-03-27 13:48:24] [world] The Player <Char> has broke LADDER at X= -599, Y= 68, Z= 342
[2024-03-27 13:48:24] [world] The Player <Char> has broke LADDER at X= -598, Y= 68, Z= 342
[2024-03-27 13:48:25] [world] The Player <Char> has broke LADDER at X= -597, Y= 68, Z= 342
[2024-03-27 13:48:25] [world] The Player <Milk_Frog> has broke WOOD_DOUBLE_STEP at X= -600, Y= 68, Z= 250
[2024-03-27 13:48:31] [world] The Player <Milk_Frog> has broke LOG at X= -595, Y= 68, Z= 250
[2024-03-27 13:48:37] [world] The Player <Milk_Frog> has broke WOOD_STEP at X= -598, Y= 68, Z= 250
[2024-03-27 13:48:42] [world] The Player <Milk_Frog> has broke WOOD_STEP at X= -609, Y= 68, Z= 250
[2024-03-27 13:49:11] [world] The Player <Milk_Frog> has broke LEAVES at X= -602, Y= 76, Z= 244
[2024-03-27 13:49:13] [world] The Player <Milk_Frog> has broke LEAVES at X= -602, Y= 75, Z= 244
[2024-03-27 13:49:13] [world] The Player <Milk_Frog> has broke LOG at X= -602, Y= 74, Z= 244
[2024-03-27 13:49:13] [world] The Player <Milk_Frog> has broke LOG at X= -602, Y= 73, Z= 244
[2024-03-27 13:49:13] [world] The Player <Milk_Frog> has broke LOG at X= -602, Y= 72, Z= 244
[2024-03-27 13:49:14] [world] The Player <Milk_Frog> has broke LOG at X= -602, Y= 71, Z= 244
[2024-03-27 13:49:14] [world] The Player <Milk_Frog> has broke LOG at X= -602, Y= 70, Z= 244
[2024-03-27 13:49:15] [world] The Player <Milk_Frog> has broke LOG at X= -602, Y= 69, Z= 244
[2024-03-27 13:49:15] [world] The Player <Milk_Frog> has broke LOG at X= -602, Y= 68, Z= 244
[2024-03-27 13:49:16] [world] The Player <Milk_Frog> has broke LEAVES at X= -602, Y= 69, Z= 245
[2024-03-27 13:49:16] [world] The Player <Milk_Frog> has broke LONG_GRASS at X= -601, Y= 68, Z= 247
[2024-03-27 13:49:19] [world] The Player <Milk_Frog> has broke LOG at X= -596, Y= 69, Z= 245
[2024-03-27 13:49:19] [world] The Player <Milk_Frog> has broke LOG at X= -596, Y= 68, Z= 245
[2024-03-27 13:49:22] [world] The Player <Milk_Frog> has broke LOG at X= -596, Y= 70, Z= 245
[2024-03-27 13:49:22] [world] The Player <Milk_Frog> has broke LOG at X= -596, Y= 71, Z= 245
[2024-03-27 13:49:23] [world] The Player <Milk_Frog> has broke LOG at X= -596, Y= 72, Z= 245
[2024-03-27 13:49:23] [world] The Player <Milk_Frog> has broke LOG at X= -596, Y= 73, Z= 245
[2024-03-27 13:49:23] [world] The Player <Milk_Frog> has broke LEAVES at X= -596, Y= 74, Z= 245
[2024-03-27 13:49:23] [world] The Player <Milk_Frog> has broke LEAVES at X= -596, Y= 75, Z= 245
[2024-03-27 13:49:43] [world] The Player <Milk_Frog> has broke LOG at X= -609, Y= 68, Z= 250
