[2024-03-20 19:10:54] [world] The Player <NezukoChan> has broke COBBLESTONE at X= -10177, Y= 63, Z= 4113
[2024-03-20 19:25:48] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 37, Z= 4078
[2024-03-20 19:25:49] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 36, Z= 4078
[2024-03-20 19:25:52] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 35, Z= 4078
[2024-03-20 19:27:51] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 34, Z= 4078
[2024-03-20 19:27:51] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 33, Z= 4078
[2024-03-20 19:27:52] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 32, Z= 4078
[2024-03-20 19:27:52] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 31, Z= 4078
[2024-03-20 19:27:52] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 30, Z= 4078
[2024-03-20 19:27:53] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 29, Z= 4078
[2024-03-20 19:27:54] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 29, Z= 4077
[2024-03-20 19:27:54] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 28, Z= 4078
[2024-03-20 19:27:55] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 27, Z= 4078
[2024-03-20 19:27:55] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 26, Z= 4078
[2024-03-20 19:27:55] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 25, Z= 4078
[2024-03-20 19:27:56] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 24, Z= 4078
[2024-03-20 19:27:56] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 23, Z= 4078
[2024-03-20 19:27:57] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 22, Z= 4078
[2024-03-20 19:27:57] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 21, Z= 4078
[2024-03-20 19:27:58] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 20, Z= 4078
[2024-03-20 19:27:58] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 19, Z= 4078
[2024-03-20 19:27:58] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 18, Z= 4078
[2024-03-20 19:28:01] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 17, Z= 4078
[2024-03-20 19:28:02] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 16, Z= 4078
[2024-03-20 19:28:02] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 15, Z= 4078
[2024-03-20 19:28:02] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 14, Z= 4078
[2024-03-20 19:28:03] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 13, Z= 4078
[2024-03-20 19:28:03] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 4078
[2024-03-20 19:28:04] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 4078
[2024-03-20 19:28:05] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 4077
[2024-03-20 19:28:06] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 4077
[2024-03-20 19:28:07] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 4076
[2024-03-20 19:28:07] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 4076
[2024-03-20 19:28:08] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 4075
[2024-03-20 19:28:08] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 4075
[2024-03-20 19:28:08] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 4074
[2024-03-20 19:28:09] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 4074
[2024-03-20 19:28:09] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 4073
[2024-03-20 19:28:10] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 4073
[2024-03-20 19:28:16] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 4072
[2024-03-20 19:28:16] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 4072
[2024-03-20 19:28:16] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 4071
[2024-03-20 19:28:16] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 4071
[2024-03-20 19:28:17] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 4070
[2024-03-20 19:28:17] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 4070
[2024-03-20 19:28:17] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 4069
[2024-03-20 19:28:18] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 4069
[2024-03-20 19:28:18] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 4068
[2024-03-20 19:28:19] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 4068
[2024-03-20 19:28:20] [world] The Player <NezukoChan> has broke DIRT at X= -10195, Y= 12, Z= 4067
[2024-03-20 19:28:20] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 4067
[2024-03-20 19:28:21] [world] The Player <NezukoChan> has broke DIRT at X= -10195, Y= 12, Z= 4066
[2024-03-20 19:28:22] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 4066
[2024-03-20 19:28:23] [world] The Player <NezukoChan> has broke DIRT at X= -10195, Y= 12, Z= 4065
[2024-03-20 19:28:25] [world] The Player <NezukoChan> has broke DIRT at X= -10195, Y= 11, Z= 4065
[2024-03-20 19:29:33] [world] The Player <NezukoChan> has broke DIRT at X= -10195, Y= 12, Z= 4064
[2024-03-20 19:29:34] [world] The Player <NezukoChan> has broke DIRT at X= -10195, Y= 11, Z= 4064
[2024-03-20 19:29:35] [world] The Player <NezukoChan> has broke DIRT at X= -10195, Y= 12, Z= 4063
[2024-03-20 19:29:36] [world] The Player <NezukoChan> has broke DIRT at X= -10195, Y= 11, Z= 4063
[2024-03-20 19:29:38] [world] The Player <NezukoChan> has broke DIRT at X= -10195, Y= 12, Z= 4062
[2024-03-20 19:29:39] [world] The Player <NezukoChan> has broke DIRT at X= -10195, Y= 11, Z= 4062
[2024-03-20 19:29:40] [world] The Player <NezukoChan> has broke DIRT at X= -10195, Y= 12, Z= 4061
[2024-03-20 19:29:41] [world] The Player <NezukoChan> has broke DIRT at X= -10195, Y= 11, Z= 4061
[2024-03-20 19:29:43] [world] The Player <NezukoChan> has broke DIRT at X= -10195, Y= 12, Z= 4060
[2024-03-20 19:29:44] [world] The Player <NezukoChan> has broke DIRT at X= -10195, Y= 11, Z= 4060
[2024-03-20 19:29:45] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 4059
[2024-03-20 19:29:45] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 4059
[2024-03-20 19:29:46] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 4058
[2024-03-20 19:29:46] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 4058
[2024-03-20 19:30:20] [world] The Player <NezukoChan> has broke ENDER_CHEST at X= -10195, Y= 11, Z= 4062
[2024-03-20 19:30:22] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 4057
[2024-03-20 19:30:22] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 4057
[2024-03-20 19:30:27] [world] The Player <NezukoChan> has broke DIRT at X= -10195, Y= 12, Z= 4056
[2024-03-20 19:30:29] [world] The Player <NezukoChan> has broke DIRT at X= -10195, Y= 11, Z= 4056
[2024-03-20 19:30:30] [world] The Player <NezukoChan> has broke DIRT at X= -10195, Y= 12, Z= 4055
[2024-03-20 19:30:31] [world] The Player <NezukoChan> has broke DIRT at X= -10195, Y= 11, Z= 4055
[2024-03-20 19:30:32] [world] The Player <NezukoChan> has broke DIRT at X= -10195, Y= 12, Z= 4054
[2024-03-20 19:30:33] [world] The Player <NezukoChan> has broke DIRT at X= -10195, Y= 11, Z= 4054
[2024-03-20 19:30:34] [world] The Player <NezukoChan> has broke DIRT at X= -10195, Y= 12, Z= 4053
[2024-03-20 19:30:35] [world] The Player <NezukoChan> has broke DIRT at X= -10195, Y= 11, Z= 4053
[2024-03-20 19:30:36] [world] The Player <NezukoChan> has broke DIRT at X= -10195, Y= 12, Z= 4052
[2024-03-20 19:30:37] [world] The Player <NezukoChan> has broke DIRT at X= -10195, Y= 11, Z= 4052
[2024-03-20 19:30:43] [world] The Player <NezukoChan> has broke DIRT at X= -10195, Y= 12, Z= 4051
[2024-03-20 19:30:44] [world] The Player <NezukoChan> has broke DIRT at X= -10195, Y= 11, Z= 4051
[2024-03-20 19:30:45] [world] The Player <NezukoChan> has broke DIRT at X= -10195, Y= 12, Z= 4050
[2024-03-20 19:30:46] [world] The Player <NezukoChan> has broke DIRT at X= -10195, Y= 11, Z= 4050
[2024-03-20 19:30:47] [world] The Player <NezukoChan> has broke DIRT at X= -10195, Y= 12, Z= 4049
[2024-03-20 19:30:48] [world] The Player <NezukoChan> has broke DIRT at X= -10195, Y= 11, Z= 4049
[2024-03-20 19:30:50] [world] The Player <NezukoChan> has broke DIRT at X= -10195, Y= 12, Z= 4048
[2024-03-20 19:30:51] [world] The Player <NezukoChan> has broke DIRT at X= -10195, Y= 11, Z= 4048
[2024-03-20 19:30:52] [world] The Player <NezukoChan> has broke DIRT at X= -10195, Y= 12, Z= 4047
[2024-03-20 19:30:53] [world] The Player <NezukoChan> has broke DIRT at X= -10195, Y= 11, Z= 4047
[2024-03-20 19:30:54] [world] The Player <NezukoChan> has broke DIRT at X= -10195, Y= 12, Z= 4046
[2024-03-20 19:30:56] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 4046
[2024-03-20 19:30:57] [world] The Player <NezukoChan> has broke DIRT at X= -10195, Y= 12, Z= 4045
[2024-03-20 19:30:58] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 4045
[2024-03-20 19:30:59] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 4044
[2024-03-20 19:30:59] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 4044
[2024-03-20 19:30:59] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 4043
[2024-03-20 19:31:00] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 4043
[2024-03-20 19:31:00] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 4042
[2024-03-20 19:31:01] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 4042
[2024-03-20 19:31:01] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 4041
[2024-03-20 19:31:02] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 4041
[2024-03-20 19:31:02] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 4040
[2024-03-20 19:31:04] [world] The Player <NezukoChan> has broke STONE at X= -10196, Y= 12, Z= 4044
[2024-03-20 19:31:04] [world] The Player <NezukoChan> has broke GLOWING_REDSTONE_ORE at X= -10196, Y= 11, Z= 4044
[2024-03-20 19:31:07] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 4040
[2024-03-20 19:31:07] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 4039
[2024-03-20 19:31:08] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 4039
[2024-03-20 19:31:08] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 4038
[2024-03-20 19:31:09] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 4038
[2024-03-20 19:31:09] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 4037
[2024-03-20 19:31:09] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 4037
[2024-03-20 19:31:10] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 4036
[2024-03-20 19:31:10] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 4036
[2024-03-20 19:31:11] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 4035
[2024-03-20 19:31:11] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 4035
[2024-03-20 19:31:12] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 4034
[2024-03-20 19:31:13] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 4034
[2024-03-20 19:31:13] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 4033
[2024-03-20 19:31:14] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 4033
[2024-03-20 19:31:14] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 4032
[2024-03-20 19:31:15] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 4032
[2024-03-20 19:31:15] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 4031
[2024-03-20 19:31:15] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 4031
[2024-03-20 19:31:16] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 4030
[2024-03-20 19:31:16] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 4030
[2024-03-20 19:31:16] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 4029
[2024-03-20 19:31:17] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 4029
[2024-03-20 19:31:17] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 4028
[2024-03-20 19:31:18] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 4028
[2024-03-20 19:31:18] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 4027
[2024-03-20 19:31:18] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 4027
[2024-03-20 19:31:19] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 4026
[2024-03-20 19:31:19] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 4026
[2024-03-20 19:31:20] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 4025
[2024-03-20 19:31:20] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 4025
[2024-03-20 19:31:20] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 4024
[2024-03-20 19:31:21] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 4024
[2024-03-20 19:31:21] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 4023
[2024-03-20 19:31:22] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 4023
[2024-03-20 19:31:22] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 4022
[2024-03-20 19:31:22] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 4022
[2024-03-20 19:31:23] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 4021
[2024-03-20 19:31:23] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 4021
[2024-03-20 19:31:24] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 4020
[2024-03-20 19:31:24] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 4020
[2024-03-20 19:31:26] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 4019
[2024-03-20 19:31:27] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 4019
[2024-03-20 19:31:46] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 4018
[2024-03-20 19:31:47] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 4018
[2024-03-20 19:31:47] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 4017
[2024-03-20 19:31:48] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 4017
[2024-03-20 19:31:48] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 4016
[2024-03-20 19:31:49] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 4016
[2024-03-20 19:31:49] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 4015
[2024-03-20 19:31:49] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 4015
[2024-03-20 19:31:50] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 4014
[2024-03-20 19:31:50] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 4014
[2024-03-20 19:31:51] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 4013
[2024-03-20 19:31:51] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 4013
[2024-03-20 19:31:51] [world] The Player <NezukoChan> has broke GLOWING_REDSTONE_ORE at X= -10195, Y= 12, Z= 4012
[2024-03-20 19:31:52] [world] The Player <NezukoChan> has broke GLOWING_REDSTONE_ORE at X= -10195, Y= 11, Z= 4012
[2024-03-20 19:31:52] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 4011
[2024-03-20 19:31:53] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 4011
[2024-03-20 19:31:56] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 4010
[2024-03-20 19:31:56] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 4010
[2024-03-20 19:31:57] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 4009
[2024-03-20 19:32:00] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 4009
[2024-03-20 19:32:00] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 4008
[2024-03-20 19:32:01] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 4008
[2024-03-20 19:32:02] [world] The Player <NezukoChan> has broke DIRT at X= -10195, Y= 12, Z= 4007
[2024-03-20 19:32:03] [world] The Player <NezukoChan> has broke DIRT at X= -10195, Y= 11, Z= 4007
[2024-03-20 19:32:04] [world] The Player <NezukoChan> has broke DIRT at X= -10195, Y= 12, Z= 4006
[2024-03-20 19:32:05] [world] The Player <NezukoChan> has broke DIRT at X= -10195, Y= 11, Z= 4006
[2024-03-20 19:32:07] [world] The Player <NezukoChan> has broke DIRT at X= -10195, Y= 12, Z= 4005
[2024-03-20 19:32:08] [world] The Player <NezukoChan> has broke DIRT at X= -10195, Y= 11, Z= 4005
[2024-03-20 19:32:09] [world] The Player <NezukoChan> has broke DIRT at X= -10195, Y= 12, Z= 4004
[2024-03-20 19:32:10] [world] The Player <NezukoChan> has broke DIRT at X= -10195, Y= 11, Z= 4004
[2024-03-20 19:32:11] [world] The Player <NezukoChan> has broke DIRT at X= -10195, Y= 12, Z= 4003
[2024-03-20 19:32:36] [world] The Player <NezukoChan> has broke DIRT at X= -10195, Y= 11, Z= 4003
[2024-03-20 19:32:37] [world] The Player <NezukoChan> has broke DIRT at X= -10195, Y= 12, Z= 4002
[2024-03-20 19:32:38] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 4002
[2024-03-20 19:32:39] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 4001
[2024-03-20 19:32:39] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 4001
[2024-03-20 19:32:39] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 4000
[2024-03-20 19:32:40] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 4000
[2024-03-20 19:32:40] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 3999
[2024-03-20 19:32:40] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 3999
[2024-03-20 19:32:41] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 3998
[2024-03-20 19:32:41] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 3998
[2024-03-20 19:32:42] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 3997
[2024-03-20 19:32:42] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 3997
[2024-03-20 19:32:43] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 3996
[2024-03-20 19:32:43] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 3996
[2024-03-20 19:32:43] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 3995
[2024-03-20 19:32:44] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 3995
[2024-03-20 19:32:44] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 3994
[2024-03-20 19:32:45] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 3994
[2024-03-20 19:32:45] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 3993
[2024-03-20 19:32:45] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 3993
[2024-03-20 19:32:46] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 3992
[2024-03-20 19:32:46] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 3992
[2024-03-20 19:32:47] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 3991
[2024-03-20 19:32:47] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 3991
[2024-03-20 19:32:54] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 3990
[2024-03-20 19:32:54] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 3990
[2024-03-20 19:32:55] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 3989
[2024-03-20 19:32:55] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 3989
[2024-03-20 19:32:56] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 3988
[2024-03-20 19:32:56] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 3988
[2024-03-20 19:32:56] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 3987
[2024-03-20 19:32:57] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 3987
[2024-03-20 19:32:57] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 3986
[2024-03-20 19:32:58] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 3986
[2024-03-20 19:32:58] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 3985
[2024-03-20 19:32:58] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 3985
[2024-03-20 19:32:59] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 12, Z= 3984
[2024-03-20 19:32:59] [world] The Player <NezukoChan> has broke STONE at X= -10195, Y= 11, Z= 3984
