[2024-03-25 20:25:16] [world] The Player <GolemDaWanderer> has broke WOOD at X= -10152, Y= 62, Z= 4113
[2024-03-25 20:47:19] [world] The Player <GolemDaWanderer> has broke STONE at X= -10185, Y= 56, Z= 4102
[2024-03-25 20:47:19] [world] The Player <GolemDaWanderer> has broke STONE at X= -10185, Y= 55, Z= 4102
[2024-03-25 20:47:20] [world] The Player <GolemDaWanderer> has broke STONE at X= -10185, Y= 56, Z= 4101
[2024-03-25 20:47:20] [world] The Player <GolemDaWanderer> has broke STONE at X= -10185, Y= 55, Z= 4101
[2024-03-25 20:47:21] [world] The Player <GolemDaWanderer> has broke STONE at X= -10186, Y= 56, Z= 4101
[2024-03-25 20:47:21] [world] The Player <GolemDaWanderer> has broke STONE at X= -10186, Y= 55, Z= 4101
[2024-03-25 20:47:21] [world] The Player <GolemDaWanderer> has broke STONE at X= -10186, Y= 54, Z= 4102
[2024-03-25 20:47:22] [world] The Player <GolemDaWanderer> has broke STONE at X= -10186, Y= 54, Z= 4101
[2024-03-25 20:47:22] [world] The Player <GolemDaWanderer> has broke STONE at X= -10185, Y= 54, Z= 4101
[2024-03-25 20:47:22] [world] The Player <GolemDaWanderer> has broke STONE at X= -10185, Y= 54, Z= 4102
[2024-03-25 20:50:45] [world] The Player <GolemDaWanderer> has broke COBBLESTONE at X= -10185, Y= 55, Z= 4104
[2024-03-25 20:50:52] [world] The Player <GolemDaWanderer> has broke COBBLESTONE at X= -10185, Y= 55, Z= 4104
[2024-03-25 22:33:06] [world] The Player <GolemDaWanderer> has broke WATER_LILY at X= -10159, Y= 63, Z= 4100
[2024-03-25 22:33:06] [world] The Player <GolemDaWanderer> has broke WATER_LILY at X= -10159, Y= 63, Z= 4101
[2024-03-25 22:33:07] [world] The Player <GolemDaWanderer> has broke WATER_LILY at X= -10159, Y= 63, Z= 4102
[2024-03-25 22:33:07] [world] The Player <GolemDaWanderer> has broke WATER_LILY at X= -10159, Y= 63, Z= 4103
[2024-03-25 22:33:08] [world] The Player <GolemDaWanderer> has broke WATER_LILY at X= -10159, Y= 63, Z= 4104
[2024-03-25 22:33:18] [world] The Player <GolemDaWanderer> has broke WATER_LILY at X= -10167, Y= 63, Z= 4100
[2024-03-25 22:33:19] [world] The Player <GolemDaWanderer> has broke WATER_LILY at X= -10165, Y= 63, Z= 4101
[2024-03-25 22:33:19] [world] The Player <GolemDaWanderer> has broke WATER_LILY at X= -10164, Y= 63, Z= 4101
[2024-03-25 22:33:20] [world] The Player <GolemDaWanderer> has broke WATER_LILY at X= -10163, Y= 63, Z= 4101
[2024-03-25 22:33:21] [world] The Player <GolemDaWanderer> has broke WATER_LILY at X= -10161, Y= 63, Z= 4102
[2024-03-25 22:33:22] [world] The Player <GolemDaWanderer> has broke WATER_LILY at X= -10158, Y= 63, Z= 4102
[2024-03-25 22:33:22] [world] The Player <GolemDaWanderer> has broke WATER_LILY at X= -10158, Y= 63, Z= 4103
[2024-03-25 22:33:23] [world] The Player <GolemDaWanderer> has broke WATER_LILY at X= -10158, Y= 63, Z= 4104
[2024-03-25 22:33:24] [world] The Player <GolemDaWanderer> has broke WATER_LILY at X= -10160, Y= 63, Z= 4104
[2024-03-25 22:33:25] [world] The Player <GolemDaWanderer> has broke WATER_LILY at X= -10162, Y= 63, Z= 4105
[2024-03-25 22:33:25] [world] The Player <GolemDaWanderer> has broke WATER_LILY at X= -10161, Y= 63, Z= 4105
[2024-03-25 22:33:27] [world] The Player <GolemDaWanderer> has broke WATER_LILY at X= -10162, Y= 63, Z= 4107
[2024-03-25 22:33:27] [world] The Player <GolemDaWanderer> has broke WATER_LILY at X= -10162, Y= 63, Z= 4108
[2024-03-25 22:33:27] [world] The Player <GolemDaWanderer> has broke WATER_LILY at X= -10162, Y= 63, Z= 4109
[2024-03-25 22:33:42] [world] The Player <GolemDaWanderer> has broke WATER_LILY at X= -10162, Y= 63, Z= 4098
[2024-03-25 22:34:05] [world] The Player <GolemDaWanderer> has broke WATER_LILY at X= -10163, Y= 63, Z= 4096
[2024-03-25 22:34:05] [world] The Player <GolemDaWanderer> has broke WATER_LILY at X= -10164, Y= 63, Z= 4096
[2024-03-25 22:34:54] [world_the_end] The Player <GolemDaWanderer> has broke OBSIDIAN at X= 100, Y= 48, Z= 0
[2024-03-25 22:34:58] [world_the_end] The Player <GolemDaWanderer> has broke OBSIDIAN at X= 100, Y= 48, Z= 1
[2024-03-25 22:35:02] [world_the_end] The Player <GolemDaWanderer> has broke OBSIDIAN at X= 100, Y= 48, Z= 2
[2024-03-25 22:35:23] [world_the_end] The Player <GolemDaWanderer> has broke COBBLESTONE at X= 101, Y= 48, Z= -1
[2024-03-25 22:35:24] [world_the_end] The Player <GolemDaWanderer> has broke COBBLESTONE at X= 101, Y= 46, Z= -1
[2024-03-25 22:35:31] [world_the_end] The Player <GolemDaWanderer> has broke OBSIDIAN at X= 100, Y= 48, Z= -1
[2024-03-25 22:35:35] [world_the_end] The Player <GolemDaWanderer> has broke OBSIDIAN at X= 101, Y= 48, Z= 0
[2024-03-25 22:35:38] [world_the_end] The Player <GolemDaWanderer> has broke OBSIDIAN at X= 101, Y= 48, Z= 1
[2024-03-25 22:35:39] [world_the_end] The Player <GolemDaWanderer> has broke COBBLESTONE at X= 101, Y= 49, Z= 3
[2024-03-25 22:35:42] [world_the_end] The Player <GolemDaWanderer> has broke OBSIDIAN at X= 101, Y= 48, Z= 2
[2024-03-25 22:37:40] [world_the_end] The Player <GolemDaWanderer> has broke OBSIDIAN at X= 99, Y= 48, Z= 0
[2024-03-25 22:37:47] [world_the_end] The Player <GolemDaWanderer> has broke OBSIDIAN at X= 99, Y= 48, Z= 1
[2024-03-25 22:38:51] [world] The Player <GolemDaWanderer> has broke COBBLESTONE at X= -608, Y= 65, Z= 329
[2024-03-25 22:39:50] [world] The Player <GolemDaWanderer> has broke REDSTONE_BLOCK at X= -578, Y= 59, Z= 267
[2024-03-25 22:39:51] [world] The Player <GolemDaWanderer> has broke STONE at X= -579, Y= 57, Z= 268
[2024-03-25 22:41:32] [world_the_end] The Player <GolemDaWanderer> has broke REDSTONE_WIRE at X= 65, Y= 61, Z= 9
[2024-03-25 22:41:32] [world_the_end] The Player <GolemDaWanderer> has broke REDSTONE_WIRE at X= 66, Y= 61, Z= 9
[2024-03-25 22:43:14] [world] The Player <Tester> has broke DIRT at X= -10181, Y= 62, Z= 4119
[2024-03-25 22:43:16] [world] The Player <Tester> has broke DIRT at X= -10181, Y= 61, Z= 4119
[2024-03-25 22:43:33] [world] The Player <GolemDaWanderer> has broke COBBLESTONE at X= -10177, Y= 63, Z= 4111
[2024-03-25 22:43:36] [world] The Player <GolemDaWanderer> has broke COBBLESTONE at X= -10176, Y= 63, Z= 4112
[2024-03-25 22:48:34] [world] The Player <Marshtomp17> has broke NETHER_BRICK at X= -575, Y= 79, Z= 257
[2024-03-25 22:48:35] [world] The Player <Marshtomp17> has broke NETHER_BRICK at X= -574, Y= 79, Z= 257
[2024-03-25 22:48:35] [world] The Player <Marshtomp17> has broke NETHER_BRICK at X= -573, Y= 79, Z= 257
[2024-03-25 22:48:42] [world] The Player <GolemDaWanderer> has broke SKULL at X= -10169, Y= 63, Z= 4116
[2024-03-25 22:50:28] [world] The Player <Marshtomp17> has broke NETHER_BRICK at X= -570, Y= 79, Z= 249
[2024-03-25 22:50:42] [world] The Player <Marshtomp17> has broke NETHER_BRICK at X= -571, Y= 79, Z= 247
[2024-03-25 22:50:44] [world] The Player <Marshtomp17> has broke NETHER_BRICK at X= -570, Y= 79, Z= 245
[2024-03-25 22:51:44] [world] The Player <Marshtomp17> has broke NETHER_BRICK at X= -575, Y= 79, Z= 253
[2024-03-25 22:52:04] [world] The Player <Marshtomp17> has broke NETHER_BRICK at X= -575, Y= 78, Z= 253
[2024-03-25 22:52:20] [world] The Player <Marshtomp17> has broke NETHER_BRICK at X= -577, Y= 78, Z= 253
[2024-03-25 23:09:37] [world_the_end] The Player <TurtleDuck> has broke OBSIDIAN at X= 25, Y= 84, Z= -87
[2024-03-25 23:09:37] [world_the_end] The Player <TurtleDuck> has broke OBSIDIAN at X= 26, Y= 84, Z= -87
[2024-03-25 23:09:37] [world_the_end] The Player <TurtleDuck> has broke OBSIDIAN at X= 26, Y= 83, Z= -87
[2024-03-25 23:09:38] [world_the_end] The Player <TurtleDuck> has broke OBSIDIAN at X= 25, Y= 83, Z= -87
[2024-03-25 23:09:38] [world_the_end] The Player <TurtleDuck> has broke OBSIDIAN at X= 25, Y= 82, Z= -87
[2024-03-25 23:09:38] [world_the_end] The Player <TurtleDuck> has broke OBSIDIAN at X= 25, Y= 81, Z= -87
[2024-03-25 23:18:27] [world] The Player <GolemDaWanderer> has broke SOUL_SAND at X= -10177, Y= 63, Z= 4112
[2024-03-25 23:18:29] [world] The Player <GolemDaWanderer> has broke COBBLESTONE at X= -10176, Y= 64, Z= 4112
[2024-03-25 23:18:30] [world] The Player <GolemDaWanderer> has broke COBBLESTONE at X= -10178, Y= 65, Z= 4112
[2024-03-25 23:19:08] [world] The Player <GolemDaWanderer> has broke DIAMOND_BLOCK at X= -10170, Y= 62, Z= 4114
[2024-03-25 23:19:09] [world] The Player <GolemDaWanderer> has broke DIAMOND_BLOCK at X= -10171, Y= 62, Z= 4114
[2024-03-25 23:19:10] [world] The Player <GolemDaWanderer> has broke DIAMOND_BLOCK at X= -10172, Y= 62, Z= 4114
[2024-03-25 23:19:10] [world] The Player <GolemDaWanderer> has broke DIAMOND_BLOCK at X= -10173, Y= 62, Z= 4114
[2024-03-25 23:19:11] [world] The Player <GolemDaWanderer> has broke DIAMOND_BLOCK at X= -10174, Y= 62, Z= 4114
[2024-03-25 23:19:12] [world] The Player <GolemDaWanderer> has broke STONE at X= -10175, Y= 62, Z= 4114
[2024-03-25 23:19:12] [world] The Player <GolemDaWanderer> has broke STONE at X= -10176, Y= 62, Z= 4114
[2024-03-25 23:19:47] [world] The Player <GolemDaWanderer> has broke DIAMOND_BLOCK at X= -10171, Y= 62, Z= 4115
[2024-03-25 23:19:48] [world] The Player <GolemDaWanderer> has broke DIAMOND_BLOCK at X= -10172, Y= 62, Z= 4115
[2024-03-25 23:19:49] [world] The Player <GolemDaWanderer> has broke DIAMOND_BLOCK at X= -10173, Y= 62, Z= 4115
[2024-03-25 23:19:49] [world] The Player <GolemDaWanderer> has broke DIAMOND_BLOCK at X= -10174, Y= 62, Z= 4115
[2024-03-25 23:19:50] [world] The Player <GolemDaWanderer> has broke DIAMOND_BLOCK at X= -10175, Y= 62, Z= 4115
[2024-03-25 23:19:51] [world] The Player <GolemDaWanderer> has broke DIAMOND_BLOCK at X= -10175, Y= 62, Z= 4114
[2024-03-25 23:19:52] [world] The Player <GolemDaWanderer> has broke DIAMOND_BLOCK at X= -10175, Y= 62, Z= 4113
[2024-03-25 23:19:52] [world] The Player <GolemDaWanderer> has broke DIAMOND_BLOCK at X= -10176, Y= 62, Z= 4113
[2024-03-25 23:19:53] [world] The Player <GolemDaWanderer> has broke DIAMOND_BLOCK at X= -10176, Y= 62, Z= 4114
[2024-03-25 23:19:53] [world] The Player <GolemDaWanderer> has broke DIAMOND_BLOCK at X= -10177, Y= 62, Z= 4114
[2024-03-25 23:19:54] [world] The Player <GolemDaWanderer> has broke DIAMOND_BLOCK at X= -10177, Y= 62, Z= 4113
[2024-03-25 23:19:55] [world] The Player <GolemDaWanderer> has broke DIAMOND_BLOCK at X= -10176, Y= 62, Z= 4115
[2024-03-25 23:19:56] [world] The Player <GolemDaWanderer> has broke DIAMOND_BLOCK at X= -10177, Y= 62, Z= 4115
[2024-03-25 23:19:56] [world] The Player <GolemDaWanderer> has broke DIAMOND_BLOCK at X= -10177, Y= 62, Z= 4116
[2024-03-25 23:19:57] [world] The Player <GolemDaWanderer> has broke DIAMOND_BLOCK at X= -10176, Y= 62, Z= 4116
[2024-03-25 23:19:58] [world] The Player <GolemDaWanderer> has broke DIAMOND_BLOCK at X= -10175, Y= 62, Z= 4116
[2024-03-25 23:19:59] [world] The Player <GolemDaWanderer> has broke DIAMOND_BLOCK at X= -10175, Y= 62, Z= 4117
[2024-03-25 23:19:59] [world] The Player <GolemDaWanderer> has broke DIAMOND_BLOCK at X= -10175, Y= 63, Z= 4117
[2024-03-25 23:20:00] [world] The Player <GolemDaWanderer> has broke DIAMOND_BLOCK at X= -10176, Y= 63, Z= 4117
[2024-03-25 23:20:01] [world] The Player <GolemDaWanderer> has broke DIAMOND_BLOCK at X= -10176, Y= 62, Z= 4117
[2024-03-25 23:20:02] [world] The Player <GolemDaWanderer> has broke DIAMOND_BLOCK at X= -10177, Y= 63, Z= 4117
[2024-03-25 23:20:02] [world] The Player <GolemDaWanderer> has broke DIAMOND_BLOCK at X= -10177, Y= 62, Z= 4117
[2024-03-25 23:20:03] [world] The Player <GolemDaWanderer> has broke DIAMOND_BLOCK at X= -10177, Y= 63, Z= 4116
[2024-03-25 23:20:06] [world] The Player <GolemDaWanderer> has broke DIAMOND_BLOCK at X= -10176, Y= 63, Z= 4118
[2024-03-25 23:20:06] [world] The Player <GolemDaWanderer> has broke DIAMOND_BLOCK at X= -10177, Y= 63, Z= 4118
[2024-03-25 23:20:09] [world] The Player <GolemDaWanderer> has broke DIAMOND_BLOCK at X= -10175, Y= 63, Z= 4118
[2024-03-25 23:20:09] [world] The Player <GolemDaWanderer> has broke DIAMOND_BLOCK at X= -10175, Y= 62, Z= 4118
[2024-03-25 23:20:10] [world] The Player <GolemDaWanderer> has broke DIAMOND_BLOCK at X= -10174, Y= 63, Z= 4118
[2024-03-25 23:20:11] [world] The Player <GolemDaWanderer> has broke DIAMOND_BLOCK at X= -10174, Y= 62, Z= 4118
[2024-03-25 23:20:12] [world] The Player <GolemDaWanderer> has broke DIAMOND_BLOCK at X= -10174, Y= 63, Z= 4117
[2024-03-25 23:20:12] [world] The Player <GolemDaWanderer> has broke DIAMOND_BLOCK at X= -10174, Y= 62, Z= 4117
[2024-03-25 23:20:13] [world] The Player <GolemDaWanderer> has broke DIAMOND_BLOCK at X= -10174, Y= 62, Z= 4116
[2024-03-25 23:20:14] [world] The Player <GolemDaWanderer> has broke DIAMOND_BLOCK at X= -10173, Y= 62, Z= 4116
[2024-03-25 23:20:14] [world] The Player <GolemDaWanderer> has broke DIAMOND_BLOCK at X= -10172, Y= 62, Z= 4116
[2024-03-25 23:20:15] [world] The Player <GolemDaWanderer> has broke DIAMOND_BLOCK at X= -10171, Y= 62, Z= 4116
[2024-03-25 23:20:15] [world] The Player <GolemDaWanderer> has broke DIAMOND_BLOCK at X= -10171, Y= 62, Z= 4117
[2024-03-25 23:20:16] [world] The Player <GolemDaWanderer> has broke DIAMOND_BLOCK at X= -10170, Y= 62, Z= 4116
[2024-03-25 23:20:22] [world] The Player <GolemDaWanderer> has broke DIAMOND_BLOCK at X= -10170, Y= 63, Z= 4117
[2024-03-25 23:20:23] [world] The Player <GolemDaWanderer> has broke DIAMOND_BLOCK at X= -10170, Y= 62, Z= 4117
[2024-03-25 23:20:27] [world] The Player <GolemDaWanderer> has broke DIAMOND_BLOCK at X= -10171, Y= 63, Z= 4118
[2024-03-25 23:20:27] [world] The Player <GolemDaWanderer> has broke DIAMOND_BLOCK at X= -10170, Y= 63, Z= 4118
[2024-03-25 23:20:28] [world] The Player <GolemDaWanderer> has broke DIAMOND_BLOCK at X= -10170, Y= 62, Z= 4118
[2024-03-25 23:20:29] [world] The Player <GolemDaWanderer> has broke DIAMOND_BLOCK at X= -10171, Y= 62, Z= 4118
[2024-03-25 23:20:32] [world] The Player <GolemDaWanderer> has broke DIAMOND_BLOCK at X= -10172, Y= 63, Z= 4118
[2024-03-25 23:20:33] [world] The Player <GolemDaWanderer> has broke DIAMOND_BLOCK at X= -10172, Y= 62, Z= 4118
[2024-03-25 23:20:33] [world] The Player <GolemDaWanderer> has broke DIAMOND_BLOCK at X= -10172, Y= 62, Z= 4117
[2024-03-25 23:20:34] [world] The Player <GolemDaWanderer> has broke DIAMOND_BLOCK at X= -10173, Y= 63, Z= 4117
[2024-03-25 23:20:37] [world] The Player <GolemDaWanderer> has broke DIAMOND_BLOCK at X= -10173, Y= 63, Z= 4118
[2024-03-25 23:20:38] [world] The Player <GolemDaWanderer> has broke DIAMOND_BLOCK at X= -10173, Y= 62, Z= 4118
[2024-03-25 23:20:39] [world] The Player <GolemDaWanderer> has broke DIAMOND_BLOCK at X= -10173, Y= 62, Z= 4117
[2024-03-25 23:22:35] [world] The Player <GolemDaWanderer> has broke STONE at X= -10176, Y= 61, Z= 4117
[2024-03-25 23:53:15] [world] The Player <GolemDaWanderer> has broke STONE at X= -10175, Y= 60, Z= 4114
[2024-03-25 23:53:15] [world] The Player <GolemDaWanderer> has broke STONE at X= -10175, Y= 61, Z= 4114
[2024-03-25 23:53:25] [world] The Player <GolemDaWanderer> has broke STONE at X= -10175, Y= 61, Z= 4113
[2024-03-25 23:55:31] [world] The Player <GolemDaWanderer> has broke STONE at X= -10172, Y= 63, Z= 4119
[2024-03-26 00:00:34] [world] The Player <GolemDaWanderer> has broke REDSTONE_TORCH_ON at X= 9997, Y= 70, Z= -9905
[2024-03-26 00:00:52] [world] The Player <GolemDaWanderer> has broke REDSTONE_TORCH_ON at X= 9996, Y= 70, Z= -9908
[2024-03-26 00:00:54] [world] The Player <GolemDaWanderer> has broke REDSTONE_TORCH_ON at X= 9996, Y= 71, Z= -9909
[2024-03-26 00:00:56] [world] The Player <GolemDaWanderer> has broke REDSTONE_TORCH_ON at X= 9996, Y= 70, Z= -9908
[2024-03-26 00:00:59] [world] The Player <GolemDaWanderer> has broke REDSTONE_TORCH_ON at X= 9997, Y= 70, Z= -9909
[2024-03-26 00:29:27] [world] The Player <hexa> has broke NETHERRACK at X= 1000064, Y= 60, Z= 1000006
[2024-03-26 00:29:27] [world] The Player <hexa> has broke STONE at X= 1000064, Y= 60, Z= 1000005
[2024-03-26 00:29:43] [world] The Player <hexa> has broke STONE at X= 1000064, Y= 60, Z= 1000008
[2024-03-26 00:32:04] [world] The Player <hexa> has broke SUGAR_CANE_BLOCK at X= 1000046, Y= 63, Z= 999978
[2024-03-26 00:33:01] [world] The Player <hexa> has broke GRAVEL at X= 1000064, Y= 59, Z= 999912
[2024-03-26 00:33:15] [world] The Player <hexa> has broke IRON_ORE at X= 1000047, Y= 52, Z= 999917
[2024-03-26 00:33:17] [world] The Player <hexa> has broke IRON_ORE at X= 1000047, Y= 52, Z= 999918
[2024-03-26 00:33:20] [world] The Player <hexa> has broke IRON_ORE at X= 1000047, Y= 53, Z= 999918
[2024-03-26 00:33:21] [world] The Player <hexa> has broke IRON_ORE at X= 1000046, Y= 52, Z= 999918
[2024-03-26 00:33:23] [world] The Player <hexa> has broke IRON_ORE at X= 1000047, Y= 53, Z= 999919
[2024-03-26 00:33:23] [world] The Player <hexa> has broke STONE at X= 1000047, Y= 52, Z= 999919
[2024-03-26 00:33:25] [world] The Player <hexa> has broke IRON_ORE at X= 1000047, Y= 54, Z= 999918
[2024-03-26 00:33:26] [world] The Player <hexa> has broke IRON_ORE at X= 1000047, Y= 54, Z= 999919
[2024-03-26 00:33:27] [world] The Player <hexa> has broke IRON_ORE at X= 1000048, Y= 53, Z= 999918
[2024-03-26 00:33:27] [world] The Player <hexa> has broke IRON_ORE at X= 1000048, Y= 53, Z= 999919
[2024-03-26 00:33:28] [world] The Player <hexa> has broke IRON_ORE at X= 1000048, Y= 54, Z= 999919
[2024-03-26 00:33:28] [world] The Player <hexa> has broke IRON_ORE at X= 1000048, Y= 54, Z= 999918
[2024-03-26 00:33:28] [world] The Player <hexa> has broke STONE at X= 1000048, Y= 55, Z= 999919
[2024-03-26 00:33:29] [world] The Player <hexa> has broke STONE at X= 1000048, Y= 52, Z= 999918
[2024-03-26 00:33:30] [world] The Player <hexa> has broke STONE at X= 1000048, Y= 52, Z= 999919
[2024-03-26 00:33:31] [world] The Player <hexa> has broke STONE at X= 1000049, Y= 53, Z= 999918
[2024-03-26 00:33:32] [world] The Player <hexa> has broke IRON_ORE at X= 1000049, Y= 53, Z= 999919
[2024-03-26 00:33:32] [world] The Player <hexa> has broke IRON_ORE at X= 1000049, Y= 54, Z= 999919
[2024-03-26 00:33:34] [world] The Player <hexa> has broke STONE at X= 1000049, Y= 51, Z= 999918
[2024-03-26 00:33:34] [world] The Player <hexa> has broke STONE at X= 1000049, Y= 51, Z= 999919
[2024-03-26 00:33:35] [world] The Player <hexa> has broke STONE at X= 1000049, Y= 52, Z= 999919
[2024-03-26 00:33:35] [world] The Player <hexa> has broke STONE at X= 1000050, Y= 52, Z= 999919
[2024-03-26 00:33:36] [world] The Player <hexa> has broke STONE at X= 1000049, Y= 52, Z= 999918
[2024-03-26 00:33:37] [world] The Player <hexa> has broke STONE at X= 1000049, Y= 50, Z= 999918
[2024-03-26 00:33:44] [world] The Player <hexa> has broke STONE at X= 1000045, Y= 48, Z= 999920
[2024-03-26 00:33:45] [world] The Player <hexa> has broke IRON_ORE at X= 1000045, Y= 49, Z= 999920
[2024-03-26 00:33:46] [world] The Player <hexa> has broke IRON_ORE at X= 1000045, Y= 50, Z= 999920
[2024-03-26 00:34:36] [world] The Player <hexa> has broke DIRT at X= 1000064, Y= 61, Z= 999911
[2024-03-26 00:34:42] [world] The Player <hexa> has broke GRASS at X= 1000064, Y= 62, Z= 999911
[2024-03-26 00:37:31] [world] The Player <hexa> has broke TORCH at X= 500002, Y= 25, Z= 48385
[2024-03-26 00:38:04] [world] The Player <hexa> has broke TRAP_DOOR at X= 500004, Y= 22, Z= 48391
[2024-03-26 00:38:12] [world] The Player <hexa> has broke TRAP_DOOR at X= 500004, Y= 22, Z= 48391
[2024-03-26 00:38:17] [world] The Player <hexa> has broke TRAP_DOOR at X= 500004, Y= 22, Z= 48391
[2024-03-26 00:38:24] [world] The Player <hexa> has broke TRAP_DOOR at X= 500004, Y= 22, Z= 48391
[2024-03-26 00:38:55] [world] The Player <hexa> has broke IRON_ORE at X= 500004, Y= 22, Z= 48392
[2024-03-26 00:39:10] [world] The Player <hexa> has broke TRAP_DOOR at X= 500004, Y= 23, Z= 48392
[2024-03-26 00:39:21] [world] The Player <hexa> has broke TRAP_DOOR at X= 500003, Y= 22, Z= 48392
[2024-03-26 00:39:27] [world] The Player <hexa> has broke TRAP_DOOR at X= 500004, Y= 23, Z= 48392
[2024-03-26 00:39:28] [world] The Player <Marshtomp17> has broke NETHER_BRICK at X= -583, Y= 80, Z= 248
[2024-03-26 00:39:46] [world] The Player <hexa> has broke TRAP_DOOR at X= 500004, Y= 22, Z= 48392
[2024-03-26 00:39:47] [world] The Player <hexa> has broke TRAP_DOOR at X= 500005, Y= 22, Z= 48392
[2024-03-26 00:39:48] [world] The Player <Marshtomp17> has broke NETHER_BRICK at X= -584, Y= 80, Z= 248
[2024-03-26 00:43:10] [world] The Player <GolemDaWanderer> has broke REDSTONE_TORCH_ON at X= 9992, Y= 72, Z= -9913
[2024-03-26 00:43:41] [world] The Player <hexa> has broke WALL_SIGN at X= 1000063, Y= 59, Z= 1000008
[2024-03-26 00:43:53] [world] The Player <hexa> has broke WALL_SIGN at X= 1000062, Y= 59, Z= 1000008
[2024-03-26 00:44:41] [world] The Player <hexa> has broke STONE at X= 500004, Y= 28, Z= 48392
[2024-03-26 00:44:42] [world] The Player <hexa> has broke STONE at X= 500004, Y= 29, Z= 48392
[2024-03-26 00:44:46] [world] The Player <GolemDaWanderer> has broke REDSTONE_BLOCK at X= 9984, Y= 73, Z= -9938
[2024-03-26 00:44:53] [world] The Player <hexa> has broke STONE at X= 500005, Y= 29, Z= 48392
[2024-03-26 00:44:53] [world] The Player <Marshtomp17> has broke WALL_SIGN at X= -581, Y= 78, Z= 248
