[2024-03-28 00:56:07] [world] The Player <xcpc> has broke STONE at X= -440, Y= 57, Z= 266
[2024-03-28 01:00:11] [world] The Player <xcpc> has broke STONE at X= -439, Y= 57, Z= 269
[2024-03-28 01:00:12] [world] The Player <xcpc> has broke STONE at X= -439, Y= 56, Z= 269
[2024-03-28 01:00:12] [world] The Player <xcpc> has broke STONE at X= -440, Y= 56, Z= 269
[2024-03-28 01:00:13] [world] The Player <xcpc> has broke STONE at X= -441, Y= 56, Z= 269
[2024-03-28 01:00:14] [world] The Player <xcpc> has broke STONE at X= -441, Y= 56, Z= 270
[2024-03-28 01:00:14] [world] The Player <xcpc> has broke STONE at X= -440, Y= 56, Z= 270
[2024-03-28 01:00:15] [world] The Player <xcpc> has broke STONE at X= -439, Y= 56, Z= 270
[2024-03-28 01:00:16] [world] The Player <xcpc> has broke STONE at X= -439, Y= 57, Z= 270
[2024-03-28 01:00:17] [world] The Player <xcpc> has broke STONE at X= -439, Y= 58, Z= 270
[2024-03-28 01:00:17] [world] The Player <xcpc> has broke STONE at X= -440, Y= 57, Z= 271
[2024-03-28 01:00:19] [world] The Player <xcpc> has broke COAL_ORE at X= -440, Y= 58, Z= 271
[2024-03-28 01:00:20] [world] The Player <xcpc> has broke COAL_ORE at X= -441, Y= 58, Z= 271
[2024-03-28 01:00:20] [world] The Player <xcpc> has broke STONE at X= -441, Y= 57, Z= 271
[2024-03-28 01:00:22] [world] The Player <xcpc> has broke COAL_ORE at X= -440, Y= 59, Z= 271
[2024-03-28 01:00:23] [world] The Player <xcpc> has broke COAL_ORE at X= -440, Y= 58, Z= 272
[2024-03-28 01:00:24] [world] The Player <xcpc> has broke COAL_ORE at X= -440, Y= 59, Z= 272
[2024-03-28 01:00:26] [world] The Player <xcpc> has broke COAL_ORE at X= -439, Y= 59, Z= 272
[2024-03-28 01:00:27] [world] The Player <xcpc> has broke COAL_ORE at X= -439, Y= 58, Z= 272
[2024-03-28 01:00:29] [world] The Player <xcpc> has broke COAL_ORE at X= -441, Y= 59, Z= 272
[2024-03-28 01:00:30] [world] The Player <xcpc> has broke COAL_ORE at X= -441, Y= 58, Z= 272
[2024-03-28 01:00:32] [world] The Player <xcpc> has broke COAL_ORE at X= -441, Y= 59, Z= 271
[2024-03-28 01:00:33] [world] The Player <xcpc> has broke COAL_ORE at X= -442, Y= 59, Z= 272
[2024-03-28 01:00:34] [world] The Player <xcpc> has broke COAL_ORE at X= -442, Y= 58, Z= 272
[2024-03-28 01:00:35] [world] The Player <xcpc> has broke COAL_ORE at X= -442, Y= 59, Z= 271
[2024-03-28 01:00:36] [world] The Player <xcpc> has broke COAL_ORE at X= -442, Y= 58, Z= 271
[2024-03-28 01:00:37] [world] The Player <xcpc> has broke COAL_ORE at X= -443, Y= 59, Z= 272
[2024-03-28 01:00:38] [world] The Player <xcpc> has broke COAL_ORE at X= -443, Y= 58, Z= 272
[2024-03-28 01:00:40] [world] The Player <xcpc> has broke COAL_ORE at X= -443, Y= 59, Z= 271
[2024-03-28 01:00:41] [world] The Player <xcpc> has broke COAL_ORE at X= -443, Y= 58, Z= 271
[2024-03-28 01:02:17] [world] The Player <xcpc> has broke STONE at X= -440, Y= 57, Z= 260
[2024-03-28 01:02:18] [world] The Player <xcpc> has broke STONE at X= -440, Y= 57, Z= 259
[2024-03-28 01:02:19] [world] The Player <xcpc> has broke STONE at X= -439, Y= 57, Z= 260
[2024-03-28 01:02:20] [world] The Player <xcpc> has broke STONE at X= -439, Y= 57, Z= 259
[2024-03-28 01:02:21] [world] The Player <xcpc> has broke STONE at X= -440, Y= 58, Z= 260
[2024-03-28 01:02:22] [world] The Player <xcpc> has broke COBBLESTONE at X= -441, Y= 58, Z= 260
[2024-03-28 01:02:23] [world] The Player <xcpc> has broke COBBLESTONE at X= -441, Y= 57, Z= 260
[2024-03-28 01:02:24] [world] The Player <xcpc> has broke STONE at X= -440, Y= 56, Z= 260
[2024-03-28 01:02:25] [world] The Player <xcpc> has broke STONE at X= -441, Y= 56, Z= 260
[2024-03-28 01:02:25] [world] The Player <xcpc> has broke COBBLESTONE at X= -441, Y= 57, Z= 259
[2024-03-28 01:02:26] [world] The Player <xcpc> has broke COBBLESTONE at X= -441, Y= 58, Z= 259
[2024-03-28 01:02:27] [world] The Player <xcpc> has broke COBBLESTONE at X= -440, Y= 58, Z= 259
[2024-03-28 01:02:28] [world] The Player <xcpc> has broke STONE at X= -439, Y= 58, Z= 260
[2024-03-28 01:02:28] [world] The Player <xcpc> has broke STONE at X= -439, Y= 58, Z= 259
[2024-03-28 01:02:29] [world] The Player <xcpc> has broke STONE at X= -439, Y= 56, Z= 260
[2024-03-28 01:02:30] [world] The Player <xcpc> has broke STONE at X= -439, Y= 56, Z= 259
[2024-03-28 01:02:31] [world] The Player <xcpc> has broke STONE at X= -440, Y= 56, Z= 259
[2024-03-28 01:02:31] [world] The Player <xcpc> has broke STONE at X= -441, Y= 56, Z= 259
[2024-03-28 01:02:32] [world] The Player <xcpc> has broke STONE at X= -440, Y= 57, Z= 258
[2024-03-28 01:02:33] [world] The Player <xcpc> has broke STONE at X= -440, Y= 56, Z= 258
[2024-03-28 01:02:33] [world] The Player <xcpc> has broke STONE at X= -439, Y= 57, Z= 258
[2024-03-28 01:02:34] [world] The Player <xcpc> has broke STONE at X= -439, Y= 56, Z= 258
[2024-03-28 01:02:35] [world] The Player <xcpc> has broke STONE at X= -439, Y= 58, Z= 258
[2024-03-28 01:02:36] [world] The Player <xcpc> has broke STONE at X= -440, Y= 58, Z= 258
[2024-03-28 01:02:36] [world_the_end] The Player <Heinrich_Himmler> has broke IRON_DOOR_BLOCK at X= -9, Y= 59, Z= -66
[2024-03-28 01:55:45] [world] The Player <Tester> has broke OBSIDIAN at X= -10184, Y= 74, Z= 4007
[2024-03-28 01:55:46] [world] The Player <Tester> has broke OBSIDIAN at X= -10184, Y= 75, Z= 4007
[2024-03-28 01:55:47] [world] The Player <Tester> has broke OBSIDIAN at X= -10184, Y= 76, Z= 4007
[2024-03-28 01:55:48] [world] The Player <Tester> has broke OBSIDIAN at X= -10184, Y= 71, Z= 4007
[2024-03-28 01:55:48] [world] The Player <Tester> has broke OBSIDIAN at X= -10184, Y= 70, Z= 4007
[2024-03-28 01:55:49] [world] The Player <Tester> has broke OBSIDIAN at X= -10184, Y= 72, Z= 4007
[2024-03-28 01:55:49] [world] The Player <Tester> has broke OBSIDIAN at X= -10184, Y= 73, Z= 4007
[2024-03-28 01:56:51] [world] The Player <Tester> has broke STONE at X= -10326, Y= 77, Z= 3894
[2024-03-28 01:56:52] [world] The Player <Tester> has broke STONE at X= -10326, Y= 77, Z= 3893
[2024-03-28 01:56:52] [world] The Player <Tester> has broke STONE at X= -10326, Y= 76, Z= 3893
[2024-03-28 01:56:52] [world] The Player <Tester> has broke STONE at X= -10327, Y= 76, Z= 3893
[2024-03-28 01:56:53] [world] The Player <Tester> has broke STONE at X= -10326, Y= 75, Z= 3893
[2024-03-28 01:56:53] [world] The Player <Tester> has broke STONE at X= -10326, Y= 76, Z= 3894
[2024-03-28 01:56:53] [world] The Player <Tester> has broke STONE at X= -10326, Y= 75, Z= 3894
[2024-03-28 01:56:54] [world] The Player <Tester> has broke STONE at X= -10326, Y= 74, Z= 3894
[2024-03-28 01:56:54] [world] The Player <Tester> has broke GRASS at X= -10326, Y= 67, Z= 3893
[2024-03-28 01:56:54] [world] The Player <Tester> has broke LONG_GRASS at X= -10326, Y= 68, Z= 3894
[2024-03-28 01:57:06] [world] The Player <Tester> has broke STONE at X= -10313, Y= 111, Z= 3839
[2024-03-28 01:57:07] [world] The Player <Tester> has broke STONE at X= -10313, Y= 110, Z= 3839
[2024-03-28 01:57:08] [world] The Player <Tester> has broke STONE at X= -10313, Y= 109, Z= 3839
[2024-03-28 01:57:09] [world] The Player <Tester> has broke STONE at X= -10313, Y= 108, Z= 3839
[2024-03-28 01:57:10] [world] The Player <Tester> has broke STONE at X= -10313, Y= 112, Z= 3839
[2024-03-28 01:57:10] [world] The Player <Tester> has broke STONE at X= -10313, Y= 113, Z= 3839
[2024-03-28 01:57:10] [world] The Player <Tester> has broke STONE at X= -10313, Y= 114, Z= 3839
[2024-03-28 01:58:43] [world] The Player <Tester> has broke STONE at X= -10308, Y= 114, Z= 3838
[2024-03-28 01:58:45] [world] The Player <Tester> has broke STONE at X= -10308, Y= 113, Z= 3838
[2024-03-28 01:58:45] [world] The Player <Tester> has broke STONE at X= -10309, Y= 113, Z= 3838
[2024-03-28 01:58:45] [world] The Player <Tester> has broke STONE at X= -10308, Y= 113, Z= 3840
[2024-03-28 01:58:45] [world] The Player <Tester> has broke STONE at X= -10308, Y= 114, Z= 3839
[2024-03-28 01:58:49] [world] The Player <Tester> has broke STONE at X= -10308, Y= 118, Z= 3839
[2024-03-28 01:58:50] [world] The Player <Tester> has broke STONE at X= -10309, Y= 119, Z= 3838
[2024-03-28 01:58:50] [world] The Player <Tester> has broke STONE at X= -10310, Y= 119, Z= 3838
[2024-03-28 01:58:51] [world] The Player <Tester> has broke STONE at X= -10311, Y= 119, Z= 3838
[2024-03-28 01:58:55] [world] The Player <Tester> has broke STONE at X= -10308, Y= 126, Z= 3838
[2024-03-28 01:58:55] [world] The Player <Tester> has broke STONE at X= -10308, Y= 128, Z= 3838
[2024-03-28 01:58:56] [world] The Player <Tester> has broke STONE at X= -10308, Y= 130, Z= 3838
[2024-03-28 01:59:52] [world] The Player <Tester> has broke STONE at X= -10315, Y= 134, Z= 3838
[2024-03-28 02:00:01] [world] The Player <Tester> has broke STONE at X= -10315, Y= 134, Z= 3834
[2024-03-28 02:01:41] [world] The Player <Tester> has broke LONG_GRASS at X= -10327, Y= 68, Z= 3824
[2024-03-28 02:01:42] [world] The Player <Tester> has broke GRASS at X= -10327, Y= 67, Z= 3824
[2024-03-28 02:02:02] [world] The Player <Tester> has broke STONE at X= -10328, Y= 69, Z= 3824
[2024-03-28 02:02:02] [world] The Player <Tester> has broke STONE at X= -10328, Y= 68, Z= 3824
[2024-03-28 02:02:03] [world] The Player <Tester> has broke STONE at X= -10328, Y= 69, Z= 3823
[2024-03-28 02:02:04] [world] The Player <Tester> has broke STONE at X= -10329, Y= 68, Z= 3823
[2024-03-28 02:02:05] [world] The Player <Tester> has broke STONE at X= -10330, Y= 67, Z= 3823
[2024-03-28 02:02:06] [world] The Player <Tester> has broke GRASS at X= -10331, Y= 67, Z= 3823
[2024-03-28 02:09:17] [world_the_end] The Player <Tester> has broke NETHER_BRICK at X= 44, Y= 9, Z= 198
[2024-03-28 02:09:18] [world_the_end] The Player <Tester> has broke NETHER_BRICK at X= 44, Y= 8, Z= 198
[2024-03-28 02:09:19] [world_the_end] The Player <Tester> has broke NETHER_BRICK at X= 44, Y= 7, Z= 198
[2024-03-28 02:12:21] [world_the_end] The Player <Heinrich_Himmler> has broke IRON_ORE at X= 44, Y= 16, Z= 201
[2024-03-28 02:12:21] [world_the_end] The Player <Heinrich_Himmler> has broke IRON_ORE at X= 44, Y= 16, Z= 200
[2024-03-28 02:12:22] [world_the_end] The Player <Heinrich_Himmler> has broke IRON_ORE at X= 44, Y= 16, Z= 199
[2024-03-28 02:12:22] [world_the_end] The Player <Heinrich_Himmler> has broke IRON_ORE at X= 45, Y= 16, Z= 199
[2024-03-28 02:12:23] [world_the_end] The Player <Heinrich_Himmler> has broke IRON_ORE at X= 45, Y= 16, Z= 200
[2024-03-28 02:12:29] [world_the_end] The Player <Heinrich_Himmler> has broke STONE at X= 40, Y= 11, Z= 198
[2024-03-28 02:12:42] [world_the_end] The Player <Feathery> has broke STONE at X= 40, Y= 20, Z= 195
[2024-03-28 02:12:43] [world_the_end] The Player <Feathery> has broke STONE at X= 40, Y= 21, Z= 195
[2024-03-28 02:12:44] [world_the_end] The Player <Feathery> has broke STONE at X= 40, Y= 22, Z= 195
[2024-03-28 02:14:16] [world_the_end] The Player <Heinrich_Himmler> has broke COAL_ORE at X= 34, Y= 16, Z= 195
[2024-03-28 02:14:16] [world_the_end] The Player <Heinrich_Himmler> has broke COAL_ORE at X= 34, Y= 15, Z= 195
[2024-03-28 02:14:17] [world_the_end] The Player <Heinrich_Himmler> has broke COAL_ORE at X= 35, Y= 15, Z= 195
[2024-03-28 02:14:17] [world_the_end] The Player <Heinrich_Himmler> has broke COAL_ORE at X= 35, Y= 16, Z= 196
[2024-03-28 02:14:18] [world_the_end] The Player <Heinrich_Himmler> has broke COAL_ORE at X= 35, Y= 15, Z= 196
[2024-03-28 02:14:18] [world_the_end] The Player <Heinrich_Himmler> has broke COAL_ORE at X= 34, Y= 16, Z= 196
[2024-03-28 02:14:19] [world_the_end] The Player <Heinrich_Himmler> has broke COAL_ORE at X= 34, Y= 15, Z= 196
[2024-03-28 02:14:19] [world_the_end] The Player <Heinrich_Himmler> has broke COAL_ORE at X= 34, Y= 15, Z= 197
[2024-03-28 02:14:20] [world_the_end] The Player <Heinrich_Himmler> has broke COAL_ORE at X= 34, Y= 16, Z= 197
[2024-03-28 02:14:20] [world_the_end] The Player <Heinrich_Himmler> has broke STONE at X= 33, Y= 16, Z= 197
[2024-03-28 02:14:21] [world_the_end] The Player <Heinrich_Himmler> has broke COAL_ORE at X= 33, Y= 15, Z= 197
[2024-03-28 02:14:21] [world_the_end] The Player <Heinrich_Himmler> has broke COAL_ORE at X= 33, Y= 16, Z= 196
[2024-03-28 02:14:22] [world_the_end] The Player <Heinrich_Himmler> has broke COAL_ORE at X= 33, Y= 15, Z= 196
[2024-03-28 02:14:22] [world_the_end] The Player <Heinrich_Himmler> has broke COAL_ORE at X= 33, Y= 15, Z= 195
[2024-03-28 02:14:29] [world_the_end] The Player <Heinrich_Himmler> has broke COAL_BLOCK at X= 37, Y= 16, Z= 193
[2024-03-28 02:14:30] [world_the_end] The Player <Heinrich_Himmler> has broke COAL_BLOCK at X= 37, Y= 16, Z= 192
[2024-03-28 02:14:30] [world_the_end] The Player <Heinrich_Himmler> has broke COAL_BLOCK at X= 37, Y= 16, Z= 191
[2024-03-28 02:14:31] [world_the_end] The Player <Heinrich_Himmler> has broke COAL_BLOCK at X= 38, Y= 16, Z= 192
[2024-03-28 02:14:32] [world_the_end] The Player <Heinrich_Himmler> has broke COAL_BLOCK at X= 36, Y= 16, Z= 192
[2024-03-28 02:14:33] [world_the_end] The Player <Heinrich_Himmler> has broke COAL_BLOCK at X= 36, Y= 15, Z= 192
[2024-03-28 02:14:33] [world_the_end] The Player <Heinrich_Himmler> has broke COAL_BLOCK at X= 37, Y= 15, Z= 192
[2024-03-28 02:14:34] [world_the_end] The Player <Heinrich_Himmler> has broke COAL_BLOCK at X= 38, Y= 15, Z= 192
[2024-03-28 02:14:34] [world_the_end] The Player <Heinrich_Himmler> has broke COAL_BLOCK at X= 38, Y= 15, Z= 193
[2024-03-28 02:14:35] [world_the_end] The Player <Heinrich_Himmler> has broke COAL_BLOCK at X= 37, Y= 15, Z= 193
[2024-03-28 02:14:35] [world_the_end] The Player <Heinrich_Himmler> has broke COAL_BLOCK at X= 36, Y= 15, Z= 193
[2024-03-28 02:14:36] [world_the_end] The Player <Heinrich_Himmler> has broke COAL_BLOCK at X= 36, Y= 15, Z= 191
[2024-03-28 02:14:37] [world_the_end] The Player <Heinrich_Himmler> has broke COAL_BLOCK at X= 37, Y= 15, Z= 191
[2024-03-28 02:14:37] [world_the_end] The Player <Heinrich_Himmler> has broke COAL_BLOCK at X= 38, Y= 15, Z= 191
[2024-03-28 02:14:38] [world_the_end] The Player <Heinrich_Himmler> has broke COAL_BLOCK at X= 37, Y= 14, Z= 192
[2024-03-28 02:14:38] [world_the_end] The Player <Heinrich_Himmler> has broke COAL_BLOCK at X= 37, Y= 14, Z= 193
[2024-03-28 02:14:39] [world_the_end] The Player <Heinrich_Himmler> has broke COAL_BLOCK at X= 36, Y= 14, Z= 192
[2024-03-28 02:14:40] [world_the_end] The Player <Heinrich_Himmler> has broke COAL_BLOCK at X= 37, Y= 14, Z= 191
[2024-03-28 02:14:40] [world_the_end] The Player <Heinrich_Himmler> has broke STONE at X= 38, Y= 14, Z= 191
[2024-03-28 02:14:41] [world_the_end] The Player <Heinrich_Himmler> has broke COAL_BLOCK at X= 38, Y= 14, Z= 192
[2024-03-28 02:14:48] [world_the_end] The Player <Heinrich_Himmler> has broke COAL_ORE at X= 35, Y= 15, Z= 197
[2024-03-28 02:14:48] [world_the_end] The Player <Heinrich_Himmler> has broke COAL_ORE at X= 34, Y= 14, Z= 197
[2024-03-28 02:14:49] [world_the_end] The Player <Heinrich_Himmler> has broke COAL_ORE at X= 34, Y= 14, Z= 196
[2024-03-28 02:14:49] [world_the_end] The Player <Heinrich_Himmler> has broke COAL_ORE at X= 35, Y= 14, Z= 196
[2024-03-28 02:14:50] [world_the_end] The Player <Heinrich_Himmler> has broke COAL_ORE at X= 33, Y= 14, Z= 196
[2024-03-28 02:14:51] [world_the_end] The Player <Heinrich_Himmler> has broke COAL_ORE at X= 34, Y= 14, Z= 195
[2024-03-28 02:14:51] [world_the_end] The Player <Feathery> has broke STONE at X= 22, Y= 24, Z= 237
[2024-03-28 02:14:51] [world_the_end] The Player <Feathery> has broke STONE at X= 22, Y= 23, Z= 237
[2024-03-28 02:14:52] [world_the_end] The Player <Feathery> has broke STONE at X= 23, Y= 24, Z= 237
[2024-03-28 02:14:52] [world_the_end] The Player <Feathery> has broke STONE at X= 23, Y= 23, Z= 237
[2024-03-28 02:14:53] [world_the_end] The Player <Feathery> has broke STONE at X= 24, Y= 24, Z= 237
[2024-03-28 02:14:53] [world_the_end] The Player <Feathery> has broke STONE at X= 24, Y= 23, Z= 237
[2024-03-28 02:14:53] [world_the_end] The Player <Feathery> has broke STONE at X= 25, Y= 24, Z= 237
[2024-03-28 02:14:54] [world_the_end] The Player <Feathery> has broke STONE at X= 25, Y= 23, Z= 237
[2024-03-28 02:14:54] [world_the_end] The Player <Feathery> has broke STONE at X= 26, Y= 24, Z= 237
[2024-03-28 02:14:54] [world_the_end] The Player <Feathery> has broke STONE at X= 26, Y= 23, Z= 237
[2024-03-28 02:14:54] [world_the_end] The Player <Feathery> has broke STONE at X= 27, Y= 24, Z= 237
[2024-03-28 02:14:55] [world_the_end] The Player <Feathery> has broke STONE at X= 27, Y= 23, Z= 237
[2024-03-28 02:16:45] [world_the_end] The Player <Feathery> has broke ENDER_STONE at X= 60, Y= 32, Z= 216
[2024-03-28 02:16:46] [world_the_end] The Player <Feathery> has broke ENDER_STONE at X= 60, Y= 33, Z= 216
[2024-03-28 02:16:46] [world_the_end] The Player <Feathery> has broke ENDER_STONE at X= 60, Y= 33, Z= 217
[2024-03-28 02:16:46] [world_the_end] The Player <Feathery> has broke ENDER_STONE at X= 60, Y= 34, Z= 216
[2024-03-28 02:16:47] [world_the_end] The Player <Feathery> has broke ENDER_STONE at X= 60, Y= 35, Z= 216
[2024-03-28 02:16:47] [world_the_end] The Player <Feathery> has broke ENDER_STONE at X= 60, Y= 36, Z= 216
[2024-03-28 02:16:58] [world_the_end] The Player <Feathery> has broke ENDER_STONE at X= 56, Y= 31, Z= 226
[2024-03-28 02:17:05] [world_the_end] The Player <Tester> has broke STONE at X= 14, Y= 43, Z= 213
[2024-03-28 02:17:06] [world_the_end] The Player <Tester> has broke STONE at X= 14, Y= 42, Z= 213
[2024-03-28 02:17:07] [world_the_end] The Player <Tester> has broke STONE at X= 13, Y= 43, Z= 213
[2024-03-28 02:17:07] [world_the_end] The Player <Tester> has broke STONE at X= 12, Y= 43, Z= 213
[2024-03-28 02:17:07] [world_the_end] The Player <Tester> has broke STONE at X= 11, Y= 43, Z= 213
[2024-03-28 02:17:08] [world_the_end] The Player <Tester> has broke STONE at X= 13, Y= 42, Z= 213
[2024-03-28 02:17:08] [world_the_end] The Player <Tester> has broke STONE at X= 12, Y= 42, Z= 213
[2024-03-28 02:17:08] [world_the_end] The Player <Tester> has broke STONE at X= 11, Y= 42, Z= 213
[2024-03-28 02:17:09] [world_the_end] The Player <Tester> has broke STONE at X= 10, Y= 42, Z= 213
[2024-03-28 02:17:09] [world_the_end] The Player <Tester> has broke STONE at X= 10, Y= 43, Z= 213
[2024-03-28 02:17:30] [world_the_end] The Player <Tester> has broke STONE at X= 12, Y= 42, Z= 211
[2024-03-28 02:17:31] [world_the_end] The Player <Tester> has broke STONE at X= 12, Y= 42, Z= 212
[2024-03-28 02:17:31] [world_the_end] The Player <Tester> has broke STONE at X= 12, Y= 42, Z= 214
[2024-03-28 02:17:31] [world_the_end] The Player <Tester> has broke STONE at X= 12, Y= 42, Z= 215
[2024-03-28 02:17:32] [world_the_end] The Player <Tester> has broke STONE at X= 12, Y= 43, Z= 211
[2024-03-28 02:17:32] [world_the_end] The Player <Tester> has broke STONE at X= 12, Y= 43, Z= 212
[2024-03-28 02:17:32] [world_the_end] The Player <Tester> has broke STONE at X= 12, Y= 43, Z= 214
[2024-03-28 02:17:32] [world_the_end] The Player <Tester> has broke STONE at X= 12, Y= 43, Z= 215
[2024-03-28 02:17:49] [world_the_end] The Player <Feathery> has broke ENDER_STONE at X= 70, Y= 43, Z= 245
[2024-03-28 02:17:49] [world_the_end] The Player <Feathery> has broke ENDER_STONE at X= 71, Y= 43, Z= 245
[2024-03-28 02:17:49] [world_the_end] The Player <Feathery> has broke ENDER_STONE at X= 71, Y= 44, Z= 245
[2024-03-28 02:17:50] [world_the_end] The Player <Feathery> has broke ENDER_STONE at X= 72, Y= 43, Z= 245
[2024-03-28 02:17:50] [world_the_end] The Player <Feathery> has broke ENDER_STONE at X= 70, Y= 44, Z= 245
[2024-03-28 02:17:50] [world_the_end] The Player <Feathery> has broke ENDER_STONE at X= 71, Y= 45, Z= 245
[2024-03-28 02:17:51] [world_the_end] The Player <Feathery> has broke ENDER_STONE at X= 72, Y= 44, Z= 245
[2024-03-28 02:17:54] [world_the_end] The Player <Feathery> has broke ENDER_STONE at X= 72, Y= 45, Z= 246
[2024-03-28 02:17:54] [world_the_end] The Player <Feathery> has broke ENDER_STONE at X= 71, Y= 46, Z= 244
[2024-03-28 02:17:58] [world_the_end] The Player <Feathery> has broke ENDER_STONE at X= 67, Y= 38, Z= 236
[2024-03-28 02:17:58] [world_the_end] The Player <Feathery> has broke ENDER_STONE at X= 67, Y= 37, Z= 236
[2024-03-28 02:17:58] [world_the_end] The Player <Feathery> has broke ENDER_STONE at X= 66, Y= 37, Z= 236
[2024-03-28 02:17:59] [world_the_end] The Player <Feathery> has broke ENDER_STONE at X= 66, Y= 38, Z= 236
[2024-03-28 02:17:59] [world_the_end] The Player <Feathery> has broke ENDER_STONE at X= 65, Y= 37, Z= 236
[2024-03-28 02:17:59] [world_the_end] The Player <Feathery> has broke ENDER_STONE at X= 64, Y= 37, Z= 236
[2024-03-28 02:18:00] [world_the_end] The Player <Feathery> has broke ENDER_STONE at X= 65, Y= 38, Z= 236
[2024-03-28 02:18:00] [world_the_end] The Player <Feathery> has broke ENDER_STONE at X= 64, Y= 38, Z= 236
[2024-03-28 02:18:55] [world_the_end] The Player <Tester> has broke STONE at X= 22, Y= 56, Z= 206
[2024-03-28 02:18:55] [world_the_end] The Player <Tester> has broke STONE at X= 22, Y= 56, Z= 205
[2024-03-28 02:18:56] [world_the_end] The Player <Tester> has broke STONE at X= 21, Y= 56, Z= 205
[2024-03-28 02:18:56] [world_the_end] The Player <Tester> has broke STONE at X= 21, Y= 56, Z= 204
[2024-03-28 02:18:56] [world_the_end] The Player <Tester> has broke STONE at X= 21, Y= 56, Z= 203
[2024-03-28 02:18:57] [world_the_end] The Player <Tester> has broke STONE at X= 22, Y= 57, Z= 206
[2024-03-28 02:18:57] [world_the_end] The Player <Tester> has broke STONE at X= 22, Y= 57, Z= 205
[2024-03-28 02:18:57] [world_the_end] The Player <Tester> has broke STONE at X= 22, Y= 58, Z= 206
[2024-03-28 02:18:57] [world_the_end] The Player <Tester> has broke STONE at X= 22, Y= 59, Z= 206
[2024-03-28 02:19:20] [world_the_end] The Player <Tester> has broke ENDER_STONE at X= 21, Y= 61, Z= 197
