[2024-03-17 22:32:53] [world_nether] The Player <Heinrich_Himmler> has died with 12 level(s) at X= 12501, Y= 103, Z= -2 | caused by FALL | 
[2024-03-18 00:01:16] [world_the_end] The Player <NezukoChan> has died with 24 level(s) at X= -168, Y= 105, Z= 38 | caused by FALL | 
[2024-03-18 00:01:34] [world_the_end] The Player <NezukoChan> has died with 24 level(s) at X= -168, Y= 105, Z= 39 | caused by FALL | 
[2024-03-18 00:03:08] [world_the_end] The Player <NezukoChan> has died with 24 level(s) at X= -167, Y= -194, Z= 44 | caused by VOID | 
[2024-03-18 00:06:47] [world_the_end] The Player <Tester> has died with 32 level(s) at X= -165, Y= 101, Z= 42 | caused by ENTITY_ATTACK | 
[2024-03-18 00:07:46] [world_the_end] The Player <NezukoChan> has died with 24 level(s) at X= -168, Y= 104, Z= 39 | caused by FALL | 
[2024-03-18 00:08:01] [world_the_end] The Player <NezukoChan> has died with 24 level(s) at X= -168, Y= 104, Z= 39 | caused by FALL | 
[2024-03-18 00:08:26] [world_the_end] The Player <NezukoChan> has died with 24 level(s) at X= -168, Y= 105, Z= 39 | caused by FALL | 
[2024-03-18 00:08:40] [world_the_end] The Player <NezukoChan> has died with 24 level(s) at X= -168, Y= 104, Z= 39 | caused by FALL | 
[2024-03-18 00:10:04] [world_the_end] The Player <NezukoChan> has died with 24 level(s) at X= -184, Y= -133, Z= 48 | caused by VOID | 
[2024-03-18 00:11:29] [world_the_end] The Player <Tester> has died with 32 level(s) at X= -177, Y= -165, Z= 35 | caused by VOID | 
[2024-03-18 00:11:43] [world_the_end] The Player <NezukoChan> has died with 24 level(s) at X= -169, Y= 101, Z= 45 | caused by ENTITY_ATTACK | 
[2024-03-18 00:17:42] [world_the_end] The Player <NezukoChan> has died with 24 level(s) at X= -165, Y= -199, Z= 50 | caused by VOID | 
[2024-03-18 00:22:19] [world] The Player <bagelz> has died with 28 level(s) at X= -531, Y= 70, Z= 266 | caused by LAVA | 
[2024-03-18 00:26:32] [world_nether] The Player <Heinrich_Himmler> has died with 12 level(s) at X= -208, Y= 30, Z= 113 | caused by LAVA | 
[2024-03-18 00:27:20] [world] The Player <Tester> has died with 32 level(s) at X= 1, Y= -189, Z= 8 | caused by VOID | 
[2024-03-18 00:27:45] [world_nether] The Player <Heinrich_Himmler> has died with 12 level(s) at X= -93, Y= 31, Z= 72 | caused by LAVA | 
[2024-03-18 00:30:26] [world_nether] The Player <Heinrich_Himmler> has died with 12 level(s) at X= -93, Y= 34, Z= 69 | caused by FIRE_TICK | 
[2024-03-18 00:32:54] [world_the_end] The Player <Heinrich_Himmler> has died with 12 level(s) at X= 106, Y= -93, Z= -1 | caused by VOID | 
[2024-03-18 00:38:02] [world] The Player <Tester> has died with 32 level(s) at X= -593, Y= 64, Z= 370 | caused by Player | Koi
[2024-03-18 00:39:50] [world_the_end] The Player <Tester> has died with 32 level(s) at X= 100, Y= 36, Z= 0 | caused by FALL | 
[2024-03-18 00:41:22] [world_the_end] The Player <Tester> has died with 32 level(s) at X= -12, Y= 59, Z= 8 | caused by FALL | 
[2024-03-18 00:42:00] [world_the_end] The Player <Tester> has died with 32 level(s) at X= -25, Y= 73, Z= -6 | caused by FALL | 
[2024-03-18 00:43:39] [world_the_end] The Player <Milk_Frog> has died with 17 level(s) at X= 57, Y= -96, Z= 213 | caused by VOID | 
[2024-03-18 00:44:36] [world_the_end] The Player <Heinrich_Himmler> has died with 12 level(s) at X= 7, Y= 59, Z= 15 | caused by ENTITY_ATTACK | 
[2024-03-18 00:47:26] [world_nether] The Player <Heinrich_Himmler> has died with 12 level(s) at X= -86, Y= 51, Z= 54 | caused by ENTITY_ATTACK | 
[2024-03-18 00:48:59] [world_nether] The Player <Heinrich_Himmler> has died with 12 level(s) at X= -61, Y= 31, Z= 131 | caused by LAVA | 
[2024-03-18 00:49:42] [world_nether] The Player <Heinrich_Himmler> has died with 12 level(s) at X= -90, Y= 28, Z= 158 | caused by LAVA | 
[2024-03-18 00:50:03] [world_nether] The Player <Heinrich_Himmler> has died with 12 level(s) at X= -75, Y= 52, Z= 40 | caused by ENTITY_ATTACK | 
[2024-03-18 00:50:10] [world] The Player <Heinrich_Himmler> has died with 12 level(s) at X= -570, Y= 69, Z= 317 | caused by ENTITY_ATTACK | 
[2024-03-18 00:50:27] [world_the_end] The Player <Heinrich_Himmler> has died with 12 level(s) at X= 109, Y= -93, Z= -6 | caused by VOID | 
[2024-03-18 00:51:15] [world_nether] The Player <Heinrich_Himmler> has died with 12 level(s) at X= -70, Y= 52, Z= 37 | caused by Player | Koi
[2024-03-18 00:53:21] [world_nether] The Player <Heinrich_Himmler> has died with 12 level(s) at X= -64, Y= 31, Z= 31 | caused by LAVA | 
[2024-03-18 00:56:55] [world_the_end] The Player <Heinrich_Himmler> has died with 12 level(s) at X= 98, Y= 36, Z= 0 | caused by FALL | 
[2024-03-18 00:57:41] [world_the_end] The Player <Heinrich_Himmler> has died with 12 level(s) at X= 36, Y= 61, Z= 24 | caused by ENTITY_ATTACK | 
[2024-03-18 00:58:51] [world_the_end] The Player <Heinrich_Himmler> has died with 12 level(s) at X= 39, Y= 61, Z= 28 | caused by ENTITY_ATTACK | 
[2024-03-18 00:59:24] [world_the_end] The Player <Heinrich_Himmler> has died with 12 level(s) at X= 37, Y= 61, Z= 28 | caused by ENTITY_ATTACK | 
[2024-03-18 01:02:57] [world_the_end] The Player <Koi> has died with 35 level(s) at X= 34, Y= 63, Z= 24 | caused by VOID | 
[2024-03-18 01:02:57] [world_the_end] The Player <Milk_Frog> has died with 17 level(s) at X= 30, Y= 63, Z= 17 | caused by VOID | 
[2024-03-18 01:02:57] [world] The Player <NezukoChan> has died with 24 level(s) at X= -620, Y= 72, Z= 317 | caused by VOID | 
[2024-03-18 01:02:57] [world_nether] The Player <Heinrich_Himmler> has died with 12 level(s) at X= 12498, Y= 128, Z= -1 | caused by VOID | 
[2024-03-18 01:03:07] [world] The Player <Heinrich_Himmler> has died with 12 level(s) at X= -569, Y= 69, Z= 315 | caused by Player | NezukoChan
[2024-03-18 01:07:25] [world_the_end] The Player <NezukoChan> has died with 24 level(s) at X= -11, Y= 59, Z= 62 | caused by FALL | 
[2024-03-18 01:18:08] [world_nether] The Player <Heinrich_Himmler> has died with 16 level(s) at X= 12497, Y= 77, Z= -13 | caused by FIRE | 
[2024-03-18 01:21:43] [world_the_end] The Player <Heinrich_Himmler> has died with 16 level(s) at X= 36, Y= 62, Z= 24 | caused by LAVA | 
