[2024-03-25 20:44:18] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -10177, Y= 67, Z= 4112
[2024-03-26 13:28:58] [world] The Player <NezukoChan> has emptied WATER BUCKET at X= -548, Y= 61, Z= 294
[2024-03-26 13:29:24] [world] The Player <NezukoChan> has emptied WATER BUCKET at X= -546, Y= 63, Z= 295
[2024-03-26 13:29:50] [world] The Player <NezukoChan> has emptied WATER BUCKET at X= -547, Y= 63, Z= 295
[2024-03-26 13:32:00] [world] The Player <hexa> has emptied WATER BUCKET at X= -454, Y= 30, Z= 315
[2024-03-26 13:32:17] [world] The Player <hexa> has emptied WATER BUCKET at X= -454, Y= 6, Z= 312
[2024-03-26 13:32:30] [world] The Player <hexa> has emptied WATER BUCKET at X= -453, Y= 10, Z= 309
[2024-03-26 13:32:31] [world] The Player <hexa> has emptied WATER BUCKET at X= -453, Y= 10, Z= 309
[2024-03-26 13:34:08] [world] The Player <hexa> has emptied WATER BUCKET at X= -473, Y= 11, Z= 287
[2024-03-26 13:34:33] [world] The Player <hexa> has emptied WATER BUCKET at X= -473, Y= 11, Z= 303
[2024-03-26 13:36:06] [world] The Player <hexa> has emptied WATER BUCKET at X= -466, Y= 11, Z= 348
[2024-03-26 13:36:20] [world] The Player <hexa> has emptied WATER BUCKET at X= -466, Y= 11, Z= 355
[2024-03-26 13:38:53] [world] The Player <hexa> has emptied WATER BUCKET at X= -466, Y= 11, Z= 407
[2024-03-26 13:39:15] [world] The Player <hexa> has emptied WATER BUCKET at X= -467, Y= 9, Z= 418
[2024-03-26 13:39:19] [world] The Player <hexa> has emptied WATER BUCKET at X= -463, Y= 9, Z= 416
[2024-03-26 13:44:56] [world] The Player <NezukoChan> has emptied WATER BUCKET at X= -544, Y= 69, Z= 315
