[2024-03-20 19:10:44] [world] The Player <NezukoChan> has emptied WATER BUCKET at X= -10184, Y= 65, Z= 4112
[2024-03-20 20:42:56] [world] The Player <astronomy> has emptied WATER BUCKET at X= 1801, Y= 38, Z= 295
[2024-03-20 20:43:03] [world] The Player <astronomy> has emptied WATER BUCKET at X= 1801, Y= 38, Z= 298
[2024-03-20 20:43:35] [world] The Player <astronomy> has emptied WATER BUCKET at X= 1800, Y= 38, Z= 295
[2024-03-20 20:44:27] [world] The Player <astronomy> has emptied WATER BUCKET at X= 1802, Y= 38, Z= 293
[2024-03-20 20:44:36] [world] The Player <astronomy> has emptied WATER BUCKET at X= 1802, Y= 38, Z= 294
[2024-03-20 20:45:12] [world] The Player <astronomy> has emptied WATER BUCKET at X= 1802, Y= 38, Z= 295
[2024-03-20 21:05:19] [world] The Player <NezukoChan> has emptied WATER BUCKET at X= 1802, Y= 38, Z= 285
[2024-03-20 21:14:43] [world] The Player <hexa> has emptied WATER BUCKET at X= -2555, Y= 64, Z= 582
[2024-03-20 21:14:49] [world] The Player <hexa> has emptied WATER BUCKET at X= -2555, Y= 64, Z= 582
[2024-03-20 21:14:50] [world] The Player <hexa> has emptied WATER BUCKET at X= -2555, Y= 64, Z= 582
[2024-03-20 21:14:50] [world] The Player <hexa> has emptied WATER BUCKET at X= -2555, Y= 64, Z= 582
[2024-03-20 21:14:51] [world] The Player <hexa> has emptied WATER BUCKET at X= -2555, Y= 64, Z= 582
[2024-03-20 21:19:51] [world] The Player <hexa> has emptied WATER BUCKET at X= -2531, Y= 64, Z= 577
[2024-03-20 21:19:54] [world] The Player <hexa> has emptied WATER BUCKET at X= -2530, Y= 66, Z= 579
[2024-03-20 21:19:54] [world] The Player <hexa> has emptied WATER BUCKET at X= -2530, Y= 67, Z= 579
[2024-03-20 21:19:58] [world] The Player <hexa> has emptied WATER BUCKET at X= -2530, Y= 68, Z= 579
[2024-03-20 21:21:43] [world] The Player <hexa> has emptied WATER BUCKET at X= -2530, Y= 67, Z= 579
[2024-03-20 21:21:44] [world] The Player <hexa> has emptied WATER BUCKET at X= -2530, Y= 69, Z= 579
[2024-03-20 21:21:55] [world] The Player <hexa> has emptied WATER BUCKET at X= -2528, Y= 71, Z= 581
[2024-03-20 21:22:18] [world] The Player <hexa> has emptied WATER BUCKET at X= -2522, Y= 64, Z= 581
[2024-03-20 21:22:23] [world] The Player <hexa> has emptied WATER BUCKET at X= -2524, Y= 68, Z= 582
[2024-03-20 21:22:52] [world] The Player <hexa> has emptied WATER BUCKET at X= -2524, Y= 64, Z= 580
[2024-03-20 21:22:58] [world] The Player <hexa> has emptied WATER BUCKET at X= -2524, Y= 68, Z= 581
[2024-03-20 21:23:15] [world] The Player <hexa> has emptied WATER BUCKET at X= -2530, Y= 68, Z= 582
[2024-03-20 21:23:49] [world] The Player <hexa> has emptied WATER BUCKET at X= -2528, Y= 68, Z= 584
[2024-03-20 21:29:06] [world] The Player <hexa> has emptied WATER BUCKET at X= -2527, Y= 67, Z= 583
[2024-03-20 21:29:20] [world] The Player <hexa> has emptied WATER BUCKET at X= -2529, Y= 67, Z= 584
[2024-03-20 21:30:21] [world] The Player <hexa> has emptied WATER BUCKET at X= -2523, Y= 65, Z= 584
[2024-03-20 21:30:22] [world] The Player <hexa> has emptied WATER BUCKET at X= -2523, Y= 65, Z= 584
[2024-03-20 21:30:42] [world] The Player <hexa> has emptied WATER BUCKET at X= -2529, Y= 68, Z= 582
[2024-03-20 21:30:46] [world] The Player <hexa> has emptied WATER BUCKET at X= -2529, Y= 68, Z= 582
[2024-03-20 21:31:04] [world] The Player <hexa> has emptied WATER BUCKET at X= -2528, Y= 68, Z= 584
[2024-03-20 21:31:06] [world] The Player <hexa> has emptied WATER BUCKET at X= -2528, Y= 68, Z= 584
[2024-03-20 21:31:10] [world] The Player <hexa> has emptied WATER BUCKET at X= -2528, Y= 68, Z= 584
[2024-03-20 21:31:13] [world] The Player <hexa> has emptied WATER BUCKET at X= -2528, Y= 68, Z= 584
[2024-03-20 21:31:16] [world] The Player <hexa> has emptied WATER BUCKET at X= -2528, Y= 68, Z= 584
[2024-03-20 21:31:18] [world] The Player <hexa> has emptied WATER BUCKET at X= -2528, Y= 68, Z= 584
[2024-03-20 21:32:08] [world] The Player <astronomy> has emptied WATER BUCKET at X= 1800, Y= 38, Z= 298
[2024-03-20 21:32:20] [world] The Player <astronomy> has emptied WATER BUCKET at X= 1802, Y= 38, Z= 297
[2024-03-20 21:32:33] [world] The Player <astronomy> has emptied WATER BUCKET at X= 1801, Y= 38, Z= 297
[2024-03-20 21:35:50] [world] The Player <hexa> has emptied WATER BUCKET at X= -2528, Y= 68, Z= 584
[2024-03-20 21:35:52] [world] The Player <hexa> has emptied WATER BUCKET at X= -2528, Y= 68, Z= 584
[2024-03-20 21:35:53] [world] The Player <hexa> has emptied WATER BUCKET at X= -2528, Y= 68, Z= 584
[2024-03-20 21:35:59] [world] The Player <hexa> has emptied WATER BUCKET at X= -2529, Y= 68, Z= 583
[2024-03-20 21:36:00] [world] The Player <hexa> has emptied WATER BUCKET at X= -2529, Y= 68, Z= 583
[2024-03-20 21:36:02] [world] The Player <hexa> has emptied WATER BUCKET at X= -2529, Y= 68, Z= 583
[2024-03-20 21:36:09] [world] The Player <hexa> has emptied WATER BUCKET at X= -2528, Y= 68, Z= 582
[2024-03-20 21:36:13] [world] The Player <hexa> has emptied WATER BUCKET at X= -2528, Y= 68, Z= 582
[2024-03-20 21:36:15] [world] The Player <hexa> has emptied WATER BUCKET at X= -2528, Y= 68, Z= 582
[2024-03-20 21:36:17] [world] The Player <hexa> has emptied WATER BUCKET at X= -2528, Y= 68, Z= 581
[2024-03-20 21:36:31] [world] The Player <hexa> has emptied WATER BUCKET at X= -2530, Y= 68, Z= 583
[2024-03-20 21:36:34] [world] The Player <hexa> has emptied WATER BUCKET at X= -2530, Y= 68, Z= 583
[2024-03-20 21:36:44] [world] The Player <hexa> has emptied WATER BUCKET at X= -2530, Y= 68, Z= 583
[2024-03-20 21:36:46] [world] The Player <hexa> has emptied WATER BUCKET at X= -2530, Y= 68, Z= 583
[2024-03-20 21:37:12] [world] The Player <hexa> has emptied WATER BUCKET at X= -2530, Y= 68, Z= 583
[2024-03-20 21:37:15] [world] The Player <hexa> has emptied WATER BUCKET at X= -2530, Y= 68, Z= 583
[2024-03-20 21:37:18] [world] The Player <hexa> has emptied WATER BUCKET at X= -2530, Y= 68, Z= 583
[2024-03-20 21:37:18] [world] The Player <hexa> has emptied WATER BUCKET at X= -2530, Y= 68, Z= 583
[2024-03-20 21:38:02] [world] The Player <hexa> has emptied WATER BUCKET at X= -2529, Y= 67, Z= 584
[2024-03-20 21:38:07] [world] The Player <hexa> has emptied WATER BUCKET at X= -2530, Y= 68, Z= 585
[2024-03-20 21:38:10] [world] The Player <hexa> has emptied WATER BUCKET at X= -2530, Y= 69, Z= 583
[2024-03-20 21:38:14] [world] The Player <hexa> has emptied WATER BUCKET at X= -2526, Y= 68, Z= 582
[2024-03-20 21:38:15] [world] The Player <hexa> has emptied WATER BUCKET at X= -2527, Y= 68, Z= 582
[2024-03-20 21:38:28] [world] The Player <hexa> has emptied WATER BUCKET at X= -2528, Y= 68, Z= 585
[2024-03-20 21:38:42] [world] The Player <hexa> has emptied WATER BUCKET at X= -2528, Y= 68, Z= 582
[2024-03-20 21:38:44] [world] The Player <hexa> has emptied WATER BUCKET at X= -2528, Y= 68, Z= 582
[2024-03-20 21:38:47] [world] The Player <hexa> has emptied WATER BUCKET at X= -2530, Y= 68, Z= 585
[2024-03-20 21:40:40] [world] The Player <hexa> has emptied WATER BUCKET at X= -2528, Y= 68, Z= 581
[2024-03-20 21:40:42] [world] The Player <hexa> has emptied WATER BUCKET at X= -2528, Y= 68, Z= 581
[2024-03-20 21:40:45] [world] The Player <hexa> has emptied WATER BUCKET at X= -2527, Y= 68, Z= 581
[2024-03-20 21:40:47] [world] The Player <hexa> has emptied WATER BUCKET at X= -2528, Y= 68, Z= 581
[2024-03-20 21:40:57] [world] The Player <hexa> has emptied WATER BUCKET at X= -2528, Y= 68, Z= 585
[2024-03-20 21:48:58] [world] The Player <hexa> has emptied WATER BUCKET at X= -2530, Y= 70, Z= 581
[2024-03-20 21:49:01] [world] The Player <hexa> has emptied WATER BUCKET at X= -2530, Y= 70, Z= 581
[2024-03-20 21:51:22] [world] The Player <I_am_amazing> has emptied WATER BUCKET at X= -1327, Y= 11, Z= -396
[2024-03-20 21:52:16] [world] The Player <I_am_amazing> has emptied WATER BUCKET at X= -1286, Y= 14, Z= -400
[2024-03-20 21:53:22] [world] The Player <I_am_amazing> has emptied WATER BUCKET at X= -1265, Y= 12, Z= -394
[2024-03-20 21:53:26] [world] The Player <I_am_amazing> has emptied WATER BUCKET at X= -1265, Y= 11, Z= -395
[2024-03-20 21:53:37] [world] The Player <I_am_amazing> has emptied WATER BUCKET at X= -1265, Y= 12, Z= -394
[2024-03-20 21:53:53] [world] The Player <I_am_amazing> has emptied WATER BUCKET at X= -1264, Y= 11, Z= -394
[2024-03-20 21:53:59] [world] The Player <I_am_amazing> has emptied WATER BUCKET at X= -1265, Y= 11, Z= -395
[2024-03-20 21:54:05] [world] The Player <I_am_amazing> has emptied WATER BUCKET at X= -1265, Y= 11, Z= -396
[2024-03-20 21:56:25] [world] The Player <I_am_amazing> has emptied WATER BUCKET at X= -1225, Y= 11, Z= -417
[2024-03-20 21:56:32] [world] The Player <I_am_amazing> has emptied WATER BUCKET at X= -1233, Y= 11, Z= -418
[2024-03-20 21:56:38] [world] The Player <I_am_amazing> has emptied WATER BUCKET at X= -1240, Y= 11, Z= -415
[2024-03-20 21:57:30] [world] The Player <I_am_amazing> has emptied WATER BUCKET at X= -1239, Y= 12, Z= -393
[2024-03-20 21:57:50] [world] The Player <I_am_amazing> has emptied WATER BUCKET at X= -1277, Y= 11, Z= -377
[2024-03-20 21:57:56] [world] The Player <I_am_amazing> has emptied WATER BUCKET at X= -1285, Y= 12, Z= -384
[2024-03-20 22:00:44] [world] The Player <hexa> has emptied WATER BUCKET at X= -676, Y= 62, Z= 432
[2024-03-20 22:00:59] [world_the_end] The Player <hexa> has emptied LAVA BUCKET at X= 97, Y= 49, Z= 0
[2024-03-20 22:01:09] [world_the_end] The Player <hexa> has emptied LAVA BUCKET at X= 97, Y= 49, Z= 0
[2024-03-20 22:01:27] [world_the_end] The Player <hexa> has emptied LAVA BUCKET at X= 96, Y= 50, Z= 0
[2024-03-20 22:01:35] [world_the_end] The Player <hexa> has emptied LAVA BUCKET at X= 98, Y= 49, Z= 0
[2024-03-20 22:01:39] [world_the_end] The Player <hexa> has emptied LAVA BUCKET at X= 97, Y= 49, Z= -1
[2024-03-20 22:09:47] [world] The Player <hexa> has emptied LAVA BUCKET at X= -2541, Y= 65, Z= 561
[2024-03-20 22:09:52] [world] The Player <NezukoChan> has emptied WATER BUCKET at X= -2544, Y= 64, Z= 558
[2024-03-20 22:09:53] [world] The Player <hexa> has emptied LAVA BUCKET at X= -2543, Y= 65, Z= 560
[2024-03-20 22:09:55] [world] The Player <hexa> has emptied LAVA BUCKET at X= -2545, Y= 64, Z= 558
[2024-03-20 22:09:55] [world] The Player <NezukoChan> has emptied WATER BUCKET at X= -2548, Y= 64, Z= 557
[2024-03-20 22:26:49] [world] The Player <hexa> has emptied LAVA BUCKET at X= 1000001, Y= 66, Z= 1000000
[2024-03-20 22:27:32] [world] The Player <hexa> has emptied LAVA BUCKET at X= 1000003, Y= 64, Z= 999996
[2024-03-20 22:33:34] [world] The Player <hexa> has emptied LAVA BUCKET at X= 1000058, Y= 42, Z= 999894
[2024-03-20 22:35:54] [world] The Player <hexa> has emptied LAVA BUCKET at X= 1000003, Y= 63, Z= 1000002
[2024-03-20 22:36:47] [world] The Player <hexa> has emptied WATER BUCKET at X= 1000000, Y= 61, Z= 1000000
[2024-03-20 22:37:06] [world] The Player <hexa> has emptied WATER BUCKET at X= 1000000, Y= 61, Z= 1000000
[2024-03-20 22:40:02] [world] The Player <hexa> has emptied WATER BUCKET at X= 1000000, Y= 61, Z= 1000000
[2024-03-20 22:41:10] [world] The Player <hexa> has emptied WATER BUCKET at X= 1000000, Y= 60, Z= 1000000
[2024-03-20 22:41:56] [world] The Player <hexa> has emptied WATER BUCKET at X= 999999, Y= 61, Z= 1000000
[2024-03-20 22:50:17] [world] The Player <hexa> has emptied WATER BUCKET at X= 1000000, Y= 59, Z= 1000000
[2024-03-20 22:50:18] [world] The Player <hexa> has emptied WATER BUCKET at X= 1000000, Y= 61, Z= 1000000
[2024-03-20 22:50:19] [world] The Player <hexa> has emptied WATER BUCKET at X= 1000000, Y= 62, Z= 1000000
[2024-03-20 22:51:12] [world] The Player <hexa> has emptied WATER BUCKET at X= 1000000, Y= 61, Z= 1000000
[2024-03-21 00:29:24] [world] The Player <astronomy> has emptied WATER BUCKET at X= 1805, Y= 21, Z= 289
[2024-03-21 00:42:16] [world] The Player <astronomy> has emptied WATER BUCKET at X= 1806, Y= 38, Z= 289
[2024-03-21 00:44:43] [world] The Player <NezukoChan> has emptied WATER BUCKET at X= 1800, Y= 10, Z= 243
[2024-03-21 00:52:44] [world_the_end] The Player <Rip_WillOfTheD> has emptied WATER BUCKET at X= 57, Y= 62, Z= 10
[2024-03-21 00:52:50] [world_the_end] The Player <Rip_WillOfTheD> has emptied WATER BUCKET at X= 52, Y= 62, Z= 11
[2024-03-21 00:52:51] [world_the_end] The Player <Rip_WillOfTheD> has emptied WATER BUCKET at X= 52, Y= 62, Z= 11
[2024-03-21 00:57:37] [world_the_end] The Player <Rip_WillOfTheD> has emptied WATER BUCKET at X= 44, Y= 62, Z= 45
[2024-03-21 00:57:40] [world_the_end] The Player <Rip_WillOfTheD> has emptied WATER BUCKET at X= 41, Y= 62, Z= 44
[2024-03-21 00:57:43] [world_the_end] The Player <Rip_WillOfTheD> has emptied WATER BUCKET at X= 41, Y= 62, Z= 45
[2024-03-21 02:26:28] [world] The Player <A_Random_Person> has emptied WATER BUCKET at X= -1531, Y= 61, Z= -114
[2024-03-21 02:26:29] [world] The Player <A_Random_Person> has emptied WATER BUCKET at X= -1531, Y= 61, Z= -114
[2024-03-21 02:26:31] [world] The Player <A_Random_Person> has emptied WATER BUCKET at X= -1532, Y= 61, Z= -114
[2024-03-21 02:26:37] [world] The Player <A_Random_Person> has emptied WATER BUCKET at X= -1531, Y= 61, Z= -114
[2024-03-21 02:27:05] [world] The Player <A_Random_Person> has emptied WATER BUCKET at X= -1531, Y= 61, Z= -118
[2024-03-21 02:27:11] [world] The Player <A_Random_Person> has emptied WATER BUCKET at X= -1532, Y= 61, Z= -115
[2024-03-21 02:27:16] [world] The Player <A_Random_Person> has emptied WATER BUCKET at X= -1535, Y= 61, Z= -115
[2024-03-21 02:27:17] [world] The Player <A_Random_Person> has emptied WATER BUCKET at X= -1535, Y= 61, Z= -115
[2024-03-21 02:27:24] [world] The Player <A_Random_Person> has emptied WATER BUCKET at X= -1536, Y= 61, Z= -119
[2024-03-21 02:39:29] [world] The Player <A_Random_Person> has emptied WATER BUCKET at X= -1534, Y= 62, Z= -113
[2024-03-21 02:40:10] [world] The Player <A_Random_Person> has emptied WATER BUCKET at X= -1530, Y= 61, Z= -118
[2024-03-21 02:40:24] [world] The Player <A_Random_Person> has emptied WATER BUCKET at X= -1530, Y= 61, Z= -115
[2024-03-21 02:40:31] [world] The Player <A_Random_Person> has emptied WATER BUCKET at X= -1536, Y= 61, Z= -118
[2024-03-21 09:42:17] [world] The Player <Mudkips_Rule> has emptied WATER BUCKET at X= -1153, Y= 65, Z= -440
[2024-03-21 09:43:02] [world] The Player <Mudkips_Rule> has emptied WATER BUCKET at X= -1153, Y= 65, Z= -440
[2024-03-21 10:56:30] [world] The Player <A_Random_Person> has emptied WATER BUCKET at X= -1152, Y= 64, Z= -435
[2024-03-21 10:56:35] [world] The Player <A_Random_Person> has emptied WATER BUCKET at X= -1152, Y= 64, Z= -435
[2024-03-21 11:00:47] [world] The Player <A_Random_Person> has emptied WATER BUCKET at X= -1152, Y= 65, Z= -438
[2024-03-21 11:00:48] [world] The Player <A_Random_Person> has emptied WATER BUCKET at X= -1152, Y= 65, Z= -438
[2024-03-21 12:00:15] [world] The Player <qwerty> has emptied WATER BUCKET at X= -636, Y= 66, Z= -799
[2024-03-21 12:03:37] [world] The Player <Tester> has emptied WATER BUCKET at X= 1000763, Y= 52, Z= 1000806
[2024-03-21 12:05:04] [world] The Player <Tester> has emptied WATER BUCKET at X= 1000763, Y= 52, Z= 1000807
[2024-03-21 12:05:34] [world] The Player <Tester> has emptied WATER BUCKET at X= 1000762, Y= 52, Z= 1000805
[2024-03-21 12:05:36] [world] The Player <Tester> has emptied WATER BUCKET at X= 1000762, Y= 52, Z= 1000805
[2024-03-21 12:29:57] [world] The Player <I_am_amazing> has emptied WATER BUCKET at X= -1269, Y= 14, Z= -370
[2024-03-21 12:30:02] [world] The Player <I_am_amazing> has emptied WATER BUCKET at X= -1265, Y= 11, Z= -364
[2024-03-21 12:30:19] [world] The Player <I_am_amazing> has emptied WATER BUCKET at X= -1278, Y= 11, Z= -381
[2024-03-21 12:30:27] [world] The Player <I_am_amazing> has emptied WATER BUCKET at X= -1280, Y= 9, Z= -381
[2024-03-21 12:32:23] [world] The Player <I_am_amazing> has emptied WATER BUCKET at X= -1273, Y= 17, Z= -384
[2024-03-21 12:32:34] [world] The Player <I_am_amazing> has emptied WATER BUCKET at X= -1271, Y= 11, Z= -382
[2024-03-21 12:34:45] [world] The Player <I_am_amazing> has emptied WATER BUCKET at X= -1274, Y= 11, Z= -397
[2024-03-21 12:35:07] [world] The Player <I_am_amazing> has emptied WATER BUCKET at X= -1257, Y= 12, Z= -394
[2024-03-21 12:35:08] [world] The Player <I_am_amazing> has emptied WATER BUCKET at X= -1256, Y= 12, Z= -394
[2024-03-21 12:35:17] [world] The Player <character> has emptied LAVA BUCKET at X= -403, Y= 63, Z= -57
