[2024-03-18 01:39:35] [world] The Player <Tester> has emptied WATER BUCKET at X= -536, Y= 73, Z= 248
[2024-03-18 14:34:14] [world] The Player <character> has emptied LAVA BUCKET at X= -704, Y= 68, Z= 362
[2024-03-18 14:34:28] [world] The Player <character> has emptied LAVA BUCKET at X= -727, Y= 68, Z= 353
[2024-03-18 14:36:15] [world] The Player <Tester> has emptied WATER BUCKET at X= -431, Y= 11, Z= 1409
[2024-03-18 14:36:18] [world] The Player <Tester> has emptied WATER BUCKET at X= -432, Y= 11, Z= 1412
[2024-03-18 14:37:52] [world] The Player <Tester> has emptied WATER BUCKET at X= -435, Y= 11, Z= 1418
[2024-03-18 14:42:48] [world] The Player <WienerDogFace> has emptied WATER BUCKET at X= -424, Y= 12, Z= 1384
[2024-03-18 14:43:03] [world] The Player <Rip_Dogwater> has emptied WATER BUCKET at X= -10185, Y= 66, Z= 4107
[2024-03-18 14:43:11] [world] The Player <Rip_Dogwater> has emptied WATER BUCKET at X= -10185, Y= 66, Z= 4107
[2024-03-18 15:00:17] [world] The Player <Rip_Dogwater> has emptied WATER BUCKET at X= -568, Y= 11, Z= 425
[2024-03-18 15:05:52] [world] The Player <qwerty> has emptied WATER BUCKET at X= -487, Y= 72, Z= -499
[2024-03-18 15:06:53] [world] The Player <qwerty> has emptied WATER BUCKET at X= -486, Y= 72, Z= -499
[2024-03-18 15:07:28] [world] The Player <qwerty> has emptied WATER BUCKET at X= -487, Y= 72, Z= -499
[2024-03-18 15:08:23] [world] The Player <Rip_Dogwater> has emptied WATER BUCKET at X= -10176, Y= 64, Z= 4124
[2024-03-18 15:20:14] [world] The Player <Rip_Dogwater> has emptied WATER BUCKET at X= -540, Y= 66, Z= 290
[2024-03-18 15:32:36] [world] The Player <Rip_Dogwater> has emptied WATER BUCKET at X= -10177, Y= 64, Z= 4122
[2024-03-18 15:32:37] [world] The Player <Rip_Dogwater> has emptied WATER BUCKET at X= -10177, Y= 64, Z= 4122
[2024-03-18 15:33:04] [world] The Player <Rip_Dogwater> has emptied WATER BUCKET at X= -10175, Y= 64, Z= 4122
[2024-03-18 15:38:39] [world] The Player <Tester> has emptied WATER BUCKET at X= -578, Y= 66, Z= 291
[2024-03-18 15:46:18] [world] The Player <Tester> has emptied WATER BUCKET at X= -9440, Y= 64, Z= 3932
[2024-03-18 15:48:09] [world] The Player <WienerDogFace> has emptied WATER BUCKET at X= -988, Y= 11, Z= 1170
[2024-03-18 15:48:18] [world] The Player <WienerDogFace> has emptied WATER BUCKET at X= -984, Y= 11, Z= 1166
[2024-03-18 15:48:28] [world] The Player <WienerDogFace> has emptied WATER BUCKET at X= -978, Y= 11, Z= 1162
[2024-03-18 15:48:29] [world] The Player <WienerDogFace> has emptied WATER BUCKET at X= -978, Y= 11, Z= 1162
[2024-03-18 16:07:35] [world_the_end] The Player <NezukoChan> has emptied WATER BUCKET at X= -164, Y= 101, Z= 51
[2024-03-18 16:08:04] [world_the_end] The Player <NezukoChan> has emptied WATER BUCKET at X= 100, Y= 22, Z= -4
[2024-03-18 16:08:10] [world_the_end] The Player <NezukoChan> has emptied WATER BUCKET at X= 103, Y= 17, Z= 5
[2024-03-18 16:08:39] [world_nether] The Player <NezukoChan> has emptied WATER BUCKET at X= -66, Y= 43, Z= 42
[2024-03-18 16:09:11] [world] The Player <NezukoChan> has emptied LAVA BUCKET at X= -591, Y= 68, Z= 353
[2024-03-18 16:09:34] [world] The Player <WienerDogFace> has emptied WATER BUCKET at X= -1078, Y= 11, Z= 1406
[2024-03-18 16:09:36] [world] The Player <WienerDogFace> has emptied WATER BUCKET at X= -1077, Y= 11, Z= 1403
[2024-03-18 16:09:41] [world] The Player <WienerDogFace> has emptied WATER BUCKET at X= -1077, Y= 11, Z= 1398
[2024-03-18 16:09:47] [world] The Player <WienerDogFace> has emptied WATER BUCKET at X= -1068, Y= 11, Z= 1401
[2024-03-18 16:09:53] [world] The Player <WienerDogFace> has emptied WATER BUCKET at X= -1065, Y= 11, Z= 1406
[2024-03-18 16:10:02] [world] The Player <WienerDogFace> has emptied WATER BUCKET at X= -1065, Y= 11, Z= 1407
[2024-03-18 16:10:02] [world] The Player <WienerDogFace> has emptied WATER BUCKET at X= -1065, Y= 11, Z= 1407
[2024-03-18 16:10:09] [world] The Player <WienerDogFace> has emptied WATER BUCKET at X= -1059, Y= 11, Z= 1410
[2024-03-18 16:10:11] [world] The Player <WienerDogFace> has emptied WATER BUCKET at X= -1059, Y= 11, Z= 1410
[2024-03-18 16:10:31] [world] The Player <WienerDogFace> has emptied WATER BUCKET at X= -1069, Y= 12, Z= 1392
[2024-03-18 20:19:43] [world] The Player <TurtleDuck> has emptied WATER BUCKET at X= -527, Y= 72, Z= 157
[2024-03-18 20:51:11] [world] The Player <NezukoChan> has emptied WATER BUCKET at X= -10173, Y= 63, Z= 4111
[2024-03-19 01:10:43] [world] The Player <TurtleDuck> has emptied LAVA BUCKET at X= -567, Y= 56, Z= 271
[2024-03-19 01:10:43] [world] The Player <TurtleDuck> has emptied LAVA BUCKET at X= -567, Y= 56, Z= 271
[2024-03-19 01:11:31] [world] The Player <TurtleDuck> has emptied LAVA BUCKET at X= -573, Y= 66, Z= 292
