[2024-03-31 13:37:54] [world] The Player <Tester> has emptied WATER BUCKET at X= -541, Y= 63, Z= -118
[2024-03-31 13:39:23] [world] The Player <Tester> has emptied WATER BUCKET at X= -562, Y= 63, Z= -119
[2024-03-31 13:39:23] [world] The Player <Tester> has emptied WATER BUCKET at X= -562, Y= 63, Z= -120
[2024-03-31 13:39:23] [world] The Player <Tester> has emptied WATER BUCKET at X= -562, Y= 63, Z= -120
[2024-03-31 13:39:24] [world] The Player <Tester> has emptied WATER BUCKET at X= -562, Y= 63, Z= -120
[2024-03-31 13:39:24] [world] The Player <Tester> has emptied WATER BUCKET at X= -563, Y= 63, Z= -121
[2024-03-31 13:39:24] [world] The Player <Tester> has emptied WATER BUCKET at X= -563, Y= 63, Z= -121
[2024-03-31 13:39:24] [world] The Player <Tester> has emptied WATER BUCKET at X= -563, Y= 63, Z= -121
[2024-03-31 13:39:24] [world] The Player <Tester> has emptied WATER BUCKET at X= -564, Y= 63, Z= -121
[2024-03-31 13:39:24] [world] The Player <Tester> has emptied WATER BUCKET at X= -564, Y= 63, Z= -121
[2024-03-31 13:39:25] [world] The Player <Tester> has emptied WATER BUCKET at X= -564, Y= 63, Z= -122
[2024-03-31 13:39:25] [world] The Player <Tester> has emptied WATER BUCKET at X= -564, Y= 63, Z= -123
[2024-03-31 13:39:25] [world] The Player <Tester> has emptied WATER BUCKET at X= -564, Y= 63, Z= -124
[2024-03-31 13:39:25] [world] The Player <Tester> has emptied WATER BUCKET at X= -564, Y= 63, Z= -124
[2024-03-31 13:39:25] [world] The Player <Tester> has emptied WATER BUCKET at X= -564, Y= 63, Z= -124
[2024-03-31 13:39:26] [world] The Player <Tester> has emptied WATER BUCKET at X= -564, Y= 63, Z= -123
[2024-03-31 13:39:26] [world] The Player <Tester> has emptied WATER BUCKET at X= -564, Y= 63, Z= -123
[2024-03-31 13:39:26] [world] The Player <Tester> has emptied WATER BUCKET at X= -564, Y= 63, Z= -123
[2024-03-31 13:39:26] [world] The Player <Tester> has emptied WATER BUCKET at X= -564, Y= 63, Z= -123
[2024-03-31 13:39:27] [world] The Player <Tester> has emptied WATER BUCKET at X= -564, Y= 63, Z= -123
[2024-03-31 13:39:27] [world] The Player <Tester> has emptied WATER BUCKET at X= -565, Y= 63, Z= -123
[2024-03-31 13:39:27] [world] The Player <Tester> has emptied WATER BUCKET at X= -565, Y= 63, Z= -123
[2024-03-31 13:39:27] [world] The Player <Tester> has emptied WATER BUCKET at X= -565, Y= 63, Z= -124
[2024-03-31 13:39:27] [world] The Player <Tester> has emptied WATER BUCKET at X= -565, Y= 63, Z= -125
[2024-03-31 13:39:28] [world] The Player <Tester> has emptied WATER BUCKET at X= -565, Y= 63, Z= -125
[2024-03-31 13:39:29] [world] The Player <Tester> has emptied WATER BUCKET at X= -565, Y= 63, Z= -124
[2024-03-31 13:39:29] [world] The Player <Tester> has emptied WATER BUCKET at X= -565, Y= 63, Z= -124
[2024-03-31 13:39:29] [world] The Player <Tester> has emptied WATER BUCKET at X= -565, Y= 63, Z= -124
[2024-03-31 13:39:29] [world] The Player <Tester> has emptied WATER BUCKET at X= -565, Y= 63, Z= -124
[2024-03-31 13:39:30] [world] The Player <Tester> has emptied WATER BUCKET at X= -565, Y= 63, Z= -125
[2024-03-31 13:39:30] [world] The Player <Tester> has emptied WATER BUCKET at X= -565, Y= 63, Z= -126
[2024-03-31 13:39:31] [world] The Player <Tester> has emptied WATER BUCKET at X= -565, Y= 63, Z= -126
[2024-03-31 13:39:32] [world] The Player <Tester> has emptied WATER BUCKET at X= -566, Y= 63, Z= -126
[2024-03-31 13:39:32] [world] The Player <Tester> has emptied WATER BUCKET at X= -566, Y= 63, Z= -126
[2024-03-31 13:39:32] [world] The Player <Tester> has emptied WATER BUCKET at X= -566, Y= 63, Z= -126
[2024-03-31 13:40:01] [world] The Player <Tester> has emptied WATER BUCKET at X= -568, Y= 63, Z= -127
[2024-03-31 13:40:01] [world] The Player <Tester> has emptied WATER BUCKET at X= -568, Y= 63, Z= -127
[2024-03-31 13:40:01] [world] The Player <Tester> has emptied WATER BUCKET at X= -568, Y= 63, Z= -127
[2024-03-31 13:40:03] [world] The Player <Tester> has emptied WATER BUCKET at X= -570, Y= 63, Z= -128
[2024-03-31 13:40:03] [world] The Player <Tester> has emptied WATER BUCKET at X= -571, Y= 63, Z= -130
[2024-03-31 13:40:05] [world] The Player <Tester> has emptied WATER BUCKET at X= -571, Y= 63, Z= -131
[2024-03-31 13:40:05] [world] The Player <Tester> has emptied WATER BUCKET at X= -571, Y= 63, Z= -131
[2024-03-31 13:40:06] [world] The Player <Tester> has emptied WATER BUCKET at X= -571, Y= 63, Z= -131
[2024-03-31 13:40:06] [world] The Player <Tester> has emptied WATER BUCKET at X= -571, Y= 63, Z= -131
[2024-03-31 13:40:06] [world] The Player <Tester> has emptied WATER BUCKET at X= -571, Y= 63, Z= -131
[2024-03-31 13:40:07] [world] The Player <Tester> has emptied WATER BUCKET at X= -571, Y= 63, Z= -131
[2024-03-31 13:40:21] [world] The Player <Tester> has emptied WATER BUCKET at X= -575, Y= 63, Z= -130
[2024-03-31 13:40:21] [world] The Player <Tester> has emptied WATER BUCKET at X= -575, Y= 63, Z= -130
[2024-03-31 13:40:21] [world] The Player <Tester> has emptied WATER BUCKET at X= -575, Y= 63, Z= -130
[2024-03-31 13:40:21] [world] The Player <Tester> has emptied WATER BUCKET at X= -575, Y= 63, Z= -130
[2024-03-31 13:40:21] [world] The Player <Tester> has emptied WATER BUCKET at X= -575, Y= 63, Z= -130
[2024-03-31 13:40:22] [world] The Player <Tester> has emptied WATER BUCKET at X= -575, Y= 63, Z= -130
[2024-03-31 13:40:22] [world] The Player <Tester> has emptied WATER BUCKET at X= -575, Y= 63, Z= -130
[2024-03-31 13:40:22] [world] The Player <Tester> has emptied WATER BUCKET at X= -576, Y= 63, Z= -130
[2024-03-31 13:40:22] [world] The Player <Tester> has emptied WATER BUCKET at X= -577, Y= 63, Z= -130
[2024-03-31 13:40:22] [world] The Player <Tester> has emptied WATER BUCKET at X= -578, Y= 63, Z= -130
[2024-03-31 13:40:23] [world] The Player <Tester> has emptied WATER BUCKET at X= -579, Y= 63, Z= -130
[2024-03-31 13:40:23] [world] The Player <Tester> has emptied WATER BUCKET at X= -580, Y= 63, Z= -130
[2024-03-31 13:40:23] [world] The Player <Tester> has emptied WATER BUCKET at X= -581, Y= 63, Z= -130
[2024-03-31 13:40:24] [world] The Player <Tester> has emptied WATER BUCKET at X= -581, Y= 63, Z= -130
[2024-03-31 13:40:24] [world] The Player <Tester> has emptied WATER BUCKET at X= -581, Y= 63, Z= -130
[2024-03-31 13:40:24] [world] The Player <Tester> has emptied WATER BUCKET at X= -582, Y= 63, Z= -130
[2024-03-31 13:40:24] [world] The Player <Tester> has emptied WATER BUCKET at X= -582, Y= 63, Z= -130
[2024-03-31 13:40:24] [world] The Player <Tester> has emptied WATER BUCKET at X= -582, Y= 63, Z= -130
[2024-03-31 13:40:24] [world] The Player <Tester> has emptied WATER BUCKET at X= -582, Y= 63, Z= -130
[2024-03-31 13:40:25] [world] The Player <Tester> has emptied WATER BUCKET at X= -582, Y= 63, Z= -130
[2024-03-31 13:40:25] [world] The Player <Tester> has emptied WATER BUCKET at X= -582, Y= 63, Z= -130
[2024-03-31 13:40:25] [world] The Player <Tester> has emptied WATER BUCKET at X= -582, Y= 63, Z= -130
[2024-03-31 13:40:25] [world] The Player <Tester> has emptied WATER BUCKET at X= -583, Y= 63, Z= -130
[2024-03-31 13:44:15] [world] The Player <Tester> has emptied WATER BUCKET at X= -555, Y= 61, Z= -111
[2024-03-31 13:44:15] [world] The Player <Tester> has emptied WATER BUCKET at X= -555, Y= 61, Z= -111
[2024-03-31 13:44:15] [world] The Player <Tester> has emptied WATER BUCKET at X= -556, Y= 61, Z= -111
[2024-03-31 13:44:17] [world] The Player <Tester> has emptied WATER BUCKET at X= -555, Y= 61, Z= -115
[2024-03-31 13:44:19] [world] The Player <Tester> has emptied WATER BUCKET at X= -555, Y= 61, Z= -118
[2024-03-31 13:44:19] [world] The Player <Tester> has emptied WATER BUCKET at X= -555, Y= 61, Z= -118
[2024-03-31 13:44:19] [world] The Player <Tester> has emptied WATER BUCKET at X= -555, Y= 61, Z= -118
[2024-03-31 13:44:19] [world] The Player <Tester> has emptied WATER BUCKET at X= -555, Y= 61, Z= -118
[2024-03-31 13:44:20] [world] The Player <Tester> has emptied WATER BUCKET at X= -555, Y= 61, Z= -118
[2024-03-31 13:44:20] [world] The Player <Tester> has emptied WATER BUCKET at X= -556, Y= 61, Z= -118
[2024-03-31 13:44:20] [world] The Player <Tester> has emptied WATER BUCKET at X= -557, Y= 61, Z= -118
[2024-03-31 13:44:20] [world] The Player <Tester> has emptied WATER BUCKET at X= -558, Y= 61, Z= -118
[2024-03-31 13:44:21] [world] The Player <Tester> has emptied WATER BUCKET at X= -559, Y= 61, Z= -118
[2024-03-31 13:44:21] [world] The Player <Tester> has emptied WATER BUCKET at X= -559, Y= 61, Z= -119
[2024-03-31 13:44:21] [world] The Player <Tester> has emptied WATER BUCKET at X= -558, Y= 61, Z= -120
[2024-03-31 13:44:21] [world] The Player <Tester> has emptied WATER BUCKET at X= -558, Y= 61, Z= -121
[2024-03-31 13:44:21] [world] The Player <Tester> has emptied WATER BUCKET at X= -557, Y= 61, Z= -121
[2024-03-31 13:44:21] [world] The Player <Tester> has emptied WATER BUCKET at X= -557, Y= 61, Z= -121
[2024-03-31 13:44:22] [world] The Player <Tester> has emptied WATER BUCKET at X= -557, Y= 61, Z= -120
[2024-03-31 13:44:22] [world] The Player <Tester> has emptied WATER BUCKET at X= -557, Y= 61, Z= -119
[2024-03-31 13:44:23] [world] The Player <Tester> has emptied WATER BUCKET at X= -555, Y= 61, Z= -120
[2024-03-31 13:44:24] [world] The Player <Tester> has emptied WATER BUCKET at X= -554, Y= 61, Z= -121
[2024-03-31 13:44:24] [world] The Player <Tester> has emptied WATER BUCKET at X= -553, Y= 61, Z= -121
[2024-03-31 13:44:24] [world] The Player <Tester> has emptied WATER BUCKET at X= -553, Y= 61, Z= -121
[2024-03-31 13:44:24] [world] The Player <Tester> has emptied WATER BUCKET at X= -553, Y= 61, Z= -121
[2024-03-31 13:44:24] [world] The Player <Tester> has emptied WATER BUCKET at X= -553, Y= 61, Z= -121
[2024-03-31 13:44:25] [world] The Player <Tester> has emptied WATER BUCKET at X= -554, Y= 61, Z= -121
[2024-03-31 13:44:25] [world] The Player <Tester> has emptied WATER BUCKET at X= -555, Y= 61, Z= -121
[2024-03-31 13:44:25] [world] The Player <Tester> has emptied WATER BUCKET at X= -555, Y= 61, Z= -121
[2024-03-31 13:44:25] [world] The Player <Tester> has emptied WATER BUCKET at X= -555, Y= 61, Z= -121
[2024-03-31 13:44:25] [world] The Player <Tester> has emptied WATER BUCKET at X= -555, Y= 61, Z= -121
[2024-03-31 13:44:26] [world] The Player <Tester> has emptied WATER BUCKET at X= -555, Y= 61, Z= -121
[2024-03-31 14:15:08] [world] The Player <BTC> has emptied WATER BUCKET at X= -721, Y= 65, Z= -23
[2024-03-31 16:42:12] [world] The Player <BTC> has emptied WATER BUCKET at X= -549, Y= 43, Z= -73
[2024-03-31 16:42:22] [world] The Player <Tester> has emptied LAVA BUCKET at X= -547, Y= 43, Z= -73
[2024-03-31 16:42:23] [world] The Player <Tester> has emptied WATER BUCKET at X= -547, Y= 43, Z= -73
[2024-03-31 16:42:24] [world] The Player <Tester> has emptied WATER BUCKET at X= -547, Y= 43, Z= -73
[2024-03-31 16:42:24] [world] The Player <BTC> has emptied WATER BUCKET at X= -547, Y= 43, Z= -73
[2024-03-31 16:43:18] [world] The Player <BTC> has emptied WATER BUCKET at X= -551, Y= 28, Z= -71
[2024-03-31 16:44:05] [world] The Player <BTC> has emptied WATER BUCKET at X= -550, Y= 25, Z= -74
[2024-03-31 16:47:27] [world] The Player <BTC> has emptied WATER BUCKET at X= -555, Y= 1, Z= -86
[2024-03-31 16:51:16] [world] The Player <BTC> has emptied WATER BUCKET at X= -559, Y= 5, Z= -85
[2024-03-31 16:53:49] [world] The Player <BTC> has emptied WATER BUCKET at X= -551, Y= 2, Z= -84
[2024-03-31 16:55:15] [world] The Player <BTC> has emptied WATER BUCKET at X= -550, Y= 8, Z= -94
[2024-03-31 16:57:55] [world] The Player <BTC> has emptied WATER BUCKET at X= -550, Y= 9, Z= -98
[2024-03-31 16:58:10] [world] The Player <BTC> has emptied WATER BUCKET at X= -550, Y= 9, Z= -98
[2024-03-31 17:24:00] [world] The Player <BTC> has emptied WATER BUCKET at X= -625, Y= 68, Z= 461
[2024-03-31 17:24:06] [world] The Player <BTC> has emptied WATER BUCKET at X= -629, Y= 68, Z= 461
[2024-03-31 17:47:14] [world] The Player <Tester> has emptied WATER BUCKET at X= -9989, Y= 58, Z= 3732
[2024-03-31 17:47:16] [world] The Player <Tester> has emptied WATER BUCKET at X= -9988, Y= 57, Z= 3731
[2024-03-31 17:47:16] [world] The Player <Tester> has emptied WATER BUCKET at X= -9988, Y= 57, Z= 3731
[2024-03-31 17:47:17] [world] The Player <Tester> has emptied WATER BUCKET at X= -9988, Y= 57, Z= 3731
[2024-03-31 17:47:17] [world] The Player <Tester> has emptied WATER BUCKET at X= -9988, Y= 57, Z= 3731
[2024-03-31 17:47:17] [world] The Player <Tester> has emptied WATER BUCKET at X= -9988, Y= 57, Z= 3731
[2024-03-31 17:47:18] [world] The Player <Tester> has emptied WATER BUCKET at X= -9988, Y= 57, Z= 3731
[2024-03-31 17:47:18] [world] The Player <Tester> has emptied WATER BUCKET at X= -9988, Y= 57, Z= 3731
[2024-03-31 17:47:18] [world] The Player <Tester> has emptied WATER BUCKET at X= -9988, Y= 57, Z= 3731
[2024-03-31 17:47:18] [world] The Player <Tester> has emptied WATER BUCKET at X= -9988, Y= 57, Z= 3731
[2024-03-31 17:47:18] [world] The Player <Tester> has emptied WATER BUCKET at X= -9988, Y= 57, Z= 3731
[2024-03-31 17:47:18] [world] The Player <Tester> has emptied WATER BUCKET at X= -9988, Y= 57, Z= 3731
[2024-03-31 17:47:19] [world] The Player <Tester> has emptied WATER BUCKET at X= -9988, Y= 57, Z= 3731
[2024-03-31 17:47:19] [world] The Player <Tester> has emptied WATER BUCKET at X= -9988, Y= 57, Z= 3731
[2024-03-31 17:47:19] [world] The Player <Tester> has emptied WATER BUCKET at X= -9988, Y= 57, Z= 3731
[2024-03-31 17:47:19] [world] The Player <Tester> has emptied WATER BUCKET at X= -9988, Y= 57, Z= 3732
[2024-03-31 17:47:19] [world] The Player <Tester> has emptied WATER BUCKET at X= -9988, Y= 57, Z= 3733
[2024-03-31 17:47:20] [world] The Player <Tester> has emptied WATER BUCKET at X= -9988, Y= 56, Z= 3733
[2024-03-31 17:47:20] [world] The Player <Tester> has emptied WATER BUCKET at X= -9987, Y= 56, Z= 3733
[2024-03-31 17:47:20] [world] The Player <Tester> has emptied WATER BUCKET at X= -9987, Y= 56, Z= 3733
[2024-03-31 17:48:32] [world] The Player <Tester> has emptied WATER BUCKET at X= -9976, Y= 11, Z= 3752
[2024-03-31 17:48:32] [world] The Player <Tester> has emptied WATER BUCKET at X= -9977, Y= 11, Z= 3752
[2024-03-31 17:48:33] [world] The Player <Tester> has emptied WATER BUCKET at X= -9977, Y= 11, Z= 3753
[2024-03-31 17:48:33] [world] The Player <Tester> has emptied WATER BUCKET at X= -9977, Y= 11, Z= 3753
[2024-03-31 17:48:36] [world] The Player <Tester> has emptied WATER BUCKET at X= -9975, Y= 12, Z= 3752
[2024-03-31 17:48:38] [world] The Player <Tester> has emptied WATER BUCKET at X= -9976, Y= 12, Z= 3752
[2024-03-31 17:48:38] [world] The Player <Tester> has emptied WATER BUCKET at X= -9976, Y= 12, Z= 3752
[2024-03-31 17:48:39] [world] The Player <Tester> has emptied WATER BUCKET at X= -9976, Y= 12, Z= 3752
[2024-03-31 17:48:40] [world] The Player <Tester> has emptied WATER BUCKET at X= -9975, Y= 12, Z= 3752
[2024-03-31 17:48:40] [world] The Player <Tester> has emptied WATER BUCKET at X= -9975, Y= 12, Z= 3752
[2024-03-31 17:48:41] [world] The Player <Tester> has emptied WATER BUCKET at X= -9975, Y= 12, Z= 3752
[2024-03-31 17:48:42] [world] The Player <Tester> has emptied WATER BUCKET at X= -9975, Y= 12, Z= 3752
[2024-03-31 17:48:43] [world] The Player <Tester> has emptied WATER BUCKET at X= -9975, Y= 12, Z= 3753
[2024-03-31 17:48:44] [world] The Player <Tester> has emptied WATER BUCKET at X= -9975, Y= 12, Z= 3753
[2024-03-31 17:48:44] [world] The Player <Tester> has emptied WATER BUCKET at X= -9975, Y= 12, Z= 3753
[2024-03-31 17:48:45] [world] The Player <Tester> has emptied WATER BUCKET at X= -9975, Y= 12, Z= 3753
[2024-03-31 17:48:45] [world] The Player <Tester> has emptied WATER BUCKET at X= -9975, Y= 12, Z= 3753
[2024-03-31 17:48:45] [world] The Player <Tester> has emptied WATER BUCKET at X= -9975, Y= 12, Z= 3753
[2024-03-31 17:48:46] [world] The Player <Tester> has emptied WATER BUCKET at X= -9975, Y= 12, Z= 3753
[2024-03-31 17:48:46] [world] The Player <Tester> has emptied WATER BUCKET at X= -9975, Y= 12, Z= 3753
[2024-03-31 17:48:47] [world] The Player <Tester> has emptied WATER BUCKET at X= -9975, Y= 12, Z= 3753
[2024-03-31 17:48:47] [world] The Player <Tester> has emptied WATER BUCKET at X= -9975, Y= 12, Z= 3754
[2024-03-31 17:48:47] [world] The Player <Tester> has emptied WATER BUCKET at X= -9975, Y= 12, Z= 3754
[2024-03-31 17:48:47] [world] The Player <Tester> has emptied WATER BUCKET at X= -9975, Y= 12, Z= 3754
[2024-03-31 17:48:47] [world] The Player <Tester> has emptied WATER BUCKET at X= -9975, Y= 12, Z= 3754
[2024-03-31 17:48:48] [world] The Player <Tester> has emptied WATER BUCKET at X= -9975, Y= 12, Z= 3754
[2024-03-31 17:48:48] [world] The Player <Tester> has emptied WATER BUCKET at X= -9975, Y= 12, Z= 3754
[2024-03-31 19:23:43] [world] The Player <GolemDaWanderer> has emptied LAVA BUCKET at X= -9252, Y= 71, Z= 3701
[2024-03-31 19:26:24] [world] The Player <GolemDaWanderer> has emptied LAVA BUCKET at X= -9255, Y= 71, Z= 3699
[2024-03-31 19:26:26] [world] The Player <GolemDaWanderer> has emptied LAVA BUCKET at X= -9257, Y= 70, Z= 3698
[2024-03-31 19:27:35] [world] The Player <GolemDaWanderer> has emptied LAVA BUCKET at X= -9239, Y= 64, Z= 3713
[2024-03-31 19:28:00] [world] The Player <GolemDaWanderer> has emptied LAVA BUCKET at X= -9242, Y= 63, Z= 3715
[2024-03-31 19:28:01] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -9243, Y= 62, Z= 3716
[2024-03-31 19:28:03] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -9248, Y= 64, Z= 3717
[2024-03-31 19:28:09] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -9251, Y= 64, Z= 3718
[2024-03-31 19:28:10] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -9251, Y= 64, Z= 3718
[2024-03-31 19:28:10] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -9251, Y= 64, Z= 3718
[2024-03-31 19:28:11] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -9251, Y= 64, Z= 3718
[2024-03-31 19:28:12] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -9251, Y= 64, Z= 3718
[2024-03-31 19:31:10] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -9263, Y= 62, Z= 3746
[2024-03-31 20:12:08] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -10301, Y= 39, Z= 4029
[2024-03-31 20:12:12] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -10301, Y= 39, Z= 4029
[2024-03-31 20:12:13] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -10301, Y= 39, Z= 4029
[2024-03-31 20:12:14] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -10301, Y= 39, Z= 4029
[2024-03-31 20:12:14] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -10301, Y= 39, Z= 4029
[2024-03-31 20:12:17] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -10301, Y= 39, Z= 4029
[2024-03-31 20:12:19] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -10301, Y= 39, Z= 4029
[2024-03-31 20:12:19] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -10301, Y= 39, Z= 4029
[2024-03-31 20:12:19] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -10301, Y= 39, Z= 4029
[2024-03-31 20:12:19] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -10301, Y= 39, Z= 4029
[2024-03-31 20:12:19] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -10301, Y= 39, Z= 4029
[2024-03-31 20:12:28] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -10301, Y= 39, Z= 4029
[2024-03-31 20:12:30] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -10301, Y= 39, Z= 4028
[2024-03-31 20:12:32] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -10301, Y= 39, Z= 4028
[2024-03-31 20:12:34] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -10301, Y= 39, Z= 4028
[2024-03-31 20:13:24] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -10301, Y= 39, Z= 4029
[2024-03-31 20:13:24] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -10301, Y= 39, Z= 4029
[2024-03-31 20:13:24] [world] The Player <GolemDaWanderer> has emptied WATER BUCKET at X= -10301, Y= 39, Z= 4029
